AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.37393
AGID00111	913	sc-23957	Old	1433EPSILON	0.16532
AGID00101	883	sc-1019	Old	1433ZETA	-0.53571
AGID00001	2	9452	Old	4EBP1	-0.70454
AGID00002	3	9456	Old	4EBP1_pS65	-0.42924
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.67566
AGID00443	8	9455	Old	4EBP1_pT70	-0.2631
AGID00120	985	4937	Old	53BP1	-0.72574
AGID00004	13	3661	Old	ACC_pS79	-0.040951
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.0584
AGID00408	2372	3658	Set173	AceCS1	-0.5695629
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.16302
AGID00404	2367	9189	Set173	ACSL1	0.2386782
AGID02144	2450	PA5-27081	Old	ACVRL1	0.57884
AGID00186	1198	ab88574	Old	ADAR1	-0.25922
AGID00146	1084	4691	Old	AKT	0.31368
AGID00028	230	9271	Old	AKT_pS473	1.7588
AGID00170	1154	2965	Old	AKT_pT308	0.87623
AGID00316	1800	3063	Set173	Akt2	2.367854
AGID00347	2009	8599	Set173	Akt2_pS474	2.198603
AGID02215	2577	ab195377	Set173	ALKBH5	-0.08603494
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.02925191
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.06704111
AGID00006	39	2532	Old	AMPKALPHA	0.24949
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.76169
AGID00193	1208	610066	Old	ANNEXIN1	0.19807
AGID00166	1142	610668	Old	ANNEXINVII	0.52531
AGID00371	756	1852-1/ab52615	Old	AR	-0.25097
AGID00194	1217	4432	Old	ARAF	-0.051802
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.15507
AGID00260	1053	sc-32761	Old	ARID1A	0.090497
AGID00264	1560	HPA029318	Old	ASNS	-0.43898
AGID00276	1612	3415	Set173	Atg3	0.3168752
AGID00309	1775	13507	Set173	Atg4B	-0.03768623
AGID00310	1776	12994	Set173	Atg5	-0.8260009
AGID00277	1613	8558	Set173	Atg7	0.2043036
AGID00242	1363	2873	Old	ATM	0.064906
AGID02142	2447	13050	Set173	ATM_pS1981	1.55051
AGID00217	1289	ab14748	Set173	ATP5A	3.829002
AGID02145	2451	PA5-43776	Set173	ATP5H	0.01359731
AGID02150	2456	13934	Set173	ATR	-0.3618894
AGID00315	1795	ab178407	Set173	ATR_pS428	-0.05015769
AGID00268	1569	ab97508	Set173	ATRX	-0.2466056
AGID00391	2332	14475	Set173	Aurora-A	-1.303091
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.5097454
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.5882539
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.3102251
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.2594828
AGID00301	1725	14058	Set173	B7-H3	-0.8364616
AGID00302	1726	14572	Set173	B7-H4	-0.144137
AGID00008	63	9291	Old	BAD_pS112	0.15192
AGID00009	71	1542-1/ab32371	Old	BAK	-0.93933
AGID00192	1207	sc-28383	Old	BAP1C4	-0.49215
AGID00010	73	2772	Old	BAX	-0.77114
AGID00433	80	M0887	Old	BCL2	0.34106
AGID00219	1299	PAB8528	Old	BCL2A1	-0.039352
AGID00012	84	1018-1	Old	BCLXL	-0.24646
AGID00377	87	sc-10086	Old	BECLIN	0.0052123
AGID00011	75	9562	Old	BETACATENIN	1.2708
AGID00013	88	1008-1/ab32060	Old	BID	0.042402
AGID00180	90	1036-1/ab32158	Old	BIM	-0.9937
AGID00221	1311	610978	Set173	BiP-GRP78	0.2213781
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.06527645
AGID00355	92	1647/ab33899	Old	BRAF	0.073244
AGID00014	94	2696	Old	BRAF_pS445	0.36322
AGID00445	761	9012	Old	BRCA2	-0.0096794
AGID00266	1567	13440	Old	BRD4	0.4034
AGID00168	1146	2865	Set173	c-Abl_pY412	-0.2544174
AGID00278	1615	3130	Set173	c-IAP2	-0.9055704
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.017291
AGID00429	2407	2679	Set173	Calnexin	-0.2186746
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.8619299
AGID00623	111	9665	Old	CASPASE3	-0.20611
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.63696
AGID00118	951	9746	Old	CASPASE8	-0.23437
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.29086
AGID00358	2100	ab76000	Set173	CD134	-0.09158049
AGID00303	1737	826701	Set173	CD171	-0.03715972
AGID00410	125	1632-1/ab78237	Old	CD20	0.13742
AGID00220	1308	ab28340	Old	CD26	0.015103
AGID00191	1206	610467	Set173	CD29	-0.03190811
AGID00017	127	M0823	Old	CD31	0.58316
AGID00369	2174	ab108403	Set173	CD38	-0.08154044
AGID00359	2104	ab133616	Set173	CD4	-0.7892399
AGID00411	1398	3570	Set173	CD44	-0.4756315
AGID00237	1352	M070101-2	Set173	CD45	-0.2000348
AGID00115	937	611016	Old	CD49B	0.045588
AGID02171	2482	91882	Set173	CD86	0.5355617
AGID00329	1873	4688	Set173	cdc25C	-0.6085945
AGID00227	1332	4651	Set173	Cdc42	0.228782
AGID00422	2396	3387	Set173	Cdc6	-0.2451533
AGID00501	1007	9112	Old	CDK1	0.047842
AGID00293	1658	ab32384	Set173	CDK1_pT14	-1.379112
AGID00314	1783	4539	Old	CDK1_pY15	0.87988
AGID00423	2397	8064	Set173	CDT1	0.1914728
AGID02101	2348	15102	Set173	cGAS	0.1869776
AGID00447	2410	13460	Set173	CHD1L	-0.3253449
AGID00189	1203	2360	Old	CHK1	0.15508
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.093568
AGID00107	903	2348	Old	CHK1_pS345	0.15339
AGID00018	146	3440	Old	CHK2	-0.88876
AGID00019	147	2197	Old	CHK2_pT68	0.040892
AGID00527	2078	4952	Old	CIAP	-0.17366
AGID00350	2018	3793	Set173	CIITA	0.5792469
AGID00434	155	9164	Old	CJUN_pS73	0.018874
AGID00020	157	1522-1/ab32363	Old	CKIT	1.5129
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.62625
AGID00466	726	3127	Old	CMET	0.12869
AGID00079	727	3129	Old	CMET_pY1235	-0.039685
AGID00167	161	9402	Old	CMYC	-0.37843
AGID00292	1656	11130-1-AP	Old	COG3	-0.077027
AGID00021	171	sc-20649	Old	COLLAGENVI	0.59568
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set173	Connexin-43	-0.1508609
AGID00269	1571	6434	Set173	Coup-TFII	-0.3070662
AGID00150	1116	4850	Set173	Cox-IV	0.7741316
AGID00195	1218	4842	Set173	Cox2	0.003471096
AGID00188	803	05-739	Old	CRAF	0.06413
AGID00022	179	9427	Old	CRAF_pS338	0.27359
AGID00023	181	9197	Set173	Creb	-0.110486
AGID00393	2334	9198	Set173	CREB_pS133	-0.1291396
AGID00365	2155	4980	Set173	CSK	0.4265463
AGID00367	2160	9201	Set173	CtIP	-0.4590615
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set173	Cyclin-D3	0.07919202
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.9006
AGID00382	194	sc-718	Old	CYCLIND1	0.14745
