AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.22803
AGID00111	913	sc-23957	Old	1433EPSILON	0.88276
AGID00101	883	sc-1019	Old	1433ZETA	-0.82332
AGID00001	2	9452	Old	4EBP1	-0.91001
AGID00002	3	9456	Old	4EBP1_pS65	-0.49252
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.2246
AGID00443	8	9455	Old	4EBP1_pT70	-0.35903
AGID00120	985	4937	Old	53BP1	-1.702
AGID00004	13	3661	Old	ACC_pS79	-0.26993
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.3886
AGID00408	2372	3658	Set173	AceCS1	-0.4848488
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.22495
AGID00404	2367	9189	Set173	ACSL1	0.6718014
AGID02144	2450	PA5-27081	Old	ACVRL1	0.3095
AGID00186	1198	ab88574	Old	ADAR1	0.78297
AGID00146	1084	4691	Old	AKT	-0.42054
AGID00028	230	9271	Old	AKT_pS473	0.075336
AGID00170	1154	2965	Old	AKT_pT308	-0.14204
AGID00316	1800	3063	Set173	Akt2	0.8937019
AGID00347	2009	8599	Set173	Akt2_pS474	0.4399321
AGID02215	2577	ab195377	Set173	ALKBH5	-0.6060807
AGID00498	924	CA1030	Old	ALPHACATENIN	0.0051308
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.1119766
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.2410072
AGID00006	39	2532	Old	AMPKALPHA	-0.22129
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.079106
AGID00193	1208	610066	Old	ANNEXIN1	-0.53213
AGID00166	1142	610668	Old	ANNEXINVII	0.29871
AGID00371	756	1852-1/ab52615	Old	AR	-0.352
AGID00194	1217	4432	Old	ARAF	-0.73312
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.57558
AGID00260	1053	sc-32761	Old	ARID1A	-0.28396
AGID00264	1560	HPA029318	Old	ASNS	-0.39454
AGID00276	1612	3415	Set173	Atg3	0.3150344
AGID00309	1775	13507	Set173	Atg4B	-0.1171421
AGID00310	1776	12994	Set173	Atg5	0.2033582
AGID00277	1613	8558	Set173	Atg7	-0.2736143
AGID00242	1363	2873	Old	ATM	-0.89531
AGID02142	2447	13050	Set173	ATM_pS1981	1.563724
AGID00217	1289	ab14748	Set173	ATP5A	5.058716
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.01333528
AGID02150	2456	13934	Set173	ATR	1.162885
AGID00315	1795	ab178407	Set173	ATR_pS428	0.1743109
AGID00268	1569	ab97508	Set173	ATRX	-0.6503234
AGID00391	2332	14475	Set173	Aurora-A	-0.9203954
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.3156209
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.03140472
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.5808636
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.2039924
AGID00301	1725	14058	Set173	B7-H3	-0.5750922
AGID00302	1726	14572	Set173	B7-H4	-0.09869529
AGID00008	63	9291	Old	BAD_pS112	0.053707
AGID00009	71	1542-1/ab32371	Old	BAK	0.58281
AGID00192	1207	sc-28383	Old	BAP1C4	-0.56125
AGID00010	73	2772	Old	BAX	-0.21561
AGID00433	80	M0887	Old	BCL2	0.6806
AGID00219	1299	PAB8528	Old	BCL2A1	-0.24707
AGID00012	84	1018-1	Old	BCLXL	0.13795
AGID00377	87	sc-10086	Old	BECLIN	0.1301
AGID00011	75	9562	Old	BETACATENIN	-0.14239
AGID00013	88	1008-1/ab32060	Old	BID	-0.1659
AGID00180	90	1036-1/ab32158	Old	BIM	-0.73662
AGID00221	1311	610978	Set173	BiP-GRP78	0.7472626
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	0.0196384
AGID00355	92	1647/ab33899	Old	BRAF	-1.261
AGID00014	94	2696	Old	BRAF_pS445	-0.056514
AGID00445	761	9012	Old	BRCA2	0.8391
AGID00266	1567	13440	Old	BRD4	-2.6541
AGID00168	1146	2865	Set173	c-Abl_pY412	0.216217
AGID00278	1615	3130	Set173	c-IAP2	-1.102654
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.47302
AGID00429	2407	2679	Set173	Calnexin	0.009572391
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.7545723
AGID00623	111	9665	Old	CASPASE3	-0.069676
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.35646
AGID00118	951	9746	Old	CASPASE8	0.4235
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.4872
AGID00358	2100	ab76000	Set173	CD134	0.3319531
AGID00303	1737	826701	Set173	CD171	2.164158
AGID00410	125	1632-1/ab78237	Old	CD20	0.46835
AGID00220	1308	ab28340	Old	CD26	-0.26908
AGID00191	1206	610467	Set173	CD29	0.0163489
AGID00017	127	M0823	Old	CD31	0.82362
AGID00369	2174	ab108403	Set173	CD38	0.1661421
AGID00359	2104	ab133616	Set173	CD4	-1.112709
AGID00411	1398	3570	Set173	CD44	1.183248
AGID00237	1352	M070101-2	Set173	CD45	0.1231024
AGID00115	937	611016	Old	CD49B	0.1538
AGID02171	2482	91882	Set173	CD86	2.290521
AGID00329	1873	4688	Set173	cdc25C	-0.1495353
AGID00227	1332	4651	Set173	Cdc42	0.2520676
AGID00422	2396	3387	Set173	Cdc6	0.2731724
AGID00501	1007	9112	Old	CDK1	0.94895
AGID00293	1658	ab32384	Set173	CDK1_pT14	-1.225104
AGID00314	1783	4539	Old	CDK1_pY15	0.38616
AGID00423	2397	8064	Set173	CDT1	-0.2573918
AGID02101	2348	15102	Set173	cGAS	0.3383258
AGID00447	2410	13460	Set173	CHD1L	-0.297393
AGID00189	1203	2360	Old	CHK1	0.3446
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.28165
AGID00107	903	2348	Old	CHK1_pS345	0.37248
AGID00018	146	3440	Old	CHK2	-0.45949
AGID00019	147	2197	Old	CHK2_pT68	0.49795
AGID00527	2078	4952	Old	CIAP	-0.06895
AGID00350	2018	3793	Set173	CIITA	0.384131
AGID00434	155	9164	Old	CJUN_pS73	0.23856
AGID00020	157	1522-1/ab32363	Old	CKIT	0.32936
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.62249
AGID00466	726	3127	Old	CMET	0.25175
AGID00079	727	3129	Old	CMET_pY1235	0.086645
AGID00167	161	9402	Old	CMYC	-0.61756
AGID00292	1656	11130-1-AP	Old	COG3	-0.24413
AGID00021	171	sc-20649	Old	COLLAGENVI	0.55763
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set173	Connexin-43	-2.216762
AGID00269	1571	6434	Set173	Coup-TFII	-0.3328817
AGID00150	1116	4850	Set173	Cox-IV	2.392132
AGID00195	1218	4842	Set173	Cox2	-0.07695926
AGID00188	803	05-739	Old	CRAF	-0.2679
AGID00022	179	9427	Old	CRAF_pS338	0.72937
AGID00023	181	9197	Set173	Creb	-0.2174279
AGID00393	2334	9198	Set173	CREB_pS133	-1.138373
AGID00365	2155	4980	Set173	CSK	0.161612
AGID00367	2160	9201	Set173	CtIP	-0.5968716
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set173	Cyclin-D3	0.8679618
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.4376
AGID00382	194	sc-718	Old	CYCLIND1	0.024875
AGID00437	199	sc-25303	Old	CYCLINE1	-0.17373
AGID00449	202	1142-1	Old	CYCLINE2	0.75627
AGID00209	1257	ab110324	Set173	Cyclophilin-F	1.381783
AGID00247	1379	ab48389	Set173	D-a-Tubulin	0.3003956
AGID00308	1770	GTX10524	Set173	DAPK1_pS308	0.9028992
AGID00304	1744	ab51601	Set173	DAPK2	0.3675873
AGID00343	1980	6998	Set173	DDB-1	0.2356157
AGID00427	2402	5583	Set173	DDR1	0.1186182
AGID00428	2403	SAB4504671	Set173	DDR1_pY513	0.7499753
AGID00532	1273	Bast Lab	Old	DIRAS3	0.51026
AGID00104	891	ab76008	Old	DJ1	0.018137
AGID02146	2452	4658	Set173	DM-Histone-H3	0.2228928
AGID00386	1397	ab32521	Set173	DM-K9-Histone-H3	-0.4524294
AGID00352	2030	14649	Set173	DNA-Ligase-IV	0.3007379
AGID00407	2371	13609	Set173	DNA_POLG	0.4850168
AGID00399	2344	5032	Set173	DNMT1	-0.9955158
AGID00409	2373	5391	Set173	DRP1	-0.6143394
AGID00253	1406	5149	Old	DUSP4	0.58549
AGID00334	1936	ab76310	Set173	DUSP6	0.377944
AGID00116	940	3218	Old	DVL3	-0.54716
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.002649
AGID00135	1060	2332	Old	EEF2	-0.64014
AGID00136	1061	3692	Old	EEF2K	-0.70096
AGID00152	1120	2232	Old	EGFR	-0.33207
AGID00450	217	2234	Old	EGFR_pY1068	0.79963
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.32223
AGID00078	722	9742	Old	EIF4E	-0.80973
AGID00328	1871	ab76256	Set173	eIF4E_pS209	-0.1009088
AGID00154	1124	2498	Old	EIF4G	-1.5719
AGID00027	228	9181	Set173	Elk1_pS383	4.034549
AGID00235	1350	M061329-2	Set173	EMA	-0.7920209
AGID00394	2337	3810	Set173	Enolase-1	-0.3647998
AGID00395	2338	8171	Set173	Enolase-2	-0.04282136
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set173	EphA2	0.1598084
AGID00552	2422	6347	Set173	EphA2_pS897	0.4361379
AGID00553	2423	12677	Set173	EphA2_pY588	-0.1224162
AGID00075	693	556347	Old	EPPK1	-1.9623
AGID00335	238	RM-9101	Old	ERALPHA	-0.76214
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.28001
AGID00240	247	MS-671	Old	ERCC1	0.64161
AGID00239	1355	11331-1-AP	Old	ERCC5	-1.2246
AGID00484	249	sc-154	Old	ERK2	-0.16571
AGID00372	2193	3552	Set173	Erk5	-0.3514076
AGID00405	2369	13826	Set173	ERRalpha	-0.0188287
AGID00187	1200	A303-501A	Old	ETS1	0.79769
AGID00511	2492	2593	Set173	EVI1	0.3107858
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set173	FAK	-0.4088289
AGID02151	2457	8556	Set173	FAK_pY397	0.3953826
AGID00171	1156	3180	Old	FASN	-1.8046
AGID00356	2085	500-P18/10775-082	Set173	FGF-basic	-4.49973
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	0.13424
AGID00339	1959	4403	Set173	FN14	0.02477468
AGID02152	2458	20459	Old	FOXM1	0.12462
