AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.363335
AGID00111	913	sc-23957	Old	1433EPSILON	-0.152458
AGID00101	883	sc-1019	Old	1433ZETA	-0.04802
AGID00001	2	9452	Old	4EBP1	-0.01833
AGID00002	3	9456	Old	4EBP1_pS65	-0.2872265
AGID00003	6	9459	Old	4EBP1_pT37T46	0.089564
AGID00443	8	9455	Old	4EBP1_pT70	0.160589
AGID00120	985	4937	Old	53BP1	-0.706635
AGID00004	13	3661	Old	ACC_pS79	0.646985
AGID00005	14	1768-1/ab45174	Old	ACC1	0.044765
AGID00408	2372	3658	Set172	AceCS1	0.4027078
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.34325
AGID00404	2367	9189	Set172	ACSL1	-0.07930735
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.2921265
AGID00186	1198	ab88574	Old	ADAR1	-0.37568
AGID00146	1084	4691	Old	AKT	0.149705
AGID00028	230	9271	Old	AKT_pS473	0.737685
AGID00170	1154	2965	Old	AKT_pT308	0.6987
AGID00316	1800	3063	Set172	Akt2	0.4370447
AGID00347	2009	8599	Set172	Akt2_pS474	0.2631511
AGID02215	2577	ab195377	Set172	ALKBH5	-0.3616529
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	-0.1952154
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	-0.206008
AGID00006	39	2532	Old	AMPKALPHA	-0.126512
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.5203708
AGID00193	1208	610066	Old	ANNEXIN1	1.5302
AGID00166	1142	610668	Old	ANNEXINVII	0.080086
AGID00371	756	1852-1/ab52615	Old	AR	-0.638315
AGID00194	1217	4432	Old	ARAF	-0.06026
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.457855
AGID00260	1053	sc-32761	Old	ARID1A	0.020806
AGID00264	1560	HPA029318	Old	ASNS	0.5277
AGID00276	1612	3415	Set172	Atg3	0.3897205
AGID00309	1775	13507	Set172	Atg4B	-0.1738269
AGID00310	1776	12994	Set172	Atg5	0.156122
AGID00277	1613	8558	Set172	Atg7	0.3121754
