AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.008502
AGID00111	913	sc-23957	Old	1433EPSILON	0.21122
AGID00101	883	sc-1019	Old	1433ZETA	0.1056
AGID00001	2	9452	Old	4EBP1	0.68883
AGID00002	3	9456	Old	4EBP1_pS65	-0.26476
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.52601
AGID00443	8	9455	Old	4EBP1_pT70	-0.17785
AGID00120	985	4937	Old	53BP1	-0.69536
AGID00004	13	3661	Old	ACC_pS79	0.19842
AGID00005	14	1768-1/ab45174	Old	ACC1	0.52996
AGID00408	2372	3658	Set173	AceCS1	-0.6963844
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.0094
AGID00404	2367	9189	Set173	ACSL1	-0.314651
AGID02144	2450	PA5-27081	Old	ACVRL1	0.089949
AGID00186	1198	ab88574	Old	ADAR1	0.17577
AGID00146	1084	4691	Old	AKT	-0.11933
AGID00028	230	9271	Old	AKT_pS473	-0.85676
AGID00170	1154	2965	Old	AKT_pT308	-0.77773
AGID00316	1800	3063	Set173	Akt2	0.2194779
AGID00347	2009	8599	Set173	Akt2_pS474	0.401285
AGID02215	2577	ab195377	Set173	ALKBH5	-0.6583499
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.1382149
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	-0.1254773
AGID00006	39	2532	Old	AMPKALPHA	-0.14146
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.3378
AGID00193	1208	610066	Old	ANNEXIN1	1.146
AGID00166	1142	610668	Old	ANNEXINVII	0.058366
AGID00371	756	1852-1/ab52615	Old	AR	-0.29319
AGID00194	1217	4432	Old	ARAF	0.2881
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.12915
AGID00260	1053	sc-32761	Old	ARID1A	0.22651
AGID00264	1560	HPA029318	Old	ASNS	0.52297
AGID00276	1612	3415	Set173	Atg3	0.3780348
AGID00309	1775	13507	Set173	Atg4B	-0.4526438
AGID00310	1776	12994	Set173	Atg5	-1.179825
AGID00277	1613	8558	Set173	Atg7	0.1865613
AGID00242	1363	2873	Old	ATM	-0.37538
AGID02142	2447	13050	Set173	ATM_pS1981	1.592195
AGID00217	1289	ab14748	Set173	ATP5A	1.301775
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.3168885
AGID02150	2456	13934	Set173	ATR	0.1290546
AGID00315	1795	ab178407	Set173	ATR_pS428	0.3134393
AGID00268	1569	ab97508	Set173	ATRX	-0.7184089
AGID00391	2332	14475	Set173	Aurora-A	0.107003
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.485492
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.9941178
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	0.2384728
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.2006344
AGID00301	1725	14058	Set173	B7-H3	-0.3002625
AGID00302	1726	14572	Set173	B7-H4	-0.2223069
AGID00008	63	9291	Old	BAD_pS112	-0.020761
AGID00009	71	1542-1/ab32371	Old	BAK	-0.33594
AGID00192	1207	sc-28383	Old	BAP1C4	-0.028564
AGID00010	73	2772	Old	BAX	0.15077
AGID00433	80	M0887	Old	BCL2	-0.29206
AGID00219	1299	PAB8528	Old	BCL2A1	0.14656
AGID00012	84	1018-1	Old	BCLXL	-0.376
AGID00377	87	sc-10086	Old	BECLIN	0.082229
AGID00011	75	9562	Old	BETACATENIN	-0.24891
AGID00013	88	1008-1/ab32060	Old	BID	-0.0084043
AGID00180	90	1036-1/ab32158	Old	BIM	0.8095
AGID00221	1311	610978	Set173	BiP-GRP78	0.0618831
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.1262661
AGID00355	92	1647/ab33899	Old	BRAF	-0.12194
AGID00014	94	2696	Old	BRAF_pS445	0.016086
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.072414
AGID00168	1146	2865	Set173	c-Abl_pY412	0.003118595
AGID00278	1615	3130	Set173	c-IAP2	-1.215323
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.41574
AGID00429	2407	2679	Set173	Calnexin	-0.6212286
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.626072
AGID00623	111	9665	Old	CASPASE3	0.14377
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	1.3848
AGID00118	951	9746	Old	CASPASE8	0.17957
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.3784
AGID00358	2100	ab76000	Set173	CD134	-0.1111546
AGID00303	1737	826701	Set173	CD171	1.51156
AGID00410	125	1632-1/ab78237	Old	CD20	-0.25451
AGID00220	1308	ab28340	Old	CD26	0.094299
AGID00191	1206	610467	Set173	CD29	0.07432179
AGID00017	127	M0823	Old	CD31	0.29315
AGID00369	2174	ab108403	Set173	CD38	0.1178162
AGID00359	2104	ab133616	Set173	CD4	0.2491855
AGID00411	1398	3570	Set173	CD44	0.3696897
AGID00237	1352	M070101-2	Set173	CD45	0.6641499
AGID00115	937	611016	Old	CD49B	0.84914
AGID02171	2482	91882	Set173	CD86	2.458072
AGID00329	1873	4688	Set173	cdc25C	-0.1522659
AGID00227	1332	4651	Set173	Cdc42	0.5072092
AGID00422	2396	3387	Set173	Cdc6	-0.04656404
AGID00501	1007	9112	Old	CDK1	-0.015434
AGID00293	1658	ab32384	Set173	CDK1_pT14	0.5445914
AGID00314	1783	4539	Old	CDK1_pY15	0.094596
AGID00423	2397	8064	Set173	CDT1	0.1533459
AGID02101	2348	15102	Set173	cGAS	0.3593171
AGID00447	2410	13460	Set173	CHD1L	0.1248733
AGID00189	1203	2360	Old	CHK1	0.84828
AGID00234	1348	ab79758	Old	CHK1_pS296	0.17892
AGID00107	903	2348	Old	CHK1_pS345	0.11451
AGID00018	146	3440	Old	CHK2	-0.057585
AGID00019	147	2197	Old	CHK2_pT68	0.1232
AGID00527	2078	4952	Old	CIAP	1.1569
AGID00350	2018	3793	Set173	CIITA	0.3423589
AGID00434	155	9164	Old	CJUN_pS73	0.073405
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.45415
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.30804
AGID00466	726	3127	Old	CMET	0.17042
AGID00079	727	3129	Old	CMET_pY1235	-0.014849
AGID00167	161	9402	Old	CMYC	0.13987
AGID00292	1656	11130-1-AP	Old	COG3	-0.14955
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.1883
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set173	Connexin-43	0.2211455
AGID00269	1571	6434	Set173	Coup-TFII	-0.4354966
AGID00150	1116	4850	Set173	Cox-IV	-0.2282371
AGID00195	1218	4842	Set173	Cox2	0.3029334
AGID00188	803	05-739	Old	CRAF	-0.19107
AGID00022	179	9427	Old	CRAF_pS338	-0.10741
AGID00023	181	9197	Set173	Creb	-0.1241087
AGID00393	2334	9198	Set173	CREB_pS133	-0.9440597
AGID00365	2155	4980	Set173	CSK	1.059107
AGID00367	2160	9201	Set173	CtIP	-0.7640433
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set173	Cyclin-D3	0.3695363
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.7601
AGID00382	194	sc-718	Old	CYCLIND1	-0.090949
AGID00437	199	sc-25303	Old	CYCLINE1	0.57824
AGID00449	202	1142-1	Old	CYCLINE2	-0.29634
AGID00209	1257	ab110324	Set173	Cyclophilin-F	0.1048028
AGID00247	1379	ab48389	Set173	D-a-Tubulin	0.7219584
AGID00308	1770	GTX10524	Set173	DAPK1_pS308	1.489009
AGID00304	1744	ab51601	Set173	DAPK2	-0.01964945
AGID00343	1980	6998	Set173	DDB-1	-0.1850856
AGID00427	2402	5583	Set173	DDR1	0.3404358
AGID00428	2403	SAB4504671	Set173	DDR1_pY513	0.2975544
AGID00532	1273	Bast Lab	Old	DIRAS3	0.020516
AGID00104	891	ab76008	Old	DJ1	-0.2983
AGID02146	2452	4658	Set173	DM-Histone-H3	-0.1310671
AGID00386	1397	ab32521	Set173	DM-K9-Histone-H3	-0.4422651
AGID00352	2030	14649	Set173	DNA-Ligase-IV	-0.1064977
AGID00407	2371	13609	Set173	DNA_POLG	-0.1991445
AGID00399	2344	5032	Set173	DNMT1	0.2706984
AGID00409	2373	5391	Set173	DRP1	-0.069769
