AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.08425
AGID00111	913	sc-23957	Old	1433EPSILON	0.062659
AGID00101	883	sc-1019	Old	1433ZETA	0.5719
AGID00001	2	9452	Old	4EBP1	0.2421
AGID00002	3	9456	Old	4EBP1_pS65	-0.14703
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.16649
AGID00443	8	9455	Old	4EBP1_pT70	-0.16855
AGID00120	985	4937	Old	53BP1	-0.88184
AGID00004	13	3661	Old	ACC_pS79	0.061079
AGID00005	14	1768-1/ab45174	Old	ACC1	0.63868
AGID00408	2372	3658	Set163	AceCS1	-0.4102554
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.4708
AGID00404	2367	9189	Set163	ACSL1	0.2335451
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.031146
AGID00186	1198	ab88574	Old	ADAR1	-0.028277
AGID00146	1084	4691	Old	AKT	-0.60258
AGID00028	230	9271	Old	AKT_pS473	-0.46828
AGID00170	1154	2965	Old	AKT_pT308	-0.3931
AGID00316	1800	3063	Set163	Akt2	-0.1163099
AGID00347	2009	8599	Set163	Akt2_pS474	-0.1886554
AGID02215	2577	ab195377	Set163	ALKBH5	0.1536299
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.06904071
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.16878
AGID00006	39	2532	Old	AMPKALPHA	-0.36602
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.021907
AGID00193	1208	610066	Old	ANNEXIN1	0.024314
AGID00166	1142	610668	Old	ANNEXINVII	0.14764
AGID00371	756	1852-1/ab52615	Old	AR	1.6924
AGID00194	1217	4432	Old	ARAF	0.43395
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.21727
AGID00260	1053	sc-32761	Old	ARID1A	0.0064968
AGID00264	1560	HPA029318	Old	ASNS	-0.063905
AGID00276	1612	3415	Set163	Atg3	-0.3767549
AGID00309	1775	13507	Set163	Atg4B	-0.08593539
AGID00310	1776	12994	Set163	Atg5	0.002505039
AGID00277	1613	8558	Set163	Atg7	-0.2755449
AGID00242	1363	2873	Old	ATM	-0.24344
AGID02142	2447	13050	Set163	ATM_pS1981	0.01779999
AGID00217	1289	ab14748	Set163	ATP5A	0.3151145
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.1048199
AGID02150	2456	13934	Set163	ATR	-0.0325379
AGID00315	1795	ab178407	Set163	ATR_pS428	0.2876589
AGID00268	1569	ab97508	Set163	ATRX	-1.176608
AGID00391	2332	14475	Set163	Aurora-A	0.08134513
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.1424351
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.1720412
AGID00215	1271	8661	Old	AXL	0.24096
AGID02143	2449	8457	Set163	b-Actin	0.1151949
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.1405401
AGID00301	1725	14058	Set163	B7-H3	-0.2884858
AGID00302	1726	14572	Set163	B7-H4	-0.1177402
AGID00008	63	9291	Old	BAD_pS112	-0.10659
AGID00009	71	1542-1/ab32371	Old	BAK	-0.35295
AGID00192	1207	sc-28383	Old	BAP1C4	-0.25239
AGID00010	73	2772	Old	BAX	-0.0078785
AGID00433	80	M0887	Old	BCL2	0.96989
AGID00219	1299	PAB8528	Old	BCL2A1	0.19501
AGID00012	84	1018-1	Old	BCLXL	-0.19133
AGID00377	87	sc-10086	Old	BECLIN	0.159
AGID00011	75	9562	Old	BETACATENIN	-0.71226
AGID00013	88	1008-1/ab32060	Old	BID	0.16756
AGID00180	90	1036-1/ab32158	Old	BIM	0.50449
AGID00221	1311	610978	Set163	BiP-GRP78	-0.1178704
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.02933516
AGID00355	92	1647/ab33899	Old	BRAF	-0.3595
AGID00014	94	2696	Old	BRAF_pS445	0.2781
AGID00445	761	9012	Old	BRCA2	0.31545
AGID00266	1567	13440	Old	BRD4	-0.65307
AGID00168	1146	2865	Set163	c-Abl_pY412	0.0742444
AGID00278	1615	3130	Set163	c-IAP2	0.14291
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.088374
AGID00429	2407	2679	Set163	Calnexin	-0.08413512
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.12518
AGID00623	111	9665	Old	CASPASE3	-0.030011
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.55882
AGID00118	951	9746	Old	CASPASE8	-0.033293
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.50467
AGID00358	2100	ab76000	Set163	CD134	0.1924937
AGID00303	1737	826701	Set163	CD171	0.2486151
AGID00410	125	1632-1/ab78237	Old	CD20	-0.17512
AGID00220	1308	ab28340	Old	CD26	0.22783
AGID00191	1206	610467	Set163	CD29	-0.01414522
AGID00017	127	M0823	Old	CD31	0.3559
AGID00369	2174	ab108403	Set163	CD38	0.2750351
AGID00359	2104	ab133616	Set163	CD4	0.8471439
AGID00411	1398	3570	Set163	CD44	0.13835
AGID00237	1352	M070101-2	Set163	CD45	0.640125
AGID00115	937	611016	Old	CD49B	0.2218
AGID02171	2482	91882	Set163	CD86	-0.1334149
AGID00329	1873	4688	Set163	cdc25C	0.1947101
AGID00227	1332	4651	Set163	Cdc42	0.1020849
AGID00422	2396	3387	Set163	Cdc6	-0.06192498
AGID00501	1007	9112	Old	CDK1	0.053892
AGID00293	1658	ab32384	Set163	CDK1_pT14	0.1353351
AGID00314	1783	4539	Old	CDK1_pY15	0.35401
AGID00423	2397	8064	Set163	CDT1	0.2803897
AGID02101	2348	15102	Set163	cGAS	-0.09919487
AGID00447	2410	13460	Set163	CHD1L	-0.5666567
AGID00189	1203	2360	Old	CHK1	0.23164
AGID00234	1348	ab79758	Old	CHK1_pS296	0.19452
AGID00107	903	2348	Old	CHK1_pS345	0.21864
AGID00018	146	3440	Old	CHK2	-0.34748
AGID00019	147	2197	Old	CHK2_pT68	0.3086
AGID00527	2078	4952	Old	CIAP	-0.18964
AGID00350	2018	3793	Set163	CIITA	0.05105513
AGID00434	155	9164	Old	CJUN_pS73	0.24825
AGID00020	157	1522-1/ab32363	Old	CKIT	0.79091
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.5537
AGID00466	726	3127	Old	CMET	0.056566
AGID00079	727	3129	Old	CMET_pY1235	0.11013
AGID00167	161	9402	Old	CMYC	-0.029678
AGID00292	1656	11130-1-AP	Old	COG3	-0.11756
AGID00021	171	sc-20649	Old	COLLAGENVI	0.86469
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	0.2499849
AGID00269	1571	6434	Set163	Coup-TFII	0.09524513
AGID00150	1116	4850	Set163	Cox-IV	0.1395845
AGID00195	1218	4842	Set163	Cox2	0.004015137
AGID00188	803	05-739	Old	CRAF	-0.12796
AGID00022	179	9427	Old	CRAF_pS338	0.2202
AGID00023	181	9197	Set163	Creb	0.189964
AGID00393	2334	9198	Set163	CREB_pS133	-0.03735273
AGID00365	2155	4980	Set163	CSK	-0.1948549
AGID00367	2160	9201	Set163	CtIP	0.0105698
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set163	Cyclin-D3	0.118735
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.22433
AGID00382	194	sc-718	Old	CYCLIND1	0.28963
AGID00437	199	sc-25303	Old	CYCLINE1	-0.77944
AGID00449	202	1142-1	Old	CYCLINE2	-0.20452
AGID00209	1257	ab110324	Set163	Cyclophilin-F	0.6720848
AGID00247	1379	ab48389	Set163	D-a-Tubulin	0.05609013
AGID00308	1770	GTX10524	Set163	DAPK1_pS308	-0.1258249
AGID00304	1744	ab51601	Set163	DAPK2	0.004539909
AGID00343	1980	6998	Set163	DDB-1	-0.1636149
AGID00427	2402	5583	Set163	DDR1	-0.07939064
AGID00428	2403	SAB4504671	Set163	DDR1_pY513	0.1578051
AGID00532	1273	Bast Lab	Old	DIRAS3	0.05679
AGID00104	891	ab76008	Old	DJ1	0.14765
AGID02146	2452	4658	Set163	DM-Histone-H3	0.1879697
AGID00386	1397	ab32521	Set163	DM-K9-Histone-H3	0.0694001
AGID00352	2030	14649	Set163	DNA-Ligase-IV	-0.7603401
AGID00407	2371	13609	Set163	DNA_POLG	-0.3899549
AGID00399	2344	5032	Set163	DNMT1	-0.073545
AGID00409	2373	5391	Set163	DRP1	-0.3294964
AGID00253	1406	5149	Old	DUSP4	0.48534
AGID00334	1936	ab76310	Set163	DUSP6	-0.2612152
AGID00116	940	3218	Old	DVL3	-0.13283
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-0.31958
AGID00135	1060	2332	Old	EEF2	-0.60089
AGID00136	1061	3692	Old	EEF2K	-0.66207
AGID00152	1120	2232	Old	EGFR	-0.39459
AGID00450	217	2234	Old	EGFR_pY1068	0.50765
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.093723
AGID00078	722	9742	Old	EIF4E	0.28202
AGID00328	1871	ab76256	Set163	eIF4E_pS209	0.08756481
AGID00154	1124	2498	Old	EIF4G	-0.087874
AGID00027	228	9181	Set163	Elk1_pS383	0.002960135
AGID00235	1350	M061329-2	Set163	EMA	1.583585
AGID00394	2337	3810	Set163	Enolase-1	0.2267899
AGID00395	2338	8171	Set163	Enolase-2	-0.2237099
AGID00196	1219	GTX629542	Old	ENY2	-0.26769
AGID00438	1849	A302-024A	Set163	EphA2	-0.2040349
AGID00552	2422	6347	Set163	EphA2_pS897	-0.3199749
AGID00553	2423	12677	Set163	EphA2_pY588	0.07299664
AGID00075	693	556347	Old	EPPK1	0.67464
AGID00335	238	RM-9101	Old	ERALPHA	1.2128
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.41708
AGID00240	247	MS-671	Old	ERCC1	-0.099798
AGID00239	1355	11331-1-AP	Old	ERCC5	0.017203
AGID00484	249	sc-154	Old	ERK2	-1.0301
AGID00372	2193	3552	Set163	Erk5	-0.1598849
AGID00405	2369	13826	Set163	ERRalpha	-0.50811
AGID00187	1200	A303-501A	Old	ETS1	-0.65667
AGID00511	2492	2593	Set163	EVI1	-0.02908047
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set163	FAK	-0.5319149
AGID02151	2457	8556	Set163	FAK_pY397	-0.1919815
AGID00171	1156	3180	Old	FASN	2.6327
AGID00356	2085	500-P18/10775-082	Set163	FGF-basic	0.5018201
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	1.9215
AGID00339	1959	4403	Set163	FN14	0.02180014
AGID02152	2458	20459	Old	FOXM1	-0.22746
AGID00378	269	9467	Old	FOXO3A	0.25207
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.18774
AGID02167	2475	PA5-64616	Set163	FRS2-alpha_pY196	0.07184514
AGID02213	2575	ab124892	Set163	FTO	0.01642514
AGID02141	2446	12263	Old	G6PD	-0.12981
AGID00117	943	3239	Old	GAB2	-0.59777
AGID00412	274	AM4300	Old	GAPDH	-0.93219
AGID00086	764	558686	Old	GATA3	1.6278
AGID00383	1578	4253	Old	GATA6	0.32669
AGID00289	1634	12601-1-AP	Set163	GCLC	-0.4705699
AGID00305	1745	ab124827	Set163	GCLM	0.08315513
AGID00212	1263	3305	Old	GCN5L2	-0.25032
AGID00270	1579	3538	Set163	Gli1	0.1561447
AGID00263	1520	ab69838	Set163	Gli3	-0.323176
AGID00548	2530	3660	Set163	Glucocorticoid-Receptor	-0.4155699
AGID00387	1617	12793	Set163	Glutamate-D1-2	0.127554
AGID00262	1491	ab156876	Set163	Glutaminase	-0.1131749
AGID00319	1807	4275	Set163	Granzyme-B	-0.34069
AGID00368	2169	ab183737	Set163	GRB7	-0.03301564
AGID00396	2339	3593	Set163	Grp75	-0.3592499
AGID00174	1163	9315	Set163	GSK-3B	-0.4034357
AGID00502	1082	9336	Old	GSK3_pS9	-1.2472
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.072278
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	-0.74847
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set163	H2AX_pS139	0.06992509
AGID00363	1409	MA1-2022	Set163	H2AX_pS140	0.2026901
AGID00131	1038	MS-325-P1	Old	HER2	0.91903
AGID00142	299	06-229	Old	HER2_pY1248	0.71581
AGID00110	911	sc-285	Old	HER3	-0.34122
AGID00080	728	4791	Old	HER3_pY1289	0.046365
AGID00103	890	2573	Old	HEREGULIN	-0.1606
AGID00271	1582	11988	Set163	HES1	0.3890149
AGID00397	2340	2024	Set163	Hexokinase-I	-0.1598351
AGID00442	1023	2867	Set163	Hexokinase-II	-1.122636
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set163	Histone-H3	0.645855
AGID00398	2341	3377	Set163	Histone-H3_pS10	0.11179
AGID00332	1901	ab128959	Set163	HLA-DQA1	0.6562938
AGID00333	1902	14832-1-AP	Set163	HMHA1	-0.7590154
AGID00035	321	2402	Set163	HSP27	0.1095801
AGID00036	323	2401	Set163	HSP27_pS82	0.5238851
AGID00320	1808	12165	Set163	HSP60	0.1294399
AGID00037	325	4872	Old	HSP70	2.2796
AGID00366	2158	86630	Set163	IDO	1.29012
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.26036
AGID00038	335	3922	Old	IGFBP2	-0.81481
AGID00090	793	611504	Set163	IGFBP3	0.2274548
AGID00039	336	3027	Set163	IGFRb	-0.2370349
AGID00336	1949	12153	Set163	IL-6	0.1389298
AGID02221	2583	57145	Set163	IMP3	-0.01369501
AGID02153	2459	14543	Old	INPP4B	0.47503
AGID00272	1586	3025	Set163	IR-b	-0.2018649
AGID00519	2519	4302	Set163	IRF-3	0.2720704
AGID00520	2520	4947	Set163	IRF-3_pS396	0.0682446
AGID00223	1316	sc-497	Old	IRF1	-0.22158
AGID00092	802	06-248	Old	IRS1	-0.020542
AGID00040	371	4502	Set163	IRS2	-0.4645453
AGID00250	1394	sc-13157	Old	JAB1	0.003169
AGID00256	1413	ab109536	Set163	Jagged1	-0.01888934
AGID00177	1166	3230	Old	JAK2	-0.28657
AGID00758	377	4671	Old	JNK_pT183Y185	0.46569
AGID02136	2439	PA5-28262	Old	JNK2	-0.20674
AGID00307	1757	ab10484	Set163	KAP1	0.5218296
AGID00528	904	2180	Old	KU80	-0.82882
AGID00375	2237	HPA028732	Set163	LAD1	0.3121101
AGID00290	1643	IHC-00439	Set163	Lasu1	-0.8977099
AGID00279	1618	4108	Set163	LC3A-B	0.1395299
AGID00042	397	2752	Old	LCK	0.46805
AGID00119	976	3582	Old	LDHA	NA
AGID00533	977	ab85319	Old	LDHB	NA
AGID00529	1477	3050	Old	LKB1	0.070527
AGID00244	1367	2568	Set163	LRP6_pS1490	-0.1005199
AGID00439	2424	2796	Set163	Lyn	0.2172201
AGID02154	2460	4370	Old	MAPK_pT202Y204	0.92662
AGID00198	1222	5453	Set163	Mcl-1	-0.1337359
AGID00288	1633	AB3314P	Set163	MCT4	-0.237265
AGID00175	1164	3521	Set163	MDM2_pS166	-0.3757299
AGID00044	417	1235-1/ab32576	Old	MEK1	-0.0095421
AGID00143	1076	9154	Old	MEK1_pS217S221	6.1745e-05
AGID00201	1243	9125	Set163	MEK2	-0.07561534
AGID00361	2118	ab51061	Set163	MelanA	-0.02293989
AGID00362	2119	ab137078	Set163	Melanoma-gp100	0.198995
AGID00337	1951	12711	Set163	MERIT40	-0.3041905
AGID00338	1952	12110	Set163	MERIT40_pS29	0.04923514
AGID02212	2574	ab195352	Set163	METTL3	-0.6573949
AGID00225	1323	sc-20121	Set163	MIF	-0.007314862
AGID00137	1062	WH0054206M1	Old	MIG6	-0.13669
AGID00403	2117	ab20663	Set163	MITF	0.08561975
AGID00503	1067	ab3298	Old	MITOCHONDRIA	NA
AGID00321	1809	14739	Set163	Mitofusin-1	0.1915763
AGID00322	1810	11925	Set163	Mitofusin-2	0.313335
AGID00389	2324	3515	Set163	MLH1	0.116415
AGID00312	1780	14993	Set163	MLKL	0.263645
AGID00402	2359	MAB3328	Set163	MMP14	-0.8996949
AGID00045	435	4022	Set163	MMP2	0.4417023
AGID00122	1005	2195	Set163	Mnk1	-0.3191461
AGID00331	1899	sc-377312	Set163	MR1	-0.06174005
AGID00273	1589	ab103319	Set163	MRAP	0.03706514
AGID00530	440	4847	Old	MRE11	0.35252
AGID00390	905	2850	Old	MSH2	-0.089085
AGID00138	1063	22030002	Old	MSH6	-0.60737
AGID00299	1675	ab76148	Set163	MSI2	-0.04106986
AGID00232	1344	ab14705	Set163	MTCO1	-1.825457
AGID00046	444	2983	Old	MTOR	-0.29578
AGID00047	446	2971	Old	MTOR_pS2448	0.11513
AGID00204	1247	H00009788-M01A	Set163	MTSS1	0.12852
AGID00401	1139	21370002	Old	MYH11	2.0264
AGID00291	1647	3403	Old	MYOSINIIA	0.36038
AGID00173	1160	5026	Old	MYOSINIIA_pS1943	0.30913
AGID00318	1803	4282	Set163	Myt1	0.1408349
AGID00216	1274	5795-1/ab129189	Old	NAPSINA	NA
AGID00418	452	4061	Old	NCADHERIN	0.51769
AGID00156	1126	3217	Old	NDRG1_pT346	0.22288
AGID02133	2436	PA5-45913	Set163	NDUFB4	0.1420851
AGID00134	1046	22710002	Old	NF2	-0.25241
AGID00048	457	3033	Old	NFKBP65_pS536	0.16128
AGID02155	2461	3608	Old	NOTCH1	-0.10445
AGID00340	1969	4147	Set163	Notch1-cleaved	0.03160989
AGID00087	767	sc-5593	Set163	Notch3	0.04269511
AGID00258	1420	3187	Set163	NQO1	-0.34102
AGID00162	1136	sc-31	Old	NRAS	0.01668
AGID00257	1419	12721	Old	NRF2	NA
AGID00297	1669	2750	Set163	Oct-4	0.1274401
AGID00420	466	1712-1/ab40803	Old	P16INK4A	0.01192
AGID00384	470	sc-6246	Old	P21	0.10272
AGID00105	897	1591-1/ab32034	Old	P27	0.62706
AGID00096	842	AF1555	Old	P27_pT157	0.14292
AGID00099	878	ab64949	Old	P27_pT198	0.0058019
AGID00181	1175	9228	Set163	p38-a	0.142384
AGID00098	479	9211	Old	P38_pT180Y182	0.32146
AGID00049	478	9212	Old	P38MAPK	0.26451
AGID00151	1119	4695	Set163	p44-42-MAPK	-0.8220499
AGID00050	481	9282	Old	P53	0.053394
AGID00490	1187	610833	Old	P62LCKLIGAND	0.90429
AGID00545	1415	ab53039	Old	P63	NA
AGID00052	494	9205	Old	P70S6K_pT389	0.068589
AGID00051	493	1494-1/ab32529	Old	P70S6K1	-0.19369
AGID00085	759	9347	Old	P90RSK	-0.26719
AGID00531	770	9344	Old	P90RSK_pT359S363	0.1642
AGID00182	1178	9346	Set163	p90RSK_pT573	0.342375
AGID00053	499	612024	Old	PAI1	0.36696
AGID00224	1322	HPA035895	Set163	PAICS	0.2709951
AGID00323	1811	2602	Set163	PAK1	0.08160471
AGID02199	2517	PA5-69540	Set163	PAK4	-0.18089
AGID00245	1370	4336-BPC-100	Set163	PAR	-1.083355
AGID00374	2209	66564	Set163	PARG	-0.1961851
AGID00370	1372	sc-7150	Old	PARP1	0.22124
AGID00468	501	9546	Old	PARPCLEAVED	0.01311
AGID00274	1591	ab53715	Set163	Patched	0.0621251
AGID00513	2486	60433	Set163	PAX6	-0.09492496
AGID00441	1621	9857	Set163	PAX8	-0.4253312
AGID00054	504	2542	Old	PAXILLIN	-0.79053
AGID00055	509	2130	Old	PCADHERIN	0.056643
AGID00248	511	ab29	Old	PCNA	-0.15135
AGID00413	2095	43248	Old	PDCD1	NA
AGID00094	816	600-401-965	Old	PDCD4	0.31669
AGID00385	1225	3169	Set163	PDGFRB	0.4239701
AGID00210	1258	ab110332	Set163	PDH	0.006738981
AGID00324	1817	3205	Set163	PDHA1	0.1698495
AGID00280	1622	3820	Set163	PDHK1	-0.04860487
AGID00056	515	3062	Old	PDK1	0.26853
AGID00057	516	3061	Old	PDK1_pS241	0.1262
AGID00300	1234	sc-19090	Old	PDL1	0.24096
AGID00124	1017	2780	Old	PEA15	0.027399
AGID00125	1018	44-836G	Old	PEA15_pS116	-0.23132
AGID00440	2429	3192	Set163	PERK	-0.3365255
AGID02207	2569	ab192876	Set163	PGM1	-0.3145755
AGID00281	1623	13428	Set163	PHGDH	-0.09962549
AGID00425	2399	22789-1-AP	Set163	PHLPP	0.02943514
AGID00226	1330	sc-376412	Set163	PI3K-p110-b	-0.002244873
AGID00093	808	4255	Old	PI3KP110ALPHA	-0.14711
AGID00058	523	06-195	Old	PI3KP85	-0.14532
AGID00296	1667	5675	Set163	PKA-a	0.01645
AGID00259	1426	9375	Set163	PKC-a-b-II_pT638_T641	-0.2863549
AGID00172	529	05-154	Old	PKCALPHA	-0.79865
AGID00460	530	06-822	Old	PKCALPHA_pS657	-0.27103
AGID00114	932	07-875	Old	PKCDELTA_pS664	-0.080311
AGID00163	1137	9371	Old	PKCPANBETAII_pS660	-0.74779
AGID00126	1025	4053	Old	PKM2	NA
AGID00512	2489	5690	Set163	PLC-gamma1	-1.386016
AGID02138	2441	GTX133463	Set163	PLC-gamma2_pY759	-0.02889003
AGID00084	754	4513	Set163	PLK1	-0.01084493
AGID00203	1246	22510002	Set163	PMS2	-0.3468249
AGID00207	1254	ab14734	Set163	Porin	-0.1250949
AGID00381	549	1483-1/ab32085	Old	PR	0.20262
AGID00081	738	AHO1031	Set163	PRAS40	0.05321514
AGID00082	739	44-1100G	Old	PRAS40_pT246	0.020963
AGID00424	2398	OAAF05458	Set163	PRC1_pT481	-0.1829449
AGID00492	1205	HPA007730	Old	PRDX1	0.002044
AGID00190	1204	ab102739	Old	PREX1	1.2824
AGID00061	566	9552	Old	PTEN	-0.1476
AGID00364	2154	ab76942	Set163	PTPN12	-0.434235
AGID00218	1290	4976	Set163	Puma	0.03013014
AGID00200	1242	SAB2900066	Old	PYGB	NA
AGID00535	1494	ab61013	Old	PYGL	NA
AGID00202	1245	H00005837-M10	Old	PYGM	NA
AGID00275	1607	3291	Set163	Pyk2_pY402	-0.07881044
AGID00145	1083	3539	Old	RAB11	0.06614
AGID00169	1150	4314	Old	RAB25	0.17101
AGID00342	1979	24555	Set163	Rad23A	-0.004599945
AGID00261	987	05-525	Old	RAD50	-0.4219
AGID00360	579	NA71	Old	RAD51	-0.19943
AGID00158	1128	2280	Old	RAPTOR	-0.31064
AGID00059	552	9309	Old	RB	-0.024228
AGID00060	557	9308	Old	RB_pS807S811	-0.13985
AGID00164	1138	21390002	Old	RBM15	-1.4079
AGID00547	735	3221	Old	RET_pY905	NA
AGID00097	847	MAB3426	Set163	Rheb	0.05739505
AGID00159	1129	2114	Old	RICTOR	-0.42653
AGID00160	1130	3806	Old	RICTOR_pT1135	0.2965
AGID00282	1624	4926	Set163	RIP	-0.2468799
AGID00283	1625	13526	Set163	RIP3	0.06484439
AGID00416	1368	2208	Set163	RPA32	0.1339501
AGID00246	1375	A300-245A	Set163	RPA32_pS4_S8	-0.06758596
AGID00341	1978	3388	Set163	RRM1	0.1416699
AGID00344	1981	PA5-27856	Set163	RRM2	0.3035985
AGID00554	2425	8408	Set163	RSK1	-0.7597027
AGID00353	2031	13018	Set163	S100A4	0.1886601
AGID00330	1874	2317	Old	S6	-1.1803
AGID00062	600	2211	Old	S6_pS235S236	-0.24886
AGID00063	601	2215	Old	S6_pS240S244	-0.48643
AGID00157	1127	sc-58420	Old	SCD1	0.19759
AGID00230	1339	11998	Set163	SDHA	-0.3323249
AGID00294	1039	ab69836	Old	SETD2	0.16522
AGID00161	1131	32-4500	Old	SF2	-0.082793
AGID02179	2495	3534	Set163	SFRP1	0.1948991
AGID00431	2411	12103	Set163	SGK1	-0.007135602
AGID00430	2409	8156	Set163	SGK3	-0.4042199
AGID02168	2476	bs-3413R	Old	SHC_pY317	0.1644
AGID00376	2241	3397	Set163	SHP2	-0.02493512
AGID00183	1180	3751	Old	SHP2_pY542	0.027905
AGID02208	2570	ab8120	Set163	SIRP-alpha	-0.9756405
