AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.21093
AGID00111	913	sc-23957	Old	1433EPSILON	0.13918
AGID00101	883	sc-1019	Old	1433ZETA	-0.39634
AGID00001	2	9452	Old	4EBP1	-1.2034
AGID00002	3	9456	Old	4EBP1_pS65	-0.27953
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.29125
AGID00443	8	9455	Old	4EBP1_pT70	-0.37185
AGID00120	985	4937	Old	53BP1	0.33082
AGID00004	13	3661	Old	ACC_pS79	-1.4595
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.4507
AGID00408	2372	3658	Set173	AceCS1	-0.6962214
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.39683
AGID00404	2367	9189	Set173	ACSL1	-0.5524121
AGID02144	2450	PA5-27081	Old	ACVRL1	0.090377
AGID00186	1198	ab88574	Old	ADAR1	-0.24467
AGID00146	1084	4691	Old	AKT	0.41053
AGID00028	230	9271	Old	AKT_pS473	-0.3577
AGID00170	1154	2965	Old	AKT_pT308	-0.47996
AGID00316	1800	3063	Set173	Akt2	1.148996
AGID00347	2009	8599	Set173	Akt2_pS474	0.7113992
AGID02215	2577	ab195377	Set173	ALKBH5	0.6698424
AGID00498	924	CA1030	Old	ALPHACATENIN	0.83519
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.1476898
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.5160872
AGID00006	39	2532	Old	AMPKALPHA	0.3043
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.58518
AGID00193	1208	610066	Old	ANNEXIN1	1.1825
AGID00166	1142	610668	Old	ANNEXINVII	0.13973
AGID00371	756	1852-1/ab52615	Old	AR	-0.29598
AGID00194	1217	4432	Old	ARAF	-0.10847
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.042899
AGID00260	1053	sc-32761	Old	ARID1A	0.33975
AGID00264	1560	HPA029318	Old	ASNS	-0.85591
AGID00276	1612	3415	Set173	Atg3	-0.01384789
AGID00309	1775	13507	Set173	Atg4B	-0.1303366
AGID00310	1776	12994	Set173	Atg5	-0.4877157
AGID00277	1613	8558	Set173	Atg7	-0.3432047
AGID00242	1363	2873	Old	ATM	0.65576
AGID02142	2447	13050	Set173	ATM_pS1981	1.079468
AGID00217	1289	ab14748	Set173	ATP5A	1.974594
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.09829907
AGID02150	2456	13934	Set173	ATR	1.95846
AGID00315	1795	ab178407	Set173	ATR_pS428	-0.03029749
AGID00268	1569	ab97508	Set173	ATRX	0.8747347
AGID00391	2332	14475	Set173	Aurora-A	-1.450618
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.4724382
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.141524
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.136204
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.3588349
AGID00301	1725	14058	Set173	B7-H3	-0.4876905
AGID00302	1726	14572	Set173	B7-H4	-0.2318547
AGID00008	63	9291	Old	BAD_pS112	0.43046
AGID00009	71	1542-1/ab32371	Old	BAK	-0.34753
AGID00192	1207	sc-28383	Old	BAP1C4	-0.31969
AGID00010	73	2772	Old	BAX	0.29928
AGID00433	80	M0887	Old	BCL2	0.3734
AGID00219	1299	PAB8528	Old	BCL2A1	0.022337
AGID00012	84	1018-1	Old	BCLXL	-0.27165
AGID00377	87	sc-10086	Old	BECLIN	0.10004
AGID00011	75	9562	Old	BETACATENIN	0.93247
AGID00013	88	1008-1/ab32060	Old	BID	0.087733
AGID00180	90	1036-1/ab32158	Old	BIM	-0.52195
AGID00221	1311	610978	Set173	BiP-GRP78	1.172956
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	0.07464352
AGID00355	92	1647/ab33899	Old	BRAF	-0.16242
AGID00014	94	2696	Old	BRAF_pS445	0.76949
AGID00445	761	9012	Old	BRCA2	0.89185
AGID00266	1567	13440	Old	BRD4	-0.2883
AGID00168	1146	2865	Set173	c-Abl_pY412	0.2172739
AGID00278	1615	3130	Set173	c-IAP2	-0.5083174
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.019954
AGID00429	2407	2679	Set173	Calnexin	0.5494345
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.8391299
AGID00623	111	9665	Old	CASPASE3	-0.12686
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-1.0707
AGID00118	951	9746	Old	CASPASE8	-0.30105
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.1706
AGID00358	2100	ab76000	Set173	CD134	-0.08723432
AGID00303	1737	826701	Set173	CD171	-0.7897223
AGID00410	125	1632-1/ab78237	Old	CD20	0.30852
AGID00220	1308	ab28340	Old	CD26	-0.02614
AGID00191	1206	610467	Set173	CD29	-0.09900537
AGID00017	127	M0823	Old	CD31	0.35509
AGID00369	2174	ab108403	Set173	CD38	0.3666734
AGID00359	2104	ab133616	Set173	CD4	-0.6850237
AGID00411	1398	3570	Set173	CD44	1.463022
AGID00237	1352	M070101-2	Set173	CD45	-0.3350711
AGID00115	937	611016	Old	CD49B	0.27991
AGID02171	2482	91882	Set173	CD86	0.2801581
AGID00329	1873	4688	Set173	cdc25C	-0.5403907
AGID00227	1332	4651	Set173	Cdc42	0.8355296
AGID00422	2396	3387	Set173	Cdc6	-0.3644879
AGID00501	1007	9112	Old	CDK1	0.84687
AGID00293	1658	ab32384	Set173	CDK1_pT14	-0.9837479
AGID00314	1783	4539	Old	CDK1_pY15	-0.13563
AGID00423	2397	8064	Set173	CDT1	-0.2043837
AGID02101	2348	15102	Set173	cGAS	0.2594272
AGID00447	2410	13460	Set173	CHD1L	-0.2096239
AGID00189	1203	2360	Old	CHK1	0.12726
AGID00234	1348	ab79758	Old	CHK1_pS296	0.10325
AGID00107	903	2348	Old	CHK1_pS345	-0.069661
AGID00018	146	3440	Old	CHK2	-0.74343
AGID00019	147	2197	Old	CHK2_pT68	0.09084
AGID00527	2078	4952	Old	CIAP	-0.18647
AGID00350	2018	3793	Set173	CIITA	0.6740429
AGID00434	155	9164	Old	CJUN_pS73	-0.017817
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.051252
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.13176
AGID00466	726	3127	Old	CMET	0.34098
AGID00079	727	3129	Old	CMET_pY1235	0.12945
AGID00167	161	9402	Old	CMYC	-0.65665
AGID00292	1656	11130-1-AP	Old	COG3	0.077021
AGID00021	171	sc-20649	Old	COLLAGENVI	0.34075
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set173	Connexin-43	-0.5452751
AGID00269	1571	6434	Set173	Coup-TFII	-0.2918936
AGID00150	1116	4850	Set173	Cox-IV	0.2227037
AGID00195	1218	4842	Set173	Cox2	0.09010832
AGID00188	803	05-739	Old	CRAF	0.15437
AGID00022	179	9427	Old	CRAF_pS338	0.15178
AGID00023	181	9197	Set173	Creb	0.6051808
AGID00393	2334	9198	Set173	CREB_pS133	-0.5954208
AGID00365	2155	4980	Set173	CSK	0.1899137
AGID00367	2160	9201	Set173	CtIP	-0.4102045
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set173	Cyclin-D3	0.2994706
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.5829
AGID00382	194	sc-718	Old	CYCLIND1	0.012242
AGID00437	199	sc-25303	Old	CYCLINE1	-0.38965
AGID00449	202	1142-1	Old	CYCLINE2	-0.30814
AGID00209	1257	ab110324	Set173	Cyclophilin-F	0.04913555
AGID00247	1379	ab48389	Set173	D-a-Tubulin	0.8260847
AGID00308	1770	GTX10524	Set173	DAPK1_pS308	0.9290133
AGID00304	1744	ab51601	Set173	DAPK2	0.290586
AGID00343	1980	6998	Set173	DDB-1	0.304464
AGID00427	2402	5583	Set173	DDR1	0.07129254
AGID00428	2403	SAB4504671	Set173	DDR1_pY513	0.08491886
AGID00532	1273	Bast Lab	Old	DIRAS3	0.34745
AGID00104	891	ab76008	Old	DJ1	0.442
AGID02146	2452	4658	Set173	DM-Histone-H3	0.1641916
AGID00386	1397	ab32521	Set173	DM-K9-Histone-H3	-0.4044131
AGID00352	2030	14649	Set173	DNA-Ligase-IV	1.302732
AGID00407	2371	13609	Set173	DNA_POLG	-0.3317647
AGID00399	2344	5032	Set173	DNMT1	-0.3691227
AGID00409	2373	5391	Set173	DRP1	-0.6473227
AGID00253	1406	5149	Old	DUSP4	0.74436
AGID00334	1936	ab76310	Set173	DUSP6	0.9357613
AGID00116	940	3218	Old	DVL3	-0.31256
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.38339
AGID00135	1060	2332	Old	EEF2	-0.66212
AGID00136	1061	3692	Old	EEF2K	-0.56888
AGID00152	1120	2232	Old	EGFR	-0.17116
AGID00450	217	2234	Old	EGFR_pY1068	-0.38429
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.21653
AGID00078	722	9742	Old	EIF4E	-1.1455
AGID00328	1871	ab76256	Set173	eIF4E_pS209	0.1426852
AGID00154	1124	2498	Old	EIF4G	-0.97856
AGID00027	228	9181	Set173	Elk1_pS383	4.470655
AGID00235	1350	M061329-2	Set173	EMA	-3.880057
AGID00394	2337	3810	Set173	Enolase-1	-0.4007842
AGID00395	2338	8171	Set173	Enolase-2	0.2116171
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set173	EphA2	0.221336
AGID00552	2422	6347	Set173	EphA2_pS897	0.2500996
AGID00553	2423	12677	Set173	EphA2_pY588	-0.5693367
AGID00075	693	556347	Old	EPPK1	-2.4345
AGID00335	238	RM-9101	Old	ERALPHA	-1.302
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.21374
AGID00240	247	MS-671	Old	ERCC1	0.54196
AGID00239	1355	11331-1-AP	Old	ERCC5	-0.27756
AGID00484	249	sc-154	Old	ERK2	-0.11579
AGID00372	2193	3552	Set173	Erk5	-0.09795451
AGID00405	2369	13826	Set173	ERRalpha	-0.432275
AGID00187	1200	A303-501A	Old	ETS1	-0.29991
AGID00511	2492	2593	Set173	EVI1	0.6260535
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set173	FAK	-0.2758428
AGID02151	2457	8556	Set173	FAK_pY397	-0.08534567
AGID00171	1156	3180	Old	FASN	-2.3798
AGID00356	2085	500-P18/10775-082	Set173	FGF-basic	-1.319477
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.082345
AGID00339	1959	4403	Set173	FN14	0.5139774
AGID02152	2458	20459	Old	FOXM1	-0.68337
AGID00378	269	9467	Old	FOXO3A	-0.13343
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.0018021
AGID02167	2475	PA5-64616	Set173	FRS2-alpha_pY196	-0.06470523
AGID02213	2575	ab124892	Set173	FTO	0.1868469
AGID02141	2446	12263	Old	G6PD	0.44741
AGID00117	943	3239	Old	GAB2	-0.53211
AGID00412	274	AM4300	Old	GAPDH	-1.4723
