AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.031373
AGID00111	913	sc-23957	Old	1433EPSILON	-0.017789
AGID00101	883	sc-1019	Old	1433ZETA	-0.22065
AGID00001	2	9452	Old	4EBP1	0.17657
AGID00002	3	9456	Old	4EBP1_pS65	-0.27166
AGID00003	6	9459	Old	4EBP1_pT37T46	0.045226
AGID00443	8	9455	Old	4EBP1_pT70	0.1733
AGID00120	985	4937	Old	53BP1	-0.31874
AGID00004	13	3661	Old	ACC_pS79	2.0722
AGID00005	14	1768-1/ab45174	Old	ACC1	1.4309
AGID00408	2372	3658	Set172	AceCS1	0.6189995
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.11667
AGID00404	2367	9189	Set172	ACSL1	0.1324689
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.15765
AGID00186	1198	ab88574	Old	ADAR1	-0.32863
AGID00146	1084	4691	Old	AKT	-0.084829
AGID00028	230	9271	Old	AKT_pS473	-0.98627
AGID00170	1154	2965	Old	AKT_pT308	-0.71119
AGID00316	1800	3063	Set172	Akt2	0.4560181
AGID00347	2009	8599	Set172	Akt2_pS474	0.09820013
AGID02215	2577	ab195377	Set172	ALKBH5	0.2418811
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	-0.03344258
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	-0.09902919
AGID00006	39	2532	Old	AMPKALPHA	0.36684
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.0013722
AGID00193	1208	610066	Old	ANNEXIN1	-0.49638
AGID00166	1142	610668	Old	ANNEXINVII	-0.040129
AGID00371	756	1852-1/ab52615	Old	AR	-0.70803
AGID00194	1217	4432	Old	ARAF	0.086241
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.059092
AGID00260	1053	sc-32761	Old	ARID1A	0.23438
AGID00264	1560	HPA029318	Old	ASNS	0.12949
AGID00276	1612	3415	Set172	Atg3	0.1331106
AGID00309	1775	13507	Set172	Atg4B	-0.3254903
AGID00310	1776	12994	Set172	Atg5	0.4818913
AGID00277	1613	8558	Set172	Atg7	0.8383858
AGID00242	1363	2873	Old	ATM	-0.06521
AGID02142	2447	13050	Set172	ATM_pS1981	-0.5451174
AGID00217	1289	ab14748	Set172	ATP5A	2.152306
AGID02145	2451	PA5-43776	Set172	ATP5H	-0.6180332
AGID02150	2456	13934	Set172	ATR	-0.444894
AGID00315	1795	ab178407	Set172	ATR_pS428	0.8852913
AGID00268	1569	ab97508	Set172	ATRX	0.1963509
AGID00391	2332	14475	Set172	Aurora-A	-0.08924702
AGID00392	2333	2914	Set172	Aurora-ABC_pT288_pT232_pT198	-0.4933624
AGID02195	2512	MA5-27890	Set172	Aurora-B	1.197573
AGID00215	1271	8661	Old	AXL	-0.46789
AGID02143	2449	8457	Set172	b-Actin	-0.3500884
AGID00179	1170	9565	Set172	b-Catenin_pT41_S45	-0.4932399
AGID00301	1725	14058	Set172	B7-H3	-0.1230197
AGID00302	1726	14572	Set172	B7-H4	-0.2842896
AGID00008	63	9291	Old	BAD_pS112	0.39368
AGID00009	71	1542-1/ab32371	Old	BAK	0.064142
AGID00192	1207	sc-28383	Old	BAP1C4	0.30318
AGID00010	73	2772	Old	BAX	-0.16836
AGID00433	80	M0887	Old	BCL2	-0.71253
AGID00219	1299	PAB8528	Old	BCL2A1	-0.26908
AGID00012	84	1018-1	Old	BCLXL	-0.14954
AGID00377	87	sc-10086	Old	BECLIN	0.046435
AGID00011	75	9562	Old	BETACATENIN	-0.075886
AGID00013	88	1008-1/ab32060	Old	BID	-0.13728
AGID00180	90	1036-1/ab32158	Old	BIM	-0.91978
AGID00221	1311	610978	Set172	BiP-GRP78	-0.2782901
AGID00373	2194	07-507	Set172	BMK1-Erk5_pT218_Y220	-0.2616064
AGID00355	92	1647/ab33899	Old	BRAF	1.1595
AGID00014	94	2696	Old	BRAF_pS445	1.0325
AGID00445	761	9012	Old	BRCA2	0.036613
AGID00266	1567	13440	Old	BRD4	-0.31059
AGID00168	1146	2865	Set172	c-Abl_pY412	-0.7805574
AGID00278	1615	3130	Set172	c-IAP2	0.1187468
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.12932
AGID00429	2407	2679	Set172	Calnexin	-2.456496
AGID00176	1165	9496	Set172	Caspase-8-cleaved	-0.7494387
AGID00623	111	9665	Old	CASPASE3	0.11722
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-1.0953
AGID00118	951	9746	Old	CASPASE8	0.082935
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-1.1797
AGID00358	2100	ab76000	Set172	CD134	-0.5074287
AGID00303	1737	826701	Set172	CD171	-0.778451
AGID00410	125	1632-1/ab78237	Old	CD20	-0.21861
AGID00220	1308	ab28340	Old	CD26	-0.29916
AGID00191	1206	610467	Set172	CD29	-0.03155963
AGID00017	127	M0823	Old	CD31	-0.18062
AGID00369	2174	ab108403	Set172	CD38	-0.5171261
AGID00359	2104	ab133616	Set172	CD4	-1.33597
AGID00411	1398	3570	Set172	CD44	-1.241112
AGID00237	1352	M070101-2	Set172	CD45	-0.5547358
AGID00115	937	611016	Old	CD49B	0.67747
AGID02171	2482	91882	Set172	CD86	-0.3415124
AGID00329	1873	4688	Set172	cdc25C	0.7345763
