AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.010136
AGID00111	913	sc-23957	Old	1433EPSILON	0.156
AGID00101	883	sc-1019	Old	1433ZETA	-0.099354
AGID00001	2	9452	Old	4EBP1	-0.31185
AGID00002	3	9456	Old	4EBP1_pS65	0.48202
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.2611
AGID00443	8	9455	Old	4EBP1_pT70	-0.051491
AGID00120	985	4937	Old	53BP1	-0.246
AGID00004	13	3661	Old	ACC_pS79	-0.7304
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.89365
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.496
AGID02144	2450	PA5-27081	Old	ACVRL1	0.28074
AGID00186	1198	ab88574	Old	ADAR1	-0.58392
AGID00146	1084	4691	Old	AKT	-0.075241
AGID00028	230	9271	Old	AKT_pS473	0.26171
AGID00170	1154	2965	Old	AKT_pT308	1.4264
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00006	39	2532	Old	AMPKALPHA	1.5991
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.80966
AGID00193	1208	610066	Old	ANNEXIN1	-0.52286
AGID00166	1142	610668	Old	ANNEXINVII	0.32463
AGID00371	756	1852-1/ab52615	Old	AR	0.21733
AGID00194	1217	4432	Old	ARAF	0.0038205
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.17591
AGID00260	1053	sc-32761	Old	ARID1A	-0.026837
AGID00264	1560	HPA029318	Old	ASNS	-0.54744
AGID00242	1363	2873	Old	ATM	0.25264
AGID00215	1271	8661	Old	AXL	NA
AGID00008	63	9291	Old	BAD_pS112	0.082275
AGID00009	71	1542-1/ab32371	Old	BAK	0.8695
AGID00192	1207	sc-28383	Old	BAP1C4	-0.75906
AGID00010	73	2772	Old	BAX	0.085802
AGID00433	80	M0887	Old	BCL2	0.49719
AGID00219	1299	PAB8528	Old	BCL2A1	0.64764
AGID00012	84	1018-1	Old	BCLXL	0.11863
AGID00377	87	sc-10086	Old	BECLIN	-0.072278
AGID00011	75	9562	Old	BETACATENIN	-0.026751
AGID00013	88	1008-1/ab32060	Old	BID	-0.026877
AGID00180	90	1036-1/ab32158	Old	BIM	0.14675
AGID00355	92	1647/ab33899	Old	BRAF	0.3915
AGID00014	94	2696	Old	BRAF_pS445	-0.0046576
AGID00445	761	9012	Old	BRCA2	0.24295
AGID00266	1567	13440	Old	BRD4	-0.0053392
AGID00345	1990	5649	Old	CA9	0.14201
AGID00265	1565	2862	Old	CABL	-0.052571
AGID00623	111	9665	Old	CASPASE3	-0.27549
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.81881
AGID00118	951	9746	Old	CASPASE8	0.33463
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.6451
AGID00410	125	1632-1/ab78237	Old	CD20	0.29779
AGID00220	1308	ab28340	Old	CD26	0.44072
AGID00017	127	M0823	Old	CD31	0.64715
AGID00115	937	611016	Old	CD49B	-0.05346
AGID00501	1007	9112	Old	CDK1	-0.098658
AGID00314	1783	4539	Old	CDK1_pY15	-0.77895
AGID00189	1203	2360	Old	CHK1	-0.082225
AGID00234	1348	ab79758	Old	CHK1_pS296	0.0026786
AGID00107	903	2348	Old	CHK1_pS345	-0.0833
AGID00018	146	3440	Old	CHK2	-0.59723
AGID00019	147	2197	Old	CHK2_pT68	-0.033206
AGID00527	2078	4952	Old	CIAP	-0.41115
AGID00434	155	9164	Old	CJUN_pS73	-0.28918
AGID00020	157	1522-1/ab32363	Old	CKIT	0.040214
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.1295
AGID00466	726	3127	Old	CMET	0.62233
AGID00079	727	3129	Old	CMET_pY1235	0.12262
AGID00167	161	9402	Old	CMYC	-0.015327
AGID00292	1656	11130-1-AP	Old	COG3	-0.17112
AGID00021	171	sc-20649	Old	COLLAGENVI	0.7805
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	0.10835
AGID00188	803	05-739	Old	CRAF	-0.34563
AGID00022	179	9427	Old	CRAF_pS338	-0.16097
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-2.5689
AGID00382	194	sc-718	Old	CYCLIND1	0.010829
AGID00437	199	sc-25303	Old	CYCLINE1	-0.87268
AGID00449	202	1142-1	Old	CYCLINE2	-0.20583
