AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.52634
AGID00111	913	sc-23957	Old	1433EPSILON	-0.056981
AGID00101	883	sc-1019	Old	1433ZETA	0.22841
AGID00001	2	9452	Old	4EBP1	-0.32932
AGID00002	3	9456	Old	4EBP1_pS65	-0.18435
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.089047
AGID00443	8	9455	Old	4EBP1_pT70	0.054721
AGID00120	985	4937	Old	53BP1	-0.42155
AGID00004	13	3661	Old	ACC_pS79	-0.67338
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.3368
AGID00408	2372	3658	Set166	AceCS1	-0.4862786
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	2.3388
AGID00404	2367	9189	Set166	ACSL1	0.4408093
AGID02144	2450	PA5-27081	Old	ACVRL1	0.27642
AGID00186	1198	ab88574	Old	ADAR1	-0.44743
AGID00146	1084	4691	Old	AKT	-0.55457
AGID00028	230	9271	Old	AKT_pS473	0.41799
AGID00170	1154	2965	Old	AKT_pT308	0.41701
AGID00316	1800	3063	Set166	Akt2	-0.6586597
AGID00347	2009	8599	Set166	Akt2_pS474	2.17583
AGID02215	2577	ab195377	Set166	ALKBH5	-0.8522582
AGID00498	924	CA1030	Old	ALPHACATENIN	-0.25925
AGID00287	1630	ABC80	Set166	Ambra1_pS52	-0.0694789
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.2404268
AGID00006	39	2532	Old	AMPKALPHA	0.068745
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.33917
AGID00193	1208	610066	Old	ANNEXIN1	0.71177
AGID00166	1142	610668	Old	ANNEXINVII	-0.18201
AGID00371	756	1852-1/ab52615	Old	AR	-0.35855
AGID00194	1217	4432	Old	ARAF	-0.23993
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.12473
AGID00260	1053	sc-32761	Old	ARID1A	-0.050587
AGID00264	1560	HPA029318	Old	ASNS	0.35095
AGID00276	1612	3415	Set166	Atg3	0.06034428
AGID00309	1775	13507	Set166	Atg4B	2.28055
AGID00310	1776	12994	Set166	Atg5	-0.2872969
AGID00277	1613	8558	Set166	Atg7	-0.2666856
AGID00242	1363	2873	Old	ATM	-0.79697
AGID02142	2447	13050	Set166	ATM_pS1981	2.834003
AGID00217	1289	ab14748	Set166	ATP5A	1.541337
AGID02145	2451	PA5-43776	Set166	ATP5H	0.4768882
AGID02150	2456	13934	Set166	ATR	-0.08701099
AGID00315	1795	ab178407	Set166	ATR_pS428	0.3925064
AGID00268	1569	ab97508	Set166	ATRX	0.4084988
AGID00391	2332	14475	Set166	Aurora-A	-0.7445439
AGID00392	2333	2914	Set166	Aurora-ABC_pT288_pT232_pT198	-0.0708946
AGID02195	2512	MA5-27890	Set166	Aurora-B	-0.910084
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set166	b-Actin	0.2560257
AGID00179	1170	9565	Set166	b-Catenin_pT41_S45	0.02532807
AGID00301	1725	14058	Set166	B7-H3	0.4067905
AGID00302	1726	14572	Set166	B7-H4	-0.171837
