AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.11395
AGID00111	913	sc-23957	Old	1433EPSILON	-0.25599
AGID00101	883	sc-1019	Old	1433ZETA	-0.193676
AGID00001	2	9452	Old	4EBP1	0.396275
AGID00002	3	9456	Old	4EBP1_pS65	-0.0496585
AGID00003	6	9459	Old	4EBP1_pT37T46	0.56447
AGID00443	8	9455	Old	4EBP1_pT70	0.230695
AGID00120	985	4937	Old	53BP1	-0.283765
AGID00004	13	3661	Old	ACC_pS79	-0.619485
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.064495
AGID00408	2372	3658	Set173	AceCS1	-0.07847286
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.894855
AGID00404	2367	9189	Set173	ACSL1	-0.4201722
AGID02144	2450	PA5-27081	Old	ACVRL1	0.043421
AGID00186	1198	ab88574	Old	ADAR1	-0.448635
AGID00146	1084	4691	Old	AKT	-0.1181969
AGID00028	230	9271	Old	AKT_pS473	-0.0171255
AGID00170	1154	2965	Old	AKT_pT308	-0.1231495
AGID00316	1800	3063	Set173	Akt2	-0.00498523
AGID00347	2009	8599	Set173	Akt2_pS474	2.086251
AGID02215	2577	ab195377	Set173	ALKBH5	-0.5367872
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.2223907
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.3162647
AGID00006	39	2532	Old	AMPKALPHA	-0.0572785
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.1210815
AGID00193	1208	610066	Old	ANNEXIN1	-0.005991
AGID00166	1142	610668	Old	ANNEXINVII	-0.25954
AGID00371	756	1852-1/ab52615	Old	AR	-0.593025
AGID00194	1217	4432	Old	ARAF	-0.09262
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.13733
AGID00260	1053	sc-32761	Old	ARID1A	0.101948
AGID00264	1560	HPA029318	Old	ASNS	0.190505
AGID00276	1612	3415	Set173	Atg3	0.3959459
AGID00309	1775	13507	Set173	Atg4B	0.5114755
AGID00310	1776	12994	Set173	Atg5	-0.8167703
AGID00277	1613	8558	Set173	Atg7	0.1834422
AGID00242	1363	2873	Old	ATM	0.309254
AGID02142	2447	13050	Set173	ATM_pS1981	4.403953
AGID00217	1289	ab14748	Set173	ATP5A	1.222198
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.1705601
AGID02150	2456	13934	Set173	ATR	0.756069
AGID00315	1795	ab178407	Set173	ATR_pS428	-0.004552151
AGID00268	1569	ab97508	Set173	ATRX	0.2823253
AGID00391	2332	14475	Set173	Aurora-A	-1.007187
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.5350991
AGID02195	2512	MA5-27890	Set173	Aurora-B	1.723744
AGID00215	1271	8661	Old	AXL	0.14455
AGID02143	2449	8457	Set173	b-Actin	0.7239834
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.04615947
AGID00301	1725	14058	Set173	B7-H3	0.263404
AGID00302	1726	14572	Set173	B7-H4	0.1184089
AGID00008	63	9291	Old	BAD_pS112	0.40152
AGID00009	71	1542-1/ab32371	Old	BAK	0.229035
AGID00192	1207	sc-28383	Old	BAP1C4	-0.55508
AGID00010	73	2772	Old	BAX	0.2623905
AGID00433	80	M0887	Old	BCL2	0.788375
AGID00219	1299	PAB8528	Old	BCL2A1	0.164925
AGID00012	84	1018-1	Old	BCLXL	0.1028335
AGID00377	87	sc-10086	Old	BECLIN	-0.024663
AGID00011	75	9562	Old	BETACATENIN	-0.630755
AGID00013	88	1008-1/ab32060	Old	BID	0.47176
AGID00180	90	1036-1/ab32158	Old	BIM	0.295945
AGID00221	1311	610978	Set173	BiP-GRP78	-0.002782808
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.123802
AGID00355	92	1647/ab33899	Old	BRAF	-0.316455
AGID00014	94	2696	Old	BRAF_pS445	-0.355905
AGID00445	761	9012	Old	BRCA2	-0.3266705
AGID00266	1567	13440	Old	BRD4	-0.147017
AGID00168	1146	2865	Set173	c-Abl_pY412	0.0286633
AGID00278	1615	3130	Set173	c-IAP2	-0.7507103
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.03807
AGID00429	2407	2679	Set173	Calnexin	-0.434876
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.7605984
AGID00623	111	9665	Old	CASPASE3	-0.162503
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	1.79595
AGID00118	951	9746	Old	CASPASE8	0.067148
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.3424307
AGID00358	2100	ab76000	Set173	CD134	0.06220924
AGID00303	1737	826701	Set173	CD171	-0.1449761
AGID00410	125	1632-1/ab78237	Old	CD20	0.739185
AGID00220	1308	ab28340	Old	CD26	-0.0703935
AGID00191	1206	610467	Set173	CD29	-0.1567594
AGID00017	127	M0823	Old	CD31	-0.0197445
AGID00369	2174	ab108403	Set173	CD38	0.3280969
AGID00359	2104	ab133616	Set173	CD4	0.5781386
AGID00411	1398	3570	Set173	CD44	0.4758081
AGID00237	1352	M070101-2	Set173	CD45	1.893303
AGID00115	937	611016	Old	CD49B	-0.027506
AGID02171	2482	91882	Set173	CD86	1.525697
AGID00329	1873	4688	Set173	cdc25C	-0.1858616
AGID00227	1332	4651	Set173	Cdc42	0.7188355
AGID00422	2396	3387	Set173	Cdc6	-0.1871228
AGID00501	1007	9112	Old	CDK1	-0.02459268
AGID00293	1658	ab32384	Set173	CDK1_pT14	-0.2830064
AGID00314	1783	4539	Old	CDK1_pY15	-0.67182
