AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.12239
AGID00111	913	sc-23957	Old	1433EPSILON	-0.13694
AGID00101	883	sc-1019	Old	1433ZETA	-0.18368
AGID00001	2	9452	Old	4EBP1	-0.39405
AGID00002	3	9456	Old	4EBP1_pS65	0.35601
AGID00003	6	9459	Old	4EBP1_pT37T46	0.45355
AGID00443	8	9455	Old	4EBP1_pT70	-0.099516
AGID00120	985	4937	Old	53BP1	-0.22089
AGID00004	13	3661	Old	ACC_pS79	2.3733
AGID00005	14	1768-1/ab45174	Old	ACC1	1.5403
AGID00408	2372	3658	Set163	AceCS1	0.2279095
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.03253
AGID00404	2367	9189	Set163	ACSL1	0.2665999
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.0095233
AGID00186	1198	ab88574	Old	ADAR1	0.18953
AGID00146	1084	4691	Old	AKT	0.70135
AGID00028	230	9271	Old	AKT_pS473	0.82793
AGID00170	1154	2965	Old	AKT_pT308	0.707
AGID00316	1800	3063	Set163	Akt2	-0.668925
AGID00347	2009	8599	Set163	Akt2_pS474	-0.2911806
AGID02215	2577	ab195377	Set163	ALKBH5	0.2676548
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.04557585
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.1038551
AGID00006	39	2532	Old	AMPKALPHA	0.18347
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.56394
AGID00193	1208	610066	Old	ANNEXIN1	0.13513
AGID00166	1142	610668	Old	ANNEXINVII	-0.16353
AGID00371	756	1852-1/ab52615	Old	AR	2.2113
AGID00194	1217	4432	Old	ARAF	0.14913
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.33065
AGID00260	1053	sc-32761	Old	ARID1A	0.017133
AGID00264	1560	HPA029318	Old	ASNS	0.12829
AGID00276	1612	3415	Set163	Atg3	-0.2610401
AGID00309	1775	13507	Set163	Atg4B	-0.1474805
AGID00310	1776	12994	Set163	Atg5	0.1506499
AGID00277	1613	8558	Set163	Atg7	0.04695999
AGID00242	1363	2873	Old	ATM	-0.39695
AGID02142	2447	13050	Set163	ATM_pS1981	-0.05772515
AGID00217	1289	ab14748	Set163	ATP5A	-0.6260007
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.285675
AGID02150	2456	13934	Set163	ATR	0.248597
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.2039563
AGID00268	1569	ab97508	Set163	ATRX	0.06346735
AGID00391	2332	14475	Set163	Aurora-A	-0.08497001
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.03761
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.07739632
AGID00215	1271	8661	Old	AXL	0.39262
AGID02143	2449	8457	Set163	b-Actin	0.05165972
