AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.0279343
AGID00111	913	sc-23957	Old	1433EPSILON	0.0946125
AGID00101	883	sc-1019	Old	1433ZETA	0.2215079
AGID00001	2	9452	Old	4EBP1	0.098411
AGID00002	3	9456	Old	4EBP1_pS65	0.16263
AGID00003	6	9459	Old	4EBP1_pT37T46	0.29949
AGID00443	8	9455	Old	4EBP1_pT70	-0.01072685
AGID00120	985	4937	Old	53BP1	0.914315
AGID00004	13	3661	Old	ACC_pS79	1.65795
AGID00005	14	1768-1/ab45174	Old	ACC1	1.015535
AGID00408	2372	3658	Set163	AceCS1	0.8071395
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.1987
AGID00404	2367	9189	Set163	ACSL1	-0.41568
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.1716485
AGID00186	1198	ab88574	Old	ADAR1	0.129115
AGID00146	1084	4691	Old	AKT	0.1727765
AGID00028	230	9271	Old	AKT_pS473	1.0293
AGID00170	1154	2965	Old	AKT_pT308	1.24635
AGID00316	1800	3063	Set163	Akt2	0.343325
AGID00347	2009	8599	Set163	Akt2_pS474	0.5345194
AGID02215	2577	ab195377	Set163	ALKBH5	0.2753148
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.03352415
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.0961149
AGID00006	39	2532	Old	AMPKALPHA	-0.028051
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.370075
AGID00193	1208	610066	Old	ANNEXIN1	-1.17975
AGID00166	1142	610668	Old	ANNEXINVII	0.25125
AGID00371	756	1852-1/ab52615	Old	AR	0.961845
AGID00194	1217	4432	Old	ARAF	0.2382235
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.0536635
AGID00260	1053	sc-32761	Old	ARID1A	0.076907
AGID00264	1560	HPA029318	Old	ASNS	-1.3608
AGID00276	1612	3415	Set163	Atg3	-0.2241901
AGID00309	1775	13507	Set163	Atg4B	-0.1911305
AGID00310	1776	12994	Set163	Atg5	-0.3316501
AGID00277	1613	8558	Set163	Atg7	0.3337
AGID00242	1363	2873	Old	ATM	0.007535
AGID02142	2447	13050	Set163	ATM_pS1981	-0.09194515
AGID00217	1289	ab14748	Set163	ATP5A	-0.5240706
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.03634503
AGID02150	2456	13934	Set163	ATR	-0.05757304
AGID00315	1795	ab178407	Set163	ATR_pS428	0.06260374
AGID00268	1569	ab97508	Set163	ATRX	0.4306474
AGID00391	2332	14475	Set163	Aurora-A	0.15566
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.16132
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.1229963
AGID00215	1271	8661	Old	AXL	0.048504
AGID02143	2449	8457	Set163	b-Actin	-0.6811203
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.080765
AGID00301	1725	14058	Set163	B7-H3	0.06791908
AGID00302	1726	14572	Set163	B7-H4	-0.3817453
AGID00008	63	9291	Old	BAD_pS112	0.155905
AGID00009	71	1542-1/ab32371	Old	BAK	-0.180885
AGID00192	1207	sc-28383	Old	BAP1C4	-0.0025315
AGID00010	73	2772	Old	BAX	-0.00157
AGID00433	80	M0887	Old	BCL2	0.63
AGID00219	1299	PAB8528	Old	BCL2A1	-0.28208
AGID00012	84	1018-1	Old	BCLXL	0.1323875
AGID00377	87	sc-10086	Old	BECLIN	0.073563
AGID00011	75	9562	Old	BETACATENIN	0.375924
AGID00013	88	1008-1/ab32060	Old	BID	-0.18869
AGID00180	90	1036-1/ab32158	Old	BIM	-0.1025395
AGID00221	1311	610978	Set163	BiP-GRP78	-0.02610556
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.01379003
AGID00355	92	1647/ab33899	Old	BRAF	1.267
AGID00014	94	2696	Old	BRAF_pS445	0.459745
AGID00445	761	9012	Old	BRCA2	-0.182599
AGID00266	1567	13440	Old	BRD4	0.026444
AGID00168	1146	2865	Set163	c-Abl_pY412	-0.05298074
AGID00278	1615	3130	Set163	c-IAP2	0.008914887
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.01259355
AGID00429	2407	2679	Set163	Calnexin	0.4567497
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.08018491
AGID00623	111	9665	Old	CASPASE3	-0.188507
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.95187
AGID00118	951	9746	Old	CASPASE8	0.07128
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.10878
AGID00358	2100	ab76000	Set163	CD134	-0.1270314
AGID00303	1737	826701	Set163	CD171	-0.31342
AGID00410	125	1632-1/ab78237	Old	CD20	-0.114492
AGID00220	1308	ab28340	Old	CD26	-0.14667
AGID00191	1206	610467	Set163	CD29	0.03154964
AGID00017	127	M0823	Old	CD31	-0.23119
AGID00369	2174	ab108403	Set163	CD38	-0.13515
AGID00359	2104	ab133616	Set163	CD4	-0.3017013
AGID00411	1398	3570	Set163	CD44	-0.4188751
AGID00237	1352	M070101-2	Set163	CD45	-0.3666002
AGID00115	937	611016	Old	CD49B	-0.416265
AGID02171	2482	91882	Set163	CD86	-0.01311002
AGID00329	1873	4688	Set163	cdc25C	0.497785
AGID00227	1332	4651	Set163	Cdc42	-0.2350902
AGID00422	2396	3387	Set163	Cdc6	-0.02921012
AGID00501	1007	9112	Old	CDK1	-0.270705
AGID00293	1658	ab32384	Set163	CDK1_pT14	-0.44211
AGID00314	1783	4539	Old	CDK1_pY15	-0.264608
AGID00423	2397	8064	Set163	CDT1	-0.4458655
AGID02101	2348	15102	Set163	cGAS	0
AGID00447	2410	13460	Set163	CHD1L	-0.1313518
AGID00189	1203	2360	Old	CHK1	-0.13627
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.1271077
AGID00107	903	2348	Old	CHK1_pS345	-0.0414335
AGID00018	146	3440	Old	CHK2	0.0900245
AGID00019	147	2197	Old	CHK2_pT68	-0.217005
AGID00527	2078	4952	Old	CIAP	0.152645
AGID00350	2018	3793	Set163	CIITA	0.05879
AGID00434	155	9164	Old	CJUN_pS73	-0.1420815
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.44791
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.1196
AGID00466	726	3127	Old	CMET	0.0894655
AGID00079	727	3129	Old	CMET_pY1235	-0.076599
AGID00167	161	9402	Old	CMYC	0.0583039
AGID00292	1656	11130-1-AP	Old	COG3	0.226975
AGID00021	171	sc-20649	Old	COLLAGENVI	0.068385
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	1.67568
AGID00269	1571	6434	Set163	Coup-TFII	0.2259
AGID00150	1116	4850	Set163	Cox-IV	0.1593593
AGID00195	1218	4842	Set163	Cox2	-0.07982
AGID00188	803	05-739	Old	CRAF	0.044334
AGID00022	179	9427	Old	CRAF_pS338	0.01333
AGID00023	181	9197	Set163	Creb	-0.4279411
AGID00393	2334	9198	Set163	CREB_pS133	0.3877021
AGID00365	2155	4980	Set163	CSK	0.03712996
AGID00367	2160	9201	Set163	CtIP	0.5492247
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set163	Cyclin-D3	0.2051299
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.983925
AGID00382	194	sc-718	Old	CYCLIND1	0.449905
AGID00437	199	sc-25303	Old	CYCLINE1	-1.26735
AGID00449	202	1142-1	Old	CYCLINE2	-0.2220145
AGID00209	1257	ab110324	Set163	Cyclophilin-F	-1.1075
AGID00247	1379	ab48389	Set163	D-a-Tubulin	-0.255815
