AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.065
AGID00111	913	sc-23957	Old	1433EPSILON	0.065434
AGID00101	883	sc-1019	Old	1433ZETA	-0.25222
AGID00001	2	9452	Old	4EBP1	-0.23597
AGID00002	3	9456	Old	4EBP1_pS65	-0.00261
AGID00003	6	9459	Old	4EBP1_pT37T46	0.212839
AGID00443	8	9455	Old	4EBP1_pT70	-0.180875
AGID00120	985	4937	Old	53BP1	0.22276
AGID00004	13	3661	Old	ACC_pS79	1.7408
AGID00005	14	1768-1/ab45174	Old	ACC1	1.18575
AGID00408	2372	3658	Set163	AceCS1	0.2219295
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.274455
AGID00404	2367	9189	Set163	ACSL1	-0.1422601
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.0487505
AGID00186	1198	ab88574	Old	ADAR1	-0.0356355
AGID00146	1084	4691	Old	AKT	0.327015
AGID00028	230	9271	Old	AKT_pS473	1.06685
AGID00170	1154	2965	Old	AKT_pT308	0.692745
AGID00316	1800	3063	Set163	Akt2	-0.461845
AGID00347	2009	8599	Set163	Akt2_pS474	-0.4969406
AGID02215	2577	ab195377	Set163	ALKBH5	0.2362148
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.2451259
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.2972751
AGID00006	39	2532	Old	AMPKALPHA	0.478095
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.892155
AGID00193	1208	610066	Old	ANNEXIN1	-0.0786855
AGID00166	1142	610668	Old	ANNEXINVII	0.25585
AGID00371	756	1852-1/ab52615	Old	AR	1.90945
AGID00194	1217	4432	Old	ARAF	0.438615
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-3.05e-05
AGID00260	1053	sc-32761	Old	ARID1A	0.170675
AGID00264	1560	HPA029318	Old	ASNS	-0.565015
AGID00276	1612	3415	Set163	Atg3	-0.2754201
AGID00309	1775	13507	Set163	Atg4B	-0.1749505
AGID00310	1776	12994	Set163	Atg5	-0.0966901
AGID00277	1613	8558	Set163	Atg7	0.1624
AGID00242	1363	2873	Old	ATM	0.51421
AGID02142	2447	13050	Set163	ATM_pS1981	-0.2603552
AGID00217	1289	ab14748	Set163	ATP5A	-0.3376107
AGID02145	2451	PA5-43776	Set163	ATP5H	0.215755
AGID02150	2456	13934	Set163	ATR	0.273367
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.2357863
AGID00268	1569	ab97508	Set163	ATRX	0.1655474
AGID00391	2332	14475	Set163	Aurora-A	0.03083999
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.27109
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.2388663
AGID00215	1271	8661	Old	AXL	0.534155
AGID02143	2449	8457	Set163	b-Actin	0.03661972
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.370555
AGID00301	1725	14058	Set163	B7-H3	0.1288491
AGID00302	1726	14572	Set163	B7-H4	0.4703447
