AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.063354
AGID00111	913	sc-23957	Old	1433EPSILON	0.00404237
AGID00101	883	sc-1019	Old	1433ZETA	-0.349655
AGID00001	2	9452	Old	4EBP1	0.323885
AGID00002	3	9456	Old	4EBP1_pS65	0.0356165
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.430605
AGID00443	8	9455	Old	4EBP1_pT70	0.158168
AGID00120	985	4937	Old	53BP1	0.184915
AGID00004	13	3661	Old	ACC_pS79	-0.216055
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.52353
AGID00408	2372	3658	Set173	AceCS1	0.1940651
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.52082
AGID00404	2367	9189	Set173	ACSL1	0.3830935
AGID02144	2450	PA5-27081	Old	ACVRL1	0.0072335
AGID00186	1198	ab88574	Old	ADAR1	0.34431
AGID00146	1084	4691	Old	AKT	1.74015
AGID00028	230	9271	Old	AKT_pS473	3.6813
AGID00170	1154	2965	Old	AKT_pT308	2.8394
AGID00316	1800	3063	Set173	Akt2	-0.18909
AGID00347	2009	8599	Set173	Akt2_pS474	1.227637
AGID02215	2577	ab195377	Set173	ALKBH5	0.3782776
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.1472189
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.3023404
AGID00006	39	2532	Old	AMPKALPHA	-0.007774
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.36346
AGID00193	1208	610066	Old	ANNEXIN1	-1.4794
AGID00166	1142	610668	Old	ANNEXINVII	-0.230045
AGID00371	756	1852-1/ab52615	Old	AR	-0.669595
AGID00194	1217	4432	Old	ARAF	-0.0888125
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.257525
AGID00260	1053	sc-32761	Old	ARID1A	0.25049
AGID00264	1560	HPA029318	Old	ASNS	-0.87325
AGID00276	1612	3415	Set173	Atg3	0.1655943
AGID00309	1775	13507	Set173	Atg4B	0.01042014
AGID00310	1776	12994	Set173	Atg5	-1.235221
AGID00277	1613	8558	Set173	Atg7	0.186091
AGID00242	1363	2873	Old	ATM	0.52417
AGID02142	2447	13050	Set173	ATM_pS1981	1.669927
AGID00217	1289	ab14748	Set173	ATP5A	1.146896
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.4053055
AGID02150	2456	13934	Set173	ATR	-0.325954
AGID00315	1795	ab178407	Set173	ATR_pS428	-0.02388706
AGID00268	1569	ab97508	Set173	ATRX	0.07785267
AGID00391	2332	14475	Set173	Aurora-A	-0.04073547
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.1981814
AGID02195	2512	MA5-27890	Set173	Aurora-B	1.031274
AGID00215	1271	8661	Old	AXL	0.73458
