AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.19462
AGID00111	913	sc-23957	Old	1433EPSILON	-0.20701
AGID00101	883	sc-1019	Old	1433ZETA	-0.51516
AGID00001	2	9452	Old	4EBP1	-0.95442
AGID00002	3	9456	Old	4EBP1_pS65	-0.68338
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.0551
AGID00443	8	9455	Old	4EBP1_pT70	-0.42821
AGID00120	985	4937	Old	53BP1	-0.91458
AGID00004	13	3661	Old	ACC_pS79	-1.1765
AGID00005	14	1768-1/ab45174	Old	ACC1	-2.3816
AGID00408	2372	3658	Set173	AceCS1	-1.084599
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.074
AGID00404	2367	9189	Set173	ACSL1	-0.6698257
AGID02144	2450	PA5-27081	Old	ACVRL1	0.03519
AGID00186	1198	ab88574	Old	ADAR1	-0.1935
AGID00146	1084	4691	Old	AKT	-0.29231
AGID00028	230	9271	Old	AKT_pS473	0.10915
AGID00170	1154	2965	Old	AKT_pT308	0.42195
AGID00316	1800	3063	Set173	Akt2	0.1617584
AGID00347	2009	8599	Set173	Akt2_pS474	0.6593442
AGID02215	2577	ab195377	Set173	ALKBH5	-0.4127556
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.1785782
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.4587279
AGID00006	39	2532	Old	AMPKALPHA	-0.19219
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.24186
AGID00193	1208	610066	Old	ANNEXIN1	1.4486
AGID00166	1142	610668	Old	ANNEXINVII	0.13826
AGID00371	756	1852-1/ab52615	Old	AR	0.083513
AGID00194	1217	4432	Old	ARAF	-0.8209
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.043706
AGID00260	1053	sc-32761	Old	ARID1A	0.49428
AGID00264	1560	HPA029318	Old	ASNS	-0.56523
AGID00276	1612	3415	Set173	Atg3	0.1895024
AGID00309	1775	13507	Set173	Atg4B	0.0438671
AGID00310	1776	12994	Set173	Atg5	-0.9162879
AGID00277	1613	8558	Set173	Atg7	-0.5720597
AGID00242	1363	2873	Old	ATM	-0.1522
AGID02142	2447	13050	Set173	ATM_pS1981	1.749949
AGID00217	1289	ab14748	Set173	ATP5A	0.7788594
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.1058756
AGID02150	2456	13934	Set173	ATR	1.523668
AGID00315	1795	ab178407	Set173	ATR_pS428	0.1200811
AGID00268	1569	ab97508	Set173	ATRX	-0.2544684
AGID00391	2332	14475	Set173	Aurora-A	-1.025866
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.4731214
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.05153241
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.382913
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.0971887
AGID00301	1725	14058	Set173	B7-H3	-0.5703385
AGID00302	1726	14572	Set173	B7-H4	0.09441659
AGID00008	63	9291	Old	BAD_pS112	-0.03048
AGID00009	71	1542-1/ab32371	Old	BAK	-0.53252
AGID00192	1207	sc-28383	Old	BAP1C4	-0.46959
AGID00010	73	2772	Old	BAX	-0.86286
AGID00433	80	M0887	Old	BCL2	1.1525
AGID00219	1299	PAB8528	Old	BCL2A1	-0.48637
AGID00012	84	1018-1	Old	BCLXL	-0.41061
AGID00377	87	sc-10086	Old	BECLIN	-0.0087349
AGID00011	75	9562	Old	BETACATENIN	0.47504
AGID00013	88	1008-1/ab32060	Old	BID	-0.021247
AGID00180	90	1036-1/ab32158	Old	BIM	-0.54905
AGID00221	1311	610978	Set173	BiP-GRP78	0.05304584
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	0.003041891
AGID00355	92	1647/ab33899	Old	BRAF	-0.12167
AGID00014	94	2696	Old	BRAF_pS445	-0.30558
AGID00445	761	9012	Old	BRCA2	1.1514
AGID00266	1567	13440	Old	BRD4	-2.5495
AGID00168	1146	2865	Set173	c-Abl_pY412	0.7210558
AGID00278	1615	3130	Set173	c-IAP2	-0.477915
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.66005
AGID00429	2407	2679	Set173	Calnexin	-0.23138
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.7961729
AGID00623	111	9665	Old	CASPASE3	-0.65703
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.71553
AGID00118	951	9746	Old	CASPASE8	-0.48584
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.044055
AGID00358	2100	ab76000	Set173	CD134	0.3943794
AGID00303	1737	826701	Set173	CD171	0.08860174
AGID00410	125	1632-1/ab78237	Old	CD20	0.38161
AGID00220	1308	ab28340	Old	CD26	-0.66119
AGID00191	1206	610467	Set173	CD29	-0.1708725
AGID00017	127	M0823	Old	CD31	0.15058
AGID00369	2174	ab108403	Set173	CD38	0.6674768
AGID00359	2104	ab133616	Set173	CD4	-0.4707281
AGID00411	1398	3570	Set173	CD44	0.7063652
AGID00237	1352	M070101-2	Set173	CD45	0.1057004
AGID00115	937	611016	Old	CD49B	0.15907
AGID02171	2482	91882	Set173	CD86	2.204355
AGID00329	1873	4688	Set173	cdc25C	-0.3689909
AGID00227	1332	4651	Set173	Cdc42	0.4611056
AGID00422	2396	3387	Set173	Cdc6	-0.1450431
AGID00501	1007	9112	Old	CDK1	-0.063413
AGID00293	1658	ab32384	Set173	CDK1_pT14	-1.449808
AGID00314	1783	4539	Old	CDK1_pY15	-1.5653
AGID00423	2397	8064	Set173	CDT1	0.22151
AGID02101	2348	15102	Set173	cGAS	0.1750135
