AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.31317
AGID00111	913	sc-23957	Old	1433EPSILON	0.087812
AGID00101	883	sc-1019	Old	1433ZETA	-0.62783
AGID00001	2	9452	Old	4EBP1	-0.99734
AGID00002	3	9456	Old	4EBP1_pS65	-0.45863
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.51587
AGID00443	8	9455	Old	4EBP1_pT70	-0.3624
AGID00120	985	4937	Old	53BP1	-1.1284
AGID00004	13	3661	Old	ACC_pS79	-1.5829
AGID00005	14	1768-1/ab45174	Old	ACC1	-2.4064
AGID00408	2372	3658	Set173	AceCS1	-1.477115
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.56383
AGID00404	2367	9189	Set173	ACSL1	-1.435362
AGID02144	2450	PA5-27081	Old	ACVRL1	0.13203
AGID00186	1198	ab88574	Old	ADAR1	-0.51409
AGID00146	1084	4691	Old	AKT	-0.21089
AGID00028	230	9271	Old	AKT_pS473	0.4837
AGID00170	1154	2965	Old	AKT_pT308	-0.18907
AGID00316	1800	3063	Set173	Akt2	-0.5766076
AGID00347	2009	8599	Set173	Akt2_pS474	1.380286
AGID02215	2577	ab195377	Set173	ALKBH5	-1.054571
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.2593534
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.5730872
AGID00006	39	2532	Old	AMPKALPHA	-0.60051
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.43578
AGID00193	1208	610066	Old	ANNEXIN1	1.2644
AGID00166	1142	610668	Old	ANNEXINVII	-0.076078
AGID00371	756	1852-1/ab52615	Old	AR	0.074305
AGID00194	1217	4432	Old	ARAF	-0.35404
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.06332
AGID00260	1053	sc-32761	Old	ARID1A	0.43279
AGID00264	1560	HPA029318	Old	ASNS	-1.2138
AGID00276	1612	3415	Set173	Atg3	0.246723
AGID00309	1775	13507	Set173	Atg4B	0.7841448
AGID00310	1776	12994	Set173	Atg5	-1.800494
AGID00277	1613	8558	Set173	Atg7	-0.7211935
AGID00242	1363	2873	Old	ATM	-0.22759
AGID02142	2447	13050	Set173	ATM_pS1981	2.020619
AGID00217	1289	ab14748	Set173	ATP5A	-0.6162713
AGID02145	2451	PA5-43776	Set173	ATP5H	0.1546371
AGID02150	2456	13934	Set173	ATR	1.485179
AGID00315	1795	ab178407	Set173	ATR_pS428	0.1919081
AGID00268	1569	ab97508	Set173	ATRX	-0.774296
AGID00391	2332	14475	Set173	Aurora-A	-0.8380033
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.03620853
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.17471
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.6503692
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.1370336
AGID00301	1725	14058	Set173	B7-H3	-0.8526733
AGID00302	1726	14572	Set173	B7-H4	0.2145921
AGID00008	63	9291	Old	BAD_pS112	0.23126
AGID00009	71	1542-1/ab32371	Old	BAK	-0.121
AGID00192	1207	sc-28383	Old	BAP1C4	-0.80818
AGID00010	73	2772	Old	BAX	-0.63903
AGID00433	80	M0887	Old	BCL2	0.67902
AGID00219	1299	PAB8528	Old	BCL2A1	-0.22532
AGID00012	84	1018-1	Old	BCLXL	-0.014785
AGID00377	87	sc-10086	Old	BECLIN	-0.14259
AGID00011	75	9562	Old	BETACATENIN	0.27185
