AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.85863
AGID00111	913	sc-23957	Old	1433EPSILON	0.67964
AGID00101	883	sc-1019	Old	1433ZETA	-1.0371
AGID00001	2	9452	Old	4EBP1	0.071127
AGID00002	3	9456	Old	4EBP1_pS65	-0.23111
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.90063
AGID00443	8	9455	Old	4EBP1_pT70	-0.13578
AGID00120	985	4937	Old	53BP1	-1.8496
AGID00004	13	3661	Old	ACC_pS79	-0.11965
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.0445
AGID00408	2372	3658	Set173	AceCS1	-0.489472
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.048
AGID00404	2367	9189	Set173	ACSL1	1.021127
AGID02144	2450	PA5-27081	Old	ACVRL1	1.1667
AGID00186	1198	ab88574	Old	ADAR1	-0.47666
AGID00146	1084	4691	Old	AKT	-1.5981
AGID00028	230	9271	Old	AKT_pS473	0.42413
AGID00170	1154	2965	Old	AKT_pT308	0.4585
AGID00316	1800	3063	Set173	Akt2	1.412314
AGID00347	2009	8599	Set173	Akt2_pS474	0.6177241
AGID02215	2577	ab195377	Set173	ALKBH5	-0.5119058
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.04479619
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	-0.04850343
AGID00006	39	2532	Old	AMPKALPHA	-0.28715
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.10315
AGID00193	1208	610066	Old	ANNEXIN1	-1.0154
AGID00166	1142	610668	Old	ANNEXINVII	0.4506
AGID00371	756	1852-1/ab52615	Old	AR	-0.41004
AGID00194	1217	4432	Old	ARAF	-0.28173
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.6444
AGID00260	1053	sc-32761	Old	ARID1A	0.27698
AGID00264	1560	HPA029318	Old	ASNS	0.42927
AGID00276	1612	3415	Set173	Atg3	0.3250504
AGID00309	1775	13507	Set173	Atg4B	0.2777296
AGID00310	1776	12994	Set173	Atg5	-1.006562
AGID00277	1613	8558	Set173	Atg7	-0.2103663
AGID00242	1363	2873	Old	ATM	-0.54735
AGID02142	2447	13050	Set173	ATM_pS1981	1.668799
AGID00217	1289	ab14748	Set173	ATP5A	2.958664
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.5184256
AGID02150	2456	13934	Set173	ATR	-0.1431419
AGID00315	1795	ab178407	Set173	ATR_pS428	0.3398276
AGID00268	1569	ab97508	Set173	ATRX	-0.5062674
AGID00391	2332	14475	Set173	Aurora-A	-0.6923693
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.1395591
AGID02195	2512	MA5-27890	Set173	Aurora-B	-0.1327075
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.7141309
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.3602366
AGID00301	1725	14058	Set173	B7-H3	-0.546587
AGID00302	1726	14572	Set173	B7-H4	0.07395254
AGID00008	63	9291	Old	BAD_pS112	-0.0031637
AGID00009	71	1542-1/ab32371	Old	BAK	-0.57955
AGID00192	1207	sc-28383	Old	BAP1C4	-0.48418
AGID00010	73	2772	Old	BAX	-0.095446
AGID00433	80	M0887	Old	BCL2	0.62754
