AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.30659
AGID00111	913	sc-23957	Old	1433EPSILON	0.10871
AGID00101	883	sc-1019	Old	1433ZETA	-0.64213
AGID00001	2	9452	Old	4EBP1	-1.0891
AGID00002	3	9456	Old	4EBP1_pS65	-0.31278
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.27612
AGID00443	8	9455	Old	4EBP1_pT70	-0.30425
AGID00120	985	4937	Old	53BP1	-0.017389
AGID00004	13	3661	Old	ACC_pS79	-1.4088
AGID00005	14	1768-1/ab45174	Old	ACC1	-2.2262
AGID00408	2372	3658	Set173	AceCS1	-1.142714
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.85385
AGID00404	2367	9189	Set173	ACSL1	-0.5564219
AGID02144	2450	PA5-27081	Old	ACVRL1	0.26182
AGID00186	1198	ab88574	Old	ADAR1	-0.44082
AGID00146	1084	4691	Old	AKT	0.035203
AGID00028	230	9271	Old	AKT_pS473	1.5035
AGID00170	1154	2965	Old	AKT_pT308	0.95394
AGID00316	1800	3063	Set173	Akt2	-0.06031383
AGID00347	2009	8599	Set173	Akt2_pS474	1.781526
AGID02215	2577	ab195377	Set173	ALKBH5	-0.2619838
AGID00498	924	CA1030	Old	ALPHACATENIN	0.66501
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.3169591
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.6308841
AGID00006	39	2532	Old	AMPKALPHA	0.039451
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.1905
AGID00193	1208	610066	Old	ANNEXIN1	1.0366
AGID00166	1142	610668	Old	ANNEXINVII	0.01003
AGID00371	756	1852-1/ab52615	Old	AR	0.062154
AGID00194	1217	4432	Old	ARAF	-0.14045
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.020611
AGID00260	1053	sc-32761	Old	ARID1A	0.32559
AGID00264	1560	HPA029318	Old	ASNS	-0.6478
AGID00276	1612	3415	Set173	Atg3	0.05139336
AGID00309	1775	13507	Set173	Atg4B	-0.1222468
AGID00310	1776	12994	Set173	Atg5	-0.3108496
AGID00277	1613	8558	Set173	Atg7	-0.5676606
AGID00242	1363	2873	Old	ATM	-0.54403
AGID02142	2447	13050	Set173	ATM_pS1981	3.175235
AGID00217	1289	ab14748	Set173	ATP5A	-0.2409817
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.2321322
AGID02150	2456	13934	Set173	ATR	1.315079
AGID00315	1795	ab178407	Set173	ATR_pS428	0.1180981
AGID00268	1569	ab97508	Set173	ATRX	0.1816643
AGID00391	2332	14475	Set173	Aurora-A	-0.8951228
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	0.1038635
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.5767589
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.9431449
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	0.04041997
AGID00301	1725	14058	Set173	B7-H3	-0.8829654
AGID00302	1726	14572	Set173	B7-H4	0.07384023
AGID00008	63	9291	Old	BAD_pS112	0.53977
AGID00009	71	1542-1/ab32371	Old	BAK	-0.75235
AGID00192	1207	sc-28383	Old	BAP1C4	-0.51444
AGID00010	73	2772	Old	BAX	0.12081
AGID00433	80	M0887	Old	BCL2	1.8573
AGID00219	1299	PAB8528	Old	BCL2A1	0.26618
AGID00012	84	1018-1	Old	BCLXL	-0.20794
AGID00377	87	sc-10086	Old	BECLIN	0.070738
AGID00011	75	9562	Old	BETACATENIN	0.68354
AGID00013	88	1008-1/ab32060	Old	BID	0.36428
AGID00180	90	1036-1/ab32158	Old	BIM	-0.41755
AGID00221	1311	610978	Set173	BiP-GRP78	0.4987751
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	0.2126108
AGID00355	92	1647/ab33899	Old	BRAF	0.074351
AGID00014	94	2696	Old	BRAF_pS445	0.23136
AGID00445	761	9012	Old	BRCA2	1.0235
AGID00266	1567	13440	Old	BRD4	-0.80151
AGID00168	1146	2865	Set173	c-Abl_pY412	0.9350246
AGID00278	1615	3130	Set173	c-IAP2	0.07770063
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.095036
AGID00429	2407	2679	Set173	Calnexin	0.2295231
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.7569765
AGID00623	111	9665	Old	CASPASE3	-0.26813
