AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.17905
AGID00111	913	sc-23957	Old	1433EPSILON	0.46386
AGID00101	883	sc-1019	Old	1433ZETA	-0.4003
AGID00001	2	9452	Old	4EBP1	-0.58485
AGID00002	3	9456	Old	4EBP1_pS65	-0.45298
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.58013
AGID00443	8	9455	Old	4EBP1_pT70	-0.36879
AGID00120	985	4937	Old	53BP1	-0.87057
AGID00004	13	3661	Old	ACC_pS79	-0.57477
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.3138
AGID00408	2372	3658	Set173	AceCS1	-0.7424583
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.19835
AGID00404	2367	9189	Set173	ACSL1	-0.3824433
AGID02144	2450	PA5-27081	Old	ACVRL1	0.20484
AGID00186	1198	ab88574	Old	ADAR1	0.28039
AGID00146	1084	4691	Old	AKT	-0.084243
AGID00028	230	9271	Old	AKT_pS473	-0.10671
AGID00170	1154	2965	Old	AKT_pT308	-0.56395
AGID00316	1800	3063	Set173	Akt2	0.3618533
AGID00347	2009	8599	Set173	Akt2_pS474	0.2752281
AGID02215	2577	ab195377	Set173	ALKBH5	-0.4231147
AGID00498	924	CA1030	Old	ALPHACATENIN	0.48193
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.03161119
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.1321075
AGID00006	39	2532	Old	AMPKALPHA	0.22902
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.50503
AGID00193	1208	610066	Old	ANNEXIN1	2.3295
AGID00166	1142	610668	Old	ANNEXINVII	0.22004
AGID00371	756	1852-1/ab52615	Old	AR	-0.50935
AGID00194	1217	4432	Old	ARAF	-0.28287
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.34083
AGID00260	1053	sc-32761	Old	ARID1A	-0.073093
AGID00264	1560	HPA029318	Old	ASNS	-0.44027
AGID00276	1612	3415	Set173	Atg3	0.5365246
AGID00309	1775	13507	Set173	Atg4B	0.4501856
AGID00310	1776	12994	Set173	Atg5	0.04474986
AGID00277	1613	8558	Set173	Atg7	0.2911195
AGID00242	1363	2873	Old	ATM	0.018826
AGID02142	2447	13050	Set173	ATM_pS1981	0.7635532
AGID00217	1289	ab14748	Set173	ATP5A	1.07737
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.4020094
AGID02150	2456	13934	Set173	ATR	0.1127207
AGID00315	1795	ab178407	Set173	ATR_pS428	0.3253719
AGID00268	1569	ab97508	Set173	ATRX	-0.5539373
AGID00391	2332	14475	Set173	Aurora-A	-0.9720306
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.2920127
AGID02195	2512	MA5-27890	Set173	Aurora-B	-0.4940633
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.2721997
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.4935089
AGID00301	1725	14058	Set173	B7-H3	-0.002030177
AGID00302	1726	14572	Set173	B7-H4	-0.1960988
AGID00008	63	9291	Old	BAD_pS112	0.2175
AGID00009	71	1542-1/ab32371	Old	BAK	0.143
AGID00192	1207	sc-28383	Old	BAP1C4	-0.5037
AGID00010	73	2772	Old	BAX	0.22944
AGID00433	80	M0887	Old	BCL2	0.51072
AGID00219	1299	PAB8528	Old	BCL2A1	-0.19107
AGID00012	84	1018-1	Old	BCLXL	0.34483
AGID00377	87	sc-10086	Old	BECLIN	0.063176
AGID00011	75	9562	Old	BETACATENIN	0.44537
AGID00013	88	1008-1/ab32060	Old	BID	-0.16131
AGID00180	90	1036-1/ab32158	Old	BIM	-0.38629
AGID00221	1311	610978	Set173	BiP-GRP78	0.7704571
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.05598522
AGID00355	92	1647/ab33899	Old	BRAF	-0.47006
AGID00014	94	2696	Old	BRAF_pS445	-0.26486
AGID00445	761	9012	Old	BRCA2	0.078842
AGID00266	1567	13440	Old	BRD4	-1.7966
AGID00168	1146	2865	Set173	c-Abl_pY412	-0.01174577
AGID00278	1615	3130	Set173	c-IAP2	-0.5620925
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.54467
AGID00429	2407	2679	Set173	Calnexin	0.07473085
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.8026088
AGID00623	111	9665	Old	CASPASE3	-0.29346
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.59895
AGID00118	951	9746	Old	CASPASE8	-0.0087277
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.063367
AGID00358	2100	ab76000	Set173	CD134	-0.2277109
AGID00303	1737	826701	Set173	CD171	0.8160263
AGID00410	125	1632-1/ab78237	Old	CD20	0.147
AGID00220	1308	ab28340	Old	CD26	0.072684
AGID00191	1206	610467	Set173	CD29	0.3287595
AGID00017	127	M0823	Old	CD31	0.46624
AGID00369	2174	ab108403	Set173	CD38	0.3472641
AGID00359	2104	ab133616	Set173	CD4	-0.0663551
AGID00411	1398	3570	Set173	CD44	0.2821386
AGID00237	1352	M070101-2	Set173	CD45	0.4049717
AGID00115	937	611016	Old	CD49B	0.3407
AGID02171	2482	91882	Set173	CD86	1.872892
AGID00329	1873	4688	Set173	cdc25C	0.04252394
AGID00227	1332	4651	Set173	Cdc42	0.129778
AGID00422	2396	3387	Set173	Cdc6	-0.2431085
AGID00501	1007	9112	Old	CDK1	0.30622
AGID00293	1658	ab32384	Set173	CDK1_pT14	-0.7020474
AGID00314	1783	4539	Old	CDK1_pY15	0.096217
AGID00423	2397	8064	Set173	CDT1	-0.4578989
AGID02101	2348	15102	Set173	cGAS	0.54692
AGID00447	2410	13460	Set173	CHD1L	-0.03652839
AGID00189	1203	2360	Old	CHK1	0.121
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.37897
AGID00107	903	2348	Old	CHK1_pS345	0.084002
AGID00018	146	3440	Old	CHK2	-0.22642
AGID00019	147	2197	Old	CHK2_pT68	0.19738
AGID00527	2078	4952	Old	CIAP	0.065809
AGID00350	2018	3793	Set173	CIITA	0.3255175
AGID00434	155	9164	Old	CJUN_pS73	0.15927
AGID00020	157	1522-1/ab32363	Old	CKIT	0.34982
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.9997
AGID00466	726	3127	Old	CMET	0.25657
AGID00079	727	3129	Old	CMET_pY1235	0.019758
AGID00167	161	9402	Old	CMYC	-0.40753
AGID00292	1656	11130-1-AP	Old	COG3	-0.11081
AGID00021	171	sc-20649	Old	COLLAGENVI	0.051665
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set173	Connexin-43	-0.05899065
AGID00269	1571	6434	Set173	Coup-TFII	-0.6852639
AGID00150	1116	4850	Set173	Cox-IV	1.330162
AGID00195	1218	4842	Set173	Cox2	-0.1671147
AGID00188	803	05-739	Old	CRAF	-0.083993
AGID00022	179	9427	Old	CRAF_pS338	0.35983
AGID00023	181	9197	Set173	Creb	-0.4547951
AGID00393	2334	9198	Set173	CREB_pS133	-0.3958606
AGID00365	2155	4980	Set173	CSK	0.03080494
AGID00367	2160	9201	Set173	CtIP	-0.00332649
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set173	Cyclin-D3	0.2006371
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.4635
AGID00382	194	sc-718	Old	CYCLIND1	-0.053351
AGID00437	199	sc-25303	Old	CYCLINE1	-0.31822
AGID00449	202	1142-1	Old	CYCLINE2	0.29343
AGID00209	1257	ab110324	Set173	Cyclophilin-F	0.3921838
AGID00247	1379	ab48389	Set173	D-a-Tubulin	0.07007937
AGID00308	1770	GTX10524	Set173	DAPK1_pS308	-0.3928321
AGID00304	1744	ab51601	Set173	DAPK2	0.3173894
AGID00343	1980	6998	Set173	DDB-1	0.1340703
AGID00427	2402	5583	Set173	DDR1	0.1436007
AGID00428	2403	SAB4504671	Set173	DDR1_pY513	0.411839
AGID00532	1273	Bast Lab	Old	DIRAS3	0.14626
AGID00104	891	ab76008	Old	DJ1	0.29748
AGID02146	2452	4658	Set173	DM-Histone-H3	-0.1784272
AGID00386	1397	ab32521	Set173	DM-K9-Histone-H3	-0.3283606
AGID00352	2030	14649	Set173	DNA-Ligase-IV	0.4701665
AGID00407	2371	13609	Set173	DNA_POLG	0.5903782
AGID00399	2344	5032	Set173	DNMT1	-0.6304431
AGID00409	2373	5391	Set173	DRP1	-0.08322069
AGID00253	1406	5149	Old	DUSP4	0.53726
AGID00334	1936	ab76310	Set173	DUSP6	1.201545
AGID00116	940	3218	Old	DVL3	-0.1265
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.52737
AGID00135	1060	2332	Old	EEF2	-0.60151
AGID00136	1061	3692	Old	EEF2K	-0.34004
AGID00152	1120	2232	Old	EGFR	0.023081
AGID00450	217	2234	Old	EGFR_pY1068	0.5392
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.099656
AGID00078	722	9742	Old	EIF4E	-0.63583
AGID00328	1871	ab76256	Set173	eIF4E_pS209	0.1275089
AGID00154	1124	2498	Old	EIF4G	-0.8156
AGID00027	228	9181	Set173	Elk1_pS383	3.052273
AGID00235	1350	M061329-2	Set173	EMA	-0.6573156
AGID00394	2337	3810	Set173	Enolase-1	-0.188907
AGID00395	2338	8171	Set173	Enolase-2	-0.2658114
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set173	EphA2	0.5915296
AGID00552	2422	6347	Set173	EphA2_pS897	0.1795428
AGID00553	2423	12677	Set173	EphA2_pY588	-0.2752271
AGID00075	693	556347	Old	EPPK1	-0.2078
AGID00335	238	RM-9101	Old	ERALPHA	-1.1044
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.43901
AGID00240	247	MS-671	Old	ERCC1	0.14986
AGID00239	1355	11331-1-AP	Old	ERCC5	-0.92187
AGID00484	249	sc-154	Old	ERK2	0.36325
AGID00372	2193	3552	Set173	Erk5	0.4962986
AGID00405	2369	13826	Set173	ERRalpha	-0.4241745
AGID00187	1200	A303-501A	Old	ETS1	0.36232
AGID00511	2492	2593	Set173	EVI1	0.1707686
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set173	FAK	-0.363855
AGID02151	2457	8556	Set173	FAK_pY397	-0.04968233
AGID00171	1156	3180	Old	FASN	-1.9143
AGID00356	2085	500-P18/10775-082	Set173	FGF-basic	-0.9078776
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	2.5739
AGID00339	1959	4403	Set173	FN14	0.5183735
AGID02152	2458	20459	Old	FOXM1	-0.19229
AGID00378	269	9467	Old	FOXO3A	-0.016216
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	-0.069383
AGID02167	2475	PA5-64616	Set173	FRS2-alpha_pY196	-0.1417655
AGID02213	2575	ab124892	Set173	FTO	-0.1457272
AGID02141	2446	12263	Old	G6PD	0.95667
AGID00117	943	3239	Old	GAB2	-0.42307
AGID00412	274	AM4300	Old	GAPDH	-1.318
AGID00086	764	558686	Old	GATA3	0.33164
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set173	GCLC	0.5253029
AGID00305	1745	ab124827	Set173	GCLM	-0.04205395
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set173	Gli1	0.09221445
AGID00263	1520	ab69838	Set173	Gli3	0.1506231
AGID00548	2530	3660	Set173	Glucocorticoid-Receptor	-0.1518517
AGID00387	1617	12793	Set173	Glutamate-D1-2	1.295909
AGID00262	1491	ab156876	Set173	Glutaminase	1.121532
AGID00319	1807	4275	Set173	Granzyme-B	-0.1405099
AGID00368	2169	ab183737	Set173	GRB7	0.3016972
AGID00396	2339	3593	Set173	Grp75	0.2605387
AGID00174	1163	9315	Set173	GSK-3B	-0.5135315
AGID00502	1082	9336	Old	GSK3_pS9	-0.38805
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.18398
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	-0.79352
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set173	H2AX_pS139	0.08468228
AGID00363	1409	MA1-2022	Set173	H2AX_pS140	-0.01461359
AGID00131	1038	MS-325-P1	Old	HER2	-0.31897
AGID00142	299	06-229	Old	HER2_pY1248	0.057585
AGID00110	911	sc-285	Old	HER3	0.3365
AGID00080	728	4791	Old	HER3_pY1289	-0.063147
AGID00103	890	2573	Old	HEREGULIN	0.36247
AGID00271	1582	11988	Set173	HES1	-0.2840762
AGID00397	2340	2024	Set173	Hexokinase-I	0.4630006
AGID00442	1023	2867	Set173	Hexokinase-II	1.382764
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set173	Histone-H3	-0.61087
AGID00398	2341	3377	Set173	Histone-H3_pS10	-0.2956282
AGID00332	1901	ab128959	Set173	HLA-DQA1	-0.4375192
AGID00333	1902	14832-1-AP	Set173	HMHA1	-0.2927938
AGID00035	321	2402	Set173	HSP27	0.145561
AGID00036	323	2401	Set173	HSP27_pS82	-0.09804305
AGID00320	1808	12165	Set173	HSP60	1.359631
AGID00037	325	4872	Old	HSP70	-0.36222
AGID00366	2158	86630	Set173	IDO	0.7618535
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	-0.033094
AGID00038	335	3922	Old	IGFBP2	-0.76989
AGID00090	793	611504	Set173	IGFBP3	0.6360599
AGID00039	336	3027	Set173	IGFRb	-0.2616894
AGID00336	1949	12153	Set173	IL-6	-0.0766435
AGID02221	2583	57145	Set173	IMP3	0.5208433
AGID02153	2459	14543	Old	INPP4B	0.29231
AGID00272	1586	3025	Set173	IR-b	0.2113451
AGID00519	2519	4302	Set173	IRF-3	0.3090704
AGID00520	2520	4947	Set173	IRF-3_pS396	0.2820937
AGID00223	1316	sc-497	Old	IRF1	-0.21528
AGID00092	802	06-248	Old	IRS1	0.3539
AGID00040	371	4502	Set173	IRS2	-0.440165
AGID00250	1394	sc-13157	Old	JAB1	0.39715
AGID00256	1413	ab109536	Set173	Jagged1	0.3048111
AGID00177	1166	3230	Old	JAK2	-0.59127
AGID00758	377	4671	Old	JNK_pT183Y185	0.59289
AGID02136	2439	PA5-28262	Old	JNK2	0.048685
AGID00307	1757	ab10484	Set173	KAP1	-0.7011476
AGID00528	904	2180	Old	KU80	-0.43438
AGID00375	2237	HPA028732	Set173	LAD1	-0.4926717
AGID00290	1643	IHC-00439	Set173	Lasu1	-0.1077041
AGID00279	1618	4108	Set173	LC3A-B	-0.0260081
AGID00042	397	2752	Old	LCK	0.093789
