AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.25962
AGID00111	913	sc-23957	Old	1433EPSILON	0.42051
AGID00101	883	sc-1019	Old	1433ZETA	-0.021832
AGID00001	2	9452	Old	4EBP1	-0.54858
AGID00002	3	9456	Old	4EBP1_pS65	-0.21767
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.44004
AGID00443	8	9455	Old	4EBP1_pT70	-0.24014
AGID00120	985	4937	Old	53BP1	-0.9578
AGID00004	13	3661	Old	ACC_pS79	-0.11012
AGID00005	14	1768-1/ab45174	Old	ACC1	0.29361
AGID00408	2372	3658	Set166	AceCS1	-0.5995287
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	4.4415
AGID00404	2367	9189	Set166	ACSL1	0.860572
AGID02144	2450	PA5-27081	Old	ACVRL1	0.11007
AGID00186	1198	ab88574	Old	ADAR1	0.11389
AGID00146	1084	4691	Old	AKT	-0.13321
AGID00028	230	9271	Old	AKT_pS473	0.06968
AGID00170	1154	2965	Old	AKT_pT308	0.21384
AGID00316	1800	3063	Set166	Akt2	-0.5940305
AGID00347	2009	8599	Set166	Akt2_pS474	-0.1971485
AGID02215	2577	ab195377	Set166	ALKBH5	-0.4367552
AGID00498	924	CA1030	Old	ALPHACATENIN	-0.15221
AGID00287	1630	ABC80	Set166	Ambra1_pS52	-0.02562618
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.3773492
AGID00006	39	2532	Old	AMPKALPHA	-0.20332
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.28972
AGID00193	1208	610066	Old	ANNEXIN1	-1.6365
AGID00166	1142	610668	Old	ANNEXINVII	0.47113
AGID00371	756	1852-1/ab52615	Old	AR	-0.4498
AGID00194	1217	4432	Old	ARAF	-0.47649
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.10576
AGID00260	1053	sc-32761	Old	ARID1A	0.028042
AGID00264	1560	HPA029318	Old	ASNS	-0.31571
AGID00276	1612	3415	Set166	Atg3	-0.1290169
AGID00309	1775	13507	Set166	Atg4B	2.328105
AGID00310	1776	12994	Set166	Atg5	-0.422861
AGID00277	1613	8558	Set166	Atg7	0.4916803
AGID00242	1363	2873	Old	ATM	-0.31392
AGID02142	2447	13050	Set166	ATM_pS1981	0.1887324
AGID00217	1289	ab14748	Set166	ATP5A	1.359615
