AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.059389
AGID00111	913	sc-23957	Old	1433EPSILON	0.24418
AGID00101	883	sc-1019	Old	1433ZETA	-0.47631
AGID00001	2	9452	Old	4EBP1	-0.48466
AGID00002	3	9456	Old	4EBP1_pS65	0.11011
AGID00003	6	9459	Old	4EBP1_pT37T46	1.3071
AGID00443	8	9455	Old	4EBP1_pT70	-0.41603
AGID00120	985	4937	Old	53BP1	0.054105
AGID00004	13	3661	Old	ACC_pS79	0.25143
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.035994
AGID00408	2372	3658	Set166	AceCS1	-0.5604593
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	4.1218
AGID00404	2367	9189	Set166	ACSL1	0.6118851
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.082904
AGID00186	1198	ab88574	Old	ADAR1	-0.014894
AGID00146	1084	4691	Old	AKT	-0.29398
AGID00028	230	9271	Old	AKT_pS473	1.0758
AGID00170	1154	2965	Old	AKT_pT308	0.80633
AGID00316	1800	3063	Set166	Akt2	-0.4501636
AGID00347	2009	8599	Set166	Akt2_pS474	0.4114307
AGID02215	2577	ab195377	Set166	ALKBH5	-0.0576201
AGID00498	924	CA1030	Old	ALPHACATENIN	-0.55811
AGID00287	1630	ABC80	Set166	Ambra1_pS52	0.2634775
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.183335
AGID00006	39	2532	Old	AMPKALPHA	-0.16683
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.061917
AGID00193	1208	610066	Old	ANNEXIN1	-1.6342
AGID00166	1142	610668	Old	ANNEXINVII	0.12399
AGID00371	756	1852-1/ab52615	Old	AR	-0.6765
AGID00194	1217	4432	Old	ARAF	-0.5131
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.00080419
AGID00260	1053	sc-32761	Old	ARID1A	0.19189
AGID00264	1560	HPA029318	Old	ASNS	-0.15729
AGID00276	1612	3415	Set166	Atg3	-0.05086585
AGID00309	1775	13507	Set166	Atg4B	2.646854
AGID00310	1776	12994	Set166	Atg5	-0.4241469
AGID00277	1613	8558	Set166	Atg7	0.6021103
AGID00242	1363	2873	Old	ATM	-0.28482
AGID02142	2447	13050	Set166	ATM_pS1981	1.032305
AGID00217	1289	ab14748	Set166	ATP5A	0.5656647
AGID02145	2451	PA5-43776	Set166	ATP5H	-0.4305819
AGID02150	2456	13934	Set166	ATR	-0.4431442
AGID00315	1795	ab178407	Set166	ATR_pS428	0.1407367
AGID00268	1569	ab97508	Set166	ATRX	-0.3512366
AGID00391	2332	14475	Set166	Aurora-A	-0.6565156
AGID00392	2333	2914	Set166	Aurora-ABC_pT288_pT232_pT198	-0.07765878
AGID02195	2512	MA5-27890	Set166	Aurora-B	-0.6011494
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set166	b-Actin	-0.1208735
AGID00179	1170	9565	Set166	b-Catenin_pT41_S45	0.0005719301
AGID00301	1725	14058	Set166	B7-H3	-0.1500493
AGID00302	1726	14572	Set166	B7-H4	-0.3087606
AGID00008	63	9291	Old	BAD_pS112	0.068307
AGID00009	71	1542-1/ab32371	Old	BAK	-0.69815
AGID00192	1207	sc-28383	Old	BAP1C4	-0.41065
AGID00010	73	2772	Old	BAX	-0.91463
AGID00433	80	M0887	Old	BCL2	0.51829
AGID00219	1299	PAB8528	Old	BCL2A1	-0.32276
AGID00012	84	1018-1	Old	BCLXL	-0.30735
AGID00377	87	sc-10086	Old	BECLIN	-0.084718
AGID00011	75	9562	Old	BETACATENIN	0.88257
AGID00013	88	1008-1/ab32060	Old	BID	-0.5858
AGID00180	90	1036-1/ab32158	Old	BIM	-0.027035
AGID00221	1311	610978	Set166	BiP-GRP78	-0.1369435
AGID00373	2194	07-507	Set166	BMK1-Erk5_pT218_Y220	0.2397741
AGID00355	92	1647/ab33899	Old	BRAF	1.0146
AGID00014	94	2696	Old	BRAF_pS445	0.42935
AGID00445	761	9012	Old	BRCA2	-0.34788
AGID00266	1567	13440	Old	BRD4	-1.0398
AGID00168	1146	2865	Set166	c-Abl_pY412	-0.1265655
AGID00278	1615	3130	Set166	c-IAP2	-0.03415826
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.037473
AGID00429	2407	2679	Set166	Calnexin	-0.2164245
AGID00176	1165	9496	Set166	Caspase-8-cleaved	-0.2729449
AGID00623	111	9665	Old	CASPASE3	-0.14683
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.89882
AGID00118	951	9746	Old	CASPASE8	-0.33393
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-1.3472
AGID00358	2100	ab76000	Set166	CD134	-0.3129762
AGID00303	1737	826701	Set166	CD171	6.573178
AGID00410	125	1632-1/ab78237	Old	CD20	-0.24676
AGID00220	1308	ab28340	Old	CD26	-0.44818
AGID00191	1206	610467	Set166	CD29	0.2040394
AGID00017	127	M0823	Old	CD31	0.016465
AGID00369	2174	ab108403	Set166	CD38	1.162485
AGID00359	2104	ab133616	Set166	CD4	-1.664827
AGID00411	1398	3570	Set166	CD44	1.322385
AGID00237	1352	M070101-2	Set166	CD45	-0.1257303
AGID00115	937	611016	Old	CD49B	-0.28991
AGID02171	2482	91882	Set166	CD86	0.4967676
AGID00329	1873	4688	Set166	cdc25C	-0.2810295
AGID00227	1332	4651	Set166	Cdc42	0.1589979
AGID00422	2396	3387	Set166	Cdc6	-0.4027295
AGID00501	1007	9112	Old	CDK1	-0.038038
AGID00293	1658	ab32384	Set166	CDK1_pT14	-1.463799
AGID00314	1783	4539	Old	CDK1_pY15	0.0822
AGID00423	2397	8064	Set166	CDT1	-0.7118708
AGID02101	2348	15102	Set166	cGAS	0.2383534
AGID00447	2410	13460	Set166	CHD1L	0.619901
AGID00189	1203	2360	Old	CHK1	0.19364
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.35861
AGID00107	903	2348	Old	CHK1_pS345	0.276
AGID00018	146	3440	Old	CHK2	-0.67862
AGID00019	147	2197	Old	CHK2_pT68	0.025524
AGID00527	2078	4952	Old	CIAP	0.17378
AGID00350	2018	3793	Set166	CIITA	-0.2220944
AGID00434	155	9164	Old	CJUN_pS73	0.22483
AGID00020	157	1522-1/ab32363	Old	CKIT	0.50076
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.6044
AGID00466	726	3127	Old	CMET	0.024818
AGID00079	727	3129	Old	CMET_pY1235	-0.13051
AGID00167	161	9402	Old	CMYC	-0.46919
AGID00292	1656	11130-1-AP	Old	COG3	-0.6264
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.42613
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set166	Connexin-43	3.904551
AGID00269	1571	6434	Set166	Coup-TFII	-0.7870644
AGID00150	1116	4850	Set166	Cox-IV	0.2415452
AGID00195	1218	4842	Set166	Cox2	-0.007981946
AGID00188	803	05-739	Old	CRAF	0.028716
AGID00022	179	9427	Old	CRAF_pS338	0.098615
AGID00023	181	9197	Set166	Creb	-0.564909
AGID00393	2334	9198	Set166	CREB_pS133	0.1385855
AGID00365	2155	4980	Set166	CSK	-0.259393
AGID00367	2160	9201	Set166	CtIP	-0.5460196
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set166	Cyclin-D3	0.1339442
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.9119
AGID00382	194	sc-718	Old	CYCLIND1	0.80768
AGID00437	199	sc-25303	Old	CYCLINE1	-0.5132
AGID00449	202	1142-1	Old	CYCLINE2	-0.059508
AGID00209	1257	ab110324	Set166	Cyclophilin-F	0.2941243
AGID00247	1379	ab48389	Set166	D-a-Tubulin	0.8484034
AGID00308	1770	GTX10524	Set166	DAPK1_pS308	0.4580851
AGID00304	1744	ab51601	Set166	DAPK2	-0.1041981
AGID00343	1980	6998	Set166	DDB-1	-0.03603129
AGID00427	2402	5583	Set166	DDR1	1.175034
AGID00428	2403	SAB4504671	Set166	DDR1_pY513	0.2310064
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.030834
AGID00104	891	ab76008	Old	DJ1	0.30641
AGID02146	2452	4658	Set166	DM-Histone-H3	-0.357938
AGID00386	1397	ab32521	Set166	DM-K9-Histone-H3	-0.2675569
AGID00352	2030	14649	Set166	DNA-Ligase-IV	-0.7045963
AGID00407	2371	13609	Set166	DNA_POLG	-0.2875201
AGID00399	2344	5032	Set166	DNMT1	-0.6106565
AGID00409	2373	5391	Set166	DRP1	1.371567
AGID00253	1406	5149	Old	DUSP4	-0.15359
AGID00334	1936	ab76310	Set166	DUSP6	-0.2593915
AGID00116	940	3218	Old	DVL3	0.16526
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-3.1228
AGID00135	1060	2332	Old	EEF2	-1.1735
AGID00136	1061	3692	Old	EEF2K	-0.25913
AGID00152	1120	2232	Old	EGFR	0.13765
AGID00450	217	2234	Old	EGFR_pY1068	0.52574
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.076479
AGID00078	722	9742	Old	EIF4E	-0.34404
AGID00328	1871	ab76256	Set166	eIF4E_pS209	-0.3731733
AGID00154	1124	2498	Old	EIF4G	-0.60087
AGID00027	228	9181	Set166	Elk1_pS383	0.1230298
AGID00235	1350	M061329-2	Set166	EMA	-2.833121
AGID00394	2337	3810	Set166	Enolase-1	0.4225518
AGID00395	2338	8171	Set166	Enolase-2	2.173145
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set166	EphA2	-0.3493206
AGID00552	2422	6347	Set166	EphA2_pS897	0.8269308
AGID00553	2423	12677	Set166	EphA2_pY588	0.4662867
AGID00075	693	556347	Old	EPPK1	-2.5718
