AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.067185
AGID00111	913	sc-23957	Old	1433EPSILON	0.081152
AGID00101	883	sc-1019	Old	1433ZETA	0.25213
AGID00001	2	9452	Old	4EBP1	0.18531
AGID00002	3	9456	Old	4EBP1_pS65	0.6457
AGID00003	6	9459	Old	4EBP1_pT37T46	1.0555
AGID00443	8	9455	Old	4EBP1_pT70	0.31607
AGID00120	985	4937	Old	53BP1	0.60679
AGID00004	13	3661	Old	ACC_pS79	-0.15285
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.30424
AGID00408	2372	3658	Set166	AceCS1	-0.9033093
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	4.5352
AGID00404	2367	9189	Set166	ACSL1	0.09829016
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.29846
AGID00186	1198	ab88574	Old	ADAR1	-0.26225
AGID00146	1084	4691	Old	AKT	0.6986
AGID00028	230	9271	Old	AKT_pS473	0.92327
AGID00170	1154	2965	Old	AKT_pT308	0.57344
AGID00316	1800	3063	Set166	Akt2	-0.07876407
AGID00347	2009	8599	Set166	Akt2_pS474	-0.6922467
AGID02215	2577	ab195377	Set166	ALKBH5	0.01747357
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set166	Ambra1_pS52	0.3104457
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.4216881
AGID00006	39	2532	Old	AMPKALPHA	0.089499
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.47399
AGID00193	1208	610066	Old	ANNEXIN1	-2.4434
AGID00166	1142	610668	Old	ANNEXINVII	-0.15702
AGID00371	756	1852-1/ab52615	Old	AR	-0.67487
AGID00194	1217	4432	Old	ARAF	-0.16159
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.27955
AGID00260	1053	sc-32761	Old	ARID1A	0.7907
AGID00264	1560	HPA029318	Old	ASNS	0.11441
AGID00276	1612	3415	Set166	Atg3	-0.09237013
AGID00309	1775	13507	Set166	Atg4B	1.01095
AGID00310	1776	12994	Set166	Atg5	-0.2021998
AGID00277	1613	8558	Set166	Atg7	-0.1238682
AGID00242	1363	2873	Old	ATM	0.98198
AGID02142	2447	13050	Set166	ATM_pS1981	0.3803744
AGID00217	1289	ab14748	Set166	ATP5A	0.489092
AGID02145	2451	PA5-43776	Set166	ATP5H	-0.5440754
AGID02150	2456	13934	Set166	ATR	-0.2239448
AGID00315	1795	ab178407	Set166	ATR_pS428	0.3048878
AGID00268	1569	ab97508	Set166	ATRX	-1.068263
AGID00391	2332	14475	Set166	Aurora-A	0.2539267
AGID00392	2333	2914	Set166	Aurora-ABC_pT288_pT232_pT198	-0.08986303
AGID02195	2512	MA5-27890	Set166	Aurora-B	0.531105
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set166	b-Actin	-0.4767035
AGID00179	1170	9565	Set166	b-Catenin_pT41_S45	-0.2254164
AGID00301	1725	14058	Set166	B7-H3	-0.8972727
AGID00302	1726	14572	Set166	B7-H4	-0.4759529
AGID00008	63	9291	Old	BAD_pS112	-0.06492
AGID00009	71	1542-1/ab32371	Old	BAK	-0.86991
AGID00192	1207	sc-28383	Old	BAP1C4	-0.15346
AGID00010	73	2772	Old	BAX	0.50447
AGID00433	80	M0887	Old	BCL2	-0.62436
AGID00219	1299	PAB8528	Old	BCL2A1	-0.19672
AGID00012	84	1018-1	Old	BCLXL	0.16364
AGID00377	87	sc-10086	Old	BECLIN	-0.087698
AGID00011	75	9562	Old	BETACATENIN	1.2895
