AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.2414845
AGID00111	913	sc-23957	Old	1433EPSILON	0.2176
AGID00101	883	sc-1019	Old	1433ZETA	0.872265
AGID00001	2	9452	Old	4EBP1	-0.5508
AGID00002	3	9456	Old	4EBP1_pS65	-0.26866
AGID00003	6	9459	Old	4EBP1_pT37T46	0.890185
AGID00443	8	9455	Old	4EBP1_pT70	-0.71123
AGID00120	985	4937	Old	53BP1	-1.0726
AGID00004	13	3661	Old	ACC_pS79	0.569455
AGID00005	14	1768-1/ab45174	Old	ACC1	0.462295
AGID00408	2372	3658	Set163	AceCS1	1.332346
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.10622
AGID00404	2367	9189	Set163	ACSL1	2.509086
AGID02144	2450	PA5-27081	Old	ACVRL1	0.42776
AGID00186	1198	ab88574	Old	ADAR1	-0.954715
AGID00146	1084	4691	Old	AKT	-0.179535
AGID00028	230	9271	Old	AKT_pS473	1.747
AGID00170	1154	2965	Old	AKT_pT308	0.78321
AGID00316	1800	3063	Set163	Akt2	1.019111
AGID00347	2009	8599	Set163	Akt2_pS474	0.4657158
AGID02215	2577	ab195377	Set163	ALKBH5	-0.8110089
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.4835195
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.08349123
AGID00006	39	2532	Old	AMPKALPHA	-0.1330085
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.31171
AGID00193	1208	610066	Old	ANNEXIN1	1.32385
AGID00166	1142	610668	Old	ANNEXINVII	0.29086
AGID00371	756	1852-1/ab52615	Old	AR	-0.0805
AGID00194	1217	4432	Old	ARAF	-0.460975
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.032676
AGID00260	1053	sc-32761	Old	ARID1A	-1.15473
AGID00264	1560	HPA029318	Old	ASNS	-0.47322
AGID00276	1612	3415	Set163	Atg3	-0.2516637
AGID00309	1775	13507	Set163	Atg4B	0.2391658
AGID00310	1776	12994	Set163	Atg5	0.05408623
AGID00277	1613	8558	Set163	Atg7	0.4244763
AGID00242	1363	2873	Old	ATM	-0.738695
AGID02142	2447	13050	Set163	ATM_pS1981	-0.3094988
AGID00217	1289	ab14748	Set163	ATP5A	1.242186
AGID02145	2451	PA5-43776	Set163	ATP5H	1.520601
AGID02150	2456	13934	Set163	ATR	0.4691733
AGID00315	1795	ab178407	Set163	ATR_pS428	-1.78258
AGID00268	1569	ab97508	Set163	ATRX	-1.203296
AGID00391	2332	14475	Set163	Aurora-A	-0.9363237
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.3542437
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.55483
AGID00215	1271	8661	Old	AXL	-0.503815
AGID02143	2449	8457	Set163	b-Actin	0.8921161
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.1679287
AGID00301	1725	14058	Set163	B7-H3	-0.1520346
AGID00302	1726	14572	Set163	B7-H4	-0.08166902
AGID00008	63	9291	Old	BAD_pS112	0.01104
AGID00009	71	1542-1/ab32371	Old	BAK	0.423215
AGID00192	1207	sc-28383	Old	BAP1C4	-0.567275
AGID00010	73	2772	Old	BAX	0.3523
AGID00433	80	M0887	Old	BCL2	0.911905
AGID00219	1299	PAB8528	Old	BCL2A1	0.88442
AGID00012	84	1018-1	Old	BCLXL	0.06953
AGID00377	87	sc-10086	Old	BECLIN	-1.095195
AGID00011	75	9562	Old	BETACATENIN	-1.04459
AGID00013	88	1008-1/ab32060	Old	BID	1.001075
AGID00180	90	1036-1/ab32158	Old	BIM	0.420065
