AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.23198
AGID00111	913	sc-23957	Old	1433EPSILON	-0.054214
AGID00101	883	sc-1019	Old	1433ZETA	-0.13872
AGID00001	2	9452	Old	4EBP1	-0.31662
AGID00002	3	9456	Old	4EBP1_pS65	-0.30293
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.1442
AGID00443	8	9455	Old	4EBP1_pT70	-0.063999
AGID00120	985	4937	Old	53BP1	-0.71172
AGID00004	13	3661	Old	ACC_pS79	-0.0093826
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.31011
AGID00408	2372	3658	Set163	AceCS1	0.3549795
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.0269
AGID00404	2367	9189	Set163	ACSL1	0.38524
AGID02144	2450	PA5-27081	Old	ACVRL1	0.42307
AGID00186	1198	ab88574	Old	ADAR1	-0.33688
AGID00146	1084	4691	Old	AKT	-0.27136
AGID00028	230	9271	Old	AKT_pS473	-0.52744
AGID00170	1154	2965	Old	AKT_pT308	-0.10995
AGID00316	1800	3063	Set163	Akt2	-0.787745
AGID00347	2009	8599	Set163	Akt2_pS474	0.6505495
AGID02215	2577	ab195377	Set163	ALKBH5	-1.068555
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.2799842
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.07616493
AGID00006	39	2532	Old	AMPKALPHA	0.27948
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.46716
AGID00193	1208	610066	Old	ANNEXIN1	0.28457
AGID00166	1142	610668	Old	ANNEXINVII	0.14534
AGID00371	756	1852-1/ab52615	Old	AR	1.3047
AGID00194	1217	4432	Old	ARAF	-0.015882
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.038094
AGID00260	1053	sc-32761	Old	ARID1A	-0.20464
AGID00264	1560	HPA029318	Old	ASNS	-0.54851
AGID00276	1612	3415	Set163	Atg3	0.003289955
AGID00309	1775	13507	Set163	Atg4B	0.5240195
AGID00310	1776	12994	Set163	Atg5	-1.09545
AGID00277	1613	8558	Set163	Atg7	-0.45654
AGID00242	1363	2873	Old	ATM	0.62225
AGID02142	2447	13050	Set163	ATM_pS1981	0.5559049
AGID00217	1289	ab14748	Set163	ATP5A	-0.05961063
AGID02145	2451	PA5-43776	Set163	ATP5H	1.509985
AGID02150	2456	13934	Set163	ATR	0.437757
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.9590662
AGID00268	1569	ab97508	Set163	ATRX	-1.498423
AGID00391	2332	14475	Set163	Aurora-A	0.04630002
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.06183997
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.02069629
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set163	b-Actin	0.04650975
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.223215
AGID00301	1725	14058	Set163	B7-H3	-0.9520509
AGID00302	1726	14572	Set163	B7-H4	0.2878547
AGID00008	63	9291	Old	BAD_pS112	-0.12322
AGID00009	71	1542-1/ab32371	Old	BAK	0.13555
AGID00192	1207	sc-28383	Old	BAP1C4	-0.62673
AGID00010	73	2772	Old	BAX	-0.4925
AGID00433	80	M0887	Old	BCL2	0.7098
AGID00219	1299	PAB8528	Old	BCL2A1	1.146
AGID00012	84	1018-1	Old	BCLXL	-0.242
AGID00377	87	sc-10086	Old	BECLIN	0.32979
AGID00011	75	9562	Old	BETACATENIN	-0.93618
AGID00013	88	1008-1/ab32060	Old	BID	0.42195
AGID00180	90	1036-1/ab32158	Old	BIM	0.41046
AGID00221	1311	610978	Set163	BiP-GRP78	-0.1527255
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	-0.2563299
AGID00355	92	1647/ab33899	Old	BRAF	-1.0268
AGID00014	94	2696	Old	BRAF_pS445	-0.34964
AGID00445	761	9012	Old	BRCA2	0.35083
AGID00266	1567	13440	Old	BRD4	-1.1017
AGID00168	1146	2865	Set163	c-Abl_pY412	0.6340893
AGID00278	1615	3130	Set163	c-IAP2	0.1016049
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.033447
AGID00429	2407	2679	Set163	Calnexin	-0.04634024
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.4293949
AGID00623	111	9665	Old	CASPASE3	-0.53865
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.27927
AGID00118	951	9746	Old	CASPASE8	0.085485
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.6231
AGID00358	2100	ab76000	Set163	CD134	0.9165486
AGID00303	1737	826701	Set163	CD171	0.02875
AGID00410	125	1632-1/ab78237	Old	CD20	0.081854
AGID00220	1308	ab28340	Old	CD26	0.2427
AGID00191	1206	610467	Set163	CD29	0.2019597
AGID00017	127	M0823	Old	CD31	0.049511
AGID00369	2174	ab108403	Set163	CD38	0.42711
AGID00359	2104	ab133616	Set163	CD4	-0.3803012
AGID00411	1398	3570	Set163	CD44	0.1532349
AGID00237	1352	M070101-2	Set163	CD45	-0.1865401
AGID00115	937	611016	Old	CD49B	0.019701
AGID02171	2482	91882	Set163	CD86	-0.33961
AGID00329	1873	4688	Set163	cdc25C	-0.668925
AGID00227	1332	4651	Set163	Cdc42	0.2986298
AGID00422	2396	3387	Set163	Cdc6	0.1739699
