AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	1.0174
AGID00111	913	sc-23957	Old	1433EPSILON	-0.016
AGID00101	883	sc-1019	Old	1433ZETA	0.45462
AGID00001	2	9452	Old	4EBP1	-0.56521
AGID00002	3	9456	Old	4EBP1_pS65	-0.4279
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.22988
AGID00443	8	9455	Old	4EBP1_pT70	-0.44414
AGID00120	985	4937	Old	53BP1	-1.369
AGID00004	13	3661	Old	ACC_pS79	0.74264
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.19946
AGID00408	2372	3658	Set163	AceCS1	2.1473
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.38411
AGID00404	2367	9189	Set163	ACSL1	2.81044
AGID02144	2450	PA5-27081	Old	ACVRL1	1.0425
AGID00186	1198	ab88574	Old	ADAR1	-0.50961
AGID00146	1084	4691	Old	AKT	0.10469
AGID00028	230	9271	Old	AKT_pS473	0.72331
AGID00170	1154	2965	Old	AKT_pT308	0.59564
AGID00316	1800	3063	Set163	Akt2	0.5387751
AGID00347	2009	8599	Set163	Akt2_pS474	-0.2048705
AGID02215	2577	ab195377	Set163	ALKBH5	-2.099465
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-1.681206
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-1.578635
AGID00006	39	2532	Old	AMPKALPHA	-0.20093
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.14219
AGID00193	1208	610066	Old	ANNEXIN1	1.4774
AGID00166	1142	610668	Old	ANNEXINVII	0.586
AGID00371	756	1852-1/ab52615	Old	AR	-0.13212
AGID00194	1217	4432	Old	ARAF	0.53991
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.00092823
AGID00260	1053	sc-32761	Old	ARID1A	-0.52017
AGID00264	1560	HPA029318	Old	ASNS	-1.3545
AGID00276	1612	3415	Set163	Atg3	-0.9927
AGID00309	1775	13507	Set163	Atg4B	-0.8565004
AGID00310	1776	12994	Set163	Atg5	-0.80074
AGID00277	1613	8558	Set163	Atg7	-0.6423599
AGID00242	1363	2873	Old	ATM	-0.90174
AGID02142	2447	13050	Set163	ATM_pS1981	-0.9455651
AGID00217	1289	ab14748	Set163	ATP5A	-0.7288606
AGID02145	2451	PA5-43776	Set163	ATP5H	1.673485
AGID02150	2456	13934	Set163	ATR	1.058847
AGID00315	1795	ab178407	Set163	ATR_pS428	-2.203136
AGID00268	1569	ab97508	Set163	ATRX	-1.715083
AGID00391	2332	14475	Set163	Aurora-A	-0.3648099
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.3074301
AGID02195	2512	MA5-27890	Set163	Aurora-B	-1.834066
AGID00215	1271	8661	Old	AXL	1.269
AGID02143	2449	8457	Set163	b-Actin	0.6856098
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.2151751
AGID00301	1725	14058	Set163	B7-H3	-1.379731
AGID00302	1726	14572	Set163	B7-H4	-1.209565
AGID00008	63	9291	Old	BAD_pS112	-0.00068385
AGID00009	71	1542-1/ab32371	Old	BAK	-0.27374
AGID00192	1207	sc-28383	Old	BAP1C4	-0.55643
AGID00010	73	2772	Old	BAX	-1.1303
AGID00433	80	M0887	Old	BCL2	1.6991
AGID00219	1299	PAB8528	Old	BCL2A1	0.92983
AGID00012	84	1018-1	Old	BCLXL	0.32034
AGID00377	87	sc-10086	Old	BECLIN	-0.45485
AGID00011	75	9562	Old	BETACATENIN	-0.60668
AGID00013	88	1008-1/ab32060	Old	BID	0.22611
AGID00180	90	1036-1/ab32158	Old	BIM	-0.62628
AGID00221	1311	610978	Set163	BiP-GRP78	-1.021515
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	-1.05429
AGID00355	92	1647/ab33899	Old	BRAF	-0.9735
AGID00014	94	2696	Old	BRAF_pS445	-0.28031
AGID00445	761	9012	Old	BRCA2	-0.19722
AGID00266	1567	13440	Old	BRD4	-1.5542
AGID00168	1146	2865	Set163	c-Abl_pY412	1.050579
AGID00278	1615	3130	Set163	c-IAP2	-1.889145
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.1293
AGID00429	2407	2679	Set163	Calnexin	1.10363
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.761555
AGID00623	111	9665	Old	CASPASE3	-0.24791
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.63502
AGID00118	951	9746	Old	CASPASE8	0.16527
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	2.7673
AGID00358	2100	ab76000	Set163	CD134	1.253469
AGID00303	1737	826701	Set163	CD171	-1.20947
AGID00410	125	1632-1/ab78237	Old	CD20	0.45793
AGID00220	1308	ab28340	Old	CD26	1.6358
AGID00191	1206	610467	Set163	CD29	0.1694997
AGID00017	127	M0823	Old	CD31	0.50596
AGID00369	2174	ab108403	Set163	CD38	0.7814201
AGID00359	2104	ab133616	Set163	CD4	1.387699
AGID00411	1398	3570	Set163	CD44	0.802035
AGID00237	1352	M070101-2	Set163	CD45	-0.6894501
AGID00115	937	611016	Old	CD49B	-0.5776
AGID02171	2482	91882	Set163	CD86	0.8018601
AGID00329	1873	4688	Set163	cdc25C	-1.922055
AGID00227	1332	4651	Set163	Cdc42	0.2587499
AGID00422	2396	3387	Set163	Cdc6	1.04958
AGID00501	1007	9112	Old	CDK1	0.17214
AGID00293	1658	ab32384	Set163	CDK1_pT14	-2.15699
AGID00314	1783	4539	Old	CDK1_pY15	-1.4284
AGID00423	2397	8064	Set163	CDT1	0.9970146
AGID02101	2348	15102	Set163	cGAS	-1.25659
AGID00447	2410	13460	Set163	CHD1L	-1.694432
AGID00189	1203	2360	Old	CHK1	-0.19951
AGID00234	1348	ab79758	Old	CHK1_pS296	0.49067
AGID00107	903	2348	Old	CHK1_pS345	-0.31327
