AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.24734
AGID00111	913	sc-23957	Old	1433EPSILON	0.081649
AGID00101	883	sc-1019	Old	1433ZETA	0.44769
AGID00001	2	9452	Old	4EBP1	0.32545
AGID00002	3	9456	Old	4EBP1_pS65	-0.53743
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.14628
AGID00443	8	9455	Old	4EBP1_pT70	-0.098629
AGID00120	985	4937	Old	53BP1	-1.9803
AGID00004	13	3661	Old	ACC_pS79	-0.15184
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.18782
AGID00408	2372	3658	Set166	AceCS1	0.1035409
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.40529
AGID00404	2367	9189	Set166	ACSL1	-0.7958652
AGID02144	2450	PA5-27081	Old	ACVRL1	0.16839
AGID00186	1198	ab88574	Old	ADAR1	-0.86517
AGID00146	1084	4691	Old	AKT	-1.6006
AGID00028	230	9271	Old	AKT_pS473	-0.13441
AGID00170	1154	2965	Old	AKT_pT308	-0.33071
AGID00316	1800	3063	Set166	Akt2	-0.3827847
AGID00347	2009	8599	Set166	Akt2_pS474	0.6981062
AGID02215	2577	ab195377	Set166	ALKBH5	-0.4828154
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set166	Ambra1_pS52	-0.2551029
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.1655492
AGID00006	39	2532	Old	AMPKALPHA	-0.29189
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.15513
AGID00193	1208	610066	Old	ANNEXIN1	0.19547
AGID00166	1142	610668	Old	ANNEXINVII	-0.14341
AGID00371	756	1852-1/ab52615	Old	AR	-0.65347
AGID00194	1217	4432	Old	ARAF	0.16694
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.028376
AGID00260	1053	sc-32761	Old	ARID1A	-0.24355
AGID00264	1560	HPA029318	Old	ASNS	1.7516
AGID00276	1612	3415	Set166	Atg3	-0.07580581
AGID00309	1775	13507	Set166	Atg4B	0.2951095
AGID00310	1776	12994	Set166	Atg5	0.5838327
AGID00277	1613	8558	Set166	Atg7	-0.8472605
AGID00242	1363	2873	Old	ATM	-1.1575
AGID02142	2447	13050	Set166	ATM_pS1981	2.013655
AGID00217	1289	ab14748	Set166	ATP5A	-0.9628124
AGID02145	2451	PA5-43776	Set166	ATP5H	-0.323809
AGID02150	2456	13934	Set166	ATR	0.1665126
AGID00315	1795	ab178407	Set166	ATR_pS428	0.1694839
AGID00268	1569	ab97508	Set166	ATRX	-1.50149
AGID00391	2332	14475	Set166	Aurora-A	1.105127
AGID00392	2333	2914	Set166	Aurora-ABC_pT288_pT232_pT198	0.4863116
AGID02195	2512	MA5-27890	Set166	Aurora-B	-0.3942927
AGID00215	1271	8661	Old	AXL	-0.75749
AGID02143	2449	8457	Set166	b-Actin	-0.5961162
AGID00179	1170	9565	Set166	b-Catenin_pT41_S45	-0.7235441
AGID00301	1725	14058	Set166	B7-H3	0.5589123
AGID00302	1726	14572	Set166	B7-H4	-0.05521484
AGID00008	63	9291	Old	BAD_pS112	-0.54493
AGID00009	71	1542-1/ab32371	Old	BAK	-0.41891
AGID00192	1207	sc-28383	Old	BAP1C4	-1.4886
AGID00010	73	2772	Old	BAX	0.38954
AGID00433	80	M0887	Old	BCL2	-0.50587
AGID00219	1299	PAB8528	Old	BCL2A1	0.3226
AGID00012	84	1018-1	Old	BCLXL	0.025115
AGID00377	87	sc-10086	Old	BECLIN	0.25035
AGID00011	75	9562	Old	BETACATENIN	-1.1616
AGID00013	88	1008-1/ab32060	Old	BID	0.32409
AGID00180	90	1036-1/ab32158	Old	BIM	-0.11221
AGID00221	1311	610978	Set166	BiP-GRP78	-0.1141361
AGID00373	2194	07-507	Set166	BMK1-Erk5_pT218_Y220	0.03701636
AGID00355	92	1647/ab33899	Old	BRAF	-1.4677
AGID00014	94	2696	Old	BRAF_pS445	0.065755
AGID00445	761	9012	Old	BRCA2	-0.10399
AGID00266	1567	13440	Old	BRD4	-0.752
AGID00168	1146	2865	Set166	c-Abl_pY412	0.45408
AGID00278	1615	3130	Set166	c-IAP2	-0.2495241
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.13961
AGID00429	2407	2679	Set166	Calnexin	-0.2651329
AGID00176	1165	9496	Set166	Caspase-8-cleaved	-0.04966097
AGID00623	111	9665	Old	CASPASE3	0.42059
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.67118
AGID00118	951	9746	Old	CASPASE8	0.24167
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.3669
AGID00358	2100	ab76000	Set166	CD134	0.1392547
AGID00303	1737	826701	Set166	CD171	0.05727118
AGID00410	125	1632-1/ab78237	Old	CD20	-0.15739
AGID00220	1308	ab28340	Old	CD26	-0.053417
AGID00191	1206	610467	Set166	CD29	0.4038612
AGID00017	127	M0823	Old	CD31	0.86533
AGID00369	2174	ab108403	Set166	CD38	1.288471
AGID00359	2104	ab133616	Set166	CD4	1.166552
AGID00411	1398	3570	Set166	CD44	0.9475596
AGID00237	1352	M070101-2	Set166	CD45	0.1586301
AGID00115	937	611016	Old	CD49B	0.59591
AGID02171	2482	91882	Set166	CD86	1.205165
AGID00329	1873	4688	Set166	cdc25C	-0.1256067
AGID00227	1332	4651	Set166	Cdc42	0.5567983
AGID00422	2396	3387	Set166	Cdc6	0.4418318
AGID00501	1007	9112	Old	CDK1	0.15315
AGID00293	1658	ab32384	Set166	CDK1_pT14	0.8333012
AGID00314	1783	4539	Old	CDK1_pY15	0.20256
AGID00423	2397	8064	Set166	CDT1	0.7123447
AGID02101	2348	15102	Set166	cGAS	-0.08161647
AGID00447	2410	13460	Set166	CHD1L	0.003361667
AGID00189	1203	2360	Old	CHK1	0.97298
AGID00234	1348	ab79758	Old	CHK1_pS296	0.1575
AGID00107	903	2348	Old	CHK1_pS345	-0.091796
AGID00018	146	3440	Old	CHK2	0.085402
AGID00019	147	2197	Old	CHK2_pT68	0.12655
AGID00527	2078	4952	Old	CIAP	0.22229
AGID00350	2018	3793	Set166	CIITA	0.3026038
AGID00434	155	9164	Old	CJUN_pS73	-0.16747
AGID00020	157	1522-1/ab32363	Old	CKIT	0.078553
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.5283
AGID00466	726	3127	Old	CMET	-0.049194
AGID00079	727	3129	Old	CMET_pY1235	0.078456
AGID00167	161	9402	Old	CMYC	-0.49042
AGID00292	1656	11130-1-AP	Old	COG3	-0.80338
AGID00021	171	sc-20649	Old	COLLAGENVI	0.69454
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set166	Connexin-43	-2.198044
AGID00269	1571	6434	Set166	Coup-TFII	-0.308772
AGID00150	1116	4850	Set166	Cox-IV	0.6545135
AGID00195	1218	4842	Set166	Cox2	2.259877
AGID00188	803	05-739	Old	CRAF	-0.37886
AGID00022	179	9427	Old	CRAF_pS338	0.036362
AGID00023	181	9197	Set166	Creb	-0.3013688
AGID00393	2334	9198	Set166	CREB_pS133	-1.230694
AGID00365	2155	4980	Set166	CSK	-0.2825679
AGID00367	2160	9201	Set166	CtIP	0.5750026
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set166	Cyclin-D3	0.5015161
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.92473
AGID00382	194	sc-718	Old	CYCLIND1	-0.1684
AGID00437	199	sc-25303	Old	CYCLINE1	-0.44224
AGID00449	202	1142-1	Old	CYCLINE2	-0.23439
AGID00209	1257	ab110324	Set166	Cyclophilin-F	-0.05082516
AGID00247	1379	ab48389	Set166	D-a-Tubulin	0.5542818
AGID00308	1770	GTX10524	Set166	DAPK1_pS308	-0.4121921
AGID00304	1744	ab51601	Set166	DAPK2	0.3273171
AGID00343	1980	6998	Set166	DDB-1	0.3735638
AGID00427	2402	5583	Set166	DDR1	0.1104401
AGID00428	2403	SAB4504671	Set166	DDR1_pY513	0.5664094
AGID00532	1273	Bast Lab	Old	DIRAS3	0.34921
AGID00104	891	ab76008	Old	DJ1	0.11342
AGID02146	2452	4658	Set166	DM-Histone-H3	0.4302298
AGID00386	1397	ab32521	Set166	DM-K9-Histone-H3	-0.6248725
AGID00352	2030	14649	Set166	DNA-Ligase-IV	0.2042365
AGID00407	2371	13609	Set166	DNA_POLG	-0.5189054
AGID00399	2344	5032	Set166	DNMT1	0.4851182
AGID00409	2373	5391	Set166	DRP1	0.2659043
AGID00253	1406	5149	Old	DUSP4	0.91562
AGID00334	1936	ab76310	Set166	DUSP6	-0.1049154
AGID00116	940	3218	Old	DVL3	-1.0226
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-1.7054
AGID00135	1060	2332	Old	EEF2	0.98379
AGID00136	1061	3692	Old	EEF2K	-2.0003
AGID00152	1120	2232	Old	EGFR	-0.1634
AGID00450	217	2234	Old	EGFR_pY1068	-0.043412
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.00082859
AGID00078	722	9742	Old	EIF4E	0.49828
AGID00328	1871	ab76256	Set166	eIF4E_pS209	-0.1116033
AGID00154	1124	2498	Old	EIF4G	-2.0075
AGID00027	228	9181	Set166	Elk1_pS383	-0.09130048
AGID00235	1350	M061329-2	Set166	EMA	-2.67629
AGID00394	2337	3810	Set166	Enolase-1	0.8323123
AGID00395	2338	8171	Set166	Enolase-2	-0.5832256
AGID00196	1219	GTX629542	Old	ENY2	-0.062051
AGID00438	1849	A302-024A	Set166	EphA2	0.6668944
AGID00552	2422	6347	Set166	EphA2_pS897	0.193734
AGID00553	2423	12677	Set166	EphA2_pY588	0.2110423
AGID00075	693	556347	Old	EPPK1	0.7995
AGID00335	238	RM-9101	Old	ERALPHA	-1.8999
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.65034
AGID00240	247	MS-671	Old	ERCC1	-0.24446
AGID00239	1355	11331-1-AP	Old	ERCC5	0.16081
AGID00484	249	sc-154	Old	ERK2	-0.29748
AGID00372	2193	3552	Set166	Erk5	-0.6544699
AGID00405	2369	13826	Set166	ERRalpha	-0.1396277
AGID00187	1200	A303-501A	Old	ETS1	-0.16793
AGID00511	2492	2593	Set166	EVI1	0.1238186
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set166	FAK	-0.9476866
AGID02151	2457	8556	Set166	FAK_pY397	0.2827123
AGID00171	1156	3180	Old	FASN	-0.52229
AGID00356	2085	500-P18/10775-082	Set166	FGF-basic	1.077864
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.0045226
AGID00339	1959	4403	Set166	FN14	0.4697968
AGID02152	2458	20459	Old	FOXM1	-0.39489
AGID00378	269	9467	Old	FOXO3A	0.20613
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	-0.063004
AGID02167	2475	PA5-64616	Set166	FRS2-alpha_pY196	0.04678929
AGID02213	2575	ab124892	Set166	FTO	-0.3510386
AGID02141	2446	12263	Old	G6PD	0.37019
AGID00117	943	3239	Old	GAB2	-1.016
AGID00412	274	AM4300	Old	GAPDH	-0.50942
AGID00086	764	558686	Old	GATA3	-0.58383
AGID00383	1578	4253	Old	GATA6	-0.041623
AGID00289	1634	12601-1-AP	Set166	GCLC	-0.9130076
AGID00305	1745	ab124827	Set166	GCLM	0.0356606
AGID00212	1263	3305	Old	GCN5L2	0.22139
AGID00270	1579	3538	Set166	Gli1	0.1343216
AGID00263	1520	ab69838	Set166	Gli3	-0.003668779
AGID00548	2530	3660	Set166	Glucocorticoid-Receptor	-1.295174
AGID00387	1617	12793	Set166	Glutamate-D1-2	0.1644677
AGID00262	1491	ab156876	Set166	Glutaminase	0.1861621
AGID00319	1807	4275	Set166	Granzyme-B	-0.2195097
AGID00368	2169	ab183737	Set166	GRB7	-0.07632098
AGID00396	2339	3593	Set166	Grp75	-0.5469403
AGID00174	1163	9315	Set166	GSK-3B	-0.2690456
AGID00502	1082	9336	Old	GSK3_pS9	-0.63183
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.079713
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	-0.17139
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set166	H2AX_pS139	0.2203716
AGID00363	1409	MA1-2022	Set166	H2AX_pS140	-0.01628495
AGID00131	1038	MS-325-P1	Old	HER2	-1.0758
AGID00142	299	06-229	Old	HER2_pY1248	-0.083459
AGID00110	911	sc-285	Old	HER3	-0.030364
AGID00080	728	4791	Old	HER3_pY1289	0.041345
AGID00103	890	2573	Old	HEREGULIN	1.3345
AGID00271	1582	11988	Set166	HES1	-0.5030294
AGID00397	2340	2024	Set166	Hexokinase-I	-0.3158562
AGID00442	1023	2867	Set166	Hexokinase-II	0.1971894
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set166	Histone-H3	0.9154101
AGID00398	2341	3377	Set166	Histone-H3_pS10	0.2251842
AGID00332	1901	ab128959	Set166	HLA-DQA1	NA
AGID00333	1902	14832-1-AP	Set166	HMHA1	-1.731807
AGID00035	321	2402	Set166	HSP27	0.1741793
AGID00036	323	2401	Set166	HSP27_pS82	-0.08207653
AGID00320	1808	12165	Set166	HSP60	0.1986804
AGID00037	325	4872	Old	HSP70	0.96667
