AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.049867
AGID00111	913	sc-23957	Old	1433EPSILON	0.10915
AGID00101	883	sc-1019	Old	1433ZETA	-0.19179
AGID00001	2	9452	Old	4EBP1	0.18216
AGID00002	3	9456	Old	4EBP1_pS65	0.53847
AGID00003	6	9459	Old	4EBP1_pT37T46	0.56308
AGID00443	8	9455	Old	4EBP1_pT70	-0.18275
AGID00120	985	4937	Old	53BP1	-1.1119
AGID00004	13	3661	Old	ACC_pS79	1.0006
AGID00005	14	1768-1/ab45174	Old	ACC1	0.071354
AGID00408	2372	3658	Set172	AceCS1	0.8922216
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.43111
AGID00404	2367	9189	Set172	ACSL1	0.4172513
AGID02144	2450	PA5-27081	Old	ACVRL1	0.95216
AGID00186	1198	ab88574	Old	ADAR1	-0.51801
AGID00146	1084	4691	Old	AKT	0.7465
AGID00028	230	9271	Old	AKT_pS473	1.2778
AGID00170	1154	2965	Old	AKT_pT308	0.91925
AGID00316	1800	3063	Set172	Akt2	0.17609
AGID00347	2009	8599	Set172	Akt2_pS474	0.8214398
AGID02215	2577	ab195377	Set172	ALKBH5	-0.8296503
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	-0.001026168
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	-0.05855973
AGID00006	39	2532	Old	AMPKALPHA	0.46474
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.016492
AGID00193	1208	610066	Old	ANNEXIN1	-0.33335
AGID00166	1142	610668	Old	ANNEXINVII	0.39613
AGID00371	756	1852-1/ab52615	Old	AR	3.2225
AGID00194	1217	4432	Old	ARAF	0.31369
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.19671
AGID00260	1053	sc-32761	Old	ARID1A	-0.22071
AGID00264	1560	HPA029318	Old	ASNS	-0.54425
AGID00276	1612	3415	Set172	Atg3	-0.3070589
AGID00309	1775	13507	Set172	Atg4B	0.04814116
AGID00310	1776	12994	Set172	Atg5	0.4284164
AGID00277	1613	8558	Set172	Atg7	-0.03106619
AGID00242	1363	2873	Old	ATM	-0.68562
AGID02142	2447	13050	Set172	ATM_pS1981	0.1498313
AGID00217	1289	ab14748	Set172	ATP5A	0.3088657
AGID02145	2451	PA5-43776	Set172	ATP5H	-0.1270709
AGID02150	2456	13934	Set172	ATR	-0.1298369
AGID00315	1795	ab178407	Set172	ATR_pS428	0.2260149
AGID00268	1569	ab97508	Set172	ATRX	-1.097237
AGID00391	2332	14475	Set172	Aurora-A	-0.5767646
AGID00392	2333	2914	Set172	Aurora-ABC_pT288_pT232_pT198	-0.0876527
AGID02195	2512	MA5-27890	Set172	Aurora-B	0.3968788
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set172	b-Actin	-0.2133687
AGID00179	1170	9565	Set172	b-Catenin_pT41_S45	-0.09887651
AGID00301	1725	14058	Set172	B7-H3	-0.6942251
AGID00302	1726	14572	Set172	B7-H4	-0.1956532
AGID00008	63	9291	Old	BAD_pS112	-0.231
AGID00009	71	1542-1/ab32371	Old	BAK	-0.73947
AGID00192	1207	sc-28383	Old	BAP1C4	-0.85532
AGID00010	73	2772	Old	BAX	-0.42379
AGID00433	80	M0887	Old	BCL2	0.032133
AGID00219	1299	PAB8528	Old	BCL2A1	0.064567
AGID00012	84	1018-1	Old	BCLXL	-0.088845
AGID00377	87	sc-10086	Old	BECLIN	0.016992
AGID00011	75	9562	Old	BETACATENIN	1.0876
AGID00013	88	1008-1/ab32060	Old	BID	0.020763
AGID00180	90	1036-1/ab32158	Old	BIM	-0.73988
AGID00221	1311	610978	Set172	BiP-GRP78	0.058988
AGID00373	2194	07-507	Set172	BMK1-Erk5_pT218_Y220	-0.02147665
AGID00355	92	1647/ab33899	Old	BRAF	0.069754
AGID00014	94	2696	Old	BRAF_pS445	0.35492
AGID00445	761	9012	Old	BRCA2	-0.076533
AGID00266	1567	13440	Old	BRD4	-1.6337
AGID00168	1146	2865	Set172	c-Abl_pY412	0.167928
AGID00278	1615	3130	Set172	c-IAP2	0.1504941
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.17376
AGID00429	2407	2679	Set172	Calnexin	-0.3176028
AGID00176	1165	9496	Set172	Caspase-8-cleaved	-0.9060287
AGID00623	111	9665	Old	CASPASE3	-0.42026
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.56034
AGID00118	951	9746	Old	CASPASE8	-0.25907
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.7443
AGID00358	2100	ab76000	Set172	CD134	-0.1731037
AGID00303	1737	826701	Set172	CD171	1.393672
AGID00410	125	1632-1/ab78237	Old	CD20	0.1457
AGID00220	1308	ab28340	Old	CD26	0.65331
AGID00191	1206	610467	Set172	CD29	0.371555
AGID00017	127	M0823	Old	CD31	-0.0050802
AGID00369	2174	ab108403	Set172	CD38	0.2736638
AGID00359	2104	ab133616	Set172	CD4	-0.7907186
AGID00411	1398	3570	Set172	CD44	-0.09097881
AGID00237	1352	M070101-2	Set172	CD45	-0.1718582
AGID00115	937	611016	Old	CD49B	0.050783
AGID02171	2482	91882	Set172	CD86	0.3178284
AGID00329	1873	4688	Set172	cdc25C	-0.3780558
AGID00227	1332	4651	Set172	Cdc42	-0.008505605
AGID00422	2396	3387	Set172	Cdc6	-0.6082156
AGID00501	1007	9112	Old	CDK1	-0.10932
AGID00293	1658	ab32384	Set172	CDK1_pT14	-1.377104
AGID00314	1783	4539	Old	CDK1_pY15	-0.40879
AGID00423	2397	8064	Set172	CDT1	-0.4785486
AGID02101	2348	15102	Set172	cGAS	0.1985053
AGID00447	2410	13460	Set172	CHD1L	0.152564
AGID00189	1203	2360	Old	CHK1	0.008237
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.10208
AGID00107	903	2348	Old	CHK1_pS345	0.025489
AGID00018	146	3440	Old	CHK2	-0.25634
AGID00019	147	2197	Old	CHK2_pT68	0.049963
AGID00527	2078	4952	Old	CIAP	-0.22746
AGID00350	2018	3793	Set172	CIITA	-0.1483529
AGID00434	155	9164	Old	CJUN_pS73	-0.14945
AGID00020	157	1522-1/ab32363	Old	CKIT	0.54666
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.2557
AGID00466	726	3127	Old	CMET	0.19967
AGID00079	727	3129	Old	CMET_pY1235	-0.080874
AGID00167	161	9402	Old	CMYC	-0.22262
AGID00292	1656	11130-1-AP	Old	COG3	0.34928
AGID00021	171	sc-20649	Old	COLLAGENVI	0.7883
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set172	Connexin-43	-2.254832
AGID00269	1571	6434	Set172	Coup-TFII	0.06706084
AGID00150	1116	4850	Set172	Cox-IV	-0.09267156
AGID00195	1218	4842	Set172	Cox2	-0.1161308
AGID00188	803	05-739	Old	CRAF	0.14647
AGID00022	179	9427	Old	CRAF_pS338	0.20608
AGID00023	181	9197	Set172	Creb	-0.3644784
AGID00393	2334	9198	Set172	CREB_pS133	-0.8901219
AGID00365	2155	4980	Set172	CSK	-0.151156
AGID00367	2160	9201	Set172	CtIP	-0.3274495
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set172	Cyclin-D3	0.3296851
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-2.1922
AGID00382	194	sc-718	Old	CYCLIND1	0.23638
AGID00437	199	sc-25303	Old	CYCLINE1	-0.86717
AGID00449	202	1142-1	Old	CYCLINE2	-0.24682
AGID00209	1257	ab110324	Set172	Cyclophilin-F	-0.2961004
AGID00247	1379	ab48389	Set172	D-a-Tubulin	-0.08668504
AGID00308	1770	GTX10524	Set172	DAPK1_pS308	0.01012896
AGID00304	1744	ab51601	Set172	DAPK2	0.1283703
AGID00343	1980	6998	Set172	DDB-1	0.1191722
AGID00427	2402	5583	Set172	DDR1	-0.3493342
AGID00428	2403	SAB4504671	Set172	DDR1_pY513	0.25479
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.030978
AGID00104	891	ab76008	Old	DJ1	0.58016
AGID02146	2452	4658	Set172	DM-Histone-H3	-0.308831
AGID00386	1397	ab32521	Set172	DM-K9-Histone-H3	-0.3346508
AGID00352	2030	14649	Set172	DNA-Ligase-IV	1.10208
AGID00407	2371	13609	Set172	DNA_POLG	0.119356
AGID00399	2344	5032	Set172	DNMT1	-0.4228919
AGID00409	2373	5391	Set172	DRP1	0.1594595
AGID00253	1406	5149	Old	DUSP4	-0.80493
AGID00334	1936	ab76310	Set172	DUSP6	-0.3743122
AGID00116	940	3218	Old	DVL3	-0.7921
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.38188
AGID00135	1060	2332	Old	EEF2	-0.17686
AGID00136	1061	3692	Old	EEF2K	-0.86502
AGID00152	1120	2232	Old	EGFR	-0.39816
AGID00450	217	2234	Old	EGFR_pY1068	0.012946
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.28417
AGID00078	722	9742	Old	EIF4E	0.23375
AGID00328	1871	ab76256	Set172	eIF4E_pS209	0.1948855
AGID00154	1124	2498	Old	EIF4G	-1.1363
AGID00027	228	9181	Set172	Elk1_pS383	-0.3168151
AGID00235	1350	M061329-2	Set172	EMA	-3.744695
AGID00394	2337	3810	Set172	Enolase-1	-0.05351752
AGID00395	2338	8171	Set172	Enolase-2	-0.2165823
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set172	EphA2	-0.6141211
AGID00552	2422	6347	Set172	EphA2_pS897	-0.1501022
AGID00553	2423	12677	Set172	EphA2_pY588	-0.07367335
AGID00075	693	556347	Old	EPPK1	-0.092418
AGID00335	238	RM-9101	Old	ERALPHA	-1.8317
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.37703
AGID00240	247	MS-671	Old	ERCC1	0.06175
AGID00239	1355	11331-1-AP	Old	ERCC5	0.2996
AGID00484	249	sc-154	Old	ERK2	0.92581
AGID00372	2193	3552	Set172	Erk5	-0.1719891
AGID00405	2369	13826	Set172	ERRalpha	-0.01105805
AGID00187	1200	A303-501A	Old	ETS1	0.26623
AGID00511	2492	2593	Set172	EVI1	-0.09824854
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set172	FAK	-0.5120657
AGID02151	2457	8556	Set172	FAK_pY397	0.3391954
AGID00171	1156	3180	Old	FASN	0.56819
AGID00356	2085	500-P18/10775-082	Set172	FGF-basic	1.027432
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.68067
AGID00339	1959	4403	Set172	FN14	-0.06420191
AGID02152	2458	20459	Old	FOXM1	-0.64481
AGID00378	269	9467	Old	FOXO3A	-0.013549
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.31746
AGID02167	2475	PA5-64616	Set172	FRS2-alpha_pY196	0.04670832
AGID02213	2575	ab124892	Set172	FTO	0.1332601
AGID02141	2446	12263	Old	G6PD	-0.2344
AGID00117	943	3239	Old	GAB2	-1.3359
AGID00412	274	AM4300	Old	GAPDH	-1.3514
AGID00086	764	558686	Old	GATA3	-0.23136
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set172	GCLC	0.9530913
AGID00305	1745	ab124827	Set172	GCLM	0.03530009
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set172	Gli1	0.3390627
AGID00263	1520	ab69838	Set172	Gli3	0.9151447
AGID00548	2530	3660	Set172	Glucocorticoid-Receptor	0.1169251
AGID00387	1617	12793	Set172	Glutamate-D1-2	1.559939
AGID00262	1491	ab156876	Set172	Glutaminase	0.1766057
AGID00319	1807	4275	Set172	Granzyme-B	1.208173
AGID00368	2169	ab183737	Set172	GRB7	0.07260391
AGID00396	2339	3593	Set172	Grp75	-0.1127585
AGID00174	1163	9315	Set172	GSK-3B	0.1481091
AGID00502	1082	9336	Old	GSK3_pS9	0.74394
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.011492
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	1.0798
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set172	H2AX_pS139	-0.07328541
AGID00363	1409	MA1-2022	Set172	H2AX_pS140	0.08657053
AGID00131	1038	MS-325-P1	Old	HER2	-0.21723
AGID00142	299	06-229	Old	HER2_pY1248	-0.046009
AGID00110	911	sc-285	Old	HER3	-0.30177
AGID00080	728	4791	Old	HER3_pY1289	0.11079
AGID00103	890	2573	Old	HEREGULIN	0.066821
AGID00271	1582	11988	Set172	HES1	-0.3714055
AGID00397	2340	2024	Set172	Hexokinase-I	0.3495365
AGID00442	1023	2867	Set172	Hexokinase-II	-1.028608
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set172	Histone-H3	-0.4051551
AGID00398	2341	3377	Set172	Histone-H3_pS10	-0.3462444
AGID00332	1901	ab128959	Set172	HLA-DQA1	-2.204299
AGID00333	1902	14832-1-AP	Set172	HMHA1	-1.199582
AGID00035	321	2402	Set172	HSP27	0.6036786
AGID00036	323	2401	Set172	HSP27_pS82	-0.134692
AGID00320	1808	12165	Set172	HSP60	0.1076867
AGID00037	325	4872	Old	HSP70	0.75236
AGID00366	2158	86630	Set172	IDO	-0.1106585
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	-0.0169
AGID00038	335	3922	Old	IGFBP2	-0.59074
AGID00090	793	611504	Set172	IGFBP3	0.5563346
AGID00039	336	3027	Set172	IGFRb	-0.2156938
AGID00336	1949	12153	Set172	IL-6	0.2058406
AGID02221	2583	57145	Set172	IMP3	0.1429996
AGID02153	2459	14543	Old	INPP4B	0.42045
AGID00272	1586	3025	Set172	IR-b	-0.03747834
AGID00519	2519	4302	Set172	IRF-3	0.1750777
AGID00520	2520	4947	Set172	IRF-3_pS396	0.361773
AGID00223	1316	sc-497	Old	IRF1	0.06383
AGID00092	802	06-248	Old	IRS1	-0.10576
AGID00040	371	4502	Set172	IRS2	-0.7484952
AGID00250	1394	sc-13157	Old	JAB1	-0.13976
AGID00256	1413	ab109536	Set172	Jagged1	0.1914661
AGID00177	1166	3230	Old	JAK2	-0.16993
AGID00758	377	4671	Old	JNK_pT183Y185	0.72694
AGID02136	2439	PA5-28262	Old	JNK2	1.4252
AGID00307	1757	ab10484	Set172	KAP1	-0.5041558
AGID00528	904	2180	Old	KU80	-0.72623
AGID00375	2237	HPA028732	Set172	LAD1	1.1179
AGID00290	1643	IHC-00439	Set172	Lasu1	-1.053768
AGID00279	1618	4108	Set172	LC3A-B	0.203754
AGID00042	397	2752	Old	LCK	-0.050432
AGID00119	976	3582	Old	LDHA	NA
AGID00533	977	ab85319	Old	LDHB	NA
AGID00529	1477	3050	Old	LKB1	0.36375
AGID00244	1367	2568	Set172	LRP6_pS1490	-0.01656584
AGID00439	2424	2796	Set172	Lyn	0.628743
AGID02154	2460	4370	Old	MAPK_pT202Y204	1.6367
AGID00198	1222	5453	Set172	Mcl-1	-1.219552
AGID00288	1633	AB3314P	Set172	MCT4	-0.03633981
AGID00175	1164	3521	Set172	MDM2_pS166	-0.06962326
AGID00044	417	1235-1/ab32576	Old	MEK1	1.2239
AGID00143	1076	9154	Old	MEK1_pS217S221	0.62221
AGID00201	1243	9125	Set172	MEK2	0.1201063
AGID00361	2118	ab51061	Set172	MelanA	0.2248081
AGID00362	2119	ab137078	Set172	Melanoma-gp100	0.1934539
AGID00337	1951	12711	Set172	MERIT40	0.187535
AGID00338	1952	12110	Set172	MERIT40_pS29	0.1855961
AGID02212	2574	ab195352	Set172	METTL3	-0.2167851
AGID00225	1323	sc-20121	Set172	MIF	0.09192406
AGID00137	1062	WH0054206M1	Old	MIG6	-0.059387
AGID00403	2117	ab20663	Set172	MITF	-0.2235895
AGID00503	1067	ab3298	Old	MITOCHONDRIA	NA
AGID00321	1809	14739	Set172	Mitofusin-1	0.1162153
AGID00322	1810	11925	Set172	Mitofusin-2	-0.221625
AGID00389	2324	3515	Set172	MLH1	-0.437459
AGID00312	1780	14993	Set172	MLKL	-0.7373986
AGID00402	2359	MAB3328	Set172	MMP14	-1.373998
AGID00045	435	4022	Set172	MMP2	-0.6273406
AGID00122	1005	2195	Set172	Mnk1	-0.7712718
AGID00331	1899	sc-377312	Set172	MR1	0.05059073
AGID00273	1589	ab103319	Set172	MRAP	-0.09112473
AGID00530	440	4847	Old	MRE11	0.017349
AGID00390	905	2850	Old	MSH2	-0.59723
AGID00138	1063	22030002	Old	MSH6	-0.87821
AGID00299	1675	ab76148	Set172	MSI2	-0.08410548
AGID00232	1344	ab14705	Set172	MTCO1	0.2611125
AGID00046	444	2983	Old	MTOR	0.028068
AGID00047	446	2971	Old	MTOR_pS2448	0.57563
AGID00204	1247	H00009788-M01A	Set172	MTSS1	0.1321303
AGID00401	1139	21370002	Old	MYH11	7.5452
AGID00291	1647	3403	Old	MYOSINIIA	NA
AGID00173	1160	5026	Old	MYOSINIIA_pS1943	-0.47021
AGID00318	1803	4282	Set172	Myt1	-0.08497396
AGID00216	1274	5795-1/ab129189	Old	NAPSINA	NA
AGID00418	452	4061	Old	NCADHERIN	0.44311
AGID00156	1126	3217	Old	NDRG1_pT346	0.5097
AGID02133	2436	PA5-45913	Set172	NDUFB4	-0.07652803
AGID00134	1046	22710002	Old	NF2	0.40001
AGID00048	457	3033	Old	NFKBP65_pS536	0.20319
AGID02155	2461	3608	Old	NOTCH1	-0.24631
AGID00340	1969	4147	Set172	Notch1-cleaved	0.03634037
AGID00087	767	sc-5593	Set172	Notch3	0.03950227
AGID00258	1420	3187	Set172	NQO1	0.2175922
AGID00162	1136	sc-31	Old	NRAS	-0.040987
AGID00257	1419	12721	Old	NRF2	NA
AGID00297	1669	2750	Set172	Oct-4	-0.1226933
AGID00420	466	1712-1/ab40803	Old	P16INK4A	-0.85691
AGID00384	470	sc-6246	Old	P21	0.028437
AGID00105	897	1591-1/ab32034	Old	P27	0.06155
AGID00096	842	AF1555	Old	P27_pT157	0.11142
AGID00099	878	ab64949	Old	P27_pT198	-0.088928
AGID00181	1175	9228	Set172	p38-a	-0.2872131
AGID00098	479	9211	Old	P38_pT180Y182	0.83836
AGID00049	478	9212	Old	P38MAPK	-0.022659
AGID00151	1119	4695	Set172	p44-42-MAPK	-0.02561291
AGID00050	481	9282	Old	P53	-0.3794
AGID00490	1187	610833	Old	P62LCKLIGAND	-0.8203
AGID00545	1415	ab53039	Old	P63	NA
AGID00052	494	9205	Old	P70S6K_pT389	0.28374
AGID00051	493	1494-1/ab32529	Old	P70S6K1	-0.2254
AGID00085	759	9347	Old	P90RSK	0.66763
AGID00531	770	9344	Old	P90RSK_pT359S363	-0.4844
AGID00182	1178	9346	Set172	p90RSK_pT573	-0.6397079
AGID00053	499	612024	Old	PAI1	-0.86592
