AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.63243
AGID00111	913	sc-23957	Old	1433EPSILON	0.37568
AGID00101	883	sc-1019	Old	1433ZETA	-0.38241
AGID00001	2	9452	Old	4EBP1	-0.13218
AGID00002	3	9456	Old	4EBP1_pS65	-0.29992
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.2639
AGID00443	8	9455	Old	4EBP1_pT70	-0.20755
AGID00120	985	4937	Old	53BP1	-1.5573
AGID00004	13	3661	Old	ACC_pS79	-0.70685
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.4241
AGID00408	2372	3658	Set173	AceCS1	-0.7331915
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.55872
AGID00404	2367	9189	Set173	ACSL1	-0.3951044
AGID02144	2450	PA5-27081	Old	ACVRL1	0.81864
AGID00186	1198	ab88574	Old	ADAR1	-0.29736
AGID00146	1084	4691	Old	AKT	-1.3754
AGID00028	230	9271	Old	AKT_pS473	-0.29031
AGID00170	1154	2965	Old	AKT_pT308	-0.23333
AGID00316	1800	3063	Set173	Akt2	0.6882528
AGID00347	2009	8599	Set173	Akt2_pS474	0.7777461
AGID02215	2577	ab195377	Set173	ALKBH5	-0.566029
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.1350907
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	-0.0532398
AGID00006	39	2532	Old	AMPKALPHA	-0.11359
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.18361
AGID00193	1208	610066	Old	ANNEXIN1	2.1104
AGID00166	1142	610668	Old	ANNEXINVII	0.28901
AGID00371	756	1852-1/ab52615	Old	AR	-0.30785
AGID00194	1217	4432	Old	ARAF	-0.32592
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.3844
AGID00260	1053	sc-32761	Old	ARID1A	0.17413
AGID00264	1560	HPA029318	Old	ASNS	0.15084
AGID00276	1612	3415	Set173	Atg3	0.2902402
AGID00309	1775	13507	Set173	Atg4B	-0.0572005
AGID00310	1776	12994	Set173	Atg5	-0.04615285
AGID00277	1613	8558	Set173	Atg7	0.1475289
AGID00242	1363	2873	Old	ATM	0.20918
AGID02142	2447	13050	Set173	ATM_pS1981	2.005785
AGID00217	1289	ab14748	Set173	ATP5A	2.606721
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.4383859
AGID02150	2456	13934	Set173	ATR	-0.06610327
AGID00315	1795	ab178407	Set173	ATR_pS428	0.7000917
AGID00268	1569	ab97508	Set173	ATRX	-0.03043836
AGID00391	2332	14475	Set173	Aurora-A	-1.078063
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.3603166
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.6014857
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.04018395
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.317075
AGID00301	1725	14058	Set173	B7-H3	0.201218
AGID00302	1726	14572	Set173	B7-H4	-0.02545235
AGID00008	63	9291	Old	BAD_pS112	-0.2362
AGID00009	71	1542-1/ab32371	Old	BAK	-0.56374
AGID00192	1207	sc-28383	Old	BAP1C4	-0.66621
AGID00010	73	2772	Old	BAX	0.30559
AGID00433	80	M0887	Old	BCL2	0.40993
AGID00219	1299	PAB8528	Old	BCL2A1	-0.1526
AGID00012	84	1018-1	Old	BCLXL	0.36957
AGID00377	87	sc-10086	Old	BECLIN	0.16948
AGID00011	75	9562	Old	BETACATENIN	0.38548
AGID00013	88	1008-1/ab32060	Old	BID	0.10422
AGID00180	90	1036-1/ab32158	Old	BIM	-0.20018
AGID00221	1311	610978	Set173	BiP-GRP78	0.3671246
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.05563074
AGID00355	92	1647/ab33899	Old	BRAF	-0.64698
AGID00014	94	2696	Old	BRAF_pS445	-0.16812
AGID00445	761	9012	Old	BRCA2	0.29675
AGID00266	1567	13440	Old	BRD4	0.08331
