AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.29881
AGID00111	913	sc-23957	Old	1433EPSILON	0.17552
AGID00101	883	sc-1019	Old	1433ZETA	-0.54255
AGID00001	2	9452	Old	4EBP1	-1.0954
AGID00002	3	9456	Old	4EBP1_pS65	-0.26002
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.20719
AGID00443	8	9455	Old	4EBP1_pT70	-0.26178
AGID00120	985	4937	Old	53BP1	-0.0040257
AGID00004	13	3661	Old	ACC_pS79	-0.95084
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.7492
AGID00408	2372	3658	Set173	AceCS1	-1.223457
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.1676
AGID00404	2367	9189	Set173	ACSL1	-1.003065
AGID02144	2450	PA5-27081	Old	ACVRL1	0.13863
AGID00186	1198	ab88574	Old	ADAR1	-0.32057
AGID00146	1084	4691	Old	AKT	-0.17146
AGID00028	230	9271	Old	AKT_pS473	-0.19111
AGID00170	1154	2965	Old	AKT_pT308	-0.061436
AGID00316	1800	3063	Set173	Akt2	0.2606346
AGID00347	2009	8599	Set173	Akt2_pS474	1.128432
AGID02215	2577	ab195377	Set173	ALKBH5	0.5335553
AGID00498	924	CA1030	Old	ALPHACATENIN	0.31886
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.4291934
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.6547484
AGID00006	39	2532	Old	AMPKALPHA	0.16581
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.18435
AGID00193	1208	610066	Old	ANNEXIN1	-0.22838
AGID00166	1142	610668	Old	ANNEXINVII	0.87427
AGID00371	756	1852-1/ab52615	Old	AR	0.26727
AGID00194	1217	4432	Old	ARAF	-0.097692
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.17494
AGID00260	1053	sc-32761	Old	ARID1A	0.34929
AGID00264	1560	HPA029318	Old	ASNS	-0.69333
AGID00276	1612	3415	Set173	Atg3	0.06150081
AGID00309	1775	13507	Set173	Atg4B	-0.3771829
AGID00310	1776	12994	Set173	Atg5	-0.4593497
AGID00277	1613	8558	Set173	Atg7	-0.6608974
AGID00242	1363	2873	Old	ATM	-0.5842
AGID02142	2447	13050	Set173	ATM_pS1981	3.189541
AGID00217	1289	ab14748	Set173	ATP5A	0.7390633
AGID02145	2451	PA5-43776	Set173	ATP5H	0.08147688
AGID02150	2456	13934	Set173	ATR	1.879034
AGID00315	1795	ab178407	Set173	ATR_pS428	-0.002240294
AGID00268	1569	ab97508	Set173	ATRX	0.6296798
AGID00391	2332	14475	Set173	Aurora-A	-1.263344
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.2518597
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.4261472
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.2503869
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.05728122
AGID00301	1725	14058	Set173	B7-H3	-0.9764815
