AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.044655
AGID00111	913	sc-23957	Old	1433EPSILON	0.12848
AGID00101	883	sc-1019	Old	1433ZETA	-0.52275
AGID00001	2	9452	Old	4EBP1	-1.1699
AGID00002	3	9456	Old	4EBP1_pS65	-0.27757
AGID00003	6	9459	Old	4EBP1_pT37T46	0.13041
AGID00443	8	9455	Old	4EBP1_pT70	-0.13741
AGID00120	985	4937	Old	53BP1	0.95811
AGID00004	13	3661	Old	ACC_pS79	-0.47973
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.2007
AGID00408	2372	3658	Set173	AceCS1	-0.7826209
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.38453
AGID00404	2367	9189	Set173	ACSL1	-0.1927515
AGID02144	2450	PA5-27081	Old	ACVRL1	0.024718
AGID00186	1198	ab88574	Old	ADAR1	-0.39811
AGID00146	1084	4691	Old	AKT	0.37017
AGID00028	230	9271	Old	AKT_pS473	0.055537
AGID00170	1154	2965	Old	AKT_pT308	0.35689
AGID00316	1800	3063	Set173	Akt2	0.5825466
AGID00347	2009	8599	Set173	Akt2_pS474	0.01813488
AGID02215	2577	ab195377	Set173	ALKBH5	0.8028014
AGID00498	924	CA1030	Old	ALPHACATENIN	0.69921
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.255729
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.1970509
AGID00006	39	2532	Old	AMPKALPHA	0.58657
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.20345
AGID00193	1208	610066	Old	ANNEXIN1	1.3345
AGID00166	1142	610668	Old	ANNEXINVII	0.28251
AGID00371	756	1852-1/ab52615	Old	AR	-0.39543
AGID00194	1217	4432	Old	ARAF	0.23394
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.17416
AGID00260	1053	sc-32761	Old	ARID1A	0.35718
AGID00264	1560	HPA029318	Old	ASNS	-0.3431
AGID00276	1612	3415	Set173	Atg3	0.3786692
AGID00309	1775	13507	Set173	Atg4B	-0.6252664
AGID00310	1776	12994	Set173	Atg5	-0.2721131
AGID00277	1613	8558	Set173	Atg7	0.06944315
AGID00242	1363	2873	Old	ATM	0.11113
AGID02142	2447	13050	Set173	ATM_pS1981	0.7198598
AGID00217	1289	ab14748	Set173	ATP5A	3.062019
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.05125752
AGID02150	2456	13934	Set173	ATR	-0.1837133
AGID00315	1795	ab178407	Set173	ATR_pS428	0.2549733
AGID00268	1569	ab97508	Set173	ATRX	0.6156097
AGID00391	2332	14475	Set173	Aurora-A	-1.432061
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.531684
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.002913162
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.8479772
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.3574267
AGID00301	1725	14058	Set173	B7-H3	-1.578841
AGID00302	1726	14572	Set173	B7-H4	-0.4500414
AGID00008	63	9291	Old	BAD_pS112	0.55933
AGID00009	71	1542-1/ab32371	Old	BAK	-0.16206
AGID00192	1207	sc-28383	Old	BAP1C4	0.040683
AGID00010	73	2772	Old	BAX	0.46679
AGID00433	80	M0887	Old	BCL2	1.5897
AGID00219	1299	PAB8528	Old	BCL2A1	-0.26451
AGID00012	84	1018-1	Old	BCLXL	0.12157
AGID00377	87	sc-10086	Old	BECLIN	0.06787
AGID00011	75	9562	Old	BETACATENIN	0.96184
AGID00013	88	1008-1/ab32060	Old	BID	-0.0095001
AGID00180	90	1036-1/ab32158	Old	BIM	-0.14664
AGID00221	1311	610978	Set173	BiP-GRP78	0.2145554
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.01934195
AGID00355	92	1647/ab33899	Old	BRAF	0.28122
AGID00014	94	2696	Old	BRAF_pS445	0.45994
AGID00445	761	9012	Old	BRCA2	-0.16701
AGID00266	1567	13440	Old	BRD4	0.16738
AGID00168	1146	2865	Set173	c-Abl_pY412	-0.4998243
AGID00278	1615	3130	Set173	c-IAP2	-0.2630701
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.073815
AGID00429	2407	2679	Set173	Calnexin	0.284935
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.9388483
AGID00623	111	9665	Old	CASPASE3	-0.060371
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-1.0592
AGID00118	951	9746	Old	CASPASE8	-0.38784
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.61293
AGID00358	2100	ab76000	Set173	CD134	-0.5951824
AGID00303	1737	826701	Set173	CD171	0.07699407
AGID00410	125	1632-1/ab78237	Old	CD20	0.43609
AGID00220	1308	ab28340	Old	CD26	0.17279
AGID00191	1206	610467	Set173	CD29	-0.04364785
AGID00017	127	M0823	Old	CD31	0.079737
AGID00369	2174	ab108403	Set173	CD38	-0.004145722
AGID00359	2104	ab133616	Set173	CD4	-0.944273
AGID00411	1398	3570	Set173	CD44	0.3155808
AGID00237	1352	M070101-2	Set173	CD45	-0.3767899
AGID00115	937	611016	Old	CD49B	0.057322
AGID02171	2482	91882	Set173	CD86	-0.3684075
AGID00329	1873	4688	Set173	cdc25C	-0.6408512
AGID00227	1332	4651	Set173	Cdc42	0.03594221
AGID00422	2396	3387	Set173	Cdc6	-0.5108017
AGID00501	1007	9112	Old	CDK1	-0.1226
AGID00293	1658	ab32384	Set173	CDK1_pT14	-0.8375694
AGID00314	1783	4539	Old	CDK1_pY15	-0.24609
AGID00423	2397	8064	Set173	CDT1	-0.6422358
AGID02101	2348	15102	Set173	cGAS	0.1773712
AGID00447	2410	13460	Set173	CHD1L	0.04164528
AGID00189	1203	2360	Old	CHK1	-0.051969
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.094237
AGID00107	903	2348	Old	CHK1_pS345	0.21519
AGID00018	146	3440	Old	CHK2	-0.59081
AGID00019	147	2197	Old	CHK2_pT68	-0.038873
AGID00527	2078	4952	Old	CIAP	-0.0026899
AGID00350	2018	3793	Set173	CIITA	0.5095967
AGID00434	155	9164	Old	CJUN_pS73	0.20958
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.26101
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.065985
AGID00466	726	3127	Old	CMET	0.39018
AGID00079	727	3129	Old	CMET_pY1235	0.043337
AGID00167	161	9402	Old	CMYC	-0.65354
AGID00292	1656	11130-1-AP	Old	COG3	0.11235
AGID00021	171	sc-20649	Old	COLLAGENVI	0.34455
