AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.52188
AGID00111	913	sc-23957	Old	1433EPSILON	0.44874
AGID00101	883	sc-1019	Old	1433ZETA	-0.67704
AGID00001	2	9452	Old	4EBP1	-0.17749
AGID00002	3	9456	Old	4EBP1_pS65	-0.20612
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.4217
AGID00443	8	9455	Old	4EBP1_pT70	-0.26556
AGID00120	985	4937	Old	53BP1	-0.84778
AGID00004	13	3661	Old	ACC_pS79	-0.98548
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.5227
AGID00408	2372	3658	Set173	AceCS1	-1.019482
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.19649
AGID00404	2367	9189	Set173	ACSL1	-0.3707064
AGID02144	2450	PA5-27081	Old	ACVRL1	0.56775
AGID00186	1198	ab88574	Old	ADAR1	-0.044922
AGID00146	1084	4691	Old	AKT	-0.59668
AGID00028	230	9271	Old	AKT_pS473	-0.33722
AGID00170	1154	2965	Old	AKT_pT308	-0.3377
AGID00316	1800	3063	Set173	Akt2	0.189179
AGID00347	2009	8599	Set173	Akt2_pS474	0.6011881
AGID02215	2577	ab195377	Set173	ALKBH5	-0.5980306
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.126774
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.3460807
AGID00006	39	2532	Old	AMPKALPHA	-0.091007
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.25925
AGID00193	1208	610066	Old	ANNEXIN1	1.4856
AGID00166	1142	610668	Old	ANNEXINVII	0.29575
AGID00371	756	1852-1/ab52615	Old	AR	-0.21449
AGID00194	1217	4432	Old	ARAF	-0.27413
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.43795
AGID00260	1053	sc-32761	Old	ARID1A	0.40013
AGID00264	1560	HPA029318	Old	ASNS	-0.60345
AGID00276	1612	3415	Set173	Atg3	0.299136
AGID00309	1775	13507	Set173	Atg4B	0.1123872
AGID00310	1776	12994	Set173	Atg5	-0.4733882
AGID00277	1613	8558	Set173	Atg7	-0.3015808
AGID00242	1363	2873	Old	ATM	-0.084214
AGID02142	2447	13050	Set173	ATM_pS1981	2.111636
AGID00217	1289	ab14748	Set173	ATP5A	2.165971
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.3129592
AGID02150	2456	13934	Set173	ATR	1.264172
AGID00315	1795	ab178407	Set173	ATR_pS428	0.1697512
AGID00268	1569	ab97508	Set173	ATRX	0.08255414
AGID00391	2332	14475	Set173	Aurora-A	-0.7459427
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.2970104
AGID02195	2512	MA5-27890	Set173	Aurora-B	-0.08206424
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.6997848
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.2487631
AGID00301	1725	14058	Set173	B7-H3	-0.5601891
AGID00302	1726	14572	Set173	B7-H4	0.1510557
AGID00008	63	9291	Old	BAD_pS112	0.10666
AGID00009	71	1542-1/ab32371	Old	BAK	-0.0024922
AGID00192	1207	sc-28383	Old	BAP1C4	-0.52298
AGID00010	73	2772	Old	BAX	-0.083308
AGID00433	80	M0887	Old	BCL2	0.62897
AGID00219	1299	PAB8528	Old	BCL2A1	-0.24045
AGID00012	84	1018-1	Old	BCLXL	0.073214
AGID00377	87	sc-10086	Old	BECLIN	0.16547
AGID00011	75	9562	Old	BETACATENIN	0.3436
AGID00013	88	1008-1/ab32060	Old	BID	0.0017873
AGID00180	90	1036-1/ab32158	Old	BIM	-0.69717
AGID00221	1311	610978	Set173	BiP-GRP78	0.3034875
