AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.22956
AGID00111	913	sc-23957	Old	1433EPSILON	0.095157
AGID00101	883	sc-1019	Old	1433ZETA	-0.50885
AGID00001	2	9452	Old	4EBP1	-0.9454
AGID00002	3	9456	Old	4EBP1_pS65	-0.39928
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.41197
AGID00443	8	9455	Old	4EBP1_pT70	-0.38608
AGID00120	985	4937	Old	53BP1	0.22009
AGID00004	13	3661	Old	ACC_pS79	-1.0951
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.59
AGID00408	2372	3658	Set173	AceCS1	-0.5520579
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.0653
AGID00404	2367	9189	Set173	ACSL1	-0.3840236
AGID02144	2450	PA5-27081	Old	ACVRL1	0.091677
AGID00186	1198	ab88574	Old	ADAR1	-0.52021
AGID00146	1084	4691	Old	AKT	0.25577
AGID00028	230	9271	Old	AKT_pS473	-0.58105
AGID00170	1154	2965	Old	AKT_pT308	-0.37671
AGID00316	1800	3063	Set173	Akt2	0.3300301
AGID00347	2009	8599	Set173	Akt2_pS474	0.3120692
AGID02215	2577	ab195377	Set173	ALKBH5	-0.208513
AGID00498	924	CA1030	Old	ALPHACATENIN	0.51478
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.3415993
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.4642661
AGID00006	39	2532	Old	AMPKALPHA	0.21043
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.73601
AGID00193	1208	610066	Old	ANNEXIN1	0.88253
AGID00166	1142	610668	Old	ANNEXINVII	0.054131
AGID00371	756	1852-1/ab52615	Old	AR	-0.35374
AGID00194	1217	4432	Old	ARAF	0.26738
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.0028137
AGID00260	1053	sc-32761	Old	ARID1A	0.33645
AGID00264	1560	HPA029318	Old	ASNS	-0.75947
AGID00276	1612	3415	Set173	Atg3	0.09377847
AGID00309	1775	13507	Set173	Atg4B	-0.1606321
AGID00310	1776	12994	Set173	Atg5	-0.3224189
AGID00277	1613	8558	Set173	Atg7	-0.7079807
AGID00242	1363	2873	Old	ATM	0.12531
AGID02142	2447	13050	Set173	ATM_pS1981	2.062181
AGID00217	1289	ab14748	Set173	ATP5A	-0.4170156
AGID02145	2451	PA5-43776	Set173	ATP5H	0.01103281
AGID02150	2456	13934	Set173	ATR	1.072747
AGID00315	1795	ab178407	Set173	ATR_pS428	-0.003545982
AGID00268	1569	ab97508	Set173	ATRX	0.3541594
AGID00391	2332	14475	Set173	Aurora-A	-0.9767064
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.2497347
AGID02195	2512	MA5-27890	Set173	Aurora-B	-0.1172197
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.662436
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	0.0833246
AGID00301	1725	14058	Set173	B7-H3	-0.9595161
AGID00302	1726	14572	Set173	B7-H4	-0.07759813
AGID00008	63	9291	Old	BAD_pS112	0.18656
