AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.63453
AGID00111	913	sc-23957	Old	1433EPSILON	0.26424
AGID00101	883	sc-1019	Old	1433ZETA	-0.28981
AGID00001	2	9452	Old	4EBP1	-0.52167
AGID00002	3	9456	Old	4EBP1_pS65	-0.33582
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.46644
AGID00443	8	9455	Old	4EBP1_pT70	-0.021036
AGID00120	985	4937	Old	53BP1	-0.68339
AGID00004	13	3661	Old	ACC_pS79	-0.029566
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.64823
AGID00408	2372	3658	Set163	AceCS1	0.4091198
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.1951
AGID00404	2367	9189	Set163	ACSL1	0.3566303
AGID02144	2450	PA5-27081	Old	ACVRL1	0.63211
AGID00186	1198	ab88574	Old	ADAR1	-0.53258
AGID00146	1084	4691	Old	AKT	-0.38619
AGID00028	230	9271	Old	AKT_pS473	-0.1757
AGID00170	1154	2965	Old	AKT_pT308	0.35511
AGID00316	1800	3063	Set163	Akt2	-0.3334647
AGID00347	2009	8599	Set163	Akt2_pS474	0.7178698
AGID02215	2577	ab195377	Set163	ALKBH5	-0.6849849
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.2554745
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.2324947
AGID00006	39	2532	Old	AMPKALPHA	-0.23436
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.38319
AGID00193	1208	610066	Old	ANNEXIN1	0.64827
AGID00166	1142	610668	Old	ANNEXINVII	0.23313
AGID00371	756	1852-1/ab52615	Old	AR	0.71435
AGID00194	1217	4432	Old	ARAF	0.11694
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.044158
AGID00260	1053	sc-32761	Old	ARID1A	-0.0639
AGID00264	1560	HPA029318	Old	ASNS	-0.79162
AGID00276	1612	3415	Set163	Atg3	-0.2765997
AGID00309	1775	13507	Set163	Atg4B	0.3971198
AGID00310	1776	12994	Set163	Atg5	-0.2378397
AGID00277	1613	8558	Set163	Atg7	-0.3223797
AGID00242	1363	2873	Old	ATM	-0.92984
AGID02142	2447	13050	Set163	ATM_pS1981	0.5320652
AGID00217	1289	ab14748	Set163	ATP5A	-0.2711403
AGID02145	2451	PA5-43776	Set163	ATP5H	1.062435
AGID02150	2456	13934	Set163	ATR	0.3664873
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.8263359
AGID00268	1569	ab97508	Set163	ATRX	-1.239652
AGID00391	2332	14475	Set163	Aurora-A	-0.2562597
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.03499964
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.131484
AGID00215	1271	8661	Old	AXL	-0.039434
AGID02143	2449	8457	Set163	b-Actin	0.05047008
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.2839654
AGID00301	1725	14058	Set163	B7-H3	-0.3101906
AGID00302	1726	14572	Set163	B7-H4	0.315385
AGID00008	63	9291	Old	BAD_pS112	-0.27971
AGID00009	71	1542-1/ab32371	Old	BAK	0.35544
AGID00192	1207	sc-28383	Old	BAP1C4	-0.51532
AGID00010	73	2772	Old	BAX	0.29857
AGID00433	80	M0887	Old	BCL2	1.1463
AGID00219	1299	PAB8528	Old	BCL2A1	0.66786
AGID00012	84	1018-1	Old	BCLXL	-0.12057
AGID00377	87	sc-10086	Old	BECLIN	0.47347
AGID00011	75	9562	Old	BETACATENIN	-0.47664
AGID00013	88	1008-1/ab32060	Old	BID	0.72438
AGID00180	90	1036-1/ab32158	Old	BIM	0.42987
