AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.306165
AGID00111	913	sc-23957	Old	1433EPSILON	0.0191905
AGID00101	883	sc-1019	Old	1433ZETA	0.441125
AGID00001	2	9452	Old	4EBP1	0.690895
AGID00002	3	9456	Old	4EBP1_pS65	-0.0352067
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.281145
AGID00443	8	9455	Old	4EBP1_pT70	0.314795
AGID00120	985	4937	Old	53BP1	0.50489
AGID00004	13	3661	Old	ACC_pS79	-0.964585
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.8489
AGID00408	2372	3658	Set164	AceCS1	-0.1366786
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.7333
AGID00404	2367	9189	Set164	ACSL1	-0.7263019
AGID02144	2450	PA5-27081	Old	ACVRL1	0.080226
AGID00186	1198	ab88574	Old	ADAR1	-0.0710685
AGID00146	1084	4691	Old	AKT	0.08281
AGID00028	230	9271	Old	AKT_pS473	-0.953955
AGID00170	1154	2965	Old	AKT_pT308	-0.45394
AGID00316	1800	3063	Set164	Akt2	0.121176
AGID00347	2009	8599	Set164	Akt2_pS474	0.6501885
AGID02215	2577	ab195377	Set164	ALKBH5	0.7901871
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set164	Ambra1_pS52	-0.1842916
AGID00236	1351	ab129081	Set164	AMPK-a2_pS345	0.2304928
AGID00006	39	2532	Old	AMPKALPHA	-0.562035
AGID00007	40	2535	Old	AMPKALPHA_pT172	-2.577
AGID00193	1208	610066	Old	ANNEXIN1	-0.28868
AGID00166	1142	610668	Old	ANNEXINVII	-0.154725
AGID00371	756	1852-1/ab52615	Old	AR	-0.29174
AGID00194	1217	4432	Old	ARAF	-0.375025
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.058669
AGID00260	1053	sc-32761	Old	ARID1A	0.0978005
AGID00264	1560	HPA029318	Old	ASNS	-0.233935
AGID00276	1612	3415	Set164	Atg3	-0.4776916
AGID00309	1775	13507	Set164	Atg4B	-0.5647285
AGID00310	1776	12994	Set164	Atg5	-0.1145535
AGID00277	1613	8558	Set164	Atg7	0.1452403
AGID00242	1363	2873	Old	ATM	-0.672895
AGID02142	2447	13050	Set164	ATM_pS1981	1.872593
AGID00217	1289	ab14748	Set164	ATP5A	0.8613733
AGID02145	2451	PA5-43776	Set164	ATP5H	-0.3718699
AGID02150	2456	13934	Set164	ATR	0.07643696
AGID00315	1795	ab178407	Set164	ATR_pS428	-0.2219106
AGID00268	1569	ab97508	Set164	ATRX	-0.5093175
AGID00391	2332	14475	Set164	Aurora-A	0.7682186
AGID00392	2333	2914	Set164	Aurora-ABC_pT288_pT232_pT198	-0.0836562
AGID02195	2512	MA5-27890	Set164	Aurora-B	-0.1690136
AGID00215	1271	8661	Old	AXL	0.356205
AGID02143	2449	8457	Set164	b-Actin	-0.5675639
AGID00179	1170	9565	Set164	b-Catenin_pT41_S45	0.06877908
AGID00301	1725	14058	Set164	B7-H3	-0.2245223
AGID00302	1726	14572	Set164	B7-H4	-0.1162703
AGID00008	63	9291	Old	BAD_pS112	-0.19853
AGID00009	71	1542-1/ab32371	Old	BAK	0.79291
AGID00192	1207	sc-28383	Old	BAP1C4	0.40192
AGID00010	73	2772	Old	BAX	0.126705
AGID00433	80	M0887	Old	BCL2	1.8449
AGID00219	1299	PAB8528	Old	BCL2A1	-0.07506
AGID00012	84	1018-1	Old	BCLXL	1.37235
AGID00377	87	sc-10086	Old	BECLIN	0.382365
AGID00011	75	9562	Old	BETACATENIN	0.069779
AGID00013	88	1008-1/ab32060	Old	BID	0.115741
AGID00180	90	1036-1/ab32158	Old	BIM	2.3518
AGID00221	1311	610978	Set164	BiP-GRP78	0.5745257
AGID00373	2194	07-507	Set164	BMK1-Erk5_pT218_Y220	0.02817195
AGID00355	92	1647/ab33899	Old	BRAF	0.731915
AGID00014	94	2696	Old	BRAF_pS445	-0.22707
AGID00445	761	9012	Old	BRCA2	0.097371
AGID00266	1567	13440	Old	BRD4	0.463655
AGID00168	1146	2865	Set164	c-Abl_pY412	0.1159997
AGID00278	1615	3130	Set164	c-IAP2	0.2218427
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.20583
AGID00429	2407	2679	Set164	Calnexin	0.8446882
AGID00176	1165	9496	Set164	Caspase-8-cleaved	-0.3819174
AGID00623	111	9665	Old	CASPASE3	0.0035665
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.64569
AGID00118	951	9746	Old	CASPASE8	-0.190978
AGID00537	935	551246	Old	CASPASE9	0.24031
AGID00016	114	3238	Old	CAVEOLIN1	-0.2352005
AGID00358	2100	ab76000	Set164	CD134	0.02393099
AGID00303	1737	826701	Set164	CD171	7.492595
AGID00410	125	1632-1/ab78237	Old	CD20	0.083703
AGID00220	1308	ab28340	Old	CD26	0.0775375
AGID00191	1206	610467	Set164	CD29	-0.0307002
AGID00017	127	M0823	Old	CD31	-0.09534175
AGID00369	2174	ab108403	Set164	CD38	-0.340377
AGID00359	2104	ab133616	Set164	CD4	-0.274645
AGID00411	1398	3570	Set164	CD44	-0.6621621
AGID00237	1352	M070101-2	Set164	CD45	-0.3923499
AGID00115	937	611016	Old	CD49B	0.719285
AGID02171	2482	91882	Set164	CD86	0.5849024
AGID00329	1873	4688	Set164	cdc25C	0.1931617
AGID00227	1332	4651	Set164	Cdc42	0.1484112
AGID00422	2396	3387	Set164	Cdc6	-0.2734823
AGID00501	1007	9112	Old	CDK1	0.082727
AGID00293	1658	ab32384	Set164	CDK1_pT14	0.5320225
AGID00314	1783	4539	Old	CDK1_pY15	-0.26478
AGID00423	2397	8064	Set164	CDT1	1.126451
AGID02101	2348	15102	Set164	cGAS	0.04296641
AGID00447	2410	13460	Set164	CHD1L	-0.6191849
AGID00189	1203	2360	Old	CHK1	-0.0299396
AGID00234	1348	ab79758	Old	CHK1_pS296	0.085899
AGID00107	903	2348	Old	CHK1_pS345	-0.198215
AGID00018	146	3440	Old	CHK2	-0.22924
AGID00019	147	2197	Old	CHK2_pT68	-0.0389155
AGID00527	2078	4952	Old	CIAP	-0.31892
AGID00350	2018	3793	Set164	CIITA	-0.08977318
AGID00434	155	9164	Old	CJUN_pS73	-0.16402
AGID00020	157	1522-1/ab32363	Old	CKIT	1.2888
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.1068
AGID00466	726	3127	Old	CMET	0.066103
AGID00079	727	3129	Old	CMET_pY1235	0.163825
AGID00167	161	9402	Old	CMYC	-0.164045
AGID00292	1656	11130-1-AP	Old	COG3	-0.353245
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.440905
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set164	Connexin-43	-0.3680024
AGID00269	1571	6434	Set164	Coup-TFII	0.2518265
AGID00150	1116	4850	Set164	Cox-IV	0.4416084
AGID00195	1218	4842	Set164	Cox2	0.2571496
AGID00188	803	05-739	Old	CRAF	0.054006
AGID00022	179	9427	Old	CRAF_pS338	-0.136995
AGID00023	181	9197	Set164	Creb	-0.2276925
AGID00393	2334	9198	Set164	CREB_pS133	-0.1008824
AGID00365	2155	4980	Set164	CSK	-0.4836177
AGID00367	2160	9201	Set164	CtIP	0.4149821
AGID00536	2096	ab107198	Old	CTLA4	0.55604
AGID00025	198	2936	Set164	Cyclin-D3	0.3367861
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.71282
AGID00382	194	sc-718	Old	CYCLIND1	0.1203695
AGID00437	199	sc-25303	Old	CYCLINE1	2.48575
AGID00449	202	1142-1	Old	CYCLINE2	0.2669
AGID00209	1257	ab110324	Set164	Cyclophilin-F	-0.3594688
AGID00247	1379	ab48389	Set164	D-a-Tubulin	0.1646447
AGID00308	1770	GTX10524	Set164	DAPK1_pS308	-0.1269466
AGID00304	1744	ab51601	Set164	DAPK2	-0.05258473
AGID00343	1980	6998	Set164	DDB-1	1.181313
AGID00427	2402	5583	Set164	DDR1	-0.1588434
AGID00428	2403	SAB4504671	Set164	DDR1_pY513	0.1833033
AGID00532	1273	Bast Lab	Old	DIRAS3	0.24507
AGID00104	891	ab76008	Old	DJ1	-0.1944
AGID02146	2452	4658	Set164	DM-Histone-H3	0.1717796
AGID00386	1397	ab32521	Set164	DM-K9-Histone-H3	-0.2018014
AGID00352	2030	14649	Set164	DNA-Ligase-IV	-0.4098883
AGID00407	2371	13609	Set164	DNA_POLG	-1.083641
AGID00399	2344	5032	Set164	DNMT1	-0.5981483
AGID00409	2373	5391	Set164	DRP1	0.4228599
AGID00253	1406	5149	Old	DUSP4	-0.567455
