AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.065427
AGID00111	913	sc-23957	Old	1433EPSILON	0.15457
AGID00101	883	sc-1019	Old	1433ZETA	0.18042
AGID00001	2	9452	Old	4EBP1	-0.24033
AGID00002	3	9456	Old	4EBP1_pS65	-0.040425
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.7112
AGID00443	8	9455	Old	4EBP1_pT70	0.0043385
AGID00120	985	4937	Old	53BP1	-0.39869
AGID00004	13	3661	Old	ACC_pS79	-0.41362
AGID00005	14	1768-1/ab45174	Old	ACC1	0.34467
AGID00408	2372	3658	Set181	AceCS1	-1.216465
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.6045
AGID00404	2367	9189	Set181	ACSL1	-0.5533767
AGID02144	2450	PA5-27081	Old	ACVRL1	0.17702
AGID00186	1198	ab88574	Old	ADAR1	0.40173
AGID00146	1084	4691	Old	AKT	-0.12047
AGID00028	230	9271	Old	AKT_pS473	-1.2085
AGID00170	1154	2965	Old	AKT_pT308	-1.1269
AGID00316	1800	3063	Set181	Akt2	0.1559529
AGID00347	2009	8599	Set181	Akt2_pS474	-0.5881136
AGID02215	2577	ab195377	Set181	ALKBH5	0.8492212
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	-0.1690546
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.06198998
AGID00006	39	2532	Old	AMPKALPHA	-0.051388
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.71771
AGID00193	1208	610066	Old	ANNEXIN1	-1.0549
AGID00166	1142	610668	Old	ANNEXINVII	0.32197
AGID00371	756	1852-1/ab52615	Old	AR	-0.58179
AGID00194	1217	4432	Old	ARAF	0.98646
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.088611
AGID00260	1053	sc-32761	Old	ARID1A	0.29185
AGID00264	1560	HPA029318	Old	ASNS	1.9761
AGID00276	1612	3415	Set181	Atg3	-0.1497847
AGID00309	1775	13507	Set181	Atg4B	-0.1755244
AGID00310	1776	12994	Set181	Atg5	0.01321957
AGID00277	1613	8558	Set181	Atg7	0.5279846
AGID00242	1363	2873	Old	ATM	2.1291
AGID02142	2447	13050	Set181	ATM_pS1981	0.453494
AGID00217	1289	ab14748	Set181	ATP5A	1.269036
AGID02145	2451	PA5-43776	Set181	ATP5H	-0.4184716
AGID02150	2456	13934	Set181	ATR	-0.1851028
AGID00315	1795	ab178407	Set181	ATR_pS428	0.3883494
AGID00268	1569	ab97508	Set181	ATRX	1.616605
AGID00391	2332	14475	Set181	Aurora-A	0.6614579
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.5689367
AGID02195	2512	MA5-27890	Set181	Aurora-B	0.8595141
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	2.016275
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	-0.352826
AGID00301	1725	14058	Set181	B7-H3	-0.4958434
AGID00302	1726	14572	Set181	B7-H4	-0.443987
AGID00008	63	9291	Old	BAD_pS112	-0.28148
AGID00009	71	1542-1/ab32371	Old	BAK	1.0609
AGID00192	1207	sc-28383	Old	BAP1C4	0.38632
AGID00010	73	2772	Old	BAX	0.041402
AGID00433	80	M0887	Old	BCL2	-0.83161
AGID00219	1299	PAB8528	Old	BCL2A1	0.013937
AGID00012	84	1018-1	Old	BCLXL	-0.25426
AGID00377	87	sc-10086	Old	BECLIN	0.25249
AGID00011	75	9562	Old	BETACATENIN	-1.7678
AGID00013	88	1008-1/ab32060	Old	BID	-0.40875
AGID00180	90	1036-1/ab32158	Old	BIM	-0.20519
AGID00221	1311	610978	Set181	BiP-GRP78	0.2285059
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	0.2986583
AGID00355	92	1647/ab33899	Old	BRAF	0.39503
AGID00014	94	2696	Old	BRAF_pS445	0.90018
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.71518
AGID00168	1146	2865	Set181	c-Abl_pY412	-0.1626378
AGID00278	1615	3130	Set181	c-IAP2	0.8847909
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.19615
AGID00429	2407	2679	Set181	Calnexin	0.00742785
AGID00176	1165	9496	Set181	Caspase-8-cleaved	1.300659
AGID00623	111	9665	Old	CASPASE3	0.12804
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	3.0481
AGID00118	951	9746	Old	CASPASE8	0.32967
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.29992
AGID00358	2100	ab76000	Set181	CD134	-0.4576188
AGID00303	1737	826701	Set181	CD171	0.9901719
AGID00410	125	1632-1/ab78237	Old	CD20	1.2741
AGID00220	1308	ab28340	Old	CD26	0.0103
AGID00191	1206	610467	Set181	CD29	0.08163961
AGID00017	127	M0823	Old	CD31	-0.25236
AGID00369	2174	ab108403	Set181	CD38	-0.2552598
AGID00359	2104	ab133616	Set181	CD4	1.076009
AGID00411	1398	3570	Set181	CD44	0.4044929
AGID00237	1352	M070101-2	Set181	CD45	2.057135
AGID00115	937	611016	Old	CD49B	-0.42112
AGID02171	2482	91882	Set181	CD86	0.9545953
AGID00329	1873	4688	Set181	cdc25C	0.3025123
AGID00227	1332	4651	Set181	Cdc42	0.8291555
AGID00422	2396	3387	Set181	Cdc6	0.2501639
AGID00501	1007	9112	Old	CDK1	-0.40285
AGID00293	1658	ab32384	Set181	CDK1_pT14	1.168746
AGID00314	1783	4539	Old	CDK1_pY15	0.038379
AGID00423	2397	8064	Set181	CDT1	-0.4852205
AGID02101	2348	15102	Set181	cGAS	0.3513362
AGID00447	2410	13460	Set181	CHD1L	-0.1237967
AGID00189	1203	2360	Old	CHK1	0.14388
AGID00234	1348	ab79758	Old	CHK1_pS296	0.31527
AGID00107	903	2348	Old	CHK1_pS345	-0.23304
AGID00018	146	3440	Old	CHK2	0.01572
AGID00019	147	2197	Old	CHK2_pT68	0.61245
AGID00527	2078	4952	Old	CIAP	0.58927
AGID00350	2018	3793	Set181	CIITA	0.1499543
AGID00434	155	9164	Old	CJUN_pS73	-0.082872
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.16356
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.81476
AGID00466	726	3127	Old	CMET	0.21201
AGID00079	727	3129	Old	CMET_pY1235	0.088327
AGID00167	161	9402	Old	CMYC	-0.76788
AGID00292	1656	11130-1-AP	Old	COG3	-0.093136
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.66754
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set181	Connexin-43	-0.03015412
AGID00269	1571	6434	Set181	Coup-TFII	-0.8186306
AGID00150	1116	4850	Set181	Cox-IV	0.2781965
AGID00195	1218	4842	Set181	Cox2	-0.0565069
AGID00188	803	05-739	Old	CRAF	0.44056
AGID00022	179	9427	Old	CRAF_pS338	0.097391
AGID00023	181	9197	Set181	Creb	-0.04245235
AGID00393	2334	9198	Set181	CREB_pS133	-1.232654
AGID00365	2155	4980	Set181	CSK	2.625827
AGID00367	2160	9201	Set181	CtIP	-0.113832
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set181	Cyclin-D3	0.6695514
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.88114
AGID00382	194	sc-718	Old	CYCLIND1	0.0098221
AGID00437	199	sc-25303	Old	CYCLINE1	1.2785
AGID00449	202	1142-1	Old	CYCLINE2	-0.068103
AGID00209	1257	ab110324	Set181	Cyclophilin-F	0.5336101
