AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.18778
AGID00111	913	sc-23957	Old	1433EPSILON	-0.01737
AGID00101	883	sc-1019	Old	1433ZETA	0.24739
AGID00001	2	9452	Old	4EBP1	-0.16859
AGID00002	3	9456	Old	4EBP1_pS65	-0.4158
AGID00003	6	9459	Old	4EBP1_pT37T46	0.027667
AGID00443	8	9455	Old	4EBP1_pT70	0.040814
AGID00120	985	4937	Old	53BP1	-0.59484
AGID00004	13	3661	Old	ACC_pS79	-0.54409
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.54484
AGID00408	2372	3658	Set181	AceCS1	0.7025386
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.57404
AGID00404	2367	9189	Set181	ACSL1	0.2476775
AGID02144	2450	PA5-27081	Old	ACVRL1	0.33066
AGID00186	1198	ab88574	Old	ADAR1	0.072464
AGID00146	1084	4691	Old	AKT	-0.02913
AGID00028	230	9271	Old	AKT_pS473	-0.18749
AGID00170	1154	2965	Old	AKT_pT308	-0.66423
AGID00316	1800	3063	Set181	Akt2	-0.0004478138
AGID00347	2009	8599	Set181	Akt2_pS474	0.2736445
AGID02215	2577	ab195377	Set181	ALKBH5	-0.5834467
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	0.1054489
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	-0.008722558
AGID00006	39	2532	Old	AMPKALPHA	0.20402
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.92117
AGID00193	1208	610066	Old	ANNEXIN1	0.018156
AGID00166	1142	610668	Old	ANNEXINVII	0.2437
AGID00371	756	1852-1/ab52615	Old	AR	-1.159
AGID00194	1217	4432	Old	ARAF	0.32391
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.14046
AGID00260	1053	sc-32761	Old	ARID1A	0.043906
AGID00264	1560	HPA029318	Old	ASNS	-0.3139
AGID00276	1612	3415	Set181	Atg3	0.3043806
AGID00309	1775	13507	Set181	Atg4B	1.146389
AGID00310	1776	12994	Set181	Atg5	0.5392161
AGID00277	1613	8558	Set181	Atg7	0.2260833
AGID00242	1363	2873	Old	ATM	-0.58317
AGID02142	2447	13050	Set181	ATM_pS1981	0.5221381
AGID00217	1289	ab14748	Set181	ATP5A	0.821076
AGID02145	2451	PA5-43776	Set181	ATP5H	0.2053654
AGID02150	2456	13934	Set181	ATR	-0.4299685
AGID00315	1795	ab178407	Set181	ATR_pS428	0.2199928
AGID00268	1569	ab97508	Set181	ATRX	-0.6612037
AGID00391	2332	14475	Set181	Aurora-A	-1.005551
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.8866708
AGID02195	2512	MA5-27890	Set181	Aurora-B	-0.1281815
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	0.5944517
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	0.5366441
AGID00301	1725	14058	Set181	B7-H3	-0.2098271
AGID00302	1726	14572	Set181	B7-H4	-0.2388763
AGID00008	63	9291	Old	BAD_pS112	-0.043878
AGID00009	71	1542-1/ab32371	Old	BAK	-1.3179
AGID00192	1207	sc-28383	Old	BAP1C4	-0.70962
AGID00010	73	2772	Old	BAX	-0.67061
AGID00433	80	M0887	Old	BCL2	-0.12178
AGID00219	1299	PAB8528	Old	BCL2A1	0.30924
AGID00012	84	1018-1	Old	BCLXL	-0.60594
AGID00377	87	sc-10086	Old	BECLIN	0.052421
AGID00011	75	9562	Old	BETACATENIN	0.15379
AGID00013	88	1008-1/ab32060	Old	BID	-0.03481
AGID00180	90	1036-1/ab32158	Old	BIM	-0.61428
AGID00221	1311	610978	Set181	BiP-GRP78	-0.6509486
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	-0.0150865
AGID00355	92	1647/ab33899	Old	BRAF	-0.58628
AGID00014	94	2696	Old	BRAF_pS445	-0.051356
AGID00445	761	9012	Old	BRCA2	-0.38636
AGID00266	1567	13440	Old	BRD4	-1.1058
AGID00168	1146	2865	Set181	c-Abl_pY412	-0.06924245
AGID00278	1615	3130	Set181	c-IAP2	-0.5044923
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.1985
AGID00429	2407	2679	Set181	Calnexin	-0.1648772
AGID00176	1165	9496	Set181	Caspase-8-cleaved	-0.01211308
AGID00623	111	9665	Old	CASPASE3	-0.27433
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.44487
AGID00118	951	9746	Old	CASPASE8	-0.12037
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.647
AGID00358	2100	ab76000	Set181	CD134	-0.2726927
AGID00303	1737	826701	Set181	CD171	-1.405838
AGID00410	125	1632-1/ab78237	Old	CD20	-0.22775
AGID00220	1308	ab28340	Old	CD26	-0.28366
AGID00191	1206	610467	Set181	CD29	0.04566569
AGID00017	127	M0823	Old	CD31	0.13629
AGID00369	2174	ab108403	Set181	CD38	-0.9545601
AGID00359	2104	ab133616	Set181	CD4	0.5787618
AGID00411	1398	3570	Set181	CD44	-0.7369551
AGID00237	1352	M070101-2	Set181	CD45	0.00106794
AGID00115	937	611016	Old	CD49B	0.60369
AGID02171	2482	91882	Set181	CD86	-0.02360311
AGID00329	1873	4688	Set181	cdc25C	-0.4892687
AGID00227	1332	4651	Set181	Cdc42	-0.03085563
AGID00422	2396	3387	Set181	Cdc6	-0.1495677
AGID00501	1007	9112	Old	CDK1	-0.10552
AGID00293	1658	ab32384	Set181	CDK1_pT14	-0.5692555
AGID00314	1783	4539	Old	CDK1_pY15	-0.22257
AGID00423	2397	8064	Set181	CDT1	-0.1762193
AGID02101	2348	15102	Set181	cGAS	-0.4358784
AGID00447	2410	13460	Set181	CHD1L	-0.1408805
AGID00189	1203	2360	Old	CHK1	-0.87994
AGID00234	1348	ab79758	Old	CHK1_pS296	0.088913
AGID00107	903	2348	Old	CHK1_pS345	-0.29198
AGID00018	146	3440	Old	CHK2	-0.62322
AGID00019	147	2197	Old	CHK2_pT68	0.63069
AGID00527	2078	4952	Old	CIAP	-0.070125
AGID00350	2018	3793	Set181	CIITA	0.023001
AGID00434	155	9164	Old	CJUN_pS73	0.2947
AGID00020	157	1522-1/ab32363	Old	CKIT	0.86211
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.28109
AGID00466	726	3127	Old	CMET	-0.33874
AGID00079	727	3129	Old	CMET_pY1235	-0.0073675
AGID00167	161	9402	Old	CMYC	0.43131
AGID00292	1656	11130-1-AP	Old	COG3	0.14774
AGID00021	171	sc-20649	Old	COLLAGENVI	0.12383
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set181	Connexin-43	-0.1835484
AGID00269	1571	6434	Set181	Coup-TFII	-0.04317083
AGID00150	1116	4850	Set181	Cox-IV	-0.04276973
AGID00195	1218	4842	Set181	Cox2	0.5624324
AGID00188	803	05-739	Old	CRAF	-0.32428
AGID00022	179	9427	Old	CRAF_pS338	0.20642
AGID00023	181	9197	Set181	Creb	0.9549096
AGID00393	2334	9198	Set181	CREB_pS133	-0.2310374
AGID00365	2155	4980	Set181	CSK	0.8765306
AGID00367	2160	9201	Set181	CtIP	-0.2288126
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set181	Cyclin-D3	-0.1146586
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.5616
AGID00382	194	sc-718	Old	CYCLIND1	0.61546
AGID00437	199	sc-25303	Old	CYCLINE1	-1.2064
AGID00449	202	1142-1	Old	CYCLINE2	-0.69188
AGID00209	1257	ab110324	Set181	Cyclophilin-F	-0.8935364
AGID00247	1379	ab48389	Set181	D-a-Tubulin	1.531188
AGID00308	1770	GTX10524	Set181	DAPK1_pS308	0.1438794
AGID00304	1744	ab51601	Set181	DAPK2	0.1163031
AGID00343	1980	6998	Set181	DDB-1	0.02376402
AGID00427	2402	5583	Set181	DDR1	0.8675149
AGID00428	2403	SAB4504671	Set181	DDR1_pY513	0.116579
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.074288
AGID00104	891	ab76008	Old	DJ1	-0.038188
AGID02146	2452	4658	Set181	DM-Histone-H3	-0.3488345
AGID00386	1397	ab32521	Set181	DM-K9-Histone-H3	-0.9687316
AGID00352	2030	14649	Set181	DNA-Ligase-IV	0.7964622
AGID00407	2371	13609	Set181	DNA_POLG	0.3056764
AGID00399	2344	5032	Set181	DNMT1	-0.8222757
AGID00409	2373	5391	Set181	DRP1	-0.6941249
AGID00253	1406	5149	Old	DUSP4	0.80916
AGID00334	1936	ab76310	Set181	DUSP6	-0.1067642
AGID00116	940	3218	Old	DVL3	-0.24257
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.42779
AGID00135	1060	2332	Old	EEF2	-0.8301
AGID00136	1061	3692	Old	EEF2K	-0.70915
AGID00152	1120	2232	Old	EGFR	0.17372
AGID00450	217	2234	Old	EGFR_pY1068	0.70307
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.040067
AGID00078	722	9742	Old	EIF4E	-0.0016207
AGID00328	1871	ab76256	Set181	eIF4E_pS209	0.1037445
AGID00154	1124	2498	Old	EIF4G	-0.44079
AGID00027	228	9181	Set181	Elk1_pS383	0.227719
AGID00235	1350	M061329-2	Set181	EMA	-0.1441232
AGID00394	2337	3810	Set181	Enolase-1	-0.2427873
AGID00395	2338	8171	Set181	Enolase-2	-0.1784838
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set181	EphA2	0.2670085
AGID00552	2422	6347	Set181	EphA2_pS897	0.4058463
AGID00553	2423	12677	Set181	EphA2_pY588	0.1648287
AGID00075	693	556347	Old	EPPK1	-2.272
AGID00335	238	RM-9101	Old	ERALPHA	-1.3246
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.67425
AGID00240	247	MS-671	Old	ERCC1	-0.632
AGID00239	1355	11331-1-AP	Old	ERCC5	-0.71754
AGID00484	249	sc-154	Old	ERK2	0.046009
AGID00372	2193	3552	Set181	Erk5	0.1158941
AGID00405	2369	13826	Set181	ERRalpha	-0.09091319
AGID00187	1200	A303-501A	Old	ETS1	-0.073412
AGID00511	2492	2593	Set181	EVI1	0.1720507
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set181	FAK	-1.099772
AGID02151	2457	8556	Set181	FAK_pY397	0.2964406
AGID00171	1156	3180	Old	FASN	-1.1818
AGID00356	2085	500-P18/10775-082	Set181	FGF-basic	0.8021878
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	0.050171
AGID00339	1959	4403	Set181	FN14	0.6093297
AGID02152	2458	20459	Old	FOXM1	-0.053869
AGID00378	269	9467	Old	FOXO3A	-0.17814
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.51575
AGID02167	2475	PA5-64616	Set181	FRS2-alpha_pY196	-0.3446999
AGID02213	2575	ab124892	Set181	FTO	-0.04593502
AGID02141	2446	12263	Old	G6PD	0.19706
AGID00117	943	3239	Old	GAB2	-0.30531
AGID00412	274	AM4300	Old	GAPDH	-1.5278
AGID00086	764	558686	Old	GATA3	-1.0853
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set181	GCLC	0.7722437
AGID00305	1745	ab124827	Set181	GCLM	-0.2555262
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set181	Gli1	0.01474936
AGID00263	1520	ab69838	Set181	Gli3	1.632226
AGID00548	2530	3660	Set181	Glucocorticoid-Receptor	0.4803859
AGID00387	1617	12793	Set181	Glutamate-D1-2	-0.1818287
AGID00262	1491	ab156876	Set181	Glutaminase	0.5591949
AGID00319	1807	4275	Set181	Granzyme-B	-0.702881
AGID00368	2169	ab183737	Set181	GRB7	-0.3058523
AGID00396	2339	3593	Set181	Grp75	-0.137966
AGID00174	1163	9315	Set181	GSK-3B	0.48281
AGID00502	1082	9336	Old	GSK3_pS9	0.0098283
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	0.041343
