AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.20251
AGID00111	913	sc-23957	Old	1433EPSILON	-0.005523
AGID00101	883	sc-1019	Old	1433ZETA	0.15663
AGID00001	2	9452	Old	4EBP1	-0.0039509
AGID00002	3	9456	Old	4EBP1_pS65	0.0078424
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.2215
AGID00443	8	9455	Old	4EBP1_pT70	0.13067
AGID00120	985	4937	Old	53BP1	-0.23231
AGID00004	13	3661	Old	ACC_pS79	-0.25275
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.44667
AGID00408	2372	3658	Set173	AceCS1	-0.7477216
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.12475
AGID00404	2367	9189	Set173	ACSL1	-0.3269477
AGID02144	2450	PA5-27081	Old	ACVRL1	0.21936
AGID00186	1198	ab88574	Old	ADAR1	-1.0734
AGID00146	1084	4691	Old	AKT	0.44001
AGID00028	230	9271	Old	AKT_pS473	0.26281
AGID00170	1154	2965	Old	AKT_pT308	0.28251
AGID00316	1800	3063	Set173	Akt2	0.2254017
AGID00347	2009	8599	Set173	Akt2_pS474	1.227929
AGID02215	2577	ab195377	Set173	ALKBH5	-0.4114166
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.4573777
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	-0.1974676
AGID00006	39	2532	Old	AMPKALPHA	0.24908
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.65302
AGID00193	1208	610066	Old	ANNEXIN1	0.67416
AGID00166	1142	610668	Old	ANNEXINVII	0.10485
AGID00371	756	1852-1/ab52615	Old	AR	-1.419
AGID00194	1217	4432	Old	ARAF	0.068427
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.40054
AGID00260	1053	sc-32761	Old	ARID1A	0.27422
AGID00264	1560	HPA029318	Old	ASNS	-0.018548
AGID00276	1612	3415	Set173	Atg3	0.3853254
AGID00309	1775	13507	Set173	Atg4B	0.8757981
AGID00310	1776	12994	Set173	Atg5	-0.9402172
AGID00277	1613	8558	Set173	Atg7	-0.002455166
AGID00242	1363	2873	Old	ATM	0.35054
AGID02142	2447	13050	Set173	ATM_pS1981	2.531978
AGID00217	1289	ab14748	Set173	ATP5A	1.498659
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.1823764
AGID02150	2456	13934	Set173	ATR	-0.03771021
AGID00315	1795	ab178407	Set173	ATR_pS428	-0.07219083
AGID00268	1569	ab97508	Set173	ATRX	-1.099871
AGID00391	2332	14475	Set173	Aurora-A	-0.4285372
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.9705306
AGID02195	2512	MA5-27890	Set173	Aurora-B	1.341929
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	0.2682542
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.2362731
AGID00301	1725	14058	Set173	B7-H3	-2.077069
AGID00302	1726	14572	Set173	B7-H4	-0.2056759
AGID00008	63	9291	Old	BAD_pS112	0.44703
AGID00009	71	1542-1/ab32371	Old	BAK	-0.11397
AGID00192	1207	sc-28383	Old	BAP1C4	-0.27407
AGID00010	73	2772	Old	BAX	-0.049016
AGID00433	80	M0887	Old	BCL2	-1.1345
AGID00219	1299	PAB8528	Old	BCL2A1	0.37207
AGID00012	84	1018-1	Old	BCLXL	0.2389
AGID00377	87	sc-10086	Old	BECLIN	-0.17539
AGID00011	75	9562	Old	BETACATENIN	-0.24378
AGID00013	88	1008-1/ab32060	Old	BID	0.46658
AGID00180	90	1036-1/ab32158	Old	BIM	-0.067182
AGID00221	1311	610978	Set173	BiP-GRP78	9.150935e-05
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.332601
AGID00355	92	1647/ab33899	Old	BRAF	-0.39686
AGID00014	94	2696	Old	BRAF_pS445	-0.032582
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	-0.21844
AGID00168	1146	2865	Set173	c-Abl_pY412	-0.3217618
AGID00278	1615	3130	Set173	c-IAP2	-1.303945
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.33711
AGID00429	2407	2679	Set173	Calnexin	-0.8678282
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.6453923
AGID00623	111	9665	Old	CASPASE3	-0.3469
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.42372
AGID00118	951	9746	Old	CASPASE8	0.043506
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.1528
AGID00358	2100	ab76000	Set173	CD134	0.03921945
AGID00303	1737	826701	Set173	CD171	1.277077
AGID00410	125	1632-1/ab78237	Old	CD20	-0.51977
AGID00220	1308	ab28340	Old	CD26	0.18088
AGID00191	1206	610467	Set173	CD29	0.08813631
AGID00017	127	M0823	Old	CD31	-0.35204
AGID00369	2174	ab108403	Set173	CD38	0.2442158
