AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.32195
AGID00111	913	sc-23957	Old	1433EPSILON	0.26778
AGID00101	883	sc-1019	Old	1433ZETA	-0.55271
AGID00001	2	9452	Old	4EBP1	-0.091303
AGID00002	3	9456	Old	4EBP1_pS65	-0.27541
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.27264
AGID00443	8	9455	Old	4EBP1_pT70	-0.096512
AGID00120	985	4937	Old	53BP1	-0.54584
AGID00004	13	3661	Old	ACC_pS79	-0.63185
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.5231
AGID00408	2372	3658	Set173	AceCS1	-0.7413177
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.41636
AGID00404	2367	9189	Set173	ACSL1	-0.1127177
AGID02144	2450	PA5-27081	Old	ACVRL1	0.49736
AGID00186	1198	ab88574	Old	ADAR1	-0.10474
AGID00146	1084	4691	Old	AKT	-0.32672
AGID00028	230	9271	Old	AKT_pS473	-0.054472
AGID00170	1154	2965	Old	AKT_pT308	-0.37444
AGID00316	1800	3063	Set173	Akt2	0.7828472
AGID00347	2009	8599	Set173	Akt2_pS474	0.4768775
AGID02215	2577	ab195377	Set173	ALKBH5	-0.3422041
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.08791892
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.06670188
AGID00006	39	2532	Old	AMPKALPHA	-0.070444
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.56449
AGID00193	1208	610066	Old	ANNEXIN1	2.0375
AGID00166	1142	610668	Old	ANNEXINVII	0.18143
AGID00371	756	1852-1/ab52615	Old	AR	-0.4135
AGID00194	1217	4432	Old	ARAF	-0.23086
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.17922
AGID00260	1053	sc-32761	Old	ARID1A	0.23843
AGID00264	1560	HPA029318	Old	ASNS	0.61087
AGID00276	1612	3415	Set173	Atg3	0.1171322
