AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.018585
AGID00111	913	sc-23957	Old	1433EPSILON	0.069258
AGID00101	883	sc-1019	Old	1433ZETA	0.1729835
AGID00001	2	9452	Old	4EBP1	0.413115
AGID00002	3	9456	Old	4EBP1_pS65	0.08842
AGID00003	6	9459	Old	4EBP1_pT37T46	1.021115
AGID00443	8	9455	Old	4EBP1_pT70	0.6097
AGID00120	985	4937	Old	53BP1	-0.6962
AGID00004	13	3661	Old	ACC_pS79	-0.205115
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.762845
AGID00408	2372	3658	Set173	AceCS1	-0.622434
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.842245
AGID00404	2367	9189	Set173	ACSL1	0.7262391
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.183135
AGID00186	1198	ab88574	Old	ADAR1	0.060022
AGID00146	1084	4691	Old	AKT	1.4815
AGID00028	230	9271	Old	AKT_pS473	1.323125
AGID00170	1154	2965	Old	AKT_pT308	0.133485
AGID00316	1800	3063	Set173	Akt2	0.4196494
AGID00347	2009	8599	Set173	Akt2_pS474	-0.2347144
AGID02215	2577	ab195377	Set173	ALKBH5	-0.3239503
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.002022801
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.2525362
AGID00006	39	2532	Old	AMPKALPHA	0.226148
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.75274
AGID00193	1208	610066	Old	ANNEXIN1	-0.25366
AGID00166	1142	610668	Old	ANNEXINVII	-0.24633
AGID00371	756	1852-1/ab52615	Old	AR	-0.80957
AGID00194	1217	4432	Old	ARAF	-0.065325
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.0239
AGID00260	1053	sc-32761	Old	ARID1A	0.18744
AGID00264	1560	HPA029318	Old	ASNS	-1.471
AGID00276	1612	3415	Set173	Atg3	0.6416415
AGID00309	1775	13507	Set173	Atg4B	0.509872
AGID00310	1776	12994	Set173	Atg5	-1.581983
AGID00277	1613	8558	Set173	Atg7	0.288199
AGID00242	1363	2873	Old	ATM	0.80964
AGID02142	2447	13050	Set173	ATM_pS1981	0.6155773
AGID00217	1289	ab14748	Set173	ATP5A	1.752487
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.2411292
AGID02150	2456	13934	Set173	ATR	-0.3249237
AGID00315	1795	ab178407	Set173	ATR_pS428	0.6259969
AGID00268	1569	ab97508	Set173	ATRX	0.09712225
AGID00391	2332	14475	Set173	Aurora-A	-0.8311577
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.4751596
AGID02195	2512	MA5-27890	Set173	Aurora-B	-0.04860484
AGID00215	1271	8661	Old	AXL	-0.48791
AGID02143	2449	8457	Set173	b-Actin	-0.005818012
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	0.1816364
AGID00301	1725	14058	Set173	B7-H3	-0.4641027
AGID00302	1726	14572	Set173	B7-H4	-0.4802218
AGID00008	63	9291	Old	BAD_pS112	0.529175
AGID00009	71	1542-1/ab32371	Old	BAK	0.58834
AGID00192	1207	sc-28383	Old	BAP1C4	0.37597
AGID00010	73	2772	Old	BAX	0.377555
AGID00433	80	M0887	Old	BCL2	1.071845
AGID00219	1299	PAB8528	Old	BCL2A1	-0.0554235
AGID00012	84	1018-1	Old	BCLXL	0.166835
AGID00377	87	sc-10086	Old	BECLIN	0.33854
AGID00011	75	9562	Old	BETACATENIN	2.0214
AGID00013	88	1008-1/ab32060	Old	BID	-0.19154
AGID00180	90	1036-1/ab32158	Old	BIM	-0.1910015
AGID00221	1311	610978	Set173	BiP-GRP78	0.07950875
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.1205623
AGID00355	92	1647/ab33899	Old	BRAF	0.334642
AGID00014	94	2696	Old	BRAF_pS445	0.084641
AGID00445	761	9012	Old	BRCA2	-0.1731855
AGID00266	1567	13440	Old	BRD4	0.3807
AGID00168	1146	2865	Set173	c-Abl_pY412	-0.5859451
AGID00278	1615	3130	Set173	c-IAP2	-0.6928337
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.0061325
AGID00429	2407	2679	Set173	Calnexin	0.3073218
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.8807228
AGID00623	111	9665	Old	CASPASE3	0.037214
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.1682505
AGID00118	951	9746	Old	CASPASE8	-0.317095
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.096745
AGID00358	2100	ab76000	Set173	CD134	-0.7590973
AGID00303	1737	826701	Set173	CD171	6.405908
AGID00410	125	1632-1/ab78237	Old	CD20	0.0604075
AGID00220	1308	ab28340	Old	CD26	-0.095211
AGID00191	1206	610467	Set173	CD29	-0.1122083
AGID00017	127	M0823	Old	CD31	-0.025061
AGID00369	2174	ab108403	Set173	CD38	0.2608316
AGID00359	2104	ab133616	Set173	CD4	-0.07092281
AGID00411	1398	3570	Set173	CD44	1.825076
AGID00237	1352	M070101-2	Set173	CD45	0.06404677
AGID00115	937	611016	Old	CD49B	-0.600755
AGID02171	2482	91882	Set173	CD86	-0.05142823
AGID00329	1873	4688	Set173	cdc25C	-0.4187439
AGID00227	1332	4651	Set173	Cdc42	0.2697092
AGID00422	2396	3387	Set173	Cdc6	-0.1612541
AGID00501	1007	9112	Old	CDK1	-0.0180133
AGID00293	1658	ab32384	Set173	CDK1_pT14	-0.4170445
AGID00314	1783	4539	Old	CDK1_pY15	0.063085
AGID00423	2397	8064	Set173	CDT1	-1.220687
AGID02101	2348	15102	Set173	cGAS	0.1309236
AGID00447	2410	13460	Set173	CHD1L	0.0379108
AGID00189	1203	2360	Old	CHK1	-0.107392
AGID00234	1348	ab79758	Old	CHK1_pS296	0.0413705
AGID00107	903	2348	Old	CHK1_pS345	0.038119
AGID00018	146	3440	Old	CHK2	-0.872765
AGID00019	147	2197	Old	CHK2_pT68	-0.16244
AGID00527	2078	4952	Old	CIAP	0.346175
AGID00350	2018	3793	Set173	CIITA	1.517815
AGID00434	155	9164	Old	CJUN_pS73	0.29521
AGID00020	157	1522-1/ab32363	Old	CKIT	3.59965
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.46065
AGID00466	726	3127	Old	CMET	0.0089375
AGID00079	727	3129	Old	CMET_pY1235	0.0776845
AGID00167	161	9402	Old	CMYC	0.470025
AGID00292	1656	11130-1-AP	Old	COG3	-0.0027
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.0382415
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set173	Connexin-43	-2.830014
AGID00269	1571	6434	Set173	Coup-TFII	-1.102296
AGID00150	1116	4850	Set173	Cox-IV	-0.3417074
AGID00195	1218	4842	Set173	Cox2	0.9239768
AGID00188	803	05-739	Old	CRAF	0.0955
AGID00022	179	9427	Old	CRAF_pS338	0.01515
AGID00023	181	9197	Set173	Creb	-0.7935274
AGID00393	2334	9198	Set173	CREB_pS133	-0.1343713
AGID00365	2155	4980	Set173	CSK	1.081909
AGID00367	2160	9201	Set173	CtIP	-0.9522026
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set173	Cyclin-D3	0.3201952
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.11875
AGID00382	194	sc-718	Old	CYCLIND1	0.4085
AGID00437	199	sc-25303	Old	CYCLINE1	-0.128474
AGID00449	202	1142-1	Old	CYCLINE2	0.0945635
AGID00209	1257	ab110324	Set173	Cyclophilin-F	-0.7928095
AGID00247	1379	ab48389	Set173	D-a-Tubulin	0.1978518
AGID00308	1770	GTX10524	Set173	DAPK1_pS308	1.907414
AGID00304	1744	ab51601	Set173	DAPK2	0.0786894
AGID00343	1980	6998	Set173	DDB-1	0.2005615
AGID00427	2402	5583	Set173	DDR1	-1.131099
AGID00428	2403	SAB4504671	Set173	DDR1_pY513	-0.1158269
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.183145
AGID00104	891	ab76008	Old	DJ1	0.56704
AGID02146	2452	4658	Set173	DM-Histone-H3	-0.5808511
AGID00386	1397	ab32521	Set173	DM-K9-Histone-H3	0.07915155
AGID00352	2030	14649	Set173	DNA-Ligase-IV	0.8408686
AGID00407	2371	13609	Set173	DNA_POLG	0.2953535
AGID00399	2344	5032	Set173	DNMT1	-0.3973144
AGID00409	2373	5391	Set173	DRP1	-0.2095044
AGID00253	1406	5149	Old	DUSP4	0.4981
AGID00334	1936	ab76310	Set173	DUSP6	1.216493
AGID00116	940	3218	Old	DVL3	0.1311405
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	1.3747
AGID00135	1060	2332	Old	EEF2	0.12587
AGID00136	1061	3692	Old	EEF2K	0.130465
AGID00152	1120	2232	Old	EGFR	-0.027595
AGID00450	217	2234	Old	EGFR_pY1068	-0.270305
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.083989
AGID00078	722	9742	Old	EIF4E	-0.2200025
AGID00328	1871	ab76256	Set173	eIF4E_pS209	0.2790145
AGID00154	1124	2498	Old	EIF4G	0.27062
AGID00027	228	9181	Set173	Elk1_pS383	0.2574285
AGID00235	1350	M061329-2	Set173	EMA	-4.105869
AGID00394	2337	3810	Set173	Enolase-1	-0.2988337
AGID00395	2338	8171	Set173	Enolase-2	-0.03482649
AGID00196	1219	GTX629542	Old	ENY2	0.10782
AGID00438	1849	A302-024A	Set173	EphA2	-0.5828851
AGID00552	2422	6347	Set173	EphA2_pS897	-0.3884926
AGID00553	2423	12677	Set173	EphA2_pY588	-0.4293775
AGID00075	693	556347	Old	EPPK1	-3.36525
AGID00335	238	RM-9101	Old	ERALPHA	-1.9027
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.1784
AGID00240	247	MS-671	Old	ERCC1	-0.0290665
AGID00239	1355	11331-1-AP	Old	ERCC5	0.0761965
AGID00484	249	sc-154	Old	ERK2	0.228315
AGID00372	2193	3552	Set173	Erk5	0.2841712
AGID00405	2369	13826	Set173	ERRalpha	-0.1597778
AGID00187	1200	A303-501A	Old	ETS1	0.1321585
AGID00511	2492	2593	Set173	EVI1	-0.4145472
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set173	FAK	-0.5014022
AGID02151	2457	8556	Set173	FAK_pY397	0.2170705
AGID00171	1156	3180	Old	FASN	-0.408272
AGID00356	2085	500-P18/10775-082	Set173	FGF-basic	1.5095
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-1.0833
AGID00339	1959	4403	Set173	FN14	0.5368837
AGID02152	2458	20459	Old	FOXM1	-0.437055
AGID00378	269	9467	Old	FOXO3A	-0.059155
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.0844665
AGID02167	2475	PA5-64616	Set173	FRS2-alpha_pY196	-0.1667856
AGID02213	2575	ab124892	Set173	FTO	0.08789798
AGID02141	2446	12263	Old	G6PD	-0.260195
AGID00117	943	3239	Old	GAB2	1.6451
AGID00412	274	AM4300	Old	GAPDH	-0.901125
AGID00086	764	558686	Old	GATA3	-0.38989
AGID00383	1578	4253	Old	GATA6	0.054796
AGID00289	1634	12601-1-AP	Set173	GCLC	1.385625
AGID00305	1745	ab124827	Set173	GCLM	-0.3207559
AGID00212	1263	3305	Old	GCN5L2	-0.90506
AGID00270	1579	3538	Set173	Gli1	0.06878141
AGID00263	1520	ab69838	Set173	Gli3	-0.1517925
AGID00548	2530	3660	Set173	Glucocorticoid-Receptor	0.2201832
AGID00387	1617	12793	Set173	Glutamate-D1-2	-0.5636965
AGID00262	1491	ab156876	Set173	Glutaminase	0.5863923
AGID00319	1807	4275	Set173	Granzyme-B	0.9008768
AGID00368	2169	ab183737	Set173	GRB7	0.3327925
AGID00396	2339	3593	Set173	Grp75	0.2791188
AGID00174	1163	9315	Set173	GSK-3B	0.2764495
AGID00502	1082	9336	Old	GSK3_pS9	0.941545
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	0.472215
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	0.66016
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set173	H2AX_pS139	0.06741317
AGID00363	1409	MA1-2022	Set173	H2AX_pS140	0.2060547
AGID00131	1038	MS-325-P1	Old	HER2	-0.57626
AGID00142	299	06-229	Old	HER2_pY1248	-0.41161
AGID00110	911	sc-285	Old	HER3	1.4588
AGID00080	728	4791	Old	HER3_pY1289	0.132012
AGID00103	890	2573	Old	HEREGULIN	-0.181015
AGID00271	1582	11988	Set173	HES1	-1.299915
AGID00397	2340	2024	Set173	Hexokinase-I	0.4387422
AGID00442	1023	2867	Set173	Hexokinase-II	-0.2685294
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set173	Histone-H3	0.8966552
AGID00398	2341	3377	Set173	Histone-H3_pS10	-0.0895405
AGID00332	1901	ab128959	Set173	HLA-DQA1	-1.090473
AGID00333	1902	14832-1-AP	Set173	HMHA1	-0.08822337
AGID00035	321	2402	Set173	HSP27	0.1022134
AGID00036	323	2401	Set173	HSP27_pS82	-0.088155
AGID00320	1808	12165	Set173	HSP60	-0.3218937
AGID00037	325	4872	Old	HSP70	-0.875885
AGID00366	2158	86630	Set173	IDO	-0.1802154
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.017255
AGID00038	335	3922	Old	IGFBP2	-1.5423
AGID00090	793	611504	Set173	IGFBP3	-0.03686344
AGID00039	336	3027	Set173	IGFRb	0.2157294
AGID00336	1949	12153	Set173	IL-6	-0.4330504
AGID02221	2583	57145	Set173	IMP3	-0.08095465
AGID02153	2459	14543	Old	INPP4B	-0.543
AGID00272	1586	3025	Set173	IR-b	-0.07264493
AGID00519	2519	4302	Set173	IRF-3	-0.2067573
AGID00520	2520	4947	Set173	IRF-3_pS396	-0.1200132
AGID00223	1316	sc-497	Old	IRF1	0.105534
AGID00092	802	06-248	Old	IRS1	0.2571487
AGID00040	371	4502	Set173	IRS2	1.150267
AGID00250	1394	sc-13157	Old	JAB1	-0.07636
AGID00256	1413	ab109536	Set173	Jagged1	1.673106
AGID00177	1166	3230	Old	JAK2	0.1471425
