AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.093104
AGID00111	913	sc-23957	Old	1433EPSILON	-0.108255
AGID00101	883	sc-1019	Old	1433ZETA	0.272945
AGID00001	2	9452	Old	4EBP1	0.0604315
AGID00002	3	9456	Old	4EBP1_pS65	0.169625
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.0394155
AGID00443	8	9455	Old	4EBP1_pT70	-0.0692375
AGID00120	985	4937	Old	53BP1	-0.131045
AGID00004	13	3661	Old	ACC_pS79	-0.46787
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.928755
AGID00408	2372	3658	Set173	AceCS1	-0.2751715
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.84824
AGID00404	2367	9189	Set173	ACSL1	-0.02916498
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.0656985
AGID00186	1198	ab88574	Old	ADAR1	0.299695
AGID00146	1084	4691	Old	AKT	1.52855
AGID00028	230	9271	Old	AKT_pS473	0.331755
AGID00170	1154	2965	Old	AKT_pT308	0.18069
AGID00316	1800	3063	Set173	Akt2	0.1556422
AGID00347	2009	8599	Set173	Akt2_pS474	0.207447
AGID02215	2577	ab195377	Set173	ALKBH5	-0.5720652
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.005678798
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	-0.06202419
AGID00006	39	2532	Old	AMPKALPHA	0.0906305
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.305785
AGID00193	1208	610066	Old	ANNEXIN1	-0.39996
AGID00166	1142	610668	Old	ANNEXINVII	-0.234075
AGID00371	756	1852-1/ab52615	Old	AR	-0.73265
AGID00194	1217	4432	Old	ARAF	-0.1927435
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.2228405
AGID00260	1053	sc-32761	Old	ARID1A	0.0829315
AGID00264	1560	HPA029318	Old	ASNS	-1.09191
AGID00276	1612	3415	Set173	Atg3	0.2229179
AGID00309	1775	13507	Set173	Atg4B	-0.1122426
AGID00310	1776	12994	Set173	Atg5	-0.9414898
AGID00277	1613	8558	Set173	Atg7	0.3127804
AGID00242	1363	2873	Old	ATM	0.552975
AGID02142	2447	13050	Set173	ATM_pS1981	0.3101642
AGID00217	1289	ab14748	Set173	ATP5A	3.255863
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.0249367
AGID02150	2456	13934	Set173	ATR	-0.426953
AGID00315	1795	ab178407	Set173	ATR_pS428	-0.3238934
AGID00268	1569	ab97508	Set173	ATRX	0.3913972
AGID00391	2332	14475	Set173	Aurora-A	-1.421051
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.7919006
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.5289693
AGID00215	1271	8661	Old	AXL	0.20306
AGID02143	2449	8457	Set173	b-Actin	0.4403934
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.05731575
AGID00301	1725	14058	Set173	B7-H3	0.2524067
AGID00302	1726	14572	Set173	B7-H4	-0.3896702
AGID00008	63	9291	Old	BAD_pS112	0.303405
AGID00009	71	1542-1/ab32371	Old	BAK	-0.045305
AGID00192	1207	sc-28383	Old	BAP1C4	-0.102816
AGID00010	73	2772	Old	BAX	0.3223425
AGID00433	80	M0887	Old	BCL2	1.66835
AGID00219	1299	PAB8528	Old	BCL2A1	-0.046578
AGID00012	84	1018-1	Old	BCLXL	-0.014845
AGID00377	87	sc-10086	Old	BECLIN	-0.000249
AGID00011	75	9562	Old	BETACATENIN	-0.8984
AGID00013	88	1008-1/ab32060	Old	BID	0.00796285
AGID00180	90	1036-1/ab32158	Old	BIM	0.63963
AGID00221	1311	610978	Set173	BiP-GRP78	-0.1522234
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.3030866
AGID00355	92	1647/ab33899	Old	BRAF	0.340715
AGID00014	94	2696	Old	BRAF_pS445	0.03507
AGID00445	761	9012	Old	BRCA2	-0.078784
AGID00266	1567	13440	Old	BRD4	0.286125
AGID00168	1146	2865	Set173	c-Abl_pY412	-0.6683608
AGID00278	1615	3130	Set173	c-IAP2	-0.7848865
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.0172965
