AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.0502095
AGID00111	913	sc-23957	Old	1433EPSILON	-0.04342005
AGID00101	883	sc-1019	Old	1433ZETA	0.21008
AGID00001	2	9452	Old	4EBP1	0.836355
AGID00002	3	9456	Old	4EBP1_pS65	0.845315
AGID00003	6	9459	Old	4EBP1_pT37T46	1.1625
AGID00443	8	9455	Old	4EBP1_pT70	0.482585
AGID00120	985	4937	Old	53BP1	0.444455
AGID00004	13	3661	Old	ACC_pS79	-0.184475
AGID00005	14	1768-1/ab45174	Old	ACC1	0.146685
AGID00408	2372	3658	Set173	AceCS1	-0.6172199
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.005415
AGID00404	2367	9189	Set173	ACSL1	0.5358587
AGID02144	2450	PA5-27081	Old	ACVRL1	0.1252145
AGID00186	1198	ab88574	Old	ADAR1	0.44367
AGID00146	1084	4691	Old	AKT	1.240825
AGID00028	230	9271	Old	AKT_pS473	1.34385
AGID00170	1154	2965	Old	AKT_pT308	1.159195
AGID00316	1800	3063	Set173	Akt2	0.5505948
AGID00347	2009	8599	Set173	Akt2_pS474	0.6490883
AGID02215	2577	ab195377	Set173	ALKBH5	-1.317893
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.0340172
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	-0.09574991
AGID00006	39	2532	Old	AMPKALPHA	-0.16801
AGID00007	40	2535	Old	AMPKALPHA_pT172	-1.573
AGID00193	1208	610066	Old	ANNEXIN1	-1.2789
AGID00166	1142	610668	Old	ANNEXINVII	-0.256025
AGID00371	756	1852-1/ab52615	Old	AR	-0.91799
AGID00194	1217	4432	Old	ARAF	0.0156172
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.0411965
AGID00260	1053	sc-32761	Old	ARID1A	0.194785
AGID00264	1560	HPA029318	Old	ASNS	0.069255
AGID00276	1612	3415	Set173	Atg3	0.1922012
AGID00309	1775	13507	Set173	Atg4B	0.04258019
AGID00310	1776	12994	Set173	Atg5	-0.614741
AGID00277	1613	8558	Set173	Atg7	-0.06262708
AGID00242	1363	2873	Old	ATM	0.84787
AGID02142	2447	13050	Set173	ATM_pS1981	1.486204
AGID00217	1289	ab14748	Set173	ATP5A	1.061627
