AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.022921
AGID00111	913	sc-23957	Old	1433EPSILON	0.0086978
AGID00101	883	sc-1019	Old	1433ZETA	-0.28003
AGID00001	2	9452	Old	4EBP1	0.078053
AGID00002	3	9456	Old	4EBP1_pS65	0.59656
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.56018
AGID00443	8	9455	Old	4EBP1_pT70	0.14958
AGID00120	985	4937	Old	53BP1	-0.67674
AGID00004	13	3661	Old	ACC_pS79	-0.94326
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.1048
AGID00408	2372	3658	Set172	AceCS1	-0.09921488
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.51592
AGID00404	2367	9189	Set172	ACSL1	-0.4860271
AGID02144	2450	PA5-27081	Old	ACVRL1	0.045816
AGID00186	1198	ab88574	Old	ADAR1	-0.61974
AGID00146	1084	4691	Old	AKT	-0.26358
AGID00028	230	9271	Old	AKT_pS473	0.011997
AGID00170	1154	2965	Old	AKT_pT308	0.080198
AGID00316	1800	3063	Set172	Akt2	-0.1841744
AGID00347	2009	8599	Set172	Akt2_pS474	2.134921
AGID02215	2577	ab195377	Set172	ALKBH5	0.5016603
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	0.03546514
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	0.07512077
AGID00006	39	2532	Old	AMPKALPHA	0.5482
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.13419
AGID00193	1208	610066	Old	ANNEXIN1	-1.2717
AGID00166	1142	610668	Old	ANNEXINVII	0.28635
AGID00371	756	1852-1/ab52615	Old	AR	-0.47538
AGID00194	1217	4432	Old	ARAF	0.059893
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.20671
AGID00260	1053	sc-32761	Old	ARID1A	0.10619
AGID00264	1560	HPA029318	Old	ASNS	-0.43925
AGID00276	1612	3415	Set172	Atg3	0.09669344
AGID00309	1775	13507	Set172	Atg4B	-0.1472394
AGID00310	1776	12994	Set172	Atg5	0.08631467
AGID00277	1613	8558	Set172	Atg7	-0.3029424
AGID00242	1363	2873	Old	ATM	1.2693
AGID02142	2447	13050	Set172	ATM_pS1981	1.699702
AGID00217	1289	ab14748	Set172	ATP5A	-0.1620744
AGID02145	2451	PA5-43776	Set172	ATP5H	-0.2668692
AGID02150	2456	13934	Set172	ATR	-0.2192132
AGID00315	1795	ab178407	Set172	ATR_pS428	-0.02731607
AGID00268	1569	ab97508	Set172	ATRX	-0.08021713
AGID00391	2332	14475	Set172	Aurora-A	-0.6450908
AGID00392	2333	2914	Set172	Aurora-ABC_pT288_pT232_pT198	-0.3656952
AGID02195	2512	MA5-27890	Set172	Aurora-B	1.659157
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set172	b-Actin	-0.432851
AGID00179	1170	9565	Set172	b-Catenin_pT41_S45	-0.5629921
AGID00301	1725	14058	Set172	B7-H3	-1.079448
AGID00302	1726	14572	Set172	B7-H4	0.2577529
AGID00008	63	9291	Old	BAD_pS112	0.011953
AGID00009	71	1542-1/ab32371	Old	BAK	-0.0090373
AGID00192	1207	sc-28383	Old	BAP1C4	-0.34822
AGID00010	73	2772	Old	BAX	-0.60624
AGID00433	80	M0887	Old	BCL2	0.74116
AGID00219	1299	PAB8528	Old	BCL2A1	0.8758
AGID00012	84	1018-1	Old	BCLXL	-0.23268
AGID00377	87	sc-10086	Old	BECLIN	0.36108
AGID00011	75	9562	Old	BETACATENIN	0.07086
AGID00013	88	1008-1/ab32060	Old	BID	0.05575
AGID00180	90	1036-1/ab32158	Old	BIM	-0.15951
AGID00221	1311	610978	Set172	BiP-GRP78	-0.2101465
AGID00373	2194	07-507	Set172	BMK1-Erk5_pT218_Y220	-0.1080671
AGID00355	92	1647/ab33899	Old	BRAF	0.093542
AGID00014	94	2696	Old	BRAF_pS445	0.38666
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	-0.039931
AGID00168	1146	2865	Set172	c-Abl_pY412	0.09662284
AGID00278	1615	3130	Set172	c-IAP2	0.1175933
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.053705
AGID00429	2407	2679	Set172	Calnexin	-0.113138
AGID00176	1165	9496	Set172	Caspase-8-cleaved	-0.7324493
AGID00623	111	9665	Old	CASPASE3	-0.34006
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.13214
AGID00118	951	9746	Old	CASPASE8	-0.26718
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	2.2706
AGID00358	2100	ab76000	Set172	CD134	0.2344816
AGID00303	1737	826701	Set172	CD171	-1.002654
AGID00410	125	1632-1/ab78237	Old	CD20	-0.44136
AGID00220	1308	ab28340	Old	CD26	1.5025
AGID00191	1206	610467	Set172	CD29	0.1244615
AGID00017	127	M0823	Old	CD31	0.42255
AGID00369	2174	ab108403	Set172	CD38	-0.1519753
AGID00359	2104	ab133616	Set172	CD4	-0.7308956
AGID00411	1398	3570	Set172	CD44	-0.7668951
AGID00237	1352	M070101-2	Set172	CD45	-0.04555632
AGID00115	937	611016	Old	CD49B	0.067402
AGID02171	2482	91882	Set172	CD86	0.5013394
AGID00329	1873	4688	Set172	cdc25C	-0.2095686
AGID00227	1332	4651	Set172	Cdc42	0.07255922
AGID00422	2396	3387	Set172	Cdc6	-0.4164413
AGID00501	1007	9112	Old	CDK1	-0.45717
AGID00293	1658	ab32384	Set172	CDK1_pT14	-0.9282708
AGID00314	1783	4539	Old	CDK1_pY15	0.12978
AGID00423	2397	8064	Set172	CDT1	0.1898702
AGID02101	2348	15102	Set172	cGAS	0.1625506
AGID00447	2410	13460	Set172	CHD1L	-0.3660583
AGID00189	1203	2360	Old	CHK1	-0.62398
AGID00234	1348	ab79758	Old	CHK1_pS296	0.24627
AGID00107	903	2348	Old	CHK1_pS345	-0.41089
AGID00018	146	3440	Old	CHK2	-0.69315
AGID00019	147	2197	Old	CHK2_pT68	0.44717
AGID00527	2078	4952	Old	CIAP	0.059875
AGID00350	2018	3793	Set172	CIITA	-0.06411561
AGID00434	155	9164	Old	CJUN_pS73	0.25111
AGID00020	157	1522-1/ab32363	Old	CKIT	0.20399
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.5131
AGID00466	726	3127	Old	CMET	-0.001982
AGID00079	727	3129	Old	CMET_pY1235	-0.0011257
AGID00167	161	9402	Old	CMYC	-0.63592
AGID00292	1656	11130-1-AP	Old	COG3	-0.30336
AGID00021	171	sc-20649	Old	COLLAGENVI	0.27025
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set172	Connexin-43	0.2248587
AGID00269	1571	6434	Set172	Coup-TFII	0.6245086
AGID00150	1116	4850	Set172	Cox-IV	-1.096871
AGID00195	1218	4842	Set172	Cox2	-0.1830193
AGID00188	803	05-739	Old	CRAF	-0.19529
AGID00022	179	9427	Old	CRAF_pS338	0.25045
AGID00023	181	9197	Set172	Creb	0.3361768
AGID00393	2334	9198	Set172	CREB_pS133	0.2719339
AGID00365	2155	4980	Set172	CSK	-0.5034114
AGID00367	2160	9201	Set172	CtIP	0.902968
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set172	Cyclin-D3	-0.1382098
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.8201
AGID00382	194	sc-718	Old	CYCLIND1	0.57874
AGID00437	199	sc-25303	Old	CYCLINE1	-1.2227
AGID00449	202	1142-1	Old	CYCLINE2	-0.8629
AGID00209	1257	ab110324	Set172	Cyclophilin-F	-1.363519
AGID00247	1379	ab48389	Set172	D-a-Tubulin	-0.1418423
AGID00308	1770	GTX10524	Set172	DAPK1_pS308	-0.1523876
AGID00304	1744	ab51601	Set172	DAPK2	0.04394575
AGID00343	1980	6998	Set172	DDB-1	-0.05921895
AGID00427	2402	5583	Set172	DDR1	-0.6432692
AGID00428	2403	SAB4504671	Set172	DDR1_pY513	-0.03393336
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.032866
AGID00104	891	ab76008	Old	DJ1	-0.34621
AGID02146	2452	4658	Set172	DM-Histone-H3	-0.07642418
AGID00386	1397	ab32521	Set172	DM-K9-Histone-H3	-0.340989
AGID00352	2030	14649	Set172	DNA-Ligase-IV	1.130722
AGID00407	2371	13609	Set172	DNA_POLG	-0.1417156
AGID00399	2344	5032	Set172	DNMT1	-1.165541
AGID00409	2373	5391	Set172	DRP1	-0.5655755
AGID00253	1406	5149	Old	DUSP4	-0.51791
AGID00334	1936	ab76310	Set172	DUSP6	0.1549009
AGID00116	940	3218	Old	DVL3	-1.0645
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-0.35655
AGID00135	1060	2332	Old	EEF2	-1.2454
AGID00136	1061	3692	Old	EEF2K	-0.63844
AGID00152	1120	2232	Old	EGFR	0.72122
AGID00450	217	2234	Old	EGFR_pY1068	1.2791
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.033026
AGID00078	722	9742	Old	EIF4E	0.050175
AGID00328	1871	ab76256	Set172	eIF4E_pS209	0.004790571
AGID00154	1124	2498	Old	EIF4G	-0.061756
AGID00027	228	9181	Set172	Elk1_pS383	0.4887802
AGID00235	1350	M061329-2	Set172	EMA	-3.675209
AGID00394	2337	3810	Set172	Enolase-1	1.186734
AGID00395	2338	8171	Set172	Enolase-2	0.9338148
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set172	EphA2	0.2301334
AGID00552	2422	6347	Set172	EphA2_pS897	0.1617074
AGID00553	2423	12677	Set172	EphA2_pY588	0.2791584
AGID00075	693	556347	Old	EPPK1	-1.5225
AGID00335	238	RM-9101	Old	ERALPHA	-1.1704
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.91182
AGID00240	247	MS-671	Old	ERCC1	-0.52587
AGID00239	1355	11331-1-AP	Old	ERCC5	0.52
AGID00484	249	sc-154	Old	ERK2	0.53309
AGID00372	2193	3552	Set172	Erk5	-0.2462751
AGID00405	2369	13826	Set172	ERRalpha	0.08750318
AGID00187	1200	A303-501A	Old	ETS1	-0.28266
AGID00511	2492	2593	Set172	EVI1	0.2673399
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set172	FAK	0.7202839
AGID02151	2457	8556	Set172	FAK_pY397	0.0312775
AGID00171	1156	3180	Old	FASN	-2.1883
AGID00356	2085	500-P18/10775-082	Set172	FGF-basic	2.074512
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.80114
AGID00339	1959	4403	Set172	FN14	0.2922982
AGID02152	2458	20459	Old	FOXM1	0.1753
AGID00378	269	9467	Old	FOXO3A	0.19809
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.3234
AGID02167	2475	PA5-64616	Set172	FRS2-alpha_pY196	-0.1467003
AGID02213	2575	ab124892	Set172	FTO	0.556863
AGID02141	2446	12263	Old	G6PD	-0.22082
AGID00117	943	3239	Old	GAB2	0.037102
AGID00412	274	AM4300	Old	GAPDH	-0.98276
AGID00086	764	558686	Old	GATA3	-0.421
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set172	GCLC	0.9644982
AGID00305	1745	ab124827	Set172	GCLM	-0.3802247
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set172	Gli1	-0.04508329
AGID00263	1520	ab69838	Set172	Gli3	0.2517306
AGID00548	2530	3660	Set172	Glucocorticoid-Receptor	1.124914
AGID00387	1617	12793	Set172	Glutamate-D1-2	0.277646
AGID00262	1491	ab156876	Set172	Glutaminase	0.4809269
AGID00319	1807	4275	Set172	Granzyme-B	-0.2257364
AGID00368	2169	ab183737	Set172	GRB7	0.3243982
AGID00396	2339	3593	Set172	Grp75	-0.6056603
AGID00174	1163	9315	Set172	GSK-3B	-0.2756158
AGID00502	1082	9336	Old	GSK3_pS9	0.24566
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.26674
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	0.26928
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set172	H2AX_pS139	0.1772333
AGID00363	1409	MA1-2022	Set172	H2AX_pS140	0.1918462
AGID00131	1038	MS-325-P1	Old	HER2	-0.32634
AGID00142	299	06-229	Old	HER2_pY1248	0.31621
AGID00110	911	sc-285	Old	HER3	0.81302
AGID00080	728	4791	Old	HER3_pY1289	0.35644
AGID00103	890	2573	Old	HEREGULIN	0.36296
AGID00271	1582	11988	Set172	HES1	0.5949557
AGID00397	2340	2024	Set172	Hexokinase-I	-0.4772521
AGID00442	1023	2867	Set172	Hexokinase-II	-0.1167807
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set172	Histone-H3	-0.8757378
AGID00398	2341	3377	Set172	Histone-H3_pS10	-0.7377584
AGID00332	1901	ab128959	Set172	HLA-DQA1	-1.546788
AGID00333	1902	14832-1-AP	Set172	HMHA1	-0.4859436
AGID00035	321	2402	Set172	HSP27	0.4064923
AGID00036	323	2401	Set172	HSP27_pS82	1.923799
AGID00320	1808	12165	Set172	HSP60	0.8842188
AGID00037	325	4872	Old	HSP70	-0.12937
AGID00366	2158	86630	Set172	IDO	2.780124
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.31537
AGID00038	335	3922	Old	IGFBP2	-0.97817
AGID00090	793	611504	Set172	IGFBP3	1.924717
AGID00039	336	3027	Set172	IGFRb	-0.5707975
AGID00336	1949	12153	Set172	IL-6	0.9905993
AGID02221	2583	57145	Set172	IMP3	-0.004105576
AGID02153	2459	14543	Old	INPP4B	-0.23722
AGID00272	1586	3025	Set172	IR-b	2.608807
AGID00519	2519	4302	Set172	IRF-3	0.2943653
AGID00520	2520	4947	Set172	IRF-3_pS396	0.02223163
AGID00223	1316	sc-497	Old	IRF1	0.1004
AGID00092	802	06-248	Old	IRS1	0.38986
AGID00040	371	4502	Set172	IRS2	-0.3761797
AGID00250	1394	sc-13157	Old	JAB1	0.0040274
AGID00256	1413	ab109536	Set172	Jagged1	-0.01762765
AGID00177	1166	3230	Old	JAK2	-0.38451
AGID00758	377	4671	Old	JNK_pT183Y185	-0.13235
AGID02136	2439	PA5-28262	Old	JNK2	-0.097796
AGID00307	1757	ab10484	Set172	KAP1	-0.2546489
AGID00528	904	2180	Old	KU80	-0.14312
AGID00375	2237	HPA028732	Set172	LAD1	-1.319799
AGID00290	1643	IHC-00439	Set172	Lasu1	-0.1465037
AGID00279	1618	4108	Set172	LC3A-B	-0.5820114
AGID00042	397	2752	Old	LCK	0.057399
AGID00119	976	3582	Old	LDHA	NA
AGID00533	977	ab85319	Old	LDHB	NA
AGID00529	1477	3050	Old	LKB1	0.057496
AGID00244	1367	2568	Set172	LRP6_pS1490	0.09973718
AGID00439	2424	2796	Set172	Lyn	-0.6753892
AGID02154	2460	4370	Old	MAPK_pT202Y204	1.26
AGID00198	1222	5453	Set172	Mcl-1	-0.6053188
AGID00288	1633	AB3314P	Set172	MCT4	1.887201
AGID00175	1164	3521	Set172	MDM2_pS166	-0.2554583
AGID00044	417	1235-1/ab32576	Old	MEK1	0.53785
AGID00143	1076	9154	Old	MEK1_pS217S221	0.75412
AGID00201	1243	9125	Set172	MEK2	-0.03927562
AGID00361	2118	ab51061	Set172	MelanA	0.3727742
AGID00362	2119	ab137078	Set172	Melanoma-gp100	0.01120812
AGID00337	1951	12711	Set172	MERIT40	0.1108726
AGID00338	1952	12110	Set172	MERIT40_pS29	0.04108078
AGID02212	2574	ab195352	Set172	METTL3	-0.02109454
AGID00225	1323	sc-20121	Set172	MIF	0.3713455
AGID00137	1062	WH0054206M1	Old	MIG6	0.02188
AGID00403	2117	ab20663	Set172	MITF	0.3488261
AGID00503	1067	ab3298	Old	MITOCHONDRIA	NA
AGID00321	1809	14739	Set172	Mitofusin-1	-0.4022331
AGID00322	1810	11925	Set172	Mitofusin-2	-0.237951
AGID00389	2324	3515	Set172	MLH1	-0.420941
AGID00312	1780	14993	Set172	MLKL	0.4668648
AGID00402	2359	MAB3328	Set172	MMP14	-1.494596
AGID00045	435	4022	Set172	MMP2	-0.158853
AGID00122	1005	2195	Set172	Mnk1	-0.7038934
AGID00331	1899	sc-377312	Set172	MR1	0.2207565
AGID00273	1589	ab103319	Set172	MRAP	-0.1065595
AGID00530	440	4847	Old	MRE11	0.19993
AGID00390	905	2850	Old	MSH2	-0.18457
AGID00138	1063	22030002	Old	MSH6	-0.62799
AGID00299	1675	ab76148	Set172	MSI2	-0.03937841
AGID00232	1344	ab14705	Set172	MTCO1	-1.154829
AGID00046	444	2983	Old	MTOR	-0.98624
AGID00047	446	2971	Old	MTOR_pS2448	-0.077686
AGID00204	1247	H00009788-M01A	Set172	MTSS1	-0.0183236
AGID00401	1139	21370002	Old	MYH11	-1.2599
AGID00291	1647	3403	Old	MYOSINIIA	NA
AGID00173	1160	5026	Old	MYOSINIIA_pS1943	-0.17315
AGID00318	1803	4282	Set172	Myt1	-0.2956817
AGID00216	1274	5795-1/ab129189	Old	NAPSINA	NA
AGID00418	452	4061	Old	NCADHERIN	0.96617
AGID00156	1126	3217	Old	NDRG1_pT346	3.7358
AGID02133	2436	PA5-45913	Set172	NDUFB4	-0.2454407
AGID00134	1046	22710002	Old	NF2	-0.06648
AGID00048	457	3033	Old	NFKBP65_pS536	0.69994
AGID02155	2461	3608	Old	NOTCH1	0.049378
AGID00340	1969	4147	Set172	Notch1-cleaved	0.3831529
AGID00087	767	sc-5593	Set172	Notch3	-0.047722
AGID00258	1420	3187	Set172	NQO1	-0.5813279
AGID00162	1136	sc-31	Old	NRAS	0.35179
AGID00257	1419	12721	Old	NRF2	NA
AGID00297	1669	2750	Set172	Oct-4	0.5258912
AGID00420	466	1712-1/ab40803	Old	P16INK4A	-0.33694
AGID00384	470	sc-6246	Old	P21	0.1352
AGID00105	897	1591-1/ab32034	Old	P27	1.1074
AGID00096	842	AF1555	Old	P27_pT157	0.052483
AGID00099	878	ab64949	Old	P27_pT198	-0.0070988
AGID00181	1175	9228	Set172	p38-a	-0.1309306
AGID00098	479	9211	Old	P38_pT180Y182	0.8794
AGID00049	478	9212	Old	P38MAPK	0.21962
AGID00151	1119	4695	Set172	p44-42-MAPK	0.4267274
AGID00050	481	9282	Old	P53	0.25439
AGID00490	1187	610833	Old	P62LCKLIGAND	-0.29958
AGID00545	1415	ab53039	Old	P63	NA
AGID00052	494	9205	Old	P70S6K_pT389	0.74415
AGID00051	493	1494-1/ab32529	Old	P70S6K1	0.055025
AGID00085	759	9347	Old	P90RSK	-0.029353
AGID00531	770	9344	Old	P90RSK_pT359S363	0.30279
AGID00182	1178	9346	Set172	p90RSK_pT573	-0.7886631
AGID00053	499	612024	Old	PAI1	0.95348
AGID00224	1322	HPA035895	Set172	PAICS	-0.1447393
AGID00323	1811	2602	Set172	PAK1	0.4350691
AGID02199	2517	PA5-69540	Set172	PAK4	0.8650027
AGID00245	1370	4336-BPC-100	Set172	PAR	-1.950239
AGID00374	2209	66564	Set172	PARG	0.0687435
AGID00370	1372	sc-7150	Old	PARP1	NA
AGID00468	501	9546	Old	PARPCLEAVED	-0.1145
AGID00274	1591	ab53715	Set172	Patched	0.2418231
AGID00513	2486	60433	Set172	PAX6	0.03813065
AGID00441	1621	9857	Set172	PAX8	1.198525
AGID00054	504	2542	Old	PAXILLIN	0.74273
AGID00055	509	2130	Old	PCADHERIN	-0.008856
AGID00248	511	ab29	Old	PCNA	-0.59505
AGID00413	2095	43248	Old	PDCD1	NA
AGID00094	816	600-401-965	Old	PDCD4	0.068624
AGID00385	1225	3169	Set172	PDGFRB	NA
AGID00210	1258	ab110332	Set172	PDH	0.005529884
AGID00324	1817	3205	Set172	PDHA1	-0.001880211
AGID00280	1622	3820	Set172	PDHK1	0.2666797
AGID00056	515	3062	Old	PDK1	0.34357
AGID00057	516	3061	Old	PDK1_pS241	0.61166
AGID00300	1234	sc-19090	Old	PDL1	0.15546
