AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.047167
AGID00111	913	sc-23957	Old	1433EPSILON	-0.022102
AGID00101	883	sc-1019	Old	1433ZETA	0.14956
AGID00001	2	9452	Old	4EBP1	-0.20279
AGID00002	3	9456	Old	4EBP1_pS65	-0.30025
AGID00003	6	9459	Old	4EBP1_pT37T46	0.35909
AGID00443	8	9455	Old	4EBP1_pT70	-0.031231
AGID00120	985	4937	Old	53BP1	-0.28868
AGID00004	13	3661	Old	ACC_pS79	1.0586
AGID00005	14	1768-1/ab45174	Old	ACC1	1.0908
AGID00408	2372	3658	Set173	AceCS1	-0.3088321
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.19755
AGID00404	2367	9189	Set173	ACSL1	0.7043697
AGID02144	2450	PA5-27081	Old	ACVRL1	0.18264
AGID00186	1198	ab88574	Old	ADAR1	0.15986
AGID00146	1084	4691	Old	AKT	-0.17873
AGID00028	230	9271	Old	AKT_pS473	0.34084
AGID00170	1154	2965	Old	AKT_pT308	-0.2024
AGID00316	1800	3063	Set173	Akt2	-0.1870901
AGID00347	2009	8599	Set173	Akt2_pS474	0.2144405
AGID02215	2577	ab195377	Set173	ALKBH5	-0.532652
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.1145631
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	-0.01066072
AGID00006	39	2532	Old	AMPKALPHA	-0.22681
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.085759
AGID00193	1208	610066	Old	ANNEXIN1	-0.38408
AGID00166	1142	610668	Old	ANNEXINVII	-0.019339
AGID00371	756	1852-1/ab52615	Old	AR	-0.33331
AGID00194	1217	4432	Old	ARAF	0.027263
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.16474
AGID00260	1053	sc-32761	Old	ARID1A	0.14389
AGID00264	1560	HPA029318	Old	ASNS	0.1657
AGID00276	1612	3415	Set173	Atg3	0.1322305
AGID00309	1775	13507	Set173	Atg4B	-0.3961479
AGID00310	1776	12994	Set173	Atg5	-0.2719885
AGID00277	1613	8558	Set173	Atg7	0.5678256
AGID00242	1363	2873	Old	ATM	0.42265
AGID02142	2447	13050	Set173	ATM_pS1981	1.070588
AGID00217	1289	ab14748	Set173	ATP5A	-0.1217736
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.5743233
AGID02150	2456	13934	Set173	ATR	-0.3243255
AGID00315	1795	ab178407	Set173	ATR_pS428	0.161853
AGID00268	1569	ab97508	Set173	ATRX	-1.138594
AGID00391	2332	14475	Set173	Aurora-A	-0.3636645
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.2553073
AGID02195	2512	MA5-27890	Set173	Aurora-B	-0.1328351
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.1136176
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.5061291
AGID00301	1725	14058	Set173	B7-H3	-0.7807257
AGID00302	1726	14572	Set173	B7-H4	-0.2029355
AGID00008	63	9291	Old	BAD_pS112	0.21376
AGID00009	71	1542-1/ab32371	Old	BAK	-0.67051
AGID00192	1207	sc-28383	Old	BAP1C4	-0.23077
AGID00010	73	2772	Old	BAX	-0.10619
AGID00433	80	M0887	Old	BCL2	-0.22996
