AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.067904
AGID00111	913	sc-23957	Old	1433EPSILON	0.46867
AGID00101	883	sc-1019	Old	1433ZETA	-0.70164
AGID00001	2	9452	Old	4EBP1	-0.36229
AGID00002	3	9456	Old	4EBP1_pS65	-0.26166
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.1119
AGID00443	8	9455	Old	4EBP1_pT70	-0.18247
AGID00120	985	4937	Old	53BP1	-0.57026
AGID00004	13	3661	Old	ACC_pS79	-0.0088755
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.12988
AGID00408	2372	3658	Set172	AceCS1	0.3325488
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.89452
AGID00404	2367	9189	Set172	ACSL1	-0.0157893
AGID02144	2450	PA5-27081	Old	ACVRL1	0.31847
AGID00186	1198	ab88574	Old	ADAR1	-0.36536
AGID00146	1084	4691	Old	AKT	-0.49401
AGID00028	230	9271	Old	AKT_pS473	0.10641
AGID00170	1154	2965	Old	AKT_pT308	0.31277
AGID00316	1800	3063	Set172	Akt2	0.004416794
AGID00347	2009	8599	Set172	Akt2_pS474	1.395277
AGID02215	2577	ab195377	Set172	ALKBH5	-0.07209935
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	0.04638793
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	0.2084236
AGID00006	39	2532	Old	AMPKALPHA	0.68817
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.12461
AGID00193	1208	610066	Old	ANNEXIN1	0.42514
AGID00166	1142	610668	Old	ANNEXINVII	0.36582
AGID00371	756	1852-1/ab52615	Old	AR	-0.025045
AGID00194	1217	4432	Old	ARAF	-0.10867
AGID02191	2507	PA5-39728	Old	ARAF_pS299	1.0087
AGID00260	1053	sc-32761	Old	ARID1A	-0.12616
AGID00264	1560	HPA029318	Old	ASNS	-0.63925
AGID00276	1612	3415	Set172	Atg3	-0.1833235
AGID00309	1775	13507	Set172	Atg4B	0.3534215
AGID00310	1776	12994	Set172	Atg5	-0.1372872
AGID00277	1613	8558	Set172	Atg7	0.06814683
AGID00242	1363	2873	Old	ATM	0.34358
AGID02142	2447	13050	Set172	ATM_pS1981	0.8071333
AGID00217	1289	ab14748	Set172	ATP5A	0.9276354
AGID02145	2451	PA5-43776	Set172	ATP5H	-0.2178456
AGID02150	2456	13934	Set172	ATR	-0.3075382
AGID00315	1795	ab178407	Set172	ATR_pS428	0.6152819
AGID00268	1569	ab97508	Set172	ATRX	-0.9945823
AGID00391	2332	14475	Set172	Aurora-A	-0.521366
AGID00392	2333	2914	Set172	Aurora-ABC_pT288_pT232_pT198	-0.09718461
AGID02195	2512	MA5-27890	Set172	Aurora-B	0.9883304
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set172	b-Actin	-0.5696815
AGID00179	1170	9565	Set172	b-Catenin_pT41_S45	-0.3600874
AGID00301	1725	14058	Set172	B7-H3	-0.5850696
AGID00302	1726	14572	Set172	B7-H4	0.07172585
AGID00008	63	9291	Old	BAD_pS112	0.19299
AGID00009	71	1542-1/ab32371	Old	BAK	0.6773
AGID00192	1207	sc-28383	Old	BAP1C4	-0.17499
AGID00010	73	2772	Old	BAX	0.3049
AGID00433	80	M0887	Old	BCL2	0.29999
AGID00219	1299	PAB8528	Old	BCL2A1	0.38095
AGID00012	84	1018-1	Old	BCLXL	-0.52466
AGID00377	87	sc-10086	Old	BECLIN	0.2175
AGID00011	75	9562	Old	BETACATENIN	-0.29448
AGID00013	88	1008-1/ab32060	Old	BID	0.26173
AGID00180	90	1036-1/ab32158	Old	BIM	-0.8258
AGID00221	1311	610978	Set172	BiP-GRP78	-0.1344022
AGID00373	2194	07-507	Set172	BMK1-Erk5_pT218_Y220	0.04015451
AGID00355	92	1647/ab33899	Old	BRAF	-0.24632
AGID00014	94	2696	Old	BRAF_pS445	-0.080609
AGID00445	761	9012	Old	BRCA2	0.051445
AGID00266	1567	13440	Old	BRD4	-0.84875
AGID00168	1146	2865	Set172	c-Abl_pY412	0.1945339
AGID00278	1615	3130	Set172	c-IAP2	0.2679367
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.17455
AGID00429	2407	2679	Set172	Calnexin	-0.2966132
AGID00176	1165	9496	Set172	Caspase-8-cleaved	-0.8823362
AGID00623	111	9665	Old	CASPASE3	-0.46134
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.76502
AGID00118	951	9746	Old	CASPASE8	0.52473
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-1.0093
AGID00358	2100	ab76000	Set172	CD134	0.08023607
AGID00303	1737	826701	Set172	CD171	0.606374
AGID00410	125	1632-1/ab78237	Old	CD20	0.22284
AGID00220	1308	ab28340	Old	CD26	0.88536
AGID00191	1206	610467	Set172	CD29	0.07547384
AGID00017	127	M0823	Old	CD31	0.24134
AGID00369	2174	ab108403	Set172	CD38	-0.1418458
AGID00359	2104	ab133616	Set172	CD4	-0.5809829
AGID00411	1398	3570	Set172	CD44	-0.614522
AGID00237	1352	M070101-2	Set172	CD45	0.05727234
AGID00115	937	611016	Old	CD49B	0.26107
AGID02171	2482	91882	Set172	CD86	0.5241783
AGID00329	1873	4688	Set172	cdc25C	0.02111782
AGID00227	1332	4651	Set172	Cdc42	-0.07369589
AGID00422	2396	3387	Set172	Cdc6	-0.3165564
AGID00501	1007	9112	Old	CDK1	-0.10115
AGID00293	1658	ab32384	Set172	CDK1_pT14	-0.7136532
AGID00314	1783	4539	Old	CDK1_pY15	-0.26741
AGID00423	2397	8064	Set172	CDT1	-0.4230969
AGID02101	2348	15102	Set172	cGAS	0.2173797
AGID00447	2410	13460	Set172	CHD1L	-0.2239158
AGID00189	1203	2360	Old	CHK1	-0.026391
AGID00234	1348	ab79758	Old	CHK1_pS296	0.14343
AGID00107	903	2348	Old	CHK1_pS345	-0.214
AGID00018	146	3440	Old	CHK2	-0.19032
AGID00019	147	2197	Old	CHK2_pT68	0.3296
AGID00527	2078	4952	Old	CIAP	0.029619
AGID00350	2018	3793	Set172	CIITA	0.1037507
AGID00434	155	9164	Old	CJUN_pS73	0.1046
AGID00020	157	1522-1/ab32363	Old	CKIT	0.3328
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.35009
AGID00466	726	3127	Old	CMET	0.4223
AGID00079	727	3129	Old	CMET_pY1235	0.30646
AGID00167	161	9402	Old	CMYC	0.10653
AGID00292	1656	11130-1-AP	Old	COG3	-0.074692
AGID00021	171	sc-20649	Old	COLLAGENVI	0.26856
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set172	Connexin-43	-1.540082
AGID00269	1571	6434	Set172	Coup-TFII	0.165859
AGID00150	1116	4850	Set172	Cox-IV	0.03398447
AGID00195	1218	4842	Set172	Cox2	-0.2545214
AGID00188	803	05-739	Old	CRAF	-0.050419
AGID00022	179	9427	Old	CRAF_pS338	0.23871
AGID00023	181	9197	Set172	Creb	-0.1730801
AGID00393	2334	9198	Set172	CREB_pS133	-0.1702158
AGID00365	2155	4980	Set172	CSK	-0.3431428
AGID00367	2160	9201	Set172	CtIP	0.221233
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set172	Cyclin-D3	0.1352968
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.4825
AGID00382	194	sc-718	Old	CYCLIND1	-0.067203
AGID00437	199	sc-25303	Old	CYCLINE1	-0.91914
AGID00449	202	1142-1	Old	CYCLINE2	-0.50734
AGID00209	1257	ab110324	Set172	Cyclophilin-F	-0.4369365
AGID00247	1379	ab48389	Set172	D-a-Tubulin	-0.1077715
AGID00308	1770	GTX10524	Set172	DAPK1_pS308	0.336574
AGID00304	1744	ab51601	Set172	DAPK2	0.3342256
AGID00343	1980	6998	Set172	DDB-1	0.5617935
AGID00427	2402	5583	Set172	DDR1	0.152688
AGID00428	2403	SAB4504671	Set172	DDR1_pY513	0.03418509
AGID00532	1273	Bast Lab	Old	DIRAS3	0.31781
AGID00104	891	ab76008	Old	DJ1	-0.066339
AGID02146	2452	4658	Set172	DM-Histone-H3	-0.2856995
AGID00386	1397	ab32521	Set172	DM-K9-Histone-H3	-0.3220955
AGID00352	2030	14649	Set172	DNA-Ligase-IV	-0.1248554
AGID00407	2371	13609	Set172	DNA_POLG	-0.8032439
AGID00399	2344	5032	Set172	DNMT1	-1.26563
AGID00409	2373	5391	Set172	DRP1	-0.330649
AGID00253	1406	5149	Old	DUSP4	-0.21292
AGID00334	1936	ab76310	Set172	DUSP6	0.9236076
AGID00116	940	3218	Old	DVL3	-0.78744
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-2.0688
AGID00135	1060	2332	Old	EEF2	-1.3106
AGID00136	1061	3692	Old	EEF2K	-0.55058
AGID00152	1120	2232	Old	EGFR	0.2896
AGID00450	217	2234	Old	EGFR_pY1068	0.41459
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.73677
AGID00078	722	9742	Old	EIF4E	-0.24419
AGID00328	1871	ab76256	Set172	eIF4E_pS209	0.2410156
AGID00154	1124	2498	Old	EIF4G	-0.37346
AGID00027	228	9181	Set172	Elk1_pS383	-0.1417015
AGID00235	1350	M061329-2	Set172	EMA	-2.394767
AGID00394	2337	3810	Set172	Enolase-1	0.7558116
AGID00395	2338	8171	Set172	Enolase-2	-0.2109735
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set172	EphA2	0.6070654
AGID00552	2422	6347	Set172	EphA2_pS897	1.717202
AGID00553	2423	12677	Set172	EphA2_pY588	-0.2155772
AGID00075	693	556347	Old	EPPK1	-0.032877
AGID00335	238	RM-9101	Old	ERALPHA	-0.77035
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.28395
AGID00240	247	MS-671	Old	ERCC1	-0.46609
AGID00239	1355	11331-1-AP	Old	ERCC5	-0.11564
AGID00484	249	sc-154	Old	ERK2	-0.47733
AGID00372	2193	3552	Set172	Erk5	-0.05768248
AGID00405	2369	13826	Set172	ERRalpha	0.1096323
AGID00187	1200	A303-501A	Old	ETS1	-0.70808
AGID00511	2492	2593	Set172	EVI1	-0.3986982
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set172	FAK	-0.4739331
AGID02151	2457	8556	Set172	FAK_pY397	0.3999656
AGID00171	1156	3180	Old	FASN	-1.0513
AGID00356	2085	500-P18/10775-082	Set172	FGF-basic	2.600755
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.68744
AGID00339	1959	4403	Set172	FN14	1.440032
AGID02152	2458	20459	Old	FOXM1	0.21981
AGID00378	269	9467	Old	FOXO3A	0.2429
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.095389
AGID02167	2475	PA5-64616	Set172	FRS2-alpha_pY196	-0.04389015
AGID02213	2575	ab124892	Set172	FTO	0.622657
AGID02141	2446	12263	Old	G6PD	0.089943
AGID00117	943	3239	Old	GAB2	-0.61023
AGID00412	274	AM4300	Old	GAPDH	0.48149
AGID00086	764	558686	Old	GATA3	-0.37354
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set172	GCLC	1.326349
AGID00305	1745	ab124827	Set172	GCLM	-0.3651329
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set172	Gli1	-0.01977522
AGID00263	1520	ab69838	Set172	Gli3	-0.1345892
AGID00548	2530	3660	Set172	Glucocorticoid-Receptor	-1.008182
AGID00387	1617	12793	Set172	Glutamate-D1-2	0.76342
AGID00262	1491	ab156876	Set172	Glutaminase	0.8915144
AGID00319	1807	4275	Set172	Granzyme-B	-0.2754786
AGID00368	2169	ab183737	Set172	GRB7	0.4572647
AGID00396	2339	3593	Set172	Grp75	-0.6522209
AGID00174	1163	9315	Set172	GSK-3B	-0.7445885
AGID00502	1082	9336	Old	GSK3_pS9	0.35829
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.28674
