AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.19125
AGID00111	913	sc-23957	Old	1433EPSILON	0.21829
AGID00101	883	sc-1019	Old	1433ZETA	-0.70801
AGID00001	2	9452	Old	4EBP1	-0.05981
AGID00002	3	9456	Old	4EBP1_pS65	-0.46506
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.14494
AGID00443	8	9455	Old	4EBP1_pT70	0.01577
AGID00120	985	4937	Old	53BP1	-0.077405
AGID00004	13	3661	Old	ACC_pS79	0.69342
AGID00005	14	1768-1/ab45174	Old	ACC1	0.46817
AGID00408	2372	3658	Set163	AceCS1	-0.2661005
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.98699
AGID00404	2367	9189	Set163	ACSL1	-0.26842
AGID02144	2450	PA5-27081	Old	ACVRL1	0.11558
AGID00186	1198	ab88574	Old	ADAR1	-0.44812
AGID00146	1084	4691	Old	AKT	0.3198
AGID00028	230	9271	Old	AKT_pS473	-0.8281
AGID00170	1154	2965	Old	AKT_pT308	-0.86137
AGID00316	1800	3063	Set163	Akt2	-0.361165
AGID00347	2009	8599	Set163	Akt2_pS474	-0.06862052
AGID02215	2577	ab195377	Set163	ALKBH5	-0.02749517
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.07409419
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.06587494
AGID00006	39	2532	Old	AMPKALPHA	-0.075167
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.10464
AGID00193	1208	610066	Old	ANNEXIN1	-0.45435
AGID00166	1142	610668	Old	ANNEXINVII	0.14178
AGID00371	756	1852-1/ab52615	Old	AR	0.7028
AGID00194	1217	4432	Old	ARAF	0.2926
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.2285
AGID00260	1053	sc-32761	Old	ARID1A	0.0020694
AGID00264	1560	HPA029318	Old	ASNS	-0.29898
AGID00276	1612	3415	Set163	Atg3	-0.06141003
AGID00309	1775	13507	Set163	Atg4B	0.06047952
AGID00310	1776	12994	Set163	Atg5	-0.3816101
AGID00277	1613	8558	Set163	Atg7	0.31813
AGID00242	1363	2873	Old	ATM	0.60103
AGID02142	2447	13050	Set163	ATM_pS1981	0.1986649
AGID00217	1289	ab14748	Set163	ATP5A	-0.2477206
AGID02145	2451	PA5-43776	Set163	ATP5H	0.269105
AGID02150	2456	13934	Set163	ATR	0.609087
AGID00315	1795	ab178407	Set163	ATR_pS428	0.04123378
AGID00268	1569	ab97508	Set163	ATRX	-0.009862601
AGID00391	2332	14475	Set163	Aurora-A	-0.13775
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.14595
AGID02195	2512	MA5-27890	Set163	Aurora-B	-0.03495627
AGID00215	1271	8661	Old	AXL	0.066354
AGID02143	2449	8457	Set163	b-Actin	0.08206977
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.103255
AGID00301	1725	14058	Set163	B7-H3	-0.06964088
AGID00302	1726	14572	Set163	B7-H4	-0.0156653
AGID00008	63	9291	Old	BAD_pS112	-0.064588
AGID00009	71	1542-1/ab32371	Old	BAK	-0.34579
AGID00192	1207	sc-28383	Old	BAP1C4	-0.026201
AGID00010	73	2772	Old	BAX	-0.4465
AGID00433	80	M0887	Old	BCL2	1.0185
AGID00219	1299	PAB8528	Old	BCL2A1	0.46569
AGID00012	84	1018-1	Old	BCLXL	-0.27248
AGID00377	87	sc-10086	Old	BECLIN	0.37281
AGID00011	75	9562	Old	BETACATENIN	-0.26845
AGID00013	88	1008-1/ab32060	Old	BID	0.15048
AGID00180	90	1036-1/ab32158	Old	BIM	-0.48272
AGID00221	1311	610978	Set163	BiP-GRP78	-0.09147552
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.02220007
AGID00355	92	1647/ab33899	Old	BRAF	-0.33457
AGID00014	94	2696	Old	BRAF_pS445	-0.014817
AGID00445	761	9012	Old	BRCA2	-0.22755
AGID00266	1567	13440	Old	BRD4	-0.78864
AGID00168	1146	2865	Set163	c-Abl_pY412	0.1811393
AGID00278	1615	3130	Set163	c-IAP2	0.02037493
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.018736
AGID00429	2407	2679	Set163	Calnexin	0.08383978
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.372825
AGID00623	111	9665	Old	CASPASE3	-0.14481
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.67417
AGID00118	951	9746	Old	CASPASE8	-0.10875
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.029549
AGID00358	2100	ab76000	Set163	CD134	0.1752286
AGID00303	1737	826701	Set163	CD171	-0.48111
AGID00410	125	1632-1/ab78237	Old	CD20	0.079493
AGID00220	1308	ab28340	Old	CD26	0.12375
AGID00191	1206	610467	Set163	CD29	0.003829685
AGID00017	127	M0823	Old	CD31	0.54809
AGID00369	2174	ab108403	Set163	CD38	0.09974005
AGID00359	2104	ab133616	Set163	CD4	0.1038088
AGID00411	1398	3570	Set163	CD44	0.4577249
AGID00237	1352	M070101-2	Set163	CD45	0.1943099
AGID00115	937	611016	Old	CD49B	0.17756
AGID02171	2482	91882	Set163	CD86	0.02485003
AGID00329	1873	4688	Set163	cdc25C	-0.419015
AGID00227	1332	4651	Set163	Cdc42	-0.04789018
AGID00422	2396	3387	Set163	Cdc6	0.4101399
AGID00501	1007	9112	Old	CDK1	-0.097244
AGID00293	1658	ab32384	Set163	CDK1_pT14	-0.86663
AGID00314	1783	4539	Old	CDK1_pY15	0.0029445
AGID00423	2397	8064	Set163	CDT1	0.00791459
AGID02101	2348	15102	Set163	cGAS	0.02878004
AGID00447	2410	13460	Set163	CHD1L	0.1440382
AGID00189	1203	2360	Old	CHK1	0
AGID00234	1348	ab79758	Old	CHK1_pS296	0.14303
AGID00107	903	2348	Old	CHK1_pS345	-0.20102
AGID00018	146	3440	Old	CHK2	-0.16754
AGID00019	147	2197	Old	CHK2_pT68	-0.042503
AGID00527	2078	4952	Old	CIAP	0.20835
AGID00350	2018	3793	Set163	CIITA	0.10857
AGID00434	155	9164	Old	CJUN_pS73	0.17581
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.30663
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.0244
AGID00466	726	3127	Old	CMET	0.16515
AGID00079	727	3129	Old	CMET_pY1235	-0.1336
AGID00167	161	9402	Old	CMYC	0.97633
AGID00292	1656	11130-1-AP	Old	COG3	0.34768
AGID00021	171	sc-20649	Old	COLLAGENVI	0.4911
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	0.1429198
AGID00269	1571	6434	Set163	Coup-TFII	-0.49421
AGID00150	1116	4850	Set163	Cox-IV	-0.02063062
AGID00195	1218	4842	Set163	Cox2	-0.02626996
AGID00188	803	05-739	Old	CRAF	-0.012465
AGID00022	179	9427	Old	CRAF_pS338	-0.081921
AGID00023	181	9197	Set163	Creb	-0.06193108
AGID00393	2334	9198	Set163	CREB_pS133	-0.2452278
AGID00365	2155	4980	Set163	CSK	-0.0625
AGID00367	2160	9201	Set163	CtIP	0.8046747
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set163	Cyclin-D3	-0.1019701
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.0963
AGID00382	194	sc-718	Old	CYCLIND1	0.3737
AGID00437	199	sc-25303	Old	CYCLINE1	-0.85851
AGID00449	202	1142-1	Old	CYCLINE2	-0.18813
AGID00209	1257	ab110324	Set163	Cyclophilin-F	-0.7257302
AGID00247	1379	ab48389	Set163	D-a-Tubulin	-0.07105497
AGID00308	1770	GTX10524	Set163	DAPK1_pS308	-0.15613
AGID00304	1744	ab51601	Set163	DAPK2	0.08947482
AGID00343	1980	6998	Set163	DDB-1	-0.15325
AGID00427	2402	5583	Set163	DDR1	2.694514
AGID00428	2403	SAB4504671	Set163	DDR1_pY513	0.17949
AGID00532	1273	Bast Lab	Old	DIRAS3	0.40747
AGID00104	891	ab76008	Old	DJ1	0.49851
AGID02146	2452	4658	Set163	DM-Histone-H3	0.2431747
AGID00386	1397	ab32521	Set163	DM-K9-Histone-H3	0.005995006
AGID00352	2030	14649	Set163	DNA-Ligase-IV	0.5870348
AGID00407	2371	13609	Set163	DNA_POLG	0.04017996
AGID00399	2344	5032	Set163	DNMT1	-0.4879501
AGID00409	2373	5391	Set163	DRP1	-0.2604415
AGID00253	1406	5149	Old	DUSP4	2.4332
AGID00334	1936	ab76310	Set163	DUSP6	0.02609971
AGID00116	940	3218	Old	DVL3	-0.047736
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.22154
AGID00135	1060	2332	Old	EEF2	-0.60664
AGID00136	1061	3692	Old	EEF2K	-0.074916
AGID00152	1120	2232	Old	EGFR	-0.46722
AGID00450	217	2234	Old	EGFR_pY1068	-0.018677
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.024642
AGID00078	722	9742	Old	EIF4E	-0.0028875
AGID00328	1871	ab76256	Set163	eIF4E_pS209	0.07357972
AGID00154	1124	2498	Old	EIF4G	-0.15426
AGID00027	228	9181	Set163	Elk1_pS383	0.02787504
AGID00235	1350	M061329-2	Set163	EMA	-0.6950104
AGID00394	2337	3810	Set163	Enolase-1	0.1002548
AGID00395	2338	8171	Set163	Enolase-2	0.185285
AGID00196	1219	GTX629542	Old	ENY2	-0.71078
AGID00438	1849	A302-024A	Set163	EphA2	0.16379
AGID00552	2422	6347	Set163	EphA2_pS897	0.2056
AGID00553	2423	12677	Set163	EphA2_pY588	-0.1178185
AGID00075	693	556347	Old	EPPK1	-0.77253
AGID00335	238	RM-9101	Old	ERALPHA	2.2258
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.097709
