AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.069107
AGID00111	913	sc-23957	Old	1433EPSILON	0.0878205
AGID00101	883	sc-1019	Old	1433ZETA	0.213995
AGID00001	2	9452	Old	4EBP1	0.743345
AGID00002	3	9456	Old	4EBP1_pS65	0.0787195
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.400905
AGID00443	8	9455	Old	4EBP1_pT70	0.435835
AGID00120	985	4937	Old	53BP1	-0.75728
AGID00004	13	3661	Old	ACC_pS79	0.96849
AGID00005	14	1768-1/ab45174	Old	ACC1	1.051735
AGID00408	2372	3658	Set173	AceCS1	-0.439289
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.0398645
AGID00404	2367	9189	Set173	ACSL1	0.9787088
AGID02144	2450	PA5-27081	Old	ACVRL1	0.0439775
AGID00186	1198	ab88574	Old	ADAR1	0.29486
AGID00146	1084	4691	Old	AKT	1.5451
AGID00028	230	9271	Old	AKT_pS473	-0.084496
AGID00170	1154	2965	Old	AKT_pT308	-0.818875
AGID00316	1800	3063	Set173	Akt2	-0.2429871
AGID00347	2009	8599	Set173	Akt2_pS474	-0.740517
AGID02215	2577	ab195377	Set173	ALKBH5	0.360573
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.2230554
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.03266125
AGID00006	39	2532	Old	AMPKALPHA	0.28044
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.681115
AGID00193	1208	610066	Old	ANNEXIN1	0.825145
AGID00166	1142	610668	Old	ANNEXINVII	-0.0306475
AGID00371	756	1852-1/ab52615	Old	AR	-0.72444
AGID00194	1217	4432	Old	ARAF	0.0935705
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.016886
AGID00260	1053	sc-32761	Old	ARID1A	0.068522
AGID00264	1560	HPA029318	Old	ASNS	0.059568
AGID00276	1612	3415	Set173	Atg3	0.2017826
AGID00309	1775	13507	Set173	Atg4B	-0.2342174
AGID00310	1776	12994	Set173	Atg5	-0.4899299
AGID00277	1613	8558	Set173	Atg7	-0.103786
AGID00242	1363	2873	Old	ATM	1.16358
AGID02142	2447	13050	Set173	ATM_pS1981	-0.03302242
AGID00217	1289	ab14748	Set173	ATP5A	3.055676
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.06704082
AGID02150	2456	13934	Set173	ATR	-0.3479093
AGID00315	1795	ab178407	Set173	ATR_pS428	-0.04169512
AGID00268	1569	ab97508	Set173	ATRX	-0.2682891
AGID00391	2332	14475	Set173	Aurora-A	-0.3350167
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.7195145
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.6868782
AGID00215	1271	8661	Old	AXL	-0.81362
AGID02143	2449	8457	Set173	b-Actin	0.1864909
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	0.01458303
AGID00301	1725	14058	Set173	B7-H3	-0.01371198
AGID00302	1726	14572	Set173	B7-H4	-0.5441872
AGID00008	63	9291	Old	BAD_pS112	-0.405955
AGID00009	71	1542-1/ab32371	Old	BAK	0.201975
AGID00192	1207	sc-28383	Old	BAP1C4	0.77807
AGID00010	73	2772	Old	BAX	-0.35359
AGID00433	80	M0887	Old	BCL2	0.25499
AGID00219	1299	PAB8528	Old	BCL2A1	0.1047555
AGID00012	84	1018-1	Old	BCLXL	0.223445
AGID00377	87	sc-10086	Old	BECLIN	0.32109
AGID00011	75	9562	Old	BETACATENIN	-0.93746
AGID00013	88	1008-1/ab32060	Old	BID	-0.102761
AGID00180	90	1036-1/ab32158	Old	BIM	-0.61544
AGID00221	1311	610978	Set173	BiP-GRP78	-0.1677127
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.09872334
AGID00355	92	1647/ab33899	Old	BRAF	0.617685
AGID00014	94	2696	Old	BRAF_pS445	0.193275
AGID00445	761	9012	Old	BRCA2	-0.054925
AGID00266	1567	13440	Old	BRD4	0.51005
AGID00168	1146	2865	Set173	c-Abl_pY412	-0.4800982
AGID00278	1615	3130	Set173	c-IAP2	-0.4489723
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.1197545
AGID00429	2407	2679	Set173	Calnexin	0.8207289
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.8538017
AGID00623	111	9665	Old	CASPASE3	-0.0131
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.463045
AGID00118	951	9746	Old	CASPASE8	-0.19159
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.861065
AGID00358	2100	ab76000	Set173	CD134	-0.6383726
AGID00303	1737	826701	Set173	CD171	2.314016
AGID00410	125	1632-1/ab78237	Old	CD20	-0.0431495
AGID00220	1308	ab28340	Old	CD26	-0.1209935
AGID00191	1206	610467	Set173	CD29	-0.2405888
AGID00017	127	M0823	Old	CD31	-0.0081795
AGID00369	2174	ab108403	Set173	CD38	0.8014133
AGID00359	2104	ab133616	Set173	CD4	-0.9748477
AGID00411	1398	3570	Set173	CD44	1.509247
AGID00237	1352	M070101-2	Set173	CD45	-0.1398517
AGID00115	937	611016	Old	CD49B	-0.51052
AGID02171	2482	91882	Set173	CD86	-0.6579293
AGID00329	1873	4688	Set173	cdc25C	0.08539784
AGID00227	1332	4651	Set173	Cdc42	0.4018438
AGID00422	2396	3387	Set173	Cdc6	-0.3739698
AGID00501	1007	9112	Old	CDK1	0.0881125
AGID00293	1658	ab32384	Set173	CDK1_pT14	1.158822
AGID00314	1783	4539	Old	CDK1_pY15	-0.435837
AGID00423	2397	8064	Set173	CDT1	-1.189666
AGID02101	2348	15102	Set173	cGAS	-0.06676386
AGID00447	2410	13460	Set173	CHD1L	0.767749
AGID00189	1203	2360	Old	CHK1	-0.0486525
AGID00234	1348	ab79758	Old	CHK1_pS296	0.0407045
AGID00107	903	2348	Old	CHK1_pS345	0.1546525
AGID00018	146	3440	Old	CHK2	0.567795
AGID00019	147	2197	Old	CHK2_pT68	-0.041777
AGID00527	2078	4952	Old	CIAP	2.0974
AGID00350	2018	3793	Set173	CIITA	1.037274
AGID00434	155	9164	Old	CJUN_pS73	0.10672
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.16692
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.5712
AGID00466	726	3127	Old	CMET	-0.00737705
AGID00079	727	3129	Old	CMET_pY1235	0.042959
AGID00167	161	9402	Old	CMYC	0.019395
AGID00292	1656	11130-1-AP	Old	COG3	-0.11343
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.20444
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set173	Connexin-43	-1.452992
AGID00269	1571	6434	Set173	Coup-TFII	-0.3612371
AGID00150	1116	4850	Set173	Cox-IV	0.7362766
AGID00195	1218	4842	Set173	Cox2	-0.02650168
AGID00188	803	05-739	Old	CRAF	0.1784755
AGID00022	179	9427	Old	CRAF_pS338	0.047835
AGID00023	181	9197	Set173	Creb	-0.6728466
AGID00393	2334	9198	Set173	CREB_pS133	-1.967904
AGID00365	2155	4980	Set173	CSK	0.9093666
AGID00367	2160	9201	Set173	CtIP	-0.5174331
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set173	Cyclin-D3	-0.06840368
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.677945
AGID00382	194	sc-718	Old	CYCLIND1	-0.0102915
AGID00437	199	sc-25303	Old	CYCLINE1	0.36277
AGID00449	202	1142-1	Old	CYCLINE2	0.1882335
AGID00209	1257	ab110324	Set173	Cyclophilin-F	0.36742
AGID00247	1379	ab48389	Set173	D-a-Tubulin	2.184388
AGID00308	1770	GTX10524	Set173	DAPK1_pS308	2.423625
AGID00304	1744	ab51601	Set173	DAPK2	-0.1547691
AGID00343	1980	6998	Set173	DDB-1	0.416227
AGID00427	2402	5583	Set173	DDR1	-0.8506965
AGID00428	2403	SAB4504671	Set173	DDR1_pY513	-0.2013311
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.1107825
AGID00104	891	ab76008	Old	DJ1	-0.120029
AGID02146	2452	4658	Set173	DM-Histone-H3	-0.7046567
AGID00386	1397	ab32521	Set173	DM-K9-Histone-H3	-0.03459106
AGID00352	2030	14649	Set173	DNA-Ligase-IV	-0.095867
AGID00407	2371	13609	Set173	DNA_POLG	0.6779157
AGID00399	2344	5032	Set173	DNMT1	0.09120983
AGID00409	2373	5391	Set173	DRP1	3.087745
AGID00253	1406	5149	Old	DUSP4	1.10465
AGID00334	1936	ab76310	Set173	DUSP6	0.8112187
AGID00116	940	3218	Old	DVL3	0.700655
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-2.4717
AGID00135	1060	2332	Old	EEF2	-0.060675
AGID00136	1061	3692	Old	EEF2K	-0.490295
AGID00152	1120	2232	Old	EGFR	-0.116072
AGID00450	217	2234	Old	EGFR_pY1068	-0.30703
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.091553
AGID00078	722	9742	Old	EIF4E	0.0644655
AGID00328	1871	ab76256	Set173	eIF4E_pS209	0.3275443
AGID00154	1124	2498	Old	EIF4G	0.083913
AGID00027	228	9181	Set173	Elk1_pS383	-0.7012893
AGID00235	1350	M061329-2	Set173	EMA	-3.677106
AGID00394	2337	3810	Set173	Enolase-1	0.2590201
AGID00395	2338	8171	Set173	Enolase-2	-0.2761937
AGID00196	1219	GTX629542	Old	ENY2	-0.080968
AGID00438	1849	A302-024A	Set173	EphA2	-0.5760348
AGID00552	2422	6347	Set173	EphA2_pS897	-0.7412697
AGID00553	2423	12677	Set173	EphA2_pY588	-0.9119706
AGID00075	693	556347	Old	EPPK1	-3.9822
AGID00335	238	RM-9101	Old	ERALPHA	-1.71945
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.26701
AGID00240	247	MS-671	Old	ERCC1	-0.076609
AGID00239	1355	11331-1-AP	Old	ERCC5	0.1236175
AGID00484	249	sc-154	Old	ERK2	0.773305
AGID00372	2193	3552	Set173	Erk5	0.4747706
AGID00405	2369	13826	Set173	ERRalpha	1.010956
AGID00187	1200	A303-501A	Old	ETS1	-0.293655
