AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.049467
AGID00111	913	sc-23957	Old	1433EPSILON	0.1496
AGID00101	883	sc-1019	Old	1433ZETA	-0.0081259
AGID00001	2	9452	Old	4EBP1	0.42879
AGID00002	3	9456	Old	4EBP1_pS65	0.1749
AGID00003	6	9459	Old	4EBP1_pT37T46	0.38499
AGID00443	8	9455	Old	4EBP1_pT70	0.25616
AGID00120	985	4937	Old	53BP1	-0.53928
AGID00004	13	3661	Old	ACC_pS79	0.010094
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.050538
AGID00408	2372	3658	Set173	AceCS1	-0.2289347
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.73256
AGID00404	2367	9189	Set173	ACSL1	-0.4533678
AGID02144	2450	PA5-27081	Old	ACVRL1	0.30011
AGID00186	1198	ab88574	Old	ADAR1	-0.45493
AGID00146	1084	4691	Old	AKT	0.44486
AGID00028	230	9271	Old	AKT_pS473	-0.31936
AGID00170	1154	2965	Old	AKT_pT308	-0.54124
AGID00316	1800	3063	Set173	Akt2	-0.4197258
AGID00347	2009	8599	Set173	Akt2_pS474	0.3443695
AGID02215	2577	ab195377	Set173	ALKBH5	0.1747672
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.3400791
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.06018485
AGID00006	39	2532	Old	AMPKALPHA	0.36433
AGID00007	40	2535	Old	AMPKALPHA_pT172	1.2105
AGID00193	1208	610066	Old	ANNEXIN1	1.1893
AGID00166	1142	610668	Old	ANNEXINVII	0.045982
AGID00371	756	1852-1/ab52615	Old	AR	-0.79196
AGID00194	1217	4432	Old	ARAF	0.24888
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.05895
AGID00260	1053	sc-32761	Old	ARID1A	0.21617
AGID00264	1560	HPA029318	Old	ASNS	1.3417
AGID00276	1612	3415	Set173	Atg3	0.04122873
AGID00309	1775	13507	Set173	Atg4B	-0.05943665
AGID00310	1776	12994	Set173	Atg5	0.02444813
AGID00277	1613	8558	Set173	Atg7	0.4458227
AGID00242	1363	2873	Old	ATM	0.7079
AGID02142	2447	13050	Set173	ATM_pS1981	1.675565
AGID00217	1289	ab14748	Set173	ATP5A	-0.4645205
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.6027776
AGID02150	2456	13934	Set173	ATR	-0.03097103
AGID00315	1795	ab178407	Set173	ATR_pS428	-0.05114914
AGID00268	1569	ab97508	Set173	ATRX	-1.029788
AGID00391	2332	14475	Set173	Aurora-A	0.3418596
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.2281917
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.3850167
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.1721774
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.437082
AGID00301	1725	14058	Set173	B7-H3	0.10576
AGID00302	1726	14572	Set173	B7-H4	-0.008210094
AGID00008	63	9291	Old	BAD_pS112	-0.10846
AGID00009	71	1542-1/ab32371	Old	BAK	-0.48514
AGID00192	1207	sc-28383	Old	BAP1C4	-0.46538
AGID00010	73	2772	Old	BAX	-0.21432
AGID00433	80	M0887	Old	BCL2	-0.22898
AGID00219	1299	PAB8528	Old	BCL2A1	0.17867
AGID00012	84	1018-1	Old	BCLXL	0.32474
AGID00377	87	sc-10086	Old	BECLIN	-0.05153
AGID00011	75	9562	Old	BETACATENIN	-0.54232
AGID00013	88	1008-1/ab32060	Old	BID	0.14619
AGID00180	90	1036-1/ab32158	Old	BIM	0.72943
AGID00221	1311	610978	Set173	BiP-GRP78	0.3812384
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.03241111
AGID00355	92	1647/ab33899	Old	BRAF	-0.11745
AGID00014	94	2696	Old	BRAF_pS445	0.50559
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	-0.047245
AGID00168	1146	2865	Set173	c-Abl_pY412	-0.006119519
AGID00278	1615	3130	Set173	c-IAP2	-1.010298
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.28608
AGID00429	2407	2679	Set173	Calnexin	-0.1063132
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.5813098
AGID00623	111	9665	Old	CASPASE3	-0.054834
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	1.4568
AGID00118	951	9746	Old	CASPASE8	-0.037065
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.93456
AGID00358	2100	ab76000	Set173	CD134	-0.1049624
AGID00303	1737	826701	Set173	CD171	3.596545
AGID00410	125	1632-1/ab78237	Old	CD20	-0.41405
AGID00220	1308	ab28340	Old	CD26	0.11641
AGID00191	1206	610467	Set173	CD29	0.3868592
AGID00017	127	M0823	Old	CD31	0.35297
AGID00369	2174	ab108403	Set173	CD38	0.3027454
AGID00359	2104	ab133616	Set173	CD4	0.0597636
AGID00411	1398	3570	Set173	CD44	0.2755475
AGID00237	1352	M070101-2	Set173	CD45	0.5568422
AGID00115	937	611016	Old	CD49B	0.9801
AGID02171	2482	91882	Set173	CD86	2.235855
AGID00329	1873	4688	Set173	cdc25C	0.1569962
AGID00227	1332	4651	Set173	Cdc42	0.624008
AGID00422	2396	3387	Set173	Cdc6	0.002397886
AGID00501	1007	9112	Old	CDK1	-0.0662
AGID00293	1658	ab32384	Set173	CDK1_pT14	0.4049255
AGID00314	1783	4539	Old	CDK1_pY15	0.039354
AGID00423	2397	8064	Set173	CDT1	0.3540398
AGID02101	2348	15102	Set173	cGAS	0.1382993
AGID00447	2410	13460	Set173	CHD1L	0.2019656
AGID00189	1203	2360	Old	CHK1	0.054301
AGID00234	1348	ab79758	Old	CHK1_pS296	0.098246
AGID00107	903	2348	Old	CHK1_pS345	-0.12977
AGID00018	146	3440	Old	CHK2	0.069885
AGID00019	147	2197	Old	CHK2_pT68	0.056562
AGID00527	2078	4952	Old	CIAP	0.2337
AGID00350	2018	3793	Set173	CIITA	-0.08240279
AGID00434	155	9164	Old	CJUN_pS73	-0.053371
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.00056965
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.066947
AGID00466	726	3127	Old	CMET	0.049058
AGID00079	727	3129	Old	CMET_pY1235	-0.090878
AGID00167	161	9402	Old	CMYC	0.067665
AGID00292	1656	11130-1-AP	Old	COG3	-0.20773
AGID00021	171	sc-20649	Old	COLLAGENVI	0.012046
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set173	Connexin-43	0.1406737
AGID00269	1571	6434	Set173	Coup-TFII	-0.2327198
AGID00150	1116	4850	Set173	Cox-IV	0.1219402
AGID00195	1218	4842	Set173	Cox2	1.075119
AGID00188	803	05-739	Old	CRAF	0.082978
AGID00022	179	9427	Old	CRAF_pS338	0.15638
AGID00023	181	9197	Set173	Creb	-0.1681655
AGID00393	2334	9198	Set173	CREB_pS133	-0.9379561
AGID00365	2155	4980	Set173	CSK	0.06577536
AGID00367	2160	9201	Set173	CtIP	-0.5712231
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set173	Cyclin-D3	0.483293
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.021147
AGID00382	194	sc-718	Old	CYCLIND1	-0.10116
AGID00437	199	sc-25303	Old	CYCLINE1	1.0642
AGID00449	202	1142-1	Old	CYCLINE2	-0.26846
AGID00209	1257	ab110324	Set173	Cyclophilin-F	0.1628399
AGID00247	1379	ab48389	Set173	D-a-Tubulin	0.1860593
AGID00308	1770	GTX10524	Set173	DAPK1_pS308	-0.5631636
AGID00304	1744	ab51601	Set173	DAPK2	-0.09453355
AGID00343	1980	6998	Set173	DDB-1	0.4544373
AGID00427	2402	5583	Set173	DDR1	-0.2027506
AGID00428	2403	SAB4504671	Set173	DDR1_pY513	0.3232118
AGID00532	1273	Bast Lab	Old	DIRAS3	0.011926
AGID00104	891	ab76008	Old	DJ1	-0.09998
AGID02146	2452	4658	Set173	DM-Histone-H3	0.06246496
AGID00386	1397	ab32521	Set173	DM-K9-Histone-H3	-0.4943528
AGID00352	2030	14649	Set173	DNA-Ligase-IV	0.001479003
AGID00407	2371	13609	Set173	DNA_POLG	-0.1489963
AGID00399	2344	5032	Set173	DNMT1	1.189707
AGID00409	2373	5391	Set173	DRP1	0.1571602
AGID00253	1406	5149	Old	DUSP4	-0.48047
AGID00334	1936	ab76310	Set173	DUSP6	-0.2045384
AGID00116	940	3218	Old	DVL3	0.35689
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-0.80135
AGID00135	1060	2332	Old	EEF2	-0.038105
AGID00136	1061	3692	Old	EEF2K	-0.71252
AGID00152	1120	2232	Old	EGFR	1.0821
AGID00450	217	2234	Old	EGFR_pY1068	0.42536
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.27656
AGID00078	722	9742	Old	EIF4E	0.060385
