AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.18456
AGID00111	913	sc-23957	Old	1433EPSILON	-0.058574
AGID00101	883	sc-1019	Old	1433ZETA	0.10142
AGID00001	2	9452	Old	4EBP1	0.70084
AGID00002	3	9456	Old	4EBP1_pS65	-0.3673
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.1195
AGID00443	8	9455	Old	4EBP1_pT70	-0.019512
AGID00120	985	4937	Old	53BP1	-0.24249
AGID00004	13	3661	Old	ACC_pS79	0.37112
AGID00005	14	1768-1/ab45174	Old	ACC1	0.77458
AGID00408	2372	3658	Set173	AceCS1	-0.08227124
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.6623
AGID00404	2367	9189	Set173	ACSL1	-0.5485676
AGID02144	2450	PA5-27081	Old	ACVRL1	0.13492
AGID00186	1198	ab88574	Old	ADAR1	0.1986
AGID00146	1084	4691	Old	AKT	-0.4446
AGID00028	230	9271	Old	AKT_pS473	-1.0281
AGID00170	1154	2965	Old	AKT_pT308	-1.1104
AGID00316	1800	3063	Set173	Akt2	0.3442504
AGID00347	2009	8599	Set173	Akt2_pS474	-0.5194775
AGID02215	2577	ab195377	Set173	ALKBH5	0.2516269
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	-0.2445953
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	-0.00599313
AGID00006	39	2532	Old	AMPKALPHA	0.060494
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.50834
AGID00193	1208	610066	Old	ANNEXIN1	-0.43181
AGID00166	1142	610668	Old	ANNEXINVII	-0.19343
AGID00371	756	1852-1/ab52615	Old	AR	-0.16706
AGID00194	1217	4432	Old	ARAF	0.17465
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.23392
AGID00260	1053	sc-32761	Old	ARID1A	0.30105
AGID00264	1560	HPA029318	Old	ASNS	0.36638
AGID00276	1612	3415	Set173	Atg3	0.3389711
AGID00309	1775	13507	Set173	Atg4B	-0.5282657
AGID00310	1776	12994	Set173	Atg5	-0.7606275
AGID00277	1613	8558	Set173	Atg7	1.006857
AGID00242	1363	2873	Old	ATM	-1.0147
AGID02142	2447	13050	Set173	ATM_pS1981	-0.1179609
AGID00217	1289	ab14748	Set173	ATP5A	3.592113
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.2908897
AGID02150	2456	13934	Set173	ATR	-0.2486274
AGID00315	1795	ab178407	Set173	ATR_pS428	0.7519555
AGID00268	1569	ab97508	Set173	ATRX	-1.323078
AGID00391	2332	14475	Set173	Aurora-A	0.3935348
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.8668726
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.8268743
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.4272381
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.3588975
AGID00301	1725	14058	Set173	B7-H3	-1.405726
AGID00302	1726	14572	Set173	B7-H4	-0.385698
AGID00008	63	9291	Old	BAD_pS112	-0.31371
AGID00009	71	1542-1/ab32371	Old	BAK	-0.38035
AGID00192	1207	sc-28383	Old	BAP1C4	0.22492
AGID00010	73	2772	Old	BAX	-0.011637
AGID00433	80	M0887	Old	BCL2	-0.13634
AGID00219	1299	PAB8528	Old	BCL2A1	-0.18702
AGID00012	84	1018-1	Old	BCLXL	-0.17348
AGID00377	87	sc-10086	Old	BECLIN	0.22042
AGID00011	75	9562	Old	BETACATENIN	-0.32843
AGID00013	88	1008-1/ab32060	Old	BID	-0.13513
AGID00180	90	1036-1/ab32158	Old	BIM	-0.42619
AGID00221	1311	610978	Set173	BiP-GRP78	0.2173795
AGID00373	2194	07-507	Set173	BMK1-Erk5_pT218_Y220	-0.1625918
AGID00355	92	1647/ab33899	Old	BRAF	0.92
AGID00014	94	2696	Old	BRAF_pS445	0.43205
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	-0.035428
AGID00168	1146	2865	Set173	c-Abl_pY412	-0.3668973
AGID00278	1615	3130	Set173	c-IAP2	-0.6494611
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.0091418
AGID00429	2407	2679	Set173	Calnexin	-0.2101536
AGID00176	1165	9496	Set173	Caspase-8-cleaved	-0.6878985
AGID00623	111	9665	Old	CASPASE3	0.15975
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.50768
AGID00118	951	9746	Old	CASPASE8	0.23024
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.39343
AGID00358	2100	ab76000	Set173	CD134	-0.5877976
AGID00303	1737	826701	Set173	CD171	-0.8972707
AGID00410	125	1632-1/ab78237	Old	CD20	-0.16924
AGID00220	1308	ab28340	Old	CD26	-0.11938
AGID00191	1206	610467	Set173	CD29	0.1980594
AGID00017	127	M0823	Old	CD31	0.40961
AGID00369	2174	ab108403	Set173	CD38	0.4708359
AGID00359	2104	ab133616	Set173	CD4	-0.1945581
AGID00411	1398	3570	Set173	CD44	-0.502216
AGID00237	1352	M070101-2	Set173	CD45	0.4124111
AGID00115	937	611016	Old	CD49B	0.50309
AGID02171	2482	91882	Set173	CD86	1.316698
AGID00329	1873	4688	Set173	cdc25C	0.6052539
AGID00227	1332	4651	Set173	Cdc42	0.1743334
AGID00422	2396	3387	Set173	Cdc6	0.07896172
AGID00501	1007	9112	Old	CDK1	0.0084788
AGID00293	1658	ab32384	Set173	CDK1_pT14	0.8587318
AGID00314	1783	4539	Old	CDK1_pY15	-0.21969
AGID00423	2397	8064	Set173	CDT1	-0.9223333
AGID02101	2348	15102	Set173	cGAS	0.3901241
AGID00447	2410	13460	Set173	CHD1L	-0.1101106
AGID00189	1203	2360	Old	CHK1	0.38298
AGID00234	1348	ab79758	Old	CHK1_pS296	0.13324
AGID00107	903	2348	Old	CHK1_pS345	0.13051
AGID00018	146	3440	Old	CHK2	-0.043453
AGID00019	147	2197	Old	CHK2_pT68	-0.14135
AGID00527	2078	4952	Old	CIAP	-0.19793
AGID00350	2018	3793	Set173	CIITA	0.733933
AGID00434	155	9164	Old	CJUN_pS73	-0.1286
AGID00020	157	1522-1/ab32363	Old	CKIT	0.57023
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.5262
AGID00466	726	3127	Old	CMET	0.067797
AGID00079	727	3129	Old	CMET_pY1235	-0.044056
AGID00167	161	9402	Old	CMYC	0.6535
AGID00292	1656	11130-1-AP	Old	COG3	0.096277
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.38338
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set173	Connexin-43	0.8481485
AGID00269	1571	6434	Set173	Coup-TFII	-0.5844356
AGID00150	1116	4850	Set173	Cox-IV	0.4729295
AGID00195	1218	4842	Set173	Cox2	0.1009186
AGID00188	803	05-739	Old	CRAF	0.72287
AGID00022	179	9427	Old	CRAF_pS338	-0.060117
AGID00023	181	9197	Set173	Creb	-0.813382
AGID00393	2334	9198	Set173	CREB_pS133	-1.691713
AGID00365	2155	4980	Set173	CSK	1.252503
AGID00367	2160	9201	Set173	CtIP	-1.119291
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set173	Cyclin-D3	0.1728234
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	1.1654
AGID00382	194	sc-718	Old	CYCLIND1	-0.12791
AGID00437	199	sc-25303	Old	CYCLINE1	0.43819
AGID00449	202	1142-1	Old	CYCLINE2	-0.038847
AGID00209	1257	ab110324	Set173	Cyclophilin-F	0.1823883
AGID00247	1379	ab48389	Set173	D-a-Tubulin	0.6758857
AGID00308	1770	GTX10524	Set173	DAPK1_pS308	2.251884
AGID00304	1744	ab51601	Set173	DAPK2	0.07413064
AGID00343	1980	6998	Set173	DDB-1	0.7510541
AGID00427	2402	5583	Set173	DDR1	1.08707
AGID00428	2403	SAB4504671	Set173	DDR1_pY513	-0.04307306
AGID00532	1273	Bast Lab	Old	DIRAS3	0.28692
AGID00104	891	ab76008	Old	DJ1	-0.18014
AGID02146	2452	4658	Set173	DM-Histone-H3	-0.8432485
AGID00386	1397	ab32521	Set173	DM-K9-Histone-H3	-0.3242891
AGID00352	2030	14649	Set173	DNA-Ligase-IV	-0.1387262
AGID00407	2371	13609	Set173	DNA_POLG	-0.9097953
AGID00399	2344	5032	Set173	DNMT1	0.3337907
AGID00409	2373	5391	Set173	DRP1	0.7037448
AGID00253	1406	5149	Old	DUSP4	-0.13951
AGID00334	1936	ab76310	Set173	DUSP6	1.283664
AGID00116	940	3218	Old	DVL3	-0.1079
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.69268
AGID00135	1060	2332	Old	EEF2	0.17942
AGID00136	1061	3692	Old	EEF2K	0.60218
AGID00152	1120	2232	Old	EGFR	0.12856
AGID00450	217	2234	Old	EGFR_pY1068	0.6234
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.12407
AGID00078	722	9742	Old	EIF4E	0.2871
AGID00328	1871	ab76256	Set173	eIF4E_pS209	0.429636
AGID00154	1124	2498	Old	EIF4G	0.61336
AGID00027	228	9181	Set173	Elk1_pS383	-0.6821552
AGID00235	1350	M061329-2	Set173	EMA	-1.050033
AGID00394	2337	3810	Set173	Enolase-1	-0.003655887
AGID00395	2338	8171	Set173	Enolase-2	-0.8745234
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set173	EphA2	1.819829
AGID00552	2422	6347	Set173	EphA2_pS897	-0.4123068
AGID00553	2423	12677	Set173	EphA2_pY588	-0.4631237
AGID00075	693	556347	Old	EPPK1	2.5456
AGID00335	238	RM-9101	Old	ERALPHA	-1.3197
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.54984
AGID00240	247	MS-671	Old	ERCC1	0.040606
AGID00239	1355	11331-1-AP	Old	ERCC5	0.1439
AGID00484	249	sc-154	Old	ERK2	-0.15037
AGID00372	2193	3552	Set173	Erk5	-0.439143
AGID00405	2369	13826	Set173	ERRalpha	0.01241084
AGID00187	1200	A303-501A	Old	ETS1	-0.58734
AGID00511	2492	2593	Set173	EVI1	0.8926537
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set173	FAK	-0.02110323
AGID02151	2457	8556	Set173	FAK_pY397	-0.6283717
AGID00171	1156	3180	Old	FASN	1.6458
AGID00356	2085	500-P18/10775-082	Set173	FGF-basic	3.239666
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.6948
AGID00339	1959	4403	Set173	FN14	0.3110753
AGID02152	2458	20459	Old	FOXM1	0.23543
AGID00378	269	9467	Old	FOXO3A	0.053914
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	-0.34072
AGID02167	2475	PA5-64616	Set173	FRS2-alpha_pY196	-0.1993094
AGID02213	2575	ab124892	Set173	FTO	0.1599248
AGID02141	2446	12263	Old	G6PD	0.32562
AGID00117	943	3239	Old	GAB2	-0.41075
AGID00412	274	AM4300	Old	GAPDH	-0.36366
AGID00086	764	558686	Old	GATA3	1.8565
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set173	GCLC	3.005863
AGID00305	1745	ab124827	Set173	GCLM	-0.1807589
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set173	Gli1	0.005814942
AGID00263	1520	ab69838	Set173	Gli3	-0.1583021
AGID00548	2530	3660	Set173	Glucocorticoid-Receptor	-2.190426
AGID00387	1617	12793	Set173	Glutamate-D1-2	-0.1845581
AGID00262	1491	ab156876	Set173	Glutaminase	0.3823828
AGID00319	1807	4275	Set173	Granzyme-B	0.5745631
AGID00368	2169	ab183737	Set173	GRB7	0.917241
AGID00396	2339	3593	Set173	Grp75	-0.1176141
AGID00174	1163	9315	Set173	GSK-3B	-0.3386367
AGID00502	1082	9336	Old	GSK3_pS9	-1.0729
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	0.042784
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	-1.5689
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set173	H2AX_pS139	-0.02420614
AGID00363	1409	MA1-2022	Set173	H2AX_pS140	0.3070992
AGID00131	1038	MS-325-P1	Old	HER2	-0.16963
AGID00142	299	06-229	Old	HER2_pY1248	0.14074
AGID00110	911	sc-285	Old	HER3	0.29859
AGID00080	728	4791	Old	HER3_pY1289	0.075992
AGID00103	890	2573	Old	HEREGULIN	0.16527
AGID00271	1582	11988	Set173	HES1	0.117527
AGID00397	2340	2024	Set173	Hexokinase-I	-0.2005509
AGID00442	1023	2867	Set173	Hexokinase-II	1.397933
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set173	Histone-H3	-1.468152
AGID00398	2341	3377	Set173	Histone-H3_pS10	-0.7904712
AGID00332	1901	ab128959	Set173	HLA-DQA1	-1.169333
AGID00333	1902	14832-1-AP	Set173	HMHA1	-0.4179372
AGID00035	321	2402	Set173	HSP27	0.1555857
AGID00036	323	2401	Set173	HSP27_pS82	-0.5541838
AGID00320	1808	12165	Set173	HSP60	0.4699907
AGID00037	325	4872	Old	HSP70	-0.29683
AGID00366	2158	86630	Set173	IDO	1.484157
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.22998
AGID00038	335	3922	Old	IGFBP2	-1.027
AGID00090	793	611504	Set173	IGFBP3	1.390198
AGID00039	336	3027	Set173	IGFRb	-0.7887074
AGID00336	1949	12153	Set173	IL-6	-0.3594331
AGID02221	2583	57145	Set173	IMP3	-0.1096994
AGID02153	2459	14543	Old	INPP4B	2.2681
AGID00272	1586	3025	Set173	IR-b	0.4093009
AGID00519	2519	4302	Set173	IRF-3	0.1285377
AGID00520	2520	4947	Set173	IRF-3_pS396	-0.03473974
AGID00223	1316	sc-497	Old	IRF1	-0.24146
AGID00092	802	06-248	Old	IRS1	0.55399
AGID00040	371	4502	Set173	IRS2	-0.534245
AGID00250	1394	sc-13157	Old	JAB1	0.31721
AGID00256	1413	ab109536	Set173	Jagged1	0.009265294
AGID00177	1166	3230	Old	JAK2	-0.17993
AGID00758	377	4671	Old	JNK_pT183Y185	-0.20089
AGID02136	2439	PA5-28262	Old	JNK2	-0.22029
AGID00307	1757	ab10484	Set173	KAP1	-0.1183747
AGID00528	904	2180	Old	KU80	-0.22547
AGID00375	2237	HPA028732	Set173	LAD1	1.273499
AGID00290	1643	IHC-00439	Set173	Lasu1	0.8330275
AGID00279	1618	4108	Set173	LC3A-B	-0.2818629
AGID00042	397	2752	Old	LCK	-0.42767
AGID00119	976	3582	Old	LDHA	NA
AGID00533	977	ab85319	Old	LDHB	NA
AGID00529	1477	3050	Old	LKB1	0.09198
AGID00244	1367	2568	Set173	LRP6_pS1490	-0.09011857
AGID00439	2424	2796	Set173	Lyn	0.8387025
AGID02154	2460	4370	Old	MAPK_pT202Y204	-0.72314
AGID00198	1222	5453	Set173	Mcl-1	-0.2052697
AGID00288	1633	AB3314P	Set173	MCT4	0.2873466
AGID00175	1164	3521	Set173	MDM2_pS166	-0.3731331
AGID00044	417	1235-1/ab32576	Old	MEK1	0.74547
AGID00143	1076	9154	Old	MEK1_pS217S221	-0.36638
AGID00201	1243	9125	Set173	MEK2	-0.07192068
AGID00361	2118	ab51061	Set173	MelanA	0.3859504
AGID00362	2119	ab137078	Set173	Melanoma-gp100	0.3737788
AGID00337	1951	12711	Set173	MERIT40	-0.08979909
AGID00338	1952	12110	Set173	MERIT40_pS29	-0.003703959
AGID02212	2574	ab195352	Set173	METTL3	0.2360195
AGID00225	1323	sc-20121	Set173	MIF	-0.5427174
AGID00137	1062	WH0054206M1	Old	MIG6	-0.30317
AGID00403	2117	ab20663	Set173	MITF	-1.37459
AGID00503	1067	ab3298	Old	MITOCHONDRIA	NA
AGID00321	1809	14739	Set173	Mitofusin-1	0.934491
AGID00322	1810	11925	Set173	Mitofusin-2	0.6971848
AGID00389	2324	3515	Set173	MLH1	0.1526825
AGID00312	1780	14993	Set173	MLKL	1.784896
AGID00402	2359	MAB3328	Set173	MMP14	0.06986781
AGID00045	435	4022	Set173	MMP2	-0.7862758
AGID00122	1005	2195	Set173	Mnk1	1.232091
AGID00331	1899	sc-377312	Set173	MR1	-0.04970362
AGID00273	1589	ab103319	Set173	MRAP	0.2845493
AGID00530	440	4847	Old	MRE11	0.098106
AGID00390	905	2850	Old	MSH2	0.42674
AGID00138	1063	22030002	Old	MSH6	0.36492
AGID00299	1675	ab76148	Set173	MSI2	0.7787757
AGID00232	1344	ab14705	Set173	MTCO1	1.777553
AGID00046	444	2983	Old	MTOR	0.22227
AGID00047	446	2971	Old	MTOR_pS2448	-0.19127
AGID00204	1247	H00009788-M01A	Set173	MTSS1	0.2361368
AGID00401	1139	21370002	Old	MYH11	-0.45769
AGID00291	1647	3403	Old	MYOSINIIA	NA
AGID00173	1160	5026	Old	MYOSINIIA_pS1943	-0.16399
AGID00318	1803	4282	Set173	Myt1	0.2113487
AGID00216	1274	5795-1/ab129189	Old	NAPSINA	NA
AGID00418	452	4061	Old	NCADHERIN	-0.13816
AGID00156	1126	3217	Old	NDRG1_pT346	-0.51193
AGID02133	2436	PA5-45913	Set173	NDUFB4	-0.4267044
AGID00134	1046	22710002	Old	NF2	-0.4279
AGID00048	457	3033	Old	NFKBP65_pS536	-1.0888
AGID02155	2461	3608	Old	NOTCH1	0.22253
AGID00340	1969	4147	Set173	Notch1-cleaved	-0.2900942
AGID00087	767	sc-5593	Set173	Notch3	-0.05333518
AGID00258	1420	3187	Set173	NQO1	2.003392
AGID00162	1136	sc-31	Old	NRAS	0.036256
AGID00257	1419	12721	Old	NRF2	NA
AGID00297	1669	2750	Set173	Oct-4	0.4805724
AGID00420	466	1712-1/ab40803	Old	P16INK4A	-1.2885
AGID00384	470	sc-6246	Old	P21	0.58233
AGID00105	897	1591-1/ab32034	Old	P27	-0.14426
AGID00096	842	AF1555	Old	P27_pT157	-0.022159
AGID00099	878	ab64949	Old	P27_pT198	0.048672
AGID00181	1175	9228	Set173	p38-a	-0.4958383
AGID00098	479	9211	Old	P38_pT180Y182	-0.90637
AGID00049	478	9212	Old	P38MAPK	-0.21111
AGID00151	1119	4695	Set173	p44-42-MAPK	-0.3613311
AGID00050	481	9282	Old	P53	0.54785
AGID00490	1187	610833	Old	P62LCKLIGAND	0.51154
AGID00545	1415	ab53039	Old	P63	NA
AGID00052	494	9205	Old	P70S6K_pT389	-0.14253
AGID00051	493	1494-1/ab32529	Old	P70S6K1	0.35884
AGID00085	759	9347	Old	P90RSK	0.067249
AGID00531	770	9344	Old	P90RSK_pT359S363	-0.26949
AGID00182	1178	9346	Set173	p90RSK_pT573	-0.8754027
AGID00053	499	612024	Old	PAI1	0.36025
AGID00224	1322	HPA035895	Set173	PAICS	1.439085
AGID00323	1811	2602	Set173	PAK1	0.478625
AGID02199	2517	PA5-69540	Set173	PAK4	-0.1571884
AGID00245	1370	4336-BPC-100	Set173	PAR	0.9158193
AGID00374	2209	66564	Set173	PARG	-0.6115204
AGID00370	1372	sc-7150	Old	PARP1	NA
AGID00468	501	9546	Old	PARPCLEAVED	0.29534
AGID00274	1591	ab53715	Set173	Patched	0.3038803
AGID00513	2486	60433	Set173	PAX6	-0.365977
AGID00441	1621	9857	Set173	PAX8	-1.08144
AGID00054	504	2542	Old	PAXILLIN	0.079524
AGID00055	509	2130	Old	PCADHERIN	-0.11703
AGID00248	511	ab29	Old	PCNA	0.2091
AGID00413	2095	43248	Old	PDCD1	NA
AGID00094	816	600-401-965	Old	PDCD4	-1.4781
AGID00385	1225	3169	Set173	PDGFRB	-1.347896
AGID00210	1258	ab110332	Set173	PDH	0.09532176
AGID00324	1817	3205	Set173	PDHA1	0.1910428
AGID00280	1622	3820	Set173	PDHK1	-0.1548815
AGID00056	515	3062	Old	PDK1	0.10676
AGID00057	516	3061	Old	PDK1_pS241	0.0061415
AGID00300	1234	sc-19090	Old	PDL1	0.18031
AGID00124	1017	2780	Old	PEA15	-0.15578
AGID00125	1018	44-836G	Old	PEA15_pS116	-0.33697
AGID00440	2429	3192	Set173	PERK	0.5968291
