AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.0086771
AGID00111	913	sc-23957	Old	1433EPSILON	-0.074494
AGID00101	883	sc-1019	Old	1433ZETA	0.11811
AGID00001	2	9452	Old	4EBP1	-0.051179
AGID00002	3	9456	Old	4EBP1_pS65	-0.099221
AGID00003	6	9459	Old	4EBP1_pT37T46	0.23224
AGID00443	8	9455	Old	4EBP1_pT70	-0.015609
AGID00120	985	4937	Old	53BP1	-0.2574
AGID00004	13	3661	Old	ACC_pS79	1.2223
AGID00005	14	1768-1/ab45174	Old	ACC1	0.99169
AGID00408	2372	3658	Set172	AceCS1	0.1081598
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.23227
AGID00404	2367	9189	Set172	ACSL1	0.5574181
AGID02144	2450	PA5-27081	Old	ACVRL1	0.1784
AGID00186	1198	ab88574	Old	ADAR1	-0.56435
AGID00146	1084	4691	Old	AKT	0.61499
AGID00028	230	9271	Old	AKT_pS473	1.1816
AGID00170	1154	2965	Old	AKT_pT308	0.61103
AGID00316	1800	3063	Set172	Akt2	-0.2500004
AGID00347	2009	8599	Set172	Akt2_pS474	-0.2078759
AGID02215	2577	ab195377	Set172	ALKBH5	0.6534302
AGID00498	924	CA1030	Old	ALPHACATENIN	0.59591
AGID00287	1630	ABC80	Set172	Ambra1_pS52	0.1519385
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	0.2397577
AGID00006	39	2532	Old	AMPKALPHA	-0.15814
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.46639
AGID00193	1208	610066	Old	ANNEXIN1	-0.73862
AGID00166	1142	610668	Old	ANNEXINVII	0.36069
AGID00371	756	1852-1/ab52615	Old	AR	3.6364
AGID00194	1217	4432	Old	ARAF	0.23401
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.05938
AGID00260	1053	sc-32761	Old	ARID1A	0.17839
AGID00264	1560	HPA029318	Old	ASNS	-0.72328
AGID00276	1612	3415	Set172	Atg3	-0.5068544
AGID00309	1775	13507	Set172	Atg4B	-0.3616167
AGID00310	1776	12994	Set172	Atg5	0.2709809
