AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.40587
AGID00111	913	sc-23957	Old	1433EPSILON	0.076659
AGID00101	883	sc-1019	Old	1433ZETA	-0.11596
AGID00001	2	9452	Old	4EBP1	-0.40612
AGID00002	3	9456	Old	4EBP1_pS65	0.42889
AGID00003	6	9459	Old	4EBP1_pT37T46	0.93688
AGID00443	8	9455	Old	4EBP1_pT70	-0.08183
AGID00120	985	4937	Old	53BP1	0.51486
AGID00004	13	3661	Old	ACC_pS79	0.38343
AGID00005	14	1768-1/ab45174	Old	ACC1	0.12446
AGID00408	2372	3658	Set166	AceCS1	-0.07150766
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	2.3256
AGID00404	2367	9189	Set166	ACSL1	0.6292243
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.1739
AGID00186	1198	ab88574	Old	ADAR1	-0.34929
AGID00146	1084	4691	Old	AKT	-0.2448
AGID00028	230	9271	Old	AKT_pS473	0.79719
AGID00170	1154	2965	Old	AKT_pT308	0.80891
AGID00316	1800	3063	Set166	Akt2	-0.6218302
AGID00347	2009	8599	Set166	Akt2_pS474	-0.07400976
AGID02215	2577	ab195377	Set166	ALKBH5	0.005822134
AGID00498	924	CA1030	Old	ALPHACATENIN	-0.73174
AGID00287	1630	ABC80	Set166	Ambra1_pS52	0.1751188
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.195408
AGID00006	39	2532	Old	AMPKALPHA	-0.20257
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.074959
AGID00193	1208	610066	Old	ANNEXIN1	-2.1595
AGID00166	1142	610668	Old	ANNEXINVII	0.0745
AGID00371	756	1852-1/ab52615	Old	AR	-0.90664
AGID00194	1217	4432	Old	ARAF	-0.44383
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.085212
AGID00260	1053	sc-32761	Old	ARID1A	0.090483
AGID00264	1560	HPA029318	Old	ASNS	-0.12017
AGID00276	1612	3415	Set166	Atg3	-0.02949498
AGID00309	1775	13507	Set166	Atg4B	2.058366
AGID00310	1776	12994	Set166	Atg5	-0.4163349
AGID00277	1613	8558	Set166	Atg7	0.2862964
AGID00242	1363	2873	Old	ATM	-0.50609
AGID02142	2447	13050	Set166	ATM_pS1981	-0.03465507
AGID00217	1289	ab14748	Set166	ATP5A	3.504346
AGID02145	2451	PA5-43776	Set166	ATP5H	0.5122013
AGID02150	2456	13934	Set166	ATR	-0.3139659
AGID00315	1795	ab178407	Set166	ATR_pS428	0.4976924
AGID00268	1569	ab97508	Set166	ATRX	1.1499
AGID00391	2332	14475	Set166	Aurora-A	-0.7452157
AGID00392	2333	2914	Set166	Aurora-ABC_pT288_pT232_pT198	0.05138117
AGID02195	2512	MA5-27890	Set166	Aurora-B	-0.5027487
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set166	b-Actin	-0.02119442
AGID00179	1170	9565	Set166	b-Catenin_pT41_S45	0.02252376
AGID00301	1725	14058	Set166	B7-H3	-0.5643877
AGID00302	1726	14572	Set166	B7-H4	-0.4760565
AGID00008	63	9291	Old	BAD_pS112	-0.082065
AGID00009	71	1542-1/ab32371	Old	BAK	-0.72933
AGID00192	1207	sc-28383	Old	BAP1C4	-0.20858
