AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.21683
AGID00111	913	sc-23957	Old	1433EPSILON	0.64406
AGID00101	883	sc-1019	Old	1433ZETA	-0.42703
AGID00001	2	9452	Old	4EBP1	-0.2942
AGID00002	3	9456	Old	4EBP1_pS65	-0.64392
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.6682
AGID00443	8	9455	Old	4EBP1_pT70	-0.13538
AGID00120	985	4937	Old	53BP1	-0.70606
AGID00004	13	3661	Old	ACC_pS79	-1.4025
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.6774
AGID00408	2372	3658	Set172	AceCS1	-0.3307562
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.0132
AGID00404	2367	9189	Set172	ACSL1	0.9715833
AGID02144	2450	PA5-27081	Old	ACVRL1	0.43114
AGID00186	1198	ab88574	Old	ADAR1	-0.26058
AGID00146	1084	4691	Old	AKT	-0.52417
AGID00028	230	9271	Old	AKT_pS473	-1.3866
AGID00170	1154	2965	Old	AKT_pT308	-0.7706
AGID00316	1800	3063	Set172	Akt2	-0.01606932
AGID00347	2009	8599	Set172	Akt2_pS474	1.731143
AGID02215	2577	ab195377	Set172	ALKBH5	-0.3472442
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	-0.2390755
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	-0.1629188
AGID00006	39	2532	Old	AMPKALPHA	-0.1725
AGID00007	40	2535	Old	AMPKALPHA_pT172	-1.5326
AGID00193	1208	610066	Old	ANNEXIN1	0.79101
AGID00166	1142	610668	Old	ANNEXINVII	0.40414
AGID00371	756	1852-1/ab52615	Old	AR	-0.35416
AGID00194	1217	4432	Old	ARAF	0.40974
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.69727
AGID00260	1053	sc-32761	Old	ARID1A	-0.15908
AGID00264	1560	HPA029318	Old	ASNS	-0.47535
AGID00276	1612	3415	Set172	Atg3	0.9544594
AGID00309	1775	13507	Set172	Atg4B	1.141672
AGID00310	1776	12994	Set172	Atg5	0.03402834
AGID00277	1613	8558	Set172	Atg7	1.693463
AGID00242	1363	2873	Old	ATM	1.0923
AGID02142	2447	13050	Set172	ATM_pS1981	1.020069
AGID00217	1289	ab14748	Set172	ATP5A	1.977457
AGID02145	2451	PA5-43776	Set172	ATP5H	1.320867
AGID02150	2456	13934	Set172	ATR	-0.1636337
AGID00315	1795	ab178407	Set172	ATR_pS428	0.2365736
AGID00268	1569	ab97508	Set172	ATRX	-1.647581
AGID00391	2332	14475	Set172	Aurora-A	-0.9893013
AGID00392	2333	2914	Set172	Aurora-ABC_pT288_pT232_pT198	-0.5347561
AGID02195	2512	MA5-27890	Set172	Aurora-B	2.357161
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set172	b-Actin	0.6020931
AGID00179	1170	9565	Set172	b-Catenin_pT41_S45	-0.3592419
AGID00301	1725	14058	Set172	B7-H3	0.08796602
AGID00302	1726	14572	Set172	B7-H4	0.1706657
AGID00008	63	9291	Old	BAD_pS112	-0.82875
