AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.43808
AGID00111	913	sc-23957	Old	1433EPSILON	-0.23253
AGID00101	883	sc-1019	Old	1433ZETA	-0.15291
AGID00001	2	9452	Old	4EBP1	-0.50985
AGID00002	3	9456	Old	4EBP1_pS65	0.4293
AGID00003	6	9459	Old	4EBP1_pT37T46	0.44429
AGID00443	8	9455	Old	4EBP1_pT70	-0.085783
AGID00120	985	4937	Old	53BP1	-0.56508
AGID00004	13	3661	Old	ACC_pS79	-0.4358
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.4616
AGID00408	2372	3658	Set179	AceCS1	-0.2382371
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.8775
AGID00404	2367	9189	Set179	ACSL1	-1.122042
AGID02144	2450	PA5-27081	Old	ACVRL1	0.49688
AGID00186	1198	ab88574	Old	ADAR1	-0.8437
AGID00146	1084	4691	Old	AKT	0.0090251
AGID00028	230	9271	Old	AKT_pS473	0.60736
AGID00170	1154	2965	Old	AKT_pT308	0.54991
AGID00316	1800	3063	Set179	Akt2	-0.4684899
AGID00347	2009	8599	Set179	Akt2_pS474	0.3789527
AGID02215	2577	ab195377	Set179	ALKBH5	-0.797903
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.2918716
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.5899892
AGID00006	39	2532	Old	AMPKALPHA	-0.10156
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.31962
AGID00193	1208	610066	Old	ANNEXIN1	0.36973
AGID00166	1142	610668	Old	ANNEXINVII	-0.044525
AGID00371	756	1852-1/ab52615	Old	AR	-0.75812
AGID00194	1217	4432	Old	ARAF	0.056632
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.07537
AGID00260	1053	sc-32761	Old	ARID1A	0.14715
AGID00264	1560	HPA029318	Old	ASNS	-0.32905
AGID00276	1612	3415	Set179	Atg3	-0.2010748
AGID00309	1775	13507	Set179	Atg4B	-0.177509
AGID00310	1776	12994	Set179	Atg5	0.0141555
AGID00277	1613	8558	Set179	Atg7	-0.2908674
AGID00242	1363	2873	Old	ATM	-0.02377
AGID02142	2447	13050	Set179	ATM_pS1981	1.613184
AGID00217	1289	ab14748	Set179	ATP5A	-0.6855079
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.02127848
AGID02150	2456	13934	Set179	ATR	-0.2989371
AGID00315	1795	ab178407	Set179	ATR_pS428	-0.1998526
AGID00268	1569	ab97508	Set179	ATRX	-0.9224913
AGID00391	2332	14475	Set179	Aurora-A	-0.1490965
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.2260606
AGID02195	2512	MA5-27890	Set179	Aurora-B	-0.282887
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.3439858
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.1320534
AGID00301	1725	14058	Set179	B7-H3	-0.08391816
AGID00302	1726	14572	Set179	B7-H4	-0.2234442
AGID00008	63	9291	Old	BAD_pS112	0.03027
AGID00009	71	1542-1/ab32371	Old	BAK	-0.56964
AGID00192	1207	sc-28383	Old	BAP1C4	-0.47375
AGID00010	73	2772	Old	BAX	-0.40778
AGID00433	80	M0887	Old	BCL2	-0.010068
AGID00219	1299	PAB8528	Old	BCL2A1	-0.15862
AGID00012	84	1018-1	Old	BCLXL	-0.35584
AGID00377	87	sc-10086	Old	BECLIN	0.4863
AGID00011	75	9562	Old	BETACATENIN	0.53257
AGID00013	88	1008-1/ab32060	Old	BID	-0.083597
AGID00180	90	1036-1/ab32158	Old	BIM	-0.5401
AGID00221	1311	610978	Set179	BiP-GRP78	0.0303228
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.02384005
AGID00355	92	1647/ab33899	Old	BRAF	-0.13858
AGID00014	94	2696	Old	BRAF_pS445	-0.18203
AGID00445	761	9012	Old	BRCA2	-0.1821
AGID00266	1567	13440	Old	BRD4	-0.93588
AGID00168	1146	2865	Set179	c-Abl_pY412	0.5383794
AGID00278	1615	3130	Set179	c-IAP2	0.2264699
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.031943
AGID00429	2407	2679	Set179	Calnexin	-0.2480655
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.009168707
AGID00623	111	9665	Old	CASPASE3	-0.55657
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.49129
AGID00118	951	9746	Old	CASPASE8	1.766
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	2.835
AGID00358	2100	ab76000	Set179	CD134	-0.2534832
AGID00303	1737	826701	Set179	CD171	1.29136
AGID00410	125	1632-1/ab78237	Old	CD20	1.434
AGID00220	1308	ab28340	Old	CD26	0.22018
AGID00191	1206	610467	Set179	CD29	0.2269016
AGID00017	127	M0823	Old	CD31	-0.025704
AGID00369	2174	ab108403	Set179	CD38	0.239169
AGID00359	2104	ab133616	Set179	CD4	-0.01605279
AGID00411	1398	3570	Set179	CD44	0.2851911
AGID00237	1352	M070101-2	Set179	CD45	0.3772188
AGID00115	937	611016	Old	CD49B	0.9544
AGID02171	2482	91882	Set179	CD86	0.234244
AGID00329	1873	4688	Set179	cdc25C	-0.3244459
AGID00227	1332	4651	Set179	Cdc42	0.3032305
