AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.086247
AGID00111	913	sc-23957	Old	1433EPSILON	-0.2457
AGID00101	883	sc-1019	Old	1433ZETA	-0.89473
AGID00001	2	9452	Old	4EBP1	-1.1665
AGID00002	3	9456	Old	4EBP1_pS65	-0.73025
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.31979
AGID00443	8	9455	Old	4EBP1_pT70	-0.3909
AGID00120	985	4937	Old	53BP1	-0.34233
AGID00004	13	3661	Old	ACC_pS79	-1.1107
AGID00005	14	1768-1/ab45174	Old	ACC1	-2.3917
AGID00408	2372	3658	Set173	AceCS1	-1.111579
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.52459
AGID00404	2367	9189	Set173	ACSL1	-0.7481469
AGID02144	2450	PA5-27081	Old	ACVRL1	0.052252
AGID00186	1198	ab88574	Old	ADAR1	-0.57596
AGID00146	1084	4691	Old	AKT	0.1527
AGID00028	230	9271	Old	AKT_pS473	0.94845
AGID00170	1154	2965	Old	AKT_pT308	0.36947
AGID00316	1800	3063	Set173	Akt2	0.1251213
AGID00347	2009	8599	Set173	Akt2_pS474	1.460226
AGID02215	2577	ab195377	Set173	ALKBH5	-0.4715727
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set173	Ambra1_pS52	0.2387492
AGID00236	1351	ab129081	Set173	AMPK-a2_pS345	0.439364
AGID00006	39	2532	Old	AMPKALPHA	-0.16978
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.017392
AGID00193	1208	610066	Old	ANNEXIN1	0.63306
AGID00166	1142	610668	Old	ANNEXINVII	0.026272
AGID00371	756	1852-1/ab52615	Old	AR	1.2604
AGID00194	1217	4432	Old	ARAF	-0.41226
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.36955
AGID00260	1053	sc-32761	Old	ARID1A	0.3278
AGID00264	1560	HPA029318	Old	ASNS	-0.6217
AGID00276	1612	3415	Set173	Atg3	0.1653485
AGID00309	1775	13507	Set173	Atg4B	0.1840414
AGID00310	1776	12994	Set173	Atg5	-0.7405681
AGID00277	1613	8558	Set173	Atg7	-0.4366558
AGID00242	1363	2873	Old	ATM	-0.2531
AGID02142	2447	13050	Set173	ATM_pS1981	3.716945
AGID00217	1289	ab14748	Set173	ATP5A	0.0949924
AGID02145	2451	PA5-43776	Set173	ATP5H	-0.09834969
AGID02150	2456	13934	Set173	ATR	1.32882
AGID00315	1795	ab178407	Set173	ATR_pS428	0.09662308
AGID00268	1569	ab97508	Set173	ATRX	-0.1940741
AGID00391	2332	14475	Set173	Aurora-A	-1.289807
AGID00392	2333	2914	Set173	Aurora-ABC_pT288_pT232_pT198	-0.5623558
AGID02195	2512	MA5-27890	Set173	Aurora-B	0.6962263
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set173	b-Actin	-0.2182258
AGID00179	1170	9565	Set173	b-Catenin_pT41_S45	-0.02735754
AGID00301	1725	14058	Set173	B7-H3	-0.9875692
AGID00302	1726	14572	Set173	B7-H4	0.2244667
AGID00008	63	9291	Old	BAD_pS112	0.62357
AGID00009	71	1542-1/ab32371	Old	BAK	0.26562
AGID00192	1207	sc-28383	Old	BAP1C4	-0.64417
AGID00010	73	2772	Old	BAX	0.22516
AGID00433	80	M0887	Old	BCL2	1.8975
AGID00219	1299	PAB8528	Old	BCL2A1	-0.20714
AGID00012	84	1018-1	Old	BCLXL	-0.12233
AGID00377	87	sc-10086	Old	BECLIN	-0.27397
AGID00011	75	9562	Old	BETACATENIN	0.094779
AGID00013	88	1008-1/ab32060	Old	BID	0.014778
