AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.36997
AGID00111	913	sc-23957	Old	1433EPSILON	-0.064041
AGID00101	883	sc-1019	Old	1433ZETA	-0.24114
AGID00001	2	9452	Old	4EBP1	-0.24755
AGID00002	3	9456	Old	4EBP1_pS65	-0.042583
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.014209
AGID00443	8	9455	Old	4EBP1_pT70	0.0090774
AGID00120	985	4937	Old	53BP1	-1.3779
AGID00004	13	3661	Old	ACC_pS79	-0.62254
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.8575
AGID00408	2372	3658	Set179	AceCS1	0.09589455
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.4492
AGID00404	2367	9189	Set179	ACSL1	-1.428677
AGID02144	2450	PA5-27081	Old	ACVRL1	0.28727
AGID00186	1198	ab88574	Old	ADAR1	-0.7617
AGID00146	1084	4691	Old	AKT	-0.33364
AGID00028	230	9271	Old	AKT_pS473	0.56
AGID00170	1154	2965	Old	AKT_pT308	0.37081
AGID00316	1800	3063	Set179	Akt2	-0.7647815
AGID00347	2009	8599	Set179	Akt2_pS474	0.8915162
AGID02215	2577	ab195377	Set179	ALKBH5	-0.8023375
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.3828761
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.4766598
AGID00006	39	2532	Old	AMPKALPHA	0.036805
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.24442
AGID00193	1208	610066	Old	ANNEXIN1	-0.37163
AGID00166	1142	610668	Old	ANNEXINVII	-0.051271
AGID00371	756	1852-1/ab52615	Old	AR	-0.87056
AGID00194	1217	4432	Old	ARAF	0.32353
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.031833
AGID00260	1053	sc-32761	Old	ARID1A	0.030696
AGID00264	1560	HPA029318	Old	ASNS	0.66371
AGID00276	1612	3415	Set179	Atg3	-0.3848825
AGID00309	1775	13507	Set179	Atg4B	-0.04143467
AGID00310	1776	12994	Set179	Atg5	0.2013865
AGID00277	1613	8558	Set179	Atg7	-0.3364833
AGID00242	1363	2873	Old	ATM	-0.012986
AGID02142	2447	13050	Set179	ATM_pS1981	3.570863
AGID00217	1289	ab14748	Set179	ATP5A	-0.2087899
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.3362627
AGID02150	2456	13934	Set179	ATR	-0.07215909
AGID00315	1795	ab178407	Set179	ATR_pS428	-0.2206956
AGID00268	1569	ab97508	Set179	ATRX	-1.586532
AGID00391	2332	14475	Set179	Aurora-A	-0.09156536
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.1813213
AGID02195	2512	MA5-27890	Set179	Aurora-B	-0.02605445
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.2137772
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.153168
AGID00301	1725	14058	Set179	B7-H3	-0.09775705
AGID00302	1726	14572	Set179	B7-H4	-0.17038
AGID00008	63	9291	Old	BAD_pS112	-0.27693
AGID00009	71	1542-1/ab32371	Old	BAK	-0.65251
AGID00192	1207	sc-28383	Old	BAP1C4	-0.97824
AGID00010	73	2772	Old	BAX	-0.3274
AGID00433	80	M0887	Old	BCL2	-0.048362
AGID00219	1299	PAB8528	Old	BCL2A1	0.26841
AGID00012	84	1018-1	Old	BCLXL	0.13982
AGID00377	87	sc-10086	Old	BECLIN	0.48875
AGID00011	75	9562	Old	BETACATENIN	-0.39109
AGID00013	88	1008-1/ab32060	Old	BID	-0.0061713
AGID00180	90	1036-1/ab32158	Old	BIM	-0.51412
AGID00221	1311	610978	Set179	BiP-GRP78	-0.1285276
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.076449
AGID00355	92	1647/ab33899	Old	BRAF	-0.66068
AGID00014	94	2696	Old	BRAF_pS445	-0.16157
AGID00445	761	9012	Old	BRCA2	-0.20815
AGID00266	1567	13440	Old	BRD4	-0.87942
AGID00168	1146	2865	Set179	c-Abl_pY412	0.5640467
AGID00278	1615	3130	Set179	c-IAP2	0.2069449
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.082025
AGID00429	2407	2679	Set179	Calnexin	-0.5176319
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.4638262
AGID00623	111	9665	Old	CASPASE3	-0.30838
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.18711
AGID00118	951	9746	Old	CASPASE8	-0.31031
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.1222
AGID00358	2100	ab76000	Set179	CD134	-0.02364413
AGID00303	1737	826701	Set179	CD171	0.7186478
AGID00410	125	1632-1/ab78237	Old	CD20	1.0634
AGID00220	1308	ab28340	Old	CD26	-0.11974
AGID00191	1206	610467	Set179	CD29	-0.03014317
AGID00017	127	M0823	Old	CD31	0.071872
AGID00369	2174	ab108403	Set179	CD38	0.2340361
AGID00359	2104	ab133616	Set179	CD4	-0.3513299
AGID00411	1398	3570	Set179	CD44	0.6330898
AGID00237	1352	M070101-2	Set179	CD45	0.9220477
AGID00115	937	611016	Old	CD49B	0.49223
AGID02171	2482	91882	Set179	CD86	0.4010393
AGID00329	1873	4688	Set179	cdc25C	-0.4952051
AGID00227	1332	4651	Set179	Cdc42	0.480339
AGID00422	2396	3387	Set179	Cdc6	-0.06904396
AGID00501	1007	9112	Old	CDK1	0.061517
AGID00293	1658	ab32384	Set179	CDK1_pT14	-1.059301
AGID00314	1783	4539	Old	CDK1_pY15	0.22911
AGID00423	2397	8064	Set179	CDT1	0.1017537
AGID02101	2348	15102	Set179	cGAS	0.187819
AGID00447	2410	13460	Set179	CHD1L	-0.7283795
AGID00189	1203	2360	Old	CHK1	0.10214
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.11913
AGID00107	903	2348	Old	CHK1_pS345	-0.090604
AGID00018	146	3440	Old	CHK2	-0.37468
AGID00019	147	2197	Old	CHK2_pT68	0.094397
AGID00527	2078	4952	Old	CIAP	0.031657
AGID00350	2018	3793	Set179	CIITA	0.1374647
AGID00434	155	9164	Old	CJUN_pS73	0.070214
AGID00020	157	1522-1/ab32363	Old	CKIT	0.65502
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.0118
AGID00466	726	3127	Old	CMET	-0.076502
AGID00079	727	3129	Old	CMET_pY1235	-0.093633
AGID00167	161	9402	Old	CMYC	-0.15573
