AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.074137
AGID00111	913	sc-23957	Old	1433EPSILON	0.99699
AGID00101	883	sc-1019	Old	1433ZETA	-0.39893
AGID00001	2	9452	Old	4EBP1	-0.56878
AGID00002	3	9456	Old	4EBP1_pS65	-0.38728
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.8826
AGID00443	8	9455	Old	4EBP1_pT70	-0.17851
AGID00120	985	4937	Old	53BP1	0.001752
AGID00004	13	3661	Old	ACC_pS79	-0.66591
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.95859
AGID00408	2372	3658	Set172	AceCS1	1.101972
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.4538
AGID00404	2367	9189	Set172	ACSL1	2.875458
AGID02144	2450	PA5-27081	Old	ACVRL1	0.12867
AGID00186	1198	ab88574	Old	ADAR1	0.23239
AGID00146	1084	4691	Old	AKT	0.13804
AGID00028	230	9271	Old	AKT_pS473	-0.72907
AGID00170	1154	2965	Old	AKT_pT308	-0.15345
AGID00316	1800	3063	Set172	Akt2	0.5610014
AGID00347	2009	8599	Set172	Akt2_pS474	0.2206361
AGID02215	2577	ab195377	Set172	ALKBH5	-0.02911685
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	-0.0281198
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	0.0706349
AGID00006	39	2532	Old	AMPKALPHA	1.3791
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.27095
AGID00193	1208	610066	Old	ANNEXIN1	-1.4414
AGID00166	1142	610668	Old	ANNEXINVII	0.080226
AGID00371	756	1852-1/ab52615	Old	AR	-0.46144
AGID00194	1217	4432	Old	ARAF	0.97972
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.13859
AGID00260	1053	sc-32761	Old	ARID1A	0.065532
AGID00264	1560	HPA029318	Old	ASNS	1.1848
AGID00276	1612	3415	Set172	Atg3	0.7092091
AGID00309	1775	13507	Set172	Atg4B	0.2078635
AGID00310	1776	12994	Set172	Atg5	0.2347405
AGID00277	1613	8558	Set172	Atg7	0.7754443
AGID00242	1363	2873	Old	ATM	-1.2131
AGID02142	2447	13050	Set172	ATM_pS1981	-0.3309734
AGID00217	1289	ab14748	Set172	ATP5A	2.298708
AGID02145	2451	PA5-43776	Set172	ATP5H	-0.1605042
AGID02150	2456	13934	Set172	ATR	0.2873233
AGID00315	1795	ab178407	Set172	ATR_pS428	0.3436767
AGID00268	1569	ab97508	Set172	ATRX	-0.828522
AGID00391	2332	14475	Set172	Aurora-A	-0.7986288
AGID00392	2333	2914	Set172	Aurora-ABC_pT288_pT232_pT198	-0.3653475
AGID02195	2512	MA5-27890	Set172	Aurora-B	0.3795255
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set172	b-Actin	-0.3855075
AGID00179	1170	9565	Set172	b-Catenin_pT41_S45	-0.7829327
AGID00301	1725	14058	Set172	B7-H3	-0.5107654
AGID00302	1726	14572	Set172	B7-H4	-0.03486967
AGID00008	63	9291	Old	BAD_pS112	-0.60839
AGID00009	71	1542-1/ab32371	Old	BAK	0.44424
AGID00192	1207	sc-28383	Old	BAP1C4	-0.22407
AGID00010	73	2772	Old	BAX	-0.32912
AGID00433	80	M0887	Old	BCL2	0.47888
AGID00219	1299	PAB8528	Old	BCL2A1	0.15091
AGID00012	84	1018-1	Old	BCLXL	-0.04661
AGID00377	87	sc-10086	Old	BECLIN	0.17188
AGID00011	75	9562	Old	BETACATENIN	-0.11544
AGID00013	88	1008-1/ab32060	Old	BID	-0.17869
AGID00180	90	1036-1/ab32158	Old	BIM	-0.13857
AGID00221	1311	610978	Set172	BiP-GRP78	-0.1704007
AGID00373	2194	07-507	Set172	BMK1-Erk5_pT218_Y220	0.1250343
AGID00355	92	1647/ab33899	Old	BRAF	0.84034
AGID00014	94	2696	Old	BRAF_pS445	0.75112
AGID00445	761	9012	Old	BRCA2	0.049475
AGID00266	1567	13440	Old	BRD4	-0.56817
AGID00168	1146	2865	Set172	c-Abl_pY412	-0.2728877
AGID00278	1615	3130	Set172	c-IAP2	0.1069679
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.063727
AGID00429	2407	2679	Set172	Calnexin	-0.1697861
AGID00176	1165	9496	Set172	Caspase-8-cleaved	-0.9238973
AGID00623	111	9665	Old	CASPASE3	-0.069743
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.76949
AGID00118	951	9746	Old	CASPASE8	0.36878
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.83989
AGID00358	2100	ab76000	Set172	CD134	-0.01114034
AGID00303	1737	826701	Set172	CD171	0.1474055
AGID00410	125	1632-1/ab78237	Old	CD20	-0.12503
AGID00220	1308	ab28340	Old	CD26	0.056153
AGID00191	1206	610467	Set172	CD29	0.006440584
AGID00017	127	M0823	Old	CD31	0.24714
AGID00369	2174	ab108403	Set172	CD38	0.3236193
AGID00359	2104	ab133616	Set172	CD4	-1.361603
AGID00411	1398	3570	Set172	CD44	-1.057889
AGID00237	1352	M070101-2	Set172	CD45	-0.2094976
AGID00115	937	611016	Old	CD49B	0.066722
AGID02171	2482	91882	Set172	CD86	0.04058378
AGID00329	1873	4688	Set172	cdc25C	-0.1903465
AGID00227	1332	4651	Set172	Cdc42	-0.2742993
AGID00422	2396	3387	Set172	Cdc6	-0.4352616
AGID00501	1007	9112	Old	CDK1	-0.26376
AGID00293	1658	ab32384	Set172	CDK1_pT14	-0.702975
AGID00314	1783	4539	Old	CDK1_pY15	-0.42204
AGID00423	2397	8064	Set172	CDT1	-0.7878639
AGID02101	2348	15102	Set172	cGAS	0.2826363
AGID00447	2410	13460	Set172	CHD1L	0.6431878
AGID00189	1203	2360	Old	CHK1	-0.4799
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.0087559
AGID00107	903	2348	Old	CHK1_pS345	0.079308
AGID00018	146	3440	Old	CHK2	0.10358
AGID00019	147	2197	Old	CHK2_pT68	0.48387
AGID00527	2078	4952	Old	CIAP	0.74715
AGID00350	2018	3793	Set172	CIITA	0.1910993
AGID00434	155	9164	Old	CJUN_pS73	-0.27333
AGID00020	157	1522-1/ab32363	Old	CKIT	4.0046
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.2125
AGID00466	726	3127	Old	CMET	0.71555
AGID00079	727	3129	Old	CMET_pY1235	0.17931
AGID00167	161	9402	Old	CMYC	0.96668
AGID00292	1656	11130-1-AP	Old	COG3	-0.061267
AGID00021	171	sc-20649	Old	COLLAGENVI	0.33501
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set172	Connexin-43	-1.471091
AGID00269	1571	6434	Set172	Coup-TFII	-1.028884
AGID00150	1116	4850	Set172	Cox-IV	1.724524
AGID00195	1218	4842	Set172	Cox2	1.168702
AGID00188	803	05-739	Old	CRAF	0.092939
AGID00022	179	9427	Old	CRAF_pS338	0.016125
AGID00023	181	9197	Set172	Creb	-0.6070286
AGID00393	2334	9198	Set172	CREB_pS133	-0.7708773
AGID00365	2155	4980	Set172	CSK	-0.5279524
AGID00367	2160	9201	Set172	CtIP	0.07988346
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set172	Cyclin-D3	-0.2411863
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.3943
AGID00382	194	sc-718	Old	CYCLIND1	0.10918
AGID00437	199	sc-25303	Old	CYCLINE1	-0.44917
AGID00449	202	1142-1	Old	CYCLINE2	-0.47641
AGID00209	1257	ab110324	Set172	Cyclophilin-F	3.110846
AGID00247	1379	ab48389	Set172	D-a-Tubulin	-0.2380971
AGID00308	1770	GTX10524	Set172	DAPK1_pS308	0.09037269
AGID00304	1744	ab51601	Set172	DAPK2	0.2747657
AGID00343	1980	6998	Set172	DDB-1	0.5166369
AGID00427	2402	5583	Set172	DDR1	-0.08666348
AGID00428	2403	SAB4504671	Set172	DDR1_pY513	0.2277494
AGID00532	1273	Bast Lab	Old	DIRAS3	0.0092033
AGID00104	891	ab76008	Old	DJ1	0.10175
AGID02146	2452	4658	Set172	DM-Histone-H3	-0.5473907
AGID00386	1397	ab32521	Set172	DM-K9-Histone-H3	-0.1217108
AGID00352	2030	14649	Set172	DNA-Ligase-IV	0.634065
AGID00407	2371	13609	Set172	DNA_POLG	-0.4272232
AGID00399	2344	5032	Set172	DNMT1	-1.505539
AGID00409	2373	5391	Set172	DRP1	1.822513
AGID00253	1406	5149	Old	DUSP4	-0.338
AGID00334	1936	ab76310	Set172	DUSP6	0.2496079
AGID00116	940	3218	Old	DVL3	-0.70318
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.28994
AGID00135	1060	2332	Old	EEF2	-0.71571
AGID00136	1061	3692	Old	EEF2K	-1.5585
AGID00152	1120	2232	Old	EGFR	-0.54033
AGID00450	217	2234	Old	EGFR_pY1068	-0.20609
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.086579
AGID00078	722	9742	Old	EIF4E	0.13318
AGID00328	1871	ab76256	Set172	eIF4E_pS209	0.01726342
AGID00154	1124	2498	Old	EIF4G	0.15916
AGID00027	228	9181	Set172	Elk1_pS383	-0.7359846
AGID00235	1350	M061329-2	Set172	EMA	0.4056436
AGID00394	2337	3810	Set172	Enolase-1	-0.304289
AGID00395	2338	8171	Set172	Enolase-2	-0.1240195
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set172	EphA2	-0.7264121
AGID00552	2422	6347	Set172	EphA2_pS897	-0.6785218
AGID00553	2423	12677	Set172	EphA2_pY588	-0.6211232
AGID00075	693	556347	Old	EPPK1	-1.52
AGID00335	238	RM-9101	Old	ERALPHA	-1.4011
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	1.1288
AGID00240	247	MS-671	Old	ERCC1	-0.40144
AGID00239	1355	11331-1-AP	Old	ERCC5	0.41828
AGID00484	249	sc-154	Old	ERK2	-0.47947
AGID00372	2193	3552	Set172	Erk5	-0.8734302
AGID00405	2369	13826	Set172	ERRalpha	1.018908
AGID00187	1200	A303-501A	Old	ETS1	-0.11405
AGID00511	2492	2593	Set172	EVI1	1.280458
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set172	FAK	-0.5179443
AGID02151	2457	8556	Set172	FAK_pY397	-0.168149
AGID00171	1156	3180	Old	FASN	-2.6919
AGID00356	2085	500-P18/10775-082	Set172	FGF-basic	0.2103852
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.068453
AGID00339	1959	4403	Set172	FN14	0.002415239
AGID02152	2458	20459	Old	FOXM1	-0.34492
AGID00378	269	9467	Old	FOXO3A	0.21254
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.30581
AGID02167	2475	PA5-64616	Set172	FRS2-alpha_pY196	-0.4279974
AGID02213	2575	ab124892	Set172	FTO	0.1052356
AGID02141	2446	12263	Old	G6PD	0.15785
AGID00117	943	3239	Old	GAB2	1.3306
AGID00412	274	AM4300	Old	GAPDH	0.42489
AGID00086	764	558686	Old	GATA3	-0.51886
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set172	GCLC	1.035262
AGID00305	1745	ab124827	Set172	GCLM	0.3460535
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set172	Gli1	0.04397617
AGID00263	1520	ab69838	Set172	Gli3	-0.4999511
AGID00548	2530	3660	Set172	Glucocorticoid-Receptor	0.3231469
AGID00387	1617	12793	Set172	Glutamate-D1-2	1.813233
AGID00262	1491	ab156876	Set172	Glutaminase	0.4857282
AGID00319	1807	4275	Set172	Granzyme-B	-0.2158105
AGID00368	2169	ab183737	Set172	GRB7	-0.08340901
AGID00396	2339	3593	Set172	Grp75	4.21894
AGID00174	1163	9315	Set172	GSK-3B	-0.04662041
AGID00502	1082	9336	Old	GSK3_pS9	-0.57815
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	0.0068771
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	-0.4219
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set172	H2AX_pS139	-0.06236067
AGID00363	1409	MA1-2022	Set172	H2AX_pS140	0.5603676
AGID00131	1038	MS-325-P1	Old	HER2	0.037707
AGID00142	299	06-229	Old	HER2_pY1248	0.17902
AGID00110	911	sc-285	Old	HER3	-0.39487
