AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.15965
AGID00111	913	sc-23957	Old	1433EPSILON	-0.25666
AGID00101	883	sc-1019	Old	1433ZETA	-0.44613
AGID00001	2	9452	Old	4EBP1	-1.0313
AGID00002	3	9456	Old	4EBP1_pS65	-0.12946
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.10198
AGID00443	8	9455	Old	4EBP1_pT70	-0.13688
AGID00120	985	4937	Old	53BP1	-0.8001
AGID00004	13	3661	Old	ACC_pS79	-0.26861
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.56429
AGID00408	2372	3658	Set165	AceCS1	0.8912155
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.6548
AGID00404	2367	9189	Set165	ACSL1	0.0316022
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.025367
AGID00186	1198	ab88574	Old	ADAR1	-0.46364
AGID00146	1084	4691	Old	AKT	0.13691
AGID00028	230	9271	Old	AKT_pS473	0.46758
AGID00170	1154	2965	Old	AKT_pT308	0.36106
AGID00316	1800	3063	Set165	Akt2	0.01459902
AGID00347	2009	8599	Set165	Akt2_pS474	1.6931
AGID02215	2577	ab195377	Set165	ALKBH5	-0.856247
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	-0.1809843
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.2975003
AGID00006	39	2532	Old	AMPKALPHA	0.048829
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.21237
AGID00193	1208	610066	Old	ANNEXIN1	0.95315
AGID00166	1142	610668	Old	ANNEXINVII	-0.27433
AGID00371	756	1852-1/ab52615	Old	AR	-0.35843
AGID00194	1217	4432	Old	ARAF	-0.21672
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.29382
AGID00260	1053	sc-32761	Old	ARID1A	-0.33057
AGID00264	1560	HPA029318	Old	ASNS	0.14124
AGID00276	1612	3415	Set165	Atg3	0.3213548
AGID00309	1775	13507	Set165	Atg4B	0.0330985
AGID00310	1776	12994	Set165	Atg5	-0.3853817
AGID00277	1613	8558	Set165	Atg7	0.3509675
AGID00242	1363	2873	Old	ATM	-0.48599
AGID02142	2447	13050	Set165	ATM_pS1981	2.030899
AGID00217	1289	ab14748	Set165	ATP5A	-0.02770215
AGID02145	2451	PA5-43776	Set165	ATP5H	0.161772
AGID02150	2456	13934	Set165	ATR	-0.1898604
AGID00315	1795	ab178407	Set165	ATR_pS428	-0.2833969
AGID00268	1569	ab97508	Set165	ATRX	-0.5358446
AGID00391	2332	14475	Set165	Aurora-A	-1.303824
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	-0.6630326
AGID02195	2512	MA5-27890	Set165	Aurora-B	-0.5714863
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set165	b-Actin	0.4220412
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.3343161
AGID00301	1725	14058	Set165	B7-H3	-0.4135152
AGID00302	1726	14572	Set165	B7-H4	-0.1089886
AGID00008	63	9291	Old	BAD_pS112	0.25513
AGID00009	71	1542-1/ab32371	Old	BAK	-0.26186
AGID00192	1207	sc-28383	Old	BAP1C4	-0.82091
AGID00010	73	2772	Old	BAX	-0.31463
AGID00433	80	M0887	Old	BCL2	-0.2225
AGID00219	1299	PAB8528	Old	BCL2A1	0.069139
AGID00012	84	1018-1	Old	BCLXL	0.38048
AGID00377	87	sc-10086	Old	BECLIN	-0.0069048
AGID00011	75	9562	Old	BETACATENIN	0.57563
AGID00013	88	1008-1/ab32060	Old	BID	0.1881
AGID00180	90	1036-1/ab32158	Old	BIM	-0.44882
AGID00221	1311	610978	Set165	BiP-GRP78	-0.1886395
AGID00373	2194	07-507	Set165	BMK1-Erk5_pT218_Y220	-0.3205197
AGID00355	92	1647/ab33899	Old	BRAF	-0.45383
AGID00014	94	2696	Old	BRAF_pS445	0.063515
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	-1.3786
AGID00168	1146	2865	Set165	c-Abl_pY412	0.5395996
AGID00278	1615	3130	Set165	c-IAP2	0.6093966
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.072182
AGID00429	2407	2679	Set165	Calnexin	-0.0908753
AGID00176	1165	9496	Set165	Caspase-8-cleaved	-0.3249851
AGID00623	111	9665	Old	CASPASE3	-0.60299
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.46012
AGID00118	951	9746	Old	CASPASE8	0.94219
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	3.97
AGID00358	2100	ab76000	Set165	CD134	0.1772748
AGID00303	1737	826701	Set165	CD171	0.3661808
AGID00410	125	1632-1/ab78237	Old	CD20	-0.23335
AGID00220	1308	ab28340	Old	CD26	0.050549
AGID00191	1206	610467	Set165	CD29	0.05660355
AGID00017	127	M0823	Old	CD31	0.22428
AGID00369	2174	ab108403	Set165	CD38	0.212812
AGID00359	2104	ab133616	Set165	CD4	0.3837202
AGID00411	1398	3570	Set165	CD44	0.5459318
AGID00237	1352	M070101-2	Set165	CD45	0.7866305
AGID00115	937	611016	Old	CD49B	0.040503
AGID02171	2482	91882	Set165	CD86	0.2573299
AGID00329	1873	4688	Set165	cdc25C	-0.6553199
