AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.10091
AGID00111	913	sc-23957	Old	1433EPSILON	-0.11181
AGID00101	883	sc-1019	Old	1433ZETA	-0.42264
AGID00001	2	9452	Old	4EBP1	0.66547
AGID00002	3	9456	Old	4EBP1_pS65	0.18678
AGID00003	6	9459	Old	4EBP1_pT37T46	0.45453
AGID00443	8	9455	Old	4EBP1_pT70	0.23793
AGID00120	985	4937	Old	53BP1	-0.18457
AGID00004	13	3661	Old	ACC_pS79	0.58866
AGID00005	14	1768-1/ab45174	Old	ACC1	0.55243
AGID00408	2372	3658	Set181	AceCS1	1.3097
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.025675
AGID00404	2367	9189	Set181	ACSL1	-0.3962167
AGID02144	2450	PA5-27081	Old	ACVRL1	0.03292
AGID00186	1198	ab88574	Old	ADAR1	-0.12902
AGID00146	1084	4691	Old	AKT	-0.42946
AGID00028	230	9271	Old	AKT_pS473	-0.72258
AGID00170	1154	2965	Old	AKT_pT308	-1.3209
AGID00316	1800	3063	Set181	Akt2	0.2048497
AGID00347	2009	8599	Set181	Akt2_pS474	3.795099
AGID02215	2577	ab195377	Set181	ALKBH5	0.8792796
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	-0.08477299
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.7082374
AGID00006	39	2532	Old	AMPKALPHA	0.0086909
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.064553
AGID00193	1208	610066	Old	ANNEXIN1	-1.8915
AGID00166	1142	610668	Old	ANNEXINVII	-0.40622
AGID00371	756	1852-1/ab52615	Old	AR	-0.2721
AGID00194	1217	4432	Old	ARAF	-0.079328
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.27684
AGID00260	1053	sc-32761	Old	ARID1A	0.42691
AGID00264	1560	HPA029318	Old	ASNS	0.9272
AGID00276	1612	3415	Set181	Atg3	0.411245
AGID00309	1775	13507	Set181	Atg4B	-0.02959468
AGID00310	1776	12994	Set181	Atg5	-0.7476441
AGID00277	1613	8558	Set181	Atg7	-0.9874349
AGID00242	1363	2873	Old	ATM	1.1187
AGID02142	2447	13050	Set181	ATM_pS1981	4.263941
AGID00217	1289	ab14748	Set181	ATP5A	0.327954
AGID02145	2451	PA5-43776	Set181	ATP5H	-0.4595577
AGID02150	2456	13934	Set181	ATR	-0.1696666
AGID00315	1795	ab178407	Set181	ATR_pS428	-0.1404334
AGID00268	1569	ab97508	Set181	ATRX	0.4700154
AGID00391	2332	14475	Set181	Aurora-A	0.08687178
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.1790399
AGID02195	2512	MA5-27890	Set181	Aurora-B	1.894372
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	0.4287248
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	0.8978626
AGID00301	1725	14058	Set181	B7-H3	0.6705844
AGID00302	1726	14572	Set181	B7-H4	0.3057342
AGID00008	63	9291	Old	BAD_pS112	0.13755
AGID00009	71	1542-1/ab32371	Old	BAK	0.29458
AGID00192	1207	sc-28383	Old	BAP1C4	0.40447
AGID00010	73	2772	Old	BAX	-0.82215
AGID00433	80	M0887	Old	BCL2	-0.19427
AGID00219	1299	PAB8528	Old	BCL2A1	0.02531
AGID00012	84	1018-1	Old	BCLXL	-0.39047
AGID00377	87	sc-10086	Old	BECLIN	0.015027
AGID00011	75	9562	Old	BETACATENIN	-1.2815
