AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.43023
AGID00111	913	sc-23957	Old	1433EPSILON	-0.20774
AGID00101	883	sc-1019	Old	1433ZETA	-0.4998
AGID00001	2	9452	Old	4EBP1	-0.0797
AGID00002	3	9456	Old	4EBP1_pS65	-0.22864
AGID00003	6	9459	Old	4EBP1_pT37T46	0.059245
AGID00443	8	9455	Old	4EBP1_pT70	0.28582
AGID00120	985	4937	Old	53BP1	-0.32846
AGID00004	13	3661	Old	ACC_pS79	-0.078319
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.17846
AGID00408	2372	3658	Set166	AceCS1	0.8359062
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.90097
AGID00404	2367	9189	Set166	ACSL1	-0.7823464
AGID02144	2450	PA5-27081	Old	ACVRL1	0.46977
AGID00186	1198	ab88574	Old	ADAR1	-0.77172
AGID00146	1084	4691	Old	AKT	-1.1513
AGID00028	230	9271	Old	AKT_pS473	-0.69034
AGID00170	1154	2965	Old	AKT_pT308	-0.41944
AGID00316	1800	3063	Set166	Akt2	-0.8962729
AGID00347	2009	8599	Set166	Akt2_pS474	2.84956
AGID02215	2577	ab195377	Set166	ALKBH5	-0.6074771
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set166	Ambra1_pS52	0.03845672
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.4709249
AGID00006	39	2532	Old	AMPKALPHA	-0.36265
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.34423
AGID00193	1208	610066	Old	ANNEXIN1	-1.6104
AGID00166	1142	610668	Old	ANNEXINVII	-0.35172
AGID00371	756	1852-1/ab52615	Old	AR	-0.97864
AGID00194	1217	4432	Old	ARAF	0.23778
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.027249
AGID00260	1053	sc-32761	Old	ARID1A	-0.056247
AGID00264	1560	HPA029318	Old	ASNS	0.4604
AGID00276	1612	3415	Set166	Atg3	-0.1074838
AGID00309	1775	13507	Set166	Atg4B	-0.06324555
AGID00310	1776	12994	Set166	Atg5	-0.3336238
AGID00277	1613	8558	Set166	Atg7	-1.280263
AGID00242	1363	2873	Old	ATM	-0.46415
AGID02142	2447	13050	Set166	ATM_pS1981	6.560805
AGID00217	1289	ab14748	Set166	ATP5A	0.178246
AGID02145	2451	PA5-43776	Set166	ATP5H	0.2103279
AGID02150	2456	13934	Set166	ATR	0.230929
AGID00315	1795	ab178407	Set166	ATR_pS428	0.260832
AGID00268	1569	ab97508	Set166	ATRX	-0.1900977
AGID00391	2332	14475	Set166	Aurora-A	0.4779678
AGID00392	2333	2914	Set166	Aurora-ABC_pT288_pT232_pT198	0.1599057
AGID02195	2512	MA5-27890	Set166	Aurora-B	-0.3284993
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set166	b-Actin	-0.3097522
AGID00179	1170	9565	Set166	b-Catenin_pT41_S45	-0.3731905
AGID00301	1725	14058	Set166	B7-H3	-1.667976
AGID00302	1726	14572	Set166	B7-H4	0.1534074
AGID00008	63	9291	Old	BAD_pS112	-0.34361
AGID00009	71	1542-1/ab32371	Old	BAK	0.87495
AGID00192	1207	sc-28383	Old	BAP1C4	-0.10599
