AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.051207
AGID00111	913	sc-23957	Old	1433EPSILON	0.13639
AGID00101	883	sc-1019	Old	1433ZETA	-0.75153
AGID00001	2	9452	Old	4EBP1	-0.46621
AGID00002	3	9456	Old	4EBP1_pS65	-0.40491
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.55334
AGID00443	8	9455	Old	4EBP1_pT70	-0.14742
AGID00120	985	4937	Old	53BP1	-0.099045
AGID00004	13	3661	Old	ACC_pS79	0.13801
AGID00005	14	1768-1/ab45174	Old	ACC1	0.015279
AGID00408	2372	3658	Set181	AceCS1	2.110101
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.0342
AGID00404	2367	9189	Set181	ACSL1	0.6124716
AGID02144	2450	PA5-27081	Old	ACVRL1	0.16038
AGID00186	1198	ab88574	Old	ADAR1	-0.21475
AGID00146	1084	4691	Old	AKT	0.31127
AGID00028	230	9271	Old	AKT_pS473	0.30896
AGID00170	1154	2965	Old	AKT_pT308	-0.089511
AGID00316	1800	3063	Set181	Akt2	0.3448797
AGID00347	2009	8599	Set181	Akt2_pS474	-0.05890141
AGID02215	2577	ab195377	Set181	ALKBH5	-0.6425331
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	0.08359377
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.1786034
AGID00006	39	2532	Old	AMPKALPHA	-0.23164
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.53967
AGID00193	1208	610066	Old	ANNEXIN1	0.031279
AGID00166	1142	610668	Old	ANNEXINVII	0.53351
AGID00371	756	1852-1/ab52615	Old	AR	-0.089199
AGID00194	1217	4432	Old	ARAF	0.37379
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.66192
AGID00260	1053	sc-32761	Old	ARID1A	0.13145
AGID00264	1560	HPA029318	Old	ASNS	-0.30381
AGID00276	1612	3415	Set181	Atg3	-0.06632962
AGID00309	1775	13507	Set181	Atg4B	0.05884939
AGID00310	1776	12994	Set181	Atg5	-0.4484227
AGID00277	1613	8558	Set181	Atg7	-0.4574887
AGID00242	1363	2873	Old	ATM	0.41103
AGID02142	2447	13050	Set181	ATM_pS1981	0.346131
AGID00217	1289	ab14748	Set181	ATP5A	2.151594
AGID02145	2451	PA5-43776	Set181	ATP5H	-0.1826254
AGID02150	2456	13934	Set181	ATR	-0.3055151
AGID00315	1795	ab178407	Set181	ATR_pS428	0.1795443
AGID00268	1569	ab97508	Set181	ATRX	0.6982406
AGID00391	2332	14475	Set181	Aurora-A	0.2957015
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.2654645
AGID02195	2512	MA5-27890	Set181	Aurora-B	-0.1807468
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	-0.3911448
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	0.1293233
AGID00301	1725	14058	Set181	B7-H3	0.4571764
AGID00302	1726	14572	Set181	B7-H4	-0.3690082
AGID00008	63	9291	Old	BAD_pS112	-0.019477
AGID00009	71	1542-1/ab32371	Old	BAK	0.95069
AGID00192	1207	sc-28383	Old	BAP1C4	-0.050852
AGID00010	73	2772	Old	BAX	-0.22938
AGID00433	80	M0887	Old	BCL2	-0.26084
AGID00219	1299	PAB8528	Old	BCL2A1	0.082687
AGID00012	84	1018-1	Old	BCLXL	-0.28364
AGID00377	87	sc-10086	Old	BECLIN	0.37239
AGID00011	75	9562	Old	BETACATENIN	-0.46446
AGID00013	88	1008-1/ab32060	Old	BID	-0.24725
AGID00180	90	1036-1/ab32158	Old	BIM	-0.38634
AGID00221	1311	610978	Set181	BiP-GRP78	0.1316061
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	0.1231301
AGID00355	92	1647/ab33899	Old	BRAF	0.22607
AGID00014	94	2696	Old	BRAF_pS445	0.14565
AGID00445	761	9012	Old	BRCA2	-0.0426
AGID00266	1567	13440	Old	BRD4	0.2224
AGID00168	1146	2865	Set181	c-Abl_pY412	-0.1091344
AGID00278	1615	3130	Set181	c-IAP2	-0.1750082
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.12928
AGID00429	2407	2679	Set181	Calnexin	0.5915719
AGID00176	1165	9496	Set181	Caspase-8-cleaved	-0.06343303
AGID00623	111	9665	Old	CASPASE3	-0.29973
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.83416
AGID00118	951	9746	Old	CASPASE8	-0.14569
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.1869
AGID00358	2100	ab76000	Set181	CD134	-0.3732256
AGID00303	1737	826701	Set181	CD171	-0.6525394
AGID00410	125	1632-1/ab78237	Old	CD20	0.018575
AGID00220	1308	ab28340	Old	CD26	-0.14668
AGID00191	1206	610467	Set181	CD29	0.2928419
AGID00017	127	M0823	Old	CD31	0.45039
AGID00369	2174	ab108403	Set181	CD38	-0.2087502
AGID00359	2104	ab133616	Set181	CD4	-0.742773
AGID00411	1398	3570	Set181	CD44	-0.533614
