AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.28821
AGID00111	913	sc-23957	Old	1433EPSILON	0.43898
AGID00101	883	sc-1019	Old	1433ZETA	-0.74174
AGID00001	2	9452	Old	4EBP1	-0.18838
AGID00002	3	9456	Old	4EBP1_pS65	-0.30163
AGID00003	6	9459	Old	4EBP1_pT37T46	0.32113
AGID00443	8	9455	Old	4EBP1_pT70	0.22022
AGID00120	985	4937	Old	53BP1	-0.33855
AGID00004	13	3661	Old	ACC_pS79	-0.499
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.77172
AGID00408	2372	3658	Set179	AceCS1	0.6676016
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.22203
AGID00404	2367	9189	Set179	ACSL1	0.5841278
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.064786
AGID00186	1198	ab88574	Old	ADAR1	0.71645
AGID00146	1084	4691	Old	AKT	-0.49986
AGID00028	230	9271	Old	AKT_pS473	-1.189
AGID00170	1154	2965	Old	AKT_pT308	-0.73896
AGID00316	1800	3063	Set179	Akt2	0.3956364
AGID00347	2009	8599	Set179	Akt2_pS474	0.5885539
AGID02215	2577	ab195377	Set179	ALKBH5	0.8735123
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	0.09805943
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.2278538
AGID00006	39	2532	Old	AMPKALPHA	-0.13966
AGID00007	40	2535	Old	AMPKALPHA_pT172	1.0616
AGID00193	1208	610066	Old	ANNEXIN1	-0.55204
AGID00166	1142	610668	Old	ANNEXINVII	0.10434
AGID00371	756	1852-1/ab52615	Old	AR	0.045802
AGID00194	1217	4432	Old	ARAF	0.3101
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.17761
AGID00260	1053	sc-32761	Old	ARID1A	0.37664
AGID00264	1560	HPA029318	Old	ASNS	-1.0439
AGID00276	1612	3415	Set179	Atg3	0.7287511
AGID00309	1775	13507	Set179	Atg4B	-0.3943579
AGID00310	1776	12994	Set179	Atg5	0.06789758
AGID00277	1613	8558	Set179	Atg7	0.898926
AGID00242	1363	2873	Old	ATM	0.63096
AGID02142	2447	13050	Set179	ATM_pS1981	2.910456
AGID00217	1289	ab14748	Set179	ATP5A	0.4647684
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.5336943
AGID02150	2456	13934	Set179	ATR	-0.01633228
AGID00315	1795	ab178407	Set179	ATR_pS428	0.0728965
AGID00268	1569	ab97508	Set179	ATRX	-1.457071
AGID00391	2332	14475	Set179	Aurora-A	0.5741795
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.1663484
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.6599171
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.2526975
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.2004952
AGID00301	1725	14058	Set179	B7-H3	-0.7431943
AGID00302	1726	14572	Set179	B7-H4	-0.4029154
AGID00008	63	9291	Old	BAD_pS112	0.77948
AGID00009	71	1542-1/ab32371	Old	BAK	0.29448
AGID00192	1207	sc-28383	Old	BAP1C4	0.38508
AGID00010	73	2772	Old	BAX	0.00017472
AGID00433	80	M0887	Old	BCL2	0.79723
AGID00219	1299	PAB8528	Old	BCL2A1	-0.064943
AGID00012	84	1018-1	Old	BCLXL	-0.50678
AGID00377	87	sc-10086	Old	BECLIN	0.36257
AGID00011	75	9562	Old	BETACATENIN	-1.5611
AGID00013	88	1008-1/ab32060	Old	BID	-0.40944
AGID00180	90	1036-1/ab32158	Old	BIM	1.771
AGID00221	1311	610978	Set179	BiP-GRP78	-0.1371247
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.1610223
AGID00355	92	1647/ab33899	Old	BRAF	-0.22809
AGID00014	94	2696	Old	BRAF_pS445	-0.19493
AGID00445	761	9012	Old	BRCA2	-0.47706
AGID00266	1567	13440	Old	BRD4	0.49561
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.1667743
AGID00278	1615	3130	Set179	c-IAP2	-0.3197931
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.27846
AGID00429	2407	2679	Set179	Calnexin	0.211759
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.3636762
AGID00623	111	9665	Old	CASPASE3	0.24118
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.75854
AGID00118	951	9746	Old	CASPASE8	-0.4886
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.5497
AGID00358	2100	ab76000	Set179	CD134	-0.5667509
AGID00303	1737	826701	Set179	CD171	-0.9129746
AGID00410	125	1632-1/ab78237	Old	CD20	0.19269
AGID00220	1308	ab28340	Old	CD26	-0.29605
AGID00191	1206	610467	Set179	CD29	-0.3610999
AGID00017	127	M0823	Old	CD31	0.13572
AGID00369	2174	ab108403	Set179	CD38	-0.3871311
AGID00359	2104	ab133616	Set179	CD4	-0.02546873
AGID00411	1398	3570	Set179	CD44	-0.3610495
AGID00237	1352	M070101-2	Set179	CD45	-0.1870493
AGID00115	937	611016	Old	CD49B	-0.55615
AGID02171	2482	91882	Set179	CD86	-0.04971044
AGID00329	1873	4688	Set179	cdc25C	0.5746395
AGID00227	1332	4651	Set179	Cdc42	0.2346818
AGID00422	2396	3387	Set179	Cdc6	-0.06565806
AGID00501	1007	9112	Old	CDK1	0.32771
AGID00293	1658	ab32384	Set179	CDK1_pT14	1.200437
AGID00314	1783	4539	Old	CDK1_pY15	0.94637
AGID00423	2397	8064	Set179	CDT1	-0.106126
AGID02101	2348	15102	Set179	cGAS	0.1347473
AGID00447	2410	13460	Set179	CHD1L	0.4464009
AGID00189	1203	2360	Old	CHK1	-0.26753
AGID00234	1348	ab79758	Old	CHK1_pS296	0.14791
AGID00107	903	2348	Old	CHK1_pS345	-0.0095865
AGID00018	146	3440	Old	CHK2	0.074102
AGID00019	147	2197	Old	CHK2_pT68	0.67162
AGID00527	2078	4952	Old	CIAP	0.050057
AGID00350	2018	3793	Set179	CIITA	0.161765
AGID00434	155	9164	Old	CJUN_pS73	0.65603
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.18268
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.3538
AGID00466	726	3127	Old	CMET	-0.33348
AGID00079	727	3129	Old	CMET_pY1235	0.16148
AGID00167	161	9402	Old	CMYC	-0.36082
AGID00292	1656	11130-1-AP	Old	COG3	0.081905
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.42052
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	0.1944722
AGID00269	1571	6434	Set179	Coup-TFII	0.09717735
AGID00150	1116	4850	Set179	Cox-IV	-0.5561478
AGID00195	1218	4842	Set179	Cox2	-0.1543012
AGID00188	803	05-739	Old	CRAF	0.58553
AGID00022	179	9427	Old	CRAF_pS338	-0.12601
AGID00023	181	9197	Set179	Creb	-0.3638554
AGID00393	2334	9198	Set179	CREB_pS133	0.8061549
AGID00365	2155	4980	Set179	CSK	0.6017343
AGID00367	2160	9201	Set179	CtIP	0.1655478
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	-0.1716159
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.97345
AGID00382	194	sc-718	Old	CYCLIND1	-0.26082
AGID00437	199	sc-25303	Old	CYCLINE1	0.9214
AGID00449	202	1142-1	Old	CYCLINE2	0.45676
AGID00209	1257	ab110324	Set179	Cyclophilin-F	-0.4780088
AGID00247	1379	ab48389	Set179	D-a-Tubulin	0.01763388
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	1.215253
AGID00304	1744	ab51601	Set179	DAPK2	-0.1722879
AGID00343	1980	6998	Set179	DDB-1	0.8043589
AGID00427	2402	5583	Set179	DDR1	-1.237219
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	0.2015348
AGID00532	1273	Bast Lab	Old	DIRAS3	0.08971
AGID00104	891	ab76008	Old	DJ1	-0.1788
AGID02146	2452	4658	Set179	DM-Histone-H3	-0.2038021
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	0.1080937
AGID00352	2030	14649	Set179	DNA-Ligase-IV	0.7320311
AGID00407	2371	13609	Set179	DNA_POLG	-0.334307
AGID00399	2344	5032	Set179	DNMT1	1.525311
AGID00409	2373	5391	Set179	DRP1	0.4647589
AGID00253	1406	5149	Old	DUSP4	0.17458
AGID00334	1936	ab76310	Set179	DUSP6	0.9128874
AGID00116	940	3218	Old	DVL3	0.5724
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-3.6848
AGID00135	1060	2332	Old	EEF2	-1.0282
AGID00136	1061	3692	Old	EEF2K	-0.10297
AGID00152	1120	2232	Old	EGFR	0.60899
AGID00450	217	2234	Old	EGFR_pY1068	-0.032215
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.078639
AGID00078	722	9742	Old	EIF4E	-0.32593
AGID00328	1871	ab76256	Set179	eIF4E_pS209	-0.3276415
AGID00154	1124	2498	Old	EIF4G	-0.17241
AGID00027	228	9181	Set179	Elk1_pS383	-0.2448146
AGID00235	1350	M061329-2	Set179	EMA	-4.102393
AGID00394	2337	3810	Set179	Enolase-1	0.2108765
AGID00395	2338	8171	Set179	Enolase-2	-0.1303928
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set179	EphA2	-0.5780291
AGID00552	2422	6347	Set179	EphA2_pS897	-0.2462052
AGID00553	2423	12677	Set179	EphA2_pY588	-0.07396753
AGID00075	693	556347	Old	EPPK1	-2.415
AGID00335	238	RM-9101	Old	ERALPHA	-1.3925
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	0.14332
AGID00240	247	MS-671	Old	ERCC1	-0.12006
AGID00239	1355	11331-1-AP	Old	ERCC5	0.4768
AGID00484	249	sc-154	Old	ERK2	0.48174
AGID00372	2193	3552	Set179	Erk5	1.776284
AGID00405	2369	13826	Set179	ERRalpha	-0.1225665
AGID00187	1200	A303-501A	Old	ETS1	-0.68918
AGID00511	2492	2593	Set179	EVI1	0.2493015
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set179	FAK	-1.210327
AGID02151	2457	8556	Set179	FAK_pY397	-0.1244252
AGID00171	1156	3180	Old	FASN	-0.8338
AGID00356	2085	500-P18/10775-082	Set179	FGF-basic	-0.06939181
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.83338
AGID00339	1959	4403	Set179	FN14	0.1217961
AGID02152	2458	20459	Old	FOXM1	0.96322
AGID00378	269	9467	Old	FOXO3A	0.031128
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.30824
AGID02167	2475	PA5-64616	Set179	FRS2-alpha_pY196	-0.44953
AGID02213	2575	ab124892	Set179	FTO	0.6796082
AGID02141	2446	12263	Old	G6PD	0.094161
AGID00117	943	3239	Old	GAB2	-0.17516
AGID00412	274	AM4300	Old	GAPDH	-1.8336
AGID00086	764	558686	Old	GATA3	-0.91739
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set179	GCLC	0.2046039
AGID00305	1745	ab124827	Set179	GCLM	-0.2083602
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set179	Gli1	2.237068
