AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.13498
AGID00111	913	sc-23957	Old	1433EPSILON	-0.10557
AGID00101	883	sc-1019	Old	1433ZETA	0.89182
AGID00001	2	9452	Old	4EBP1	0.94143
AGID00002	3	9456	Old	4EBP1_pS65	-0.1131
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.43457
AGID00443	8	9455	Old	4EBP1_pT70	0.8173
AGID00120	985	4937	Old	53BP1	-1.3776
AGID00004	13	3661	Old	ACC_pS79	0.97143
AGID00005	14	1768-1/ab45174	Old	ACC1	1.9655
AGID00408	2372	3658	Set166	AceCS1	-0.583374
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.29284
AGID00404	2367	9189	Set166	ACSL1	-1.23784
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.0070585
AGID00186	1198	ab88574	Old	ADAR1	-2.0337
AGID00146	1084	4691	Old	AKT	-2.1509
AGID00028	230	9271	Old	AKT_pS473	0.01667
AGID00170	1154	2965	Old	AKT_pT308	0.59917
AGID00316	1800	3063	Set166	Akt2	-0.2799437
AGID00347	2009	8599	Set166	Akt2_pS474	1.033364
AGID02215	2577	ab195377	Set166	ALKBH5	0.188597
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set166	Ambra1_pS52	-0.1589271
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.2847637
AGID00006	39	2532	Old	AMPKALPHA	0.57789
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.37989
AGID00193	1208	610066	Old	ANNEXIN1	0.98804
AGID00166	1142	610668	Old	ANNEXINVII	-0.20967
AGID00371	756	1852-1/ab52615	Old	AR	0.2719
AGID00194	1217	4432	Old	ARAF	-0.38218
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.31522
AGID00260	1053	sc-32761	Old	ARID1A	-0.40612
AGID00264	1560	HPA029318	Old	ASNS	1.0904
AGID00276	1612	3415	Set166	Atg3	-0.1441709
AGID00309	1775	13507	Set166	Atg4B	0.04667859
AGID00310	1776	12994	Set166	Atg5	0.3660533
AGID00277	1613	8558	Set166	Atg7	-0.5638802
AGID00242	1363	2873	Old	ATM	-1.6604
AGID02142	2447	13050	Set166	ATM_pS1981	1.756455
AGID00217	1289	ab14748	Set166	ATP5A	-0.622349
AGID02145	2451	PA5-43776	Set166	ATP5H	-0.5375431
AGID02150	2456	13934	Set166	ATR	-0.1759115
AGID00315	1795	ab178407	Set166	ATR_pS428	0.1425088
AGID00268	1569	ab97508	Set166	ATRX	-1.862687
AGID00391	2332	14475	Set166	Aurora-A	-0.1459724
AGID00392	2333	2914	Set166	Aurora-ABC_pT288_pT232_pT198	-0.05092229
AGID02195	2512	MA5-27890	Set166	Aurora-B	-0.4354998
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set166	b-Actin	-0.548322
AGID00179	1170	9565	Set166	b-Catenin_pT41_S45	-0.9221359
AGID00301	1725	14058	Set166	B7-H3	0.2980768
AGID00302	1726	14572	Set166	B7-H4	0.6540812
AGID00008	63	9291	Old	BAD_pS112	-0.91546
AGID00009	71	1542-1/ab32371	Old	BAK	0.090944
AGID00192	1207	sc-28383	Old	BAP1C4	-1.6516
AGID00010	73	2772	Old	BAX	0.64587
AGID00433	80	M0887	Old	BCL2	-0.60541
AGID00219	1299	PAB8528	Old	BCL2A1	0.6124
AGID00012	84	1018-1	Old	BCLXL	0.31437
AGID00377	87	sc-10086	Old	BECLIN	0.14994
AGID00011	75	9562	Old	BETACATENIN	-3.7344
AGID00013	88	1008-1/ab32060	Old	BID	0.14495
AGID00180	90	1036-1/ab32158	Old	BIM	-0.0090469
AGID00221	1311	610978	Set166	BiP-GRP78	0.357926
AGID00373	2194	07-507	Set166	BMK1-Erk5_pT218_Y220	0.1804638
AGID00355	92	1647/ab33899	Old	BRAF	-3.0432
AGID00014	94	2696	Old	BRAF_pS445	0.019885
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	-1.2901
AGID00168	1146	2865	Set166	c-Abl_pY412	0.3405444
AGID00278	1615	3130	Set166	c-IAP2	-0.1881334
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.29383
AGID00429	2407	2679	Set166	Calnexin	-1.218435
AGID00176	1165	9496	Set166	Caspase-8-cleaved	-0.06592207
AGID00623	111	9665	Old	CASPASE3	0.49679
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	2.0903
AGID00118	951	9746	Old	CASPASE8	-0.56998
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.0438
AGID00358	2100	ab76000	Set166	CD134	-0.05163254
AGID00303	1737	826701	Set166	CD171	-0.9037437
AGID00410	125	1632-1/ab78237	Old	CD20	-0.16413
AGID00220	1308	ab28340	Old	CD26	-0.55923
AGID00191	1206	610467	Set166	CD29	0.4446313
AGID00017	127	M0823	Old	CD31	-0.012179
AGID00369	2174	ab108403	Set166	CD38	1.126703
AGID00359	2104	ab133616	Set166	CD4	1.222079
AGID00411	1398	3570	Set166	CD44	0.1818837
AGID00237	1352	M070101-2	Set166	CD45	0.05044435
AGID00115	937	611016	Old	CD49B	-0.2984
AGID02171	2482	91882	Set166	CD86	1.068982
AGID00329	1873	4688	Set166	cdc25C	-0.2400792
AGID00227	1332	4651	Set166	Cdc42	0.3998716
AGID00422	2396	3387	Set166	Cdc6	0.04013439
AGID00501	1007	9112	Old	CDK1	0.025286
AGID00293	1658	ab32384	Set166	CDK1_pT14	-0.05952491
AGID00314	1783	4539	Old	CDK1_pY15	0.46787
AGID00423	2397	8064	Set166	CDT1	0.6374921
AGID02101	2348	15102	Set166	cGAS	0.1761025
AGID00447	2410	13460	Set166	CHD1L	-0.7239363
AGID00189	1203	2360	Old	CHK1	-0.49687
AGID00234	1348	ab79758	Old	CHK1_pS296	0.67464
AGID00107	903	2348	Old	CHK1_pS345	0.17926
AGID00018	146	3440	Old	CHK2	-0.78733
AGID00019	147	2197	Old	CHK2_pT68	1.7241
AGID00527	2078	4952	Old	CIAP	0.66255
AGID00350	2018	3793	Set166	CIITA	0.1561556
AGID00434	155	9164	Old	CJUN_pS73	-0.26604
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.033533
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.8294
AGID00466	726	3127	Old	CMET	-0.30666
AGID00079	727	3129	Old	CMET_pY1235	0.46145
AGID00167	161	9402	Old	CMYC	-0.55349
AGID00292	1656	11130-1-AP	Old	COG3	-1.9156
AGID00021	171	sc-20649	Old	COLLAGENVI	0.75212
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set166	Connexin-43	-0.574032
AGID00269	1571	6434	Set166	Coup-TFII	0.2639399
AGID00150	1116	4850	Set166	Cox-IV	0.5860398
AGID00195	1218	4842	Set166	Cox2	1.287274
AGID00188	803	05-739	Old	CRAF	-0.62781
AGID00022	179	9427	Old	CRAF_pS338	0.7207
AGID00023	181	9197	Set166	Creb	-0.1894362
AGID00393	2334	9198	Set166	CREB_pS133	-1.946775
AGID00365	2155	4980	Set166	CSK	-0.2297855
