AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.055726
AGID00111	913	sc-23957	Old	1433EPSILON	-0.04802
AGID00101	883	sc-1019	Old	1433ZETA	-0.25277
AGID00001	2	9452	Old	4EBP1	0.64699
AGID00002	3	9456	Old	4EBP1_pS65	0.4282
AGID00003	6	9459	Old	4EBP1_pT37T46	1.2292
AGID00443	8	9455	Old	4EBP1_pT70	-0.035346
AGID00120	985	4937	Old	53BP1	-0.67057
AGID00004	13	3661	Old	ACC_pS79	1.6513
AGID00005	14	1768-1/ab45174	Old	ACC1	1.1728
AGID00408	2372	3658	Set172	AceCS1	0.24914
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.11242
AGID00404	2367	9189	Set172	ACSL1	0.1355122
AGID02144	2450	PA5-27081	Old	ACVRL1	0.55567
AGID00186	1198	ab88574	Old	ADAR1	-0.36784
AGID00146	1084	4691	Old	AKT	1.0915
AGID00028	230	9271	Old	AKT_pS473	2.1814
AGID00170	1154	2965	Old	AKT_pT308	1.5469
AGID00316	1800	3063	Set172	Akt2	0.4380544
AGID00347	2009	8599	Set172	Akt2_pS474	0.8945297
AGID02215	2577	ab195377	Set172	ALKBH5	0.2871983
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set172	Ambra1_pS52	-0.09514514
AGID00236	1351	ab129081	Set172	AMPK-a2_pS345	-0.05149097
AGID00006	39	2532	Old	AMPKALPHA	0.46623
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.4971
AGID00193	1208	610066	Old	ANNEXIN1	-0.59376
AGID00166	1142	610668	Old	ANNEXINVII	0.34624
AGID00371	756	1852-1/ab52615	Old	AR	4.1343
AGID00194	1217	4432	Old	ARAF	0.21762
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.13365
AGID00260	1053	sc-32761	Old	ARID1A	-0.046176
AGID00264	1560	HPA029318	Old	ASNS	-0.4083
AGID00276	1612	3415	Set172	Atg3	-0.1507913
AGID00309	1775	13507	Set172	Atg4B	-0.09383735
AGID00310	1776	12994	Set172	Atg5	0.6017392
AGID00277	1613	8558	Set172	Atg7	0.06359595
AGID00242	1363	2873	Old	ATM	0.15738
AGID02142	2447	13050	Set172	ATM_pS1981	0.01454243
AGID00217	1289	ab14748	Set172	ATP5A	1.173645
AGID02145	2451	PA5-43776	Set172	ATP5H	-0.4277981
AGID02150	2456	13934	Set172	ATR	-0.2209927
AGID00315	1795	ab178407	Set172	ATR_pS428	0.3124057
AGID00268	1569	ab97508	Set172	ATRX	-0.3516708
AGID00391	2332	14475	Set172	Aurora-A	-0.7611961
AGID00392	2333	2914	Set172	Aurora-ABC_pT288_pT232_pT198	-0.1627761
AGID02195	2512	MA5-27890	Set172	Aurora-B	0.6765153
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set172	b-Actin	-0.2940174
AGID00179	1170	9565	Set172	b-Catenin_pT41_S45	-0.2085751
AGID00301	1725	14058	Set172	B7-H3	0.2226932
AGID00302	1726	14572	Set172	B7-H4	-0.209862
AGID00008	63	9291	Old	BAD_pS112	-0.01272
AGID00009	71	1542-1/ab32371	Old	BAK	-0.876
AGID00192	1207	sc-28383	Old	BAP1C4	-0.49012
AGID00010	73	2772	Old	BAX	-0.051081
AGID00433	80	M0887	Old	BCL2	-0.19205
AGID00219	1299	PAB8528	Old	BCL2A1	-0.0053731
AGID00012	84	1018-1	Old	BCLXL	-0.1905
AGID00377	87	sc-10086	Old	BECLIN	-0.028682
AGID00011	75	9562	Old	BETACATENIN	2.0894
AGID00013	88	1008-1/ab32060	Old	BID	-0.039783
AGID00180	90	1036-1/ab32158	Old	BIM	-0.53945
AGID00221	1311	610978	Set172	BiP-GRP78	-0.05948234
AGID00373	2194	07-507	Set172	BMK1-Erk5_pT218_Y220	-0.08095462
AGID00355	92	1647/ab33899	Old	BRAF	0.42992
AGID00014	94	2696	Old	BRAF_pS445	0.43677
AGID00445	761	9012	Old	BRCA2	-0.14754
AGID00266	1567	13440	Old	BRD4	-1.1469
AGID00168	1146	2865	Set172	c-Abl_pY412	-0.1368594
AGID00278	1615	3130	Set172	c-IAP2	0.07487427
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.22286
AGID00429	2407	2679	Set172	Calnexin	0.1194882
AGID00176	1165	9496	Set172	Caspase-8-cleaved	-0.9410008
AGID00623	111	9665	Old	CASPASE3	-0.56602
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.9772
AGID00118	951	9746	Old	CASPASE8	-0.41758
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.8889
AGID00358	2100	ab76000	Set172	CD134	-0.2012807
AGID00303	1737	826701	Set172	CD171	2.417106
AGID00410	125	1632-1/ab78237	Old	CD20	-0.10372
AGID00220	1308	ab28340	Old	CD26	0.96172
AGID00191	1206	610467	Set172	CD29	0.214929
AGID00017	127	M0823	Old	CD31	-0.10491
AGID00369	2174	ab108403	Set172	CD38	0.1602526
AGID00359	2104	ab133616	Set172	CD4	-1.054813
AGID00411	1398	3570	Set172	CD44	-0.2509687
AGID00237	1352	M070101-2	Set172	CD45	-0.1473718
AGID00115	937	611016	Old	CD49B	0.060094
AGID02171	2482	91882	Set172	CD86	0.1315874
AGID00329	1873	4688	Set172	cdc25C	-0.4129963
AGID00227	1332	4651	Set172	Cdc42	-0.007534009
AGID00422	2396	3387	Set172	Cdc6	-0.4042717
AGID00501	1007	9112	Old	CDK1	-0.11459
AGID00293	1658	ab32384	Set172	CDK1_pT14	-1.221251
AGID00314	1783	4539	Old	CDK1_pY15	-0.51817
AGID00423	2397	8064	Set172	CDT1	-0.6401147
AGID02101	2348	15102	Set172	cGAS	0.2490772
AGID00447	2410	13460	Set172	CHD1L	0.4124843
AGID00189	1203	2360	Old	CHK1	0.028673
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.14465
AGID00107	903	2348	Old	CHK1_pS345	-0.010008
AGID00018	146	3440	Old	CHK2	-0.31783
AGID00019	147	2197	Old	CHK2_pT68	-0.0087658
AGID00527	2078	4952	Old	CIAP	-0.13792
AGID00350	2018	3793	Set172	CIITA	0.1510622
AGID00434	155	9164	Old	CJUN_pS73	-0.071458
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.11992
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.21582
AGID00466	726	3127	Old	CMET	0.15513
AGID00079	727	3129	Old	CMET_pY1235	-0.10341
AGID00167	161	9402	Old	CMYC	-0.24067
AGID00292	1656	11130-1-AP	Old	COG3	0.71185
AGID00021	171	sc-20649	Old	COLLAGENVI	0.44137
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set172	Connexin-43	-1.929544
AGID00269	1571	6434	Set172	Coup-TFII	-0.3229717
AGID00150	1116	4850	Set172	Cox-IV	0.3492933
AGID00195	1218	4842	Set172	Cox2	-0.2637551
AGID00188	803	05-739	Old	CRAF	0.089033
AGID00022	179	9427	Old	CRAF_pS338	0.017577
AGID00023	181	9197	Set172	Creb	-0.4812817
