AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.41643
AGID00111	913	sc-23957	Old	1433EPSILON	0.63431
AGID00101	883	sc-1019	Old	1433ZETA	-0.1083
AGID00001	2	9452	Old	4EBP1	-0.6805
AGID00002	3	9456	Old	4EBP1_pS65	0.63329
AGID00003	6	9459	Old	4EBP1_pT37T46	0.47108
AGID00443	8	9455	Old	4EBP1_pT70	0.20431
AGID00120	985	4937	Old	53BP1	0.21904
AGID00004	13	3661	Old	ACC_pS79	-1.3268
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.89481
AGID00408	2372	3658	Set181	AceCS1	-1.398576
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.3098
AGID00404	2367	9189	Set181	ACSL1	-0.4373962
AGID02144	2450	PA5-27081	Old	ACVRL1	0.17919
AGID00186	1198	ab88574	Old	ADAR1	0.0070805
AGID00146	1084	4691	Old	AKT	0.60211
AGID00028	230	9271	Old	AKT_pS473	1.3836
AGID00170	1154	2965	Old	AKT_pT308	0.54262
AGID00316	1800	3063	Set181	Akt2	-0.7672219
AGID00347	2009	8599	Set181	Akt2_pS474	-0.05314546
AGID02215	2577	ab195377	Set181	ALKBH5	-0.7364692
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	0.3852911
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.2786821
AGID00006	39	2532	Old	AMPKALPHA	-0.38272
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.38797
AGID00193	1208	610066	Old	ANNEXIN1	-1.2494
AGID00166	1142	610668	Old	ANNEXINVII	0.33044
AGID00371	756	1852-1/ab52615	Old	AR	-0.33874
AGID00194	1217	4432	Old	ARAF	-0.27762
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.3823
AGID00260	1053	sc-32761	Old	ARID1A	0.20573
AGID00264	1560	HPA029318	Old	ASNS	-0.36032
AGID00276	1612	3415	Set181	Atg3	-0.1340745
AGID00309	1775	13507	Set181	Atg4B	0.06775216
AGID00310	1776	12994	Set181	Atg5	-0.379754
AGID00277	1613	8558	Set181	Atg7	-0.2734889
AGID00242	1363	2873	Old	ATM	-0.72338
AGID02142	2447	13050	Set181	ATM_pS1981	0.6204374
AGID00217	1289	ab14748	Set181	ATP5A	0.9773036
AGID02145	2451	PA5-43776	Set181	ATP5H	0.2189297
AGID02150	2456	13934	Set181	ATR	-0.1614831
AGID00315	1795	ab178407	Set181	ATR_pS428	0.6270306
AGID00268	1569	ab97508	Set181	ATRX	-0.2109263
AGID00391	2332	14475	Set181	Aurora-A	-0.4548657
AGID00392	2333	2914	Set181	Aurora-ABC_pT288_pT232_pT198	-0.1509898
AGID02195	2512	MA5-27890	Set181	Aurora-B	-0.3523241
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set181	b-Actin	0.4715126
AGID00179	1170	9565	Set181	b-Catenin_pT41_S45	0.3876806
AGID00301	1725	14058	Set181	B7-H3	-0.434108
AGID00302	1726	14572	Set181	B7-H4	-0.2426476
AGID00008	63	9291	Old	BAD_pS112	-0.21272
AGID00009	71	1542-1/ab32371	Old	BAK	5.3727
AGID00192	1207	sc-28383	Old	BAP1C4	-0.74607
AGID00010	73	2772	Old	BAX	-0.77676
AGID00433	80	M0887	Old	BCL2	0.027381
AGID00219	1299	PAB8528	Old	BCL2A1	0.38263
AGID00012	84	1018-1	Old	BCLXL	-0.49919
AGID00377	87	sc-10086	Old	BECLIN	-0.21886
AGID00011	75	9562	Old	BETACATENIN	-1.0455
AGID00013	88	1008-1/ab32060	Old	BID	0.42269
AGID00180	90	1036-1/ab32158	Old	BIM	-1.0038
AGID00221	1311	610978	Set181	BiP-GRP78	0.1754948
AGID00373	2194	07-507	Set181	BMK1-Erk5_pT218_Y220	0.1443678
AGID00355	92	1647/ab33899	Old	BRAF	0.45965
AGID00014	94	2696	Old	BRAF_pS445	0.78624
AGID00445	761	9012	Old	BRCA2	-0.42695
AGID00266	1567	13440	Old	BRD4	-0.54655
AGID00168	1146	2865	Set181	c-Abl_pY412	0.1816865
AGID00278	1615	3130	Set181	c-IAP2	-0.0215081
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.12668
AGID00429	2407	2679	Set181	Calnexin	0.4316084
AGID00176	1165	9496	Set181	Caspase-8-cleaved	1.428344
AGID00623	111	9665	Old	CASPASE3	0.23617
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.85932
AGID00118	951	9746	Old	CASPASE8	-0.28566
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.0873
AGID00358	2100	ab76000	Set181	CD134	-0.06505562
