AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.083768
AGID00111	913	sc-23957	Old	1433EPSILON	0.54831
AGID00101	883	sc-1019	Old	1433ZETA	-0.28587
AGID00001	2	9452	Old	4EBP1	-0.82948
AGID00002	3	9456	Old	4EBP1_pS65	1.0372
AGID00003	6	9459	Old	4EBP1_pT37T46	1.3403
AGID00443	8	9455	Old	4EBP1_pT70	0.1706
AGID00120	985	4937	Old	53BP1	0.66698
AGID00004	13	3661	Old	ACC_pS79	-0.28651
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.052482
AGID00408	2372	3658	Set181	AceCS1	-0.5616277
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.5075
AGID00404	2367	9189	Set181	ACSL1	-0.1872901
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.16901
AGID00186	1198	ab88574	Old	ADAR1	-0.3829
AGID00146	1084	4691	Old	AKT	0.38308
AGID00028	230	9271	Old	AKT_pS473	0.90583
AGID00170	1154	2965	Old	AKT_pT308	-0.0031119
AGID00316	1800	3063	Set181	Akt2	-0.7945575
AGID00347	2009	8599	Set181	Akt2_pS474	-0.08142889
AGID02215	2577	ab195377	Set181	ALKBH5	-0.4964242
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set181	Ambra1_pS52	0.6423334
AGID00236	1351	ab129081	Set181	AMPK-a2_pS345	0.1966283
AGID00006	39	2532	Old	AMPKALPHA	-0.26318
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.44123
AGID00193	1208	610066	Old	ANNEXIN1	-2.4046
AGID00166	1142	610668	Old	ANNEXINVII	0.60743
AGID00371	756	1852-1/ab52615	Old	AR	-0.026489
AGID00194	1217	4432	Old	ARAF	-0.25615
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.53362
AGID00260	1053	sc-32761	Old	ARID1A	0.15529
AGID00264	1560	HPA029318	Old	ASNS	-0.045413
AGID00276	1612	3415	Set181	Atg3	-0.08576262
AGID00309	1775	13507	Set181	Atg4B	-0.2174539
AGID00310	1776	12994	Set181	Atg5	-0.6749836
AGID00277	1613	8558	Set181	Atg7	-0.03464581
AGID00242	1363	2873	Old	ATM	-0.013688
AGID02142	2447	13050	Set181	ATM_pS1981	1.142418
AGID00217	1289	ab14748	Set181	ATP5A	1.223282
AGID02145	2451	PA5-43776	Set181	ATP5H	0.2170631
AGID02150	2456	13934	Set181	ATR	-0.2205295
AGID00315	1795	ab178407	Set181	ATR_pS428	0.4067644
AGID00268	1569	ab97508	Set181	ATRX	0.5866316
AGID00391	2332	14475	Set181	Aurora-A	-0.3135745
